datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,80.93,82.63,79.83,82.27,17173195,,,,,
2020-01-03,82.47,85.87,82.47,83.57,32428759,,,,,
2020-01-05,83.33,84.17,81.9,82.9,11577350,,,,,
2020-01-07,83.27,84.03,81.83,82.8,19130913,,,,,
2020-01-09,82.93,85.17,82.13,83.63,23206918,,,,,
2020-01-13,83.93,88.53,83.27,86.73,45005964,,,,,
2020-01-15,86.9,88.9,85.57,86.0,41853917,,,,,
2020-01-17,84.6,84.93,81.83,84.13,25048468,,,,,
2020-01-19,84.0,86.03,83.03,85.33,20103173,,,,,
2020-01-21,85.57,86.37,83.67,84.17,23797414,,,,,
2020-01-23,83.8,87.8,83.47,86.33,36063355,,,,,
2020-01-27,86.0,86.33,83.47,84.0,18176778,,,,,
2020-01-29,85.13,85.9,82.0,82.3,27917299,,,,,
2020-01-31,82.7,82.93,77.07,77.4,41871274,,,,,
2020-02-02,76.73,79.67,76.0,76.43,15575761,,,,3.708478903192834,
2020-02-04,76.8,81.0,76.8,80.83,35268687,,,,3.800192127045085,
2020-02-06,80.97,83.07,80.93,82.7,26133925,,,,3.639722557404187,
2020-02-10,82.73,86.57,79.5,86.0,75845624,,,,3.9817860102269145,
2020-02-12,86.47,88.33,85.0,86.67,59024935,,,,3.9185787863241566,
2020-02-14,86.67,87.67,81.3,82.1,43076802,,31914025.55,,4.1503844890973705,
2020-02-16,81.33,81.33,78.1,78.67,29104796,,32510605.6,,4.136485669618522,
2020-02-18,78.67,80.6,77.83,79.9,31656772,,32472006.25,,4.0127892728758505,
2020-02-20,79.27,80.67,79.0,79.6,10882119,,32437244.7,,3.8046896055039943,
2020-02-24,79.0,79.53,75.63,76.3,26445900,,32802994.05,,3.819122314522249,
2020-02-26,76.0,76.07,70.1,71.03,49705140,,34127905.15,,4.023739995150986,
2020-02-28,68.0,72.33,68.0,69.1,39724164,,33863815.15,,4.049684088947787,
2020-03-01,70.67,71.57,65.8,66.53,29264285,,33234333.55,,4.193506051925209,
2020-03-03,67.27,71.27,66.33,70.47,54599901,,34711905.2,,4.2551638962663,
2020-03-05,73.23,74.17,68.03,71.4,52061003,,36309796.7,,4.409125461810668,
2020-03-09,69.07,69.9,66.33,66.53,25364041,79.86066666666669,36388128.05,,4.462560535640697,
2020-03-11,64.43,65.03,52.73,53.03,127358360,78.12965591397852,40952878.3,-35.54150966330375,5.210489721885028,
2020-03-13,50.0,61.1,43.33,56.33,43659955,76.72322650017347,42227037.15,-32.59542898169199,6.2078582383993774,
2020-03-15,54.67,55.07,51.67,52.47,23087997,75.15850220983971,41985572.05,-36.706875753920386,6.085914082770296,
2020-03-17,52.33,54.0,46.17,47.23,69458744,73.356663357592,43364945.55,-42.95893719806764,6.222314467361101,
2020-03-19,45.63,54.93,43.73,53.87,89649325,72.09945927000541,47068623.75,-35.585316274064326,6.608985031147419,
2020-03-23,49.33,55.0,48.5,51.67,39839743,70.78142963968249,47297176.55,-40.42430531534647,6.600571590113275,
2020-03-25,51.93,52.8,48.13,48.73,47691825,69.35875675970297,48375071.55,-43.33720930232558,6.452390008779997,
2020-03-27,48.77,50.1,46.07,46.53,41318569,67.88593374294794,46648718.8,-44.6927374301676,6.267443918019068,
2020-03-29,46.27,48.33,45.03,47.27,22508552,66.55587350146743,44822899.65,-44.60330481659439,6.041992948921307,
2020-03-31,48.33,52.5,47.8,50.47,66938352,65.51807521105017,46015977.15,-40.0380182963051,5.980581136401465,
2020-04-02,51.33,54.67,50.1,53.83,28540728,64.76400584259532,45987773.75,-37.64624116761265,5.874343970661321,
2020-04-06,56.0,57.63,55.03,56.47,30979774,64.22890869146015,45953923.85,-32.773809523809526,5.718720597277045,
