datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,176.6,180.43,175.73,179.3,4649137,,,,,
2020-01-03,176.6,177.43,174.33,175.8,6161111,,,,,
2020-01-05,170.8,173.97,162.63,163.0,18097904,,,,,
2020-01-07,166.67,169.13,156.67,161.8,30541921,,,,,
2020-01-09,166.67,170.33,164.33,168.63,19947026,,,,,
2020-01-13,168.8,171.87,167.9,170.0,8537548,,,,,
2020-01-15,169.67,171.63,166.27,166.67,9239844,,,,,
2020-01-17,165.33,168.47,164.57,166.7,5855493,,,,,
2020-01-19,166.67,169.67,164.7,165.93,5132224,,,,,
2020-01-21,165.9,168.2,162.6,163.63,7408216,,,,,
2020-01-23,165.33,167.5,162.67,163.17,12785459,,,,,
2020-01-27,163.67,164.4,160.0,161.43,10254006,,,,,
2020-01-29,162.0,165.5,158.8,159.63,11455291,,,,,
2020-01-31,161.33,161.43,147.87,148.0,11753630,,,,,
2020-02-02,150.0,153.67,147.73,149.1,6471321,,,,6.93465858721265,
2020-02-04,150.87,159.43,150.73,158.03,14993458,,,,7.296109639543049,
2020-02-06,156.03,163.33,155.33,160.1,15833535,,,,7.3685064817389065,
2020-02-10,160.67,162.7,158.53,160.23,9009658,,,,7.04955497145187,
2020-02-12,160.4,161.4,154.87,156.57,6162958,,,,6.999170908438741,
2020-02-14,156.93,158.9,155.43,155.43,3491781,,10889076.05,,6.665453496647753,
2020-02-16,156.0,156.47,152.77,153.33,1921474,,10752692.9,,6.391380664600946,
2020-02-18,152.47,153.47,148.17,150.8,12244546,,11056864.65,,6.292587198494972,
2020-02-20,149.67,152.0,148.0,148.53,7358929,,10519915.9,,6.0889467605984215,
2020-02-24,148.13,148.4,138.53,140.87,11326808,,9559160.25,,6.430408007069222,
2020-02-26,140.67,141.13,135.43,137.43,15202852,,9321951.55,,6.367635192980214,
2020-02-28,135.3,135.33,129.67,131.7,10231423,,9406645.3,,6.485586092806313,
2020-03-01,133.8,136.17,128.7,129.67,5453396,,9217322.9,,6.567885128469056,
2020-03-03,130.7,138.6,130.67,136.63,15491540,,9699125.25,,6.762987729689393,
2020-03-05,137.97,140.53,127.4,134.47,18402749,,10362651.5,,7.283072831537445,
2020-03-09,137.43,151.23,136.4,139.57,37045021,155.20499999999998,11844491.75,,8.049330681803605,
2020-03-11,138.67,142.97,120.2,125.0,30386933,153.25629032258064,12724565.45,-30.284439486893476,9.228456743734755,
2020-03-13,119.6,134.6,100.0,132.37,15904847,151.90878772112382,13007107.5,-24.70420932878271,11.243246962368888,
2020-03-15,127.9,143.67,122.67,136.67,21625241,150.9256401262126,13515605.0,-16.153374233128837,12.011908446566391,
2020-03-17,137.33,148.1,133.5,139.27,25799427,150.17366334387634,14217894.85,-13.92459826946848,12.214316298012887,
2020-03-19,128.73,141.63,120.0,140.0,25281180,149.51729796685206,15158387.8,-16.977999169779988,12.94573408276613,
2020-03-23,130.47,131.93,118.4,123.97,17292186,147.8690851947971,15273324.2,-27.076470588235292,13.613827262369496,
2020-03-25,120.0,124.37,116.67,117.37,17896200,145.90140227900372,15376457.45,-29.579408411831754,13.159909738690226,
2020-03-27,119.43,122.33,111.7,113.47,10148032,143.80905374487446,15433376.15,-31.931613677264547,12.96675466685916,
2020-03-29,113.4,116.27,109.53,111.6,6586706,141.7310502774632,15454563.55,-32.74272283493039,12.493678203491813,
2020-03-31,114.0,130.27,113.3,121.33,31135232,140.41485348536878,16836736.1,-25.851005316873433,12.960799397996341,
2020-04-02,122.67,128.53,117.03,121.33,14258938,139.18357261534499,17453609.3,-25.641968499111357,12.850780070675725,
2020-04-06,128.67,137.27,123.5,132.73,15434848,138.76721309177435,17613124.4,-17.77860372917055,13.082542417387256,
2020-04-08,133.27,141.2,130.3,138.3,23618920,138.7370703116599,18426123.95,-13.3621499718098,12.919388114862072,
2020-04-12,139.33,141.13,132.97,136.03,7401564,138.56242061413346,18229861.75,-8.087837837837842,12.564782966923264,9.442979991526233
2020-04-14,139.33,146.67,137.2,140.0,11226640,138.65516767128614,18031051.15,-6.103286384976525,12.42181424816704,9.625885180224712
2020-04-16,140.53,146.6,138.87,145.67,13143223,139.1077374989451,18176641.15,-7.821299753211419,12.074306568474775,9.785158411189103
2020-04-20,147.2,152.33,143.0,143.77,18769057,139.40852862804545,18842424.2,-10.199875078076193,11.871579396771262,9.935260841690182
2020-04-22,144.63,145.57,137.63,139.87,15417035,139.43830097462316,18838698.95,-12.706734069774694,11.581854009500232,10.086337476291794
2020-04-24,139.17,139.17,133.33,133.67,5426856,139.0661525246475,18189904.3,-14.626045858082648,11.211149434444128,10.226736760491972
2020-04-26,134.93,142.73,134.93,138.77,13777311,139.0470459101541,17026518.8,-10.718651482982688,11.053316165344237,10.372998849448523
2020-04-28,140.17,145.33,137.8,138.67,24556466,139.02272036756352,16734995.45,-9.561077414726427,10.795306152052126,10.519796365696894
2020-04-30,140.7,149.6,137.8,146.0,15079102,139.47286744062393,16693708.2,-3.183023872679047,10.868746942056127,10.6723350238156
2020-05-04,140.67,146.67,136.5,143.23,23436145,139.71526308961595,16784253.4,-3.5683026997912926,10.817755271925941,10.829961974193184
2020-05-06,133.73,136.67,124.47,133.33,41423678,139.30331063222138,17565465.95,-5.352452615886982,11.396452117365317,10.995496777869722
2020-05-08,135.33,136.63,130.37,131.2,6809870,138.78051639788453,16641900.45,-4.53321691042714,11.0227302437322,11.150666612894785
2020-05-10,132.0,134.13,127.87,128.0,7084381,138.08499921092422,16131510.2,-2.809415337889132,10.676660246711076,11.290369084691612
2020-05-12,128.0,131.3,124.67,128.37,14943637,137.45822506828395,15983882.05,-1.0025449217243687,10.382983661224563,11.417539035783461
2020-05-14,125.67,129.73,125.3,125.47,15276249,136.6847911929108,16240292.9,-8.168045085266773,9.951453936927168,11.523821242691389
2020-05-18,126.33,126.97,113.57,114.5,29248207,135.25351434175528,17373367.95,-14.850896110656652,10.201172874584934,11.621091244126303
2020-05-20,114.67,121.27,113.97,120.43,18710054,134.29715857777109,16752109.05,-13.713548756896177,9.991297341107922,11.685823466103114
2020-05-22,120.4,124.33,118.87,121.47,9393761,133.46959995985037,16508850.2,-2.8240000000000043,9.663794993935769,11.700334741109817
2020-05-26,122.0,124.33,118.87,123.67,12459850,132.83736770437616,16360100.3,-6.572486212888117,9.360220227654168,11.637567183285993
2020-05-28,124.63,131.77,122.47,128.3,22318660,132.54463430409385,16295087.3,-6.124240872173836,9.35587487165328,11.54903273078889
2020-06-01,130.87,133.67,128.2,129.23,14207125,132.3307869296362,16635365.35,-7.20901845336398,9.075683201745903,11.444411627579989
2020-06-03,129.87,134.5,128.9,130.0,21238330,132.18041357933708,17135949.85,-7.14285714285714,8.825237923134504,11.307061755592267
2020-06-05,131.2,136.97,130.2,136.83,13914465,132.48038689679922,17174511.95,10.373477454222812,8.6916400043415,11.142988846991335
2020-06-07,139.73,148.33,138.93,144.47,16466295,133.25391032281217,17059373.85,23.089375479253626,8.89375563289496,11.000783710131492
2020-06-09,145.53,147.9,137.47,139.5,14329653,133.6568838503727,17005004.75,22.939984136776246,9.004258274875824,10.868700497065381
2020-06-11,139.23,145.67,132.9,141.3,27292294,134.14998811809062,18098276.65,26.612903225806473,9.27499365281951,10.761411012042972
2020-06-15,139.23,143.2,136.23,140.17,20592746,134.53837598143963,18439048.4,15.527899118107635,9.109354883175047,10.633029528215594
2020-06-17,136.67,149.67,136.53,148.17,41340718,135.4178355955403,19278261.0,22.121486854034433,9.3988752595049,10.517966034509898
2020-06-19,148.33,150.6,146.07,149.17,16023397,136.30507200873126,19325475.75,12.386046862050781,9.04928525199489,10.38352412899682
2020-06-21,150.63,160.67,149.57,158.33,23927456,137.72603510494216,19350041.3,14.483007953723792,9.225183463040342,10.260383973936095
2020-06-23,159.33,161.4,151.07,151.87,20076731,138.63854896913946,18282693.95,11.644490185988388,9.304453438617548,10.151706322992572
2020-06-25,152.3,157.23,147.23,154.67,20776567,139.6728361324208,18981028.8,10.478571428571426,9.354342511582814,10.049457265106433
2020-06-29,151.8,153.97,144.07,144.77,21189524,140.00168541420013,19686285.95,-0.617834832154851,9.443662473539263,9.961769128608582
2020-07-01,145.47,148.8,142.73,143.8,26855910,140.24673796812272,20281899.6,0.02086666202962828,9.20182062719449,9.872777169622688
2020-07-03,145.0,145.2,142.0,143.8,5970726,140.47598067985675,19816623.45,2.809751912490177,8.771689006588545,9.779105002858966
2020-07-05,145.17,147.03,142.5,143.53,10208297,140.6730141843821,18864627.95,7.376374653998674,8.467772905951593,9.687659118575882
2020-07-07,143.93,144.17,140.23,140.83,14304716,140.68314230151876,18644361.05,1.4844707069251228,8.143430704287521,9.590662936540658
2020-07-09,141.2,142.53,136.03,139.67,23357628,140.61777828206593,19342554.4,0.7211365111415624,8.02572946366964,9.498343713594576
2020-07-13,140.03,143.3,139.47,140.13,17738629,140.58630871548104,19606493.35,-4.020547945205477,7.725291833529159,9.393561876643677
2020-07-15,142.0,142.27,133.67,140.07,18274752,140.5529984757726,19404297.95,-2.206241709139145,7.787914732079496,9.292567191982128
2020-07-17,140.33,151.47,140.07,149.33,34982485,141.11925663862598,20443065.95,12.000300007500186,8.046471919452493,9.180901185385034
2020-07-19,149.33,153.0,148.7,150.73,12550910,141.7393045974243,20008694.95,14.885670731707323,7.778336091688787,9.072754713650255
2020-07-21,151.47,158.67,148.4,151.53,34844828,142.37096236533242,21055213.1,18.3828125,7.9566397744139845,8.982087364573685
2020-07-23,151.67,158.4,149.0,151.77,24162470,142.9773518901497,21440021.85,18.228558074316425,8.059913173879057,8.904651681662166
2020-07-27,153.6,160.47,148.93,155.27,27486700,143.77042596175295,22097874.2,23.750697377859264,8.30888533732078,8.849899395008622
2020-07-29,155.27,156.8,145.77,148.0,19888336,144.043301706156,21727676.3,29.257641921397372,8.50353709224656,8.793311535597342
2020-07-31,148.63,150.5,142.53,143.37,9678410,143.999862886404,21181959.5,19.04840986465166,8.465375157237,8.742447462801644
2020-08-02,143.33,147.93,141.53,144.9,10812637,144.05793624857148,19655555.45,19.288713262533964,8.31766094683354,8.697576327898238
2020-08-04,145.4,147.23,139.07,142.93,24583444,143.98516616801848,20083557.8,15.573704212824445,8.306386167457022,8.662448525891666
2020-08-06,142.67,148.67,141.6,142.27,42225740,143.87451028621086,20998472.0,10.888542478565855,8.217976151048008,8.624518568538155
2020-08-10,143.87,146.2,142.33,143.6,24138225,143.856799945165,21201546.7,11.119709045887172,7.911380688943728,8.585708484778083
2020-08-12,143.33,143.8,139.93,141.73,21239601,143.71958704547694,21224698.4,9.02307692307691,7.622438086497196,8.545615156890172
2020-08-14,142.67,143.0,138.47,139.17,9797473,143.42606530060746,20655095.85,1.710151282613448,7.401356005706089,8.502605690268993
2020-08-16,140.0,141.93,136.97,140.83,11813765,143.25857721669732,19902988.6,-2.519554232712662,7.226831486664717,8.447041552061318
2020-08-18,141.87,142.47,139.47,140.97,16903042,143.1109270736846,20449604.4,1.0537634408602115,6.924686759736132,8.377722501556661
2020-08-20,139.33,144.8,138.77,141.73,28643742,143.02183500441464,21371376.65,0.3043170559093866,6.860735714033883,8.297247236930476
2020-08-24,142.33,143.2,140.47,140.83,14746187,142.88042629445243,21393450.2,0.47085681672256463,6.565490898742546,8.212451770782724
2020-08-26,141.33,141.57,138.17,138.87,19677284,142.6216891141652,21209433.0,-6.276574205304708,6.33924759926844,8.110464182108176
2020-08-28,139.67,141.43,139.53,139.6,5885181,142.42674142938037,20616760.6,-6.415499094992283,6.069149683169136,8.011126329813983
2020-08-30,141.53,143.2,133.67,133.83,24755862,141.8721129500655,20940816.1,-15.474009979157454,6.316482233827928,7.91416962217357
2020-09-01,133.33,136.53,129.87,134.53,22340371,141.3984282436097,20308710.4,-11.417659840653194,6.341031102397065,7.815388877632887
2020-09-03,135.0,136.33,130.5,131.47,17534494,140.75788448595745,20557889.6,-14.999676731104927,6.304512463278774,7.7137278760227534
2020-09-07,133.33,135.07,130.53,132.07,17230194,140.19737580944408,19677157.9,-8.772535746356303,6.1784232223470275,7.604886567649678
2020-09-09,132.3,134.8,127.2,134.03,26670337,139.79948059593158,19802551.25,-6.794158553546604,6.280003796989409,7.507492673309509
2020-09-11,135.0,136.17,131.47,132.67,10866120,139.3395141058715,18971522.25,-7.739916550764969,6.167105745573788,7.420673231275684
2020-09-13,133.27,134.1,130.1,130.53,6813096,138.7711583571056,18317760.25,-9.057339928934717,6.012260723136208,7.338822825181837
2020-09-15,131.33,133.3,129.23,130.4,13479154,138.23108362438913,18507797.45,-7.406092451892354,5.8734847434538935,7.263157959820716
2020-09-17,130.0,132.67,128.77,129.33,17935555,137.65682016475114,18863943.35,-7.40316460227678,5.732480911044314,7.1867163413998725
2020-09-21,129.67,132.33,119.1,120.57,31046895,136.5544446702511,19187115.9,-13.958467137657893,6.268161341543244,7.138145325000342
2020-09-23,121.93,122.07,113.9,114.8,23086999,135.15093211088006,18230178.85,-18.04097951024488,6.404040725181435,7.0920161914370725
2020-09-25,115.83,119.8,114.87,118.93,10397361,134.10442036179103,17543135.65,-20.35759726779616,6.303728955595932,7.03392475930852
