datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,506.66,518.0,504.23,507.05,1242395,,,,,
2020-01-03,507.04,516.0,506.61,513.23,624515,,,,,
2020-01-05,513.49,513.49,500.22,503.7,414420,,,,,
2020-01-07,504.4,515.6,504.4,509.99,1023305,,,,,
2020-01-09,512.04,514.0,504.2,509.4,1093770,,,,,
2020-01-13,512.93,513.6,495.6,510.0,4746165,,,,,
2020-01-15,508.0,524.0,494.0,510.0,2361035,,,,,
2020-01-17,511.0,523.0,511.0,519.02,776475,,,,,
2020-01-19,521.0,524.0,513.83,517.39,278650,,,,,
2020-01-21,520.0,535.0,500.94,504.4,2579140,,,,,
2020-01-23,507.76,551.49,506.07,539.2,4850390,,,,,
2020-01-27,541.6,561.02,534.22,552.5,3384635,,,,,
2020-01-29,556.0,576.0,556.0,570.0,2258430,,,,,
2020-01-31,568.43,587.0,528.2,538.35,1824185,,,,,
2020-02-02,535.22,584.85,535.12,555.1,2461965,,,,29.164427432774552,
2020-02-04,559.96,604.8,559.96,596.39,3667790,,,,31.350541702955528,
2020-02-06,596.0,626.0,592.0,624.4,1744555,,,,31.623044957739573,
2020-02-10,619.5,625.6,592.21,598.55,4410865,,,,31.799243750068378,
2020-02-12,602.79,609.79,565.93,570.4,2807450,,,,32.96884068643192,
2020-02-14,572.95,593.4,564.0,567.2,975305,,2176272.0,,32.631372111554285,
2020-02-16,567.2,570.0,554.4,563.6,662550,,2147279.75,,31.057300424531253,
2020-02-18,563.19,582.21,550.22,573.56,2388290,,2235468.5,,31.141729832972185,
2020-02-20,571.01,578.0,565.0,567.0,677955,,2248645.25,,29.530279760402358,
2020-02-24,567.91,567.91,526.21,530.4,2759480,,2335454.0,,30.592778168848913,
2020-02-26,529.79,539.6,510.0,514.4,2699020,,2415716.5,,30.507456706294256,
2020-02-28,499.0,530.0,464.66,528.52,2508120,,2303814.25,,33.45821343614723,
2020-03-01,529.6,550.0,525.6,542.9,2310720,,2301298.5,,32.70092808577322,
2020-03-03,543.04,561.0,528.0,528.8,3853480,,2455148.75,,32.725630401956415,
2020-03-05,525.06,547.6,510.0,528.0,3013700,,2591901.25,,33.12378999411939,
2020-03-09,515.0,519.64,504.0,506.6,1217425,540.0016666666667,2523815.5,,32.386085083772585,
2020-03-11,501.0,521.5,470.0,474.0,3631850,535.7434946236559,2462888.5,-6.518094862439606,33.917110252268095,
2020-03-13,426.4,470.0,426.31,455.0,2576205,530.5342369060007,2422467.0,-11.345790386376486,35.01083495264493,
2020-03-15,446.2,454.42,434.53,436.85,1285950,524.4900925894846,2373843.0,-13.271788763152658,33.865271491823265,
2020-03-17,436.2,439.99,394.0,396.78,3683130,516.2507317772598,2466790.25,-22.19847447989177,34.81351470348873,
2020-03-19,366.2,414.4,348.0,382.22,4026860,507.6035877916302,2545035.0,-24.966627404789943,37.2671779567307,
2020-03-23,360.0,372.0,316.22,350.0,4483340,497.4356143857186,2585812.5,-31.372549019607842,39.48529820187346,
2020-03-25,350.0,438.79,340.0,412.0,4523370,491.9236392640594,2724753.25,-19.215686274509803,44.0372477581338,
2020-03-27,429.8,439.2,396.0,409.85,2412125,486.6285657631523,2624816.25,-21.033871527108772,43.973325062240924,
2020-03-29,400.02,432.0,380.0,428.4,2560585,482.8718841010135,2612473.0,-17.19979125997797,44.58315011482642,
2020-03-31,432.4,433.45,396.27,402.4,5839070,477.68014964288363,2855661.25,-20.222045995241878,44.0232427073644,
2020-04-02,405.6,410.82,386.2,401.34,1554220,472.7549786981815,2900244.75,-25.56750741839764,42.56189783452908,
2020-04-06,410.0,481.59,410.0,463.3,1426475,472.1449800724924,2852154.0,-16.144796380090497,45.38936988275065,
2020-04-08,462.0,480.77,440.4,446.0,2915150,470.4582071645897,2964013.75,-21.75438596491228,45.0141506953424,
2020-04-12,444.4,471.98,428.1,432.8,1603345,468.02864541203553,2906207.0,-19.60620414228662,44.92964914484877,35.85443010984025
2020-04-14,443.0,483.6,437.2,476.03,3458290,468.5448618370655,2944170.5,-14.244280309854085,45.3656861188002,36.39447206604111
2020-04-16,474.06,504.8,465.2,500.0,5478750,470.57422558951293,3092702.0,-16.162242827679872,44.93864018326238,36.84740868205134
2020-04-20,499.0,509.17,472.6,476.99,4233220,470.9881465192218,3188827.0,-23.60826393337604,44.32043273703669,37.270654941361244
2020-04-22,474.0,511.2,474.0,486.88,3770910,472.0134273889495,3184698.5,-18.65675382173586,43.795714824950394,37.670537310523976
2020-04-24,484.0,490.99,460.6,468.4,1362920,471.7803030412754,3102159.5,-17.88218793828892,42.81005363600233,37.998577742176316
2020-04-26,472.05,480.98,460.43,467.64,968330,471.51318671603184,3089704.75,-17.55289139633287,41.17679795443363,38.2834252702723
2020-04-28,474.0,499.95,457.86,483.68,4001980,472.2981424117717,3108211.25,-14.180269694819025,41.243671110533704,38.62297095980571
2020-04-30,494.49,515.5,483.8,515.19,1670300,475.0653590303671,3062916.0,-10.176790571169525,40.55482260956089,38.93674071902534
2020-05-04,497.6,531.8,492.23,518.0,4384315,477.8353358671177,3217834.25,-8.64197530864198,40.48295431702037,39.301829870912606
2020-05-06,521.63,536.0,512.0,521.48,4203065,480.6511206498843,3243831.0,-1.6817496229260875,39.28195460052157,39.591469085301696
2020-05-08,521.6,548.43,516.66,532.21,2819310,483.97749996279504,3183453.5,3.4622861586314224,38.735394117953724,39.86573366569034
2020-05-10,535.92,543.73,510.02,514.97,1991740,485.9770160942277,3058873.5,-2.563762960720495,38.370238411367374,40.02946783153102
2020-05-12,514.0,530.0,500.0,526.2,3187785,488.57204731395495,2992094.25,-3.076072941609864,37.76278859188814,40.198196515068176
2020-05-14,522.26,542.5,515.01,517.2,3003485,490.41901200337725,3021662.25,-2.1936459909228323,37.018117703960485,40.341279425134985
2020-05-18,518.0,518.0,441.0,490.31,9150750,490.4119789709013,3351170.5,-7.138257575757578,39.9133184610089,40.56759704069797
2020-05-20,488.01,498.0,463.26,489.4,5649310,490.34669000503675,3341682.5,-3.3951835767864313,39.53907224446585,40.80602994605441
2020-05-22,482.0,489.62,473.2,484.39,1265795,489.96238742406666,3327261.25,2.1919831223628616,37.86812684968542,40.93773049930165
2020-05-26,484.7,491.39,467.0,486.21,2921065,489.7202979128366,3401990.75,6.8593406593406625,36.89481125884204,41.00052970950822
2020-05-28,491.45,556.0,486.84,537.0,5959000,492.7706012732988,3554183.25,22.92548929838616,39.268453992602815,41.18063579286754
2020-06-01,541.03,551.04,516.0,521.2,3908030,494.6047560298602,3669417.5,31.35742728968196,38.9635605967921,41.31897065597765
2020-06-03,525.6,529.44,496.64,504.99,7229235,495.27477176986923,3857964.75,32.120244885144665,38.519436503397614,41.360712607533216
2020-06-05,508.09,508.19,494.58,499.98,2401650,495.5783348814906,3704109.75,42.851428571428585,36.72567795972907,41.2687252661284
2020-06-07,505.8,535.98,504.0,534.0,3193655,498.0571519859106,3652131.5,29.611650485436904,36.67345144418805,41.023265388996876
2020-06-09,537.04,555.77,528.0,548.6,11245840,501.3179808900454,4025878.0,33.85384896913506,36.033022793383545,40.75858864670163
2020-06-11,551.0,568.95,530.0,563.89,5900810,505.3548853487522,4252772.5,31.626984126984127,36.24273683755645,40.48057487079264
2020-06-15,559.97,575.0,551.02,561.4,4754595,508.9706991972198,4442085.75,39.512922465208746,35.361526323261934,40.19185099132255
2020-06-17,561.02,565.0,547.68,549.02,3507410,511.5545250554637,4417357.25,36.79673095131311,34.06560734769349,39.90864130842803
2020-06-19,553.01,559.6,524.15,528.13,2992695,512.6239105357564,4483477.0,13.993093028275405,34.165008094667215,39.53449591549192
2020-06-21,535.59,560.98,533.0,558.0,2229760,515.551400178611,4375749.25,25.11210762331839,34.0706243759784,39.169711704846456
2020-06-23,546.01,597.0,532.9,543.96,9646045,517.3842130703135,4647898.25,25.683918669131245,36.225215471134895,38.879563915722656
2020-06-25,542.41,563.6,532.0,550.2,9520190,519.5013606141642,4982942.25,15.580950780413016,35.89346526930671,38.563823220739536
2020-06-29,547.35,559.8,547.35,551.42,2717220,521.5606276713149,5019216.25,10.283999999999981,34.212449865431466,38.20628354347851
2020-07-01,551.0,564.0,545.0,555.83,2704630,523.7715549183268,4995058.5,16.52864839933752,33.12194155532667,37.83300050408818
2020-07-03,563.47,565.79,552.28,554.0,618925,525.7217771816606,4875830.5,13.785737758790662,31.7164153444634,37.430357188071945
2020-07-05,556.99,562.19,554.4,555.6,1264960,527.6494044602632,4481541.0,18.616567036720767,30.03075276940224,37.004380492518614
2020-07-07,554.41,589.0,554.41,569.78,3323875,530.3675073983107,4365269.25,21.84158754597554,30.357349600872993,36.64373221406658
2020-07-09,574.0,586.96,567.78,574.0,1861075,533.1825069210004,4395033.25,18.67350314257361,29.556836435693402,36.254171058238576
2020-07-13,582.0,585.0,562.99,579.6,1931710,536.1771838938391,4345565.5,12.502183660397126,29.016440856466875,35.86955833313544
2020-07-15,581.2,615.0,581.2,607.0,6295155,540.7463978361722,4362373.25,17.18146718146718,29.47345839895585,35.50257513586663
2020-07-17,608.0,630.0,602.25,629.6,1190485,546.4788882983546,4226496.0,20.733297537777105,29.350091279096873,35.171513025152464
2020-07-19,622.0,663.56,621.99,661.26,3982945,553.884121311364,4064181.5,24.24794723887187,30.224672861588793,34.88782231660697
2020-07-21,656.0,659.72,629.51,638.0,3330275,559.3109521945017,4110612.75,23.890712080315346,30.33382540227946,34.61994188297071
2020-07-23,638.0,661.95,627.91,635.4,3063510,564.2199230206629,4104105.5,20.752565564424152,30.59900469912637,34.381149086545314
2020-07-27,638.07,645.97,618.0,624.2,3583390,568.0896054064266,3720983.0,20.688321732405267,30.41092060227942,34.160909183155944
2020-07-29,627.98,641.93,622.0,635.96,2367500,572.4683405414959,3544317.5,29.705696396157542,29.66118020491492,33.81917124128614
2020-07-31,643.0,653.99,634.89,639.84,1712745,576.8148992162381,3392225.0,30.739681242337568,28.905778043638442,33.46472810125856
2020-08-02,642.09,649.6,628.0,631.8,820455,580.3623250732551,3257877.25,30.43208984495964,28.383273823851724,33.14856633373078
2020-08-04,637.99,684.0,622.43,673.8,6379085,586.3905621653032,3427196.75,38.58209415684581,30.756550297067584,32.943957635004956
2020-08-06,677.4,688.1,655.02,663.81,4997915,591.3853646062514,3565604.5,23.6145251396648,30.922692746545383,32.665765593469715
2020-08-10,664.0,716.88,664.0,679.0,5264035,597.0379217284287,3346504.0,30.27628549501149,32.506251904186406,32.45052197038285
2020-08-12,682.98,683.06,646.7,655.4,6150420,600.8032171007882,3178015.5,29.7847482128359,32.78177952449301,32.259266737752704
2020-08-14,648.03,665.6,648.03,649.4,1672380,603.9384934168663,3125773.5,29.885195407816312,31.694271294499703,32.09155318224506
2020-08-16,658.45,662.75,648.4,658.0,1016180,607.4263325512621,3041351.0,23.220973782771527,30.454386329455385,31.884251011753967
2020-08-18,660.0,670.11,650.0,658.8,3618440,610.7407627092452,3191326.75,20.08749544294566,29.71494313361998,31.67364835642851
