datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,23.05,23.9,22.9,23.7,10811100,,,,,
2020-01-03,23.6,25.3,23.6,25.0,17801417,,,,,
2020-01-05,24.65,24.8,23.65,23.9,7920693,,,,,
2020-01-07,24.15,25.6,24.0,25.05,20130111,,,,,
2020-01-09,25.4,26.1,25.0,25.1,15875768,,,,,
2020-01-13,25.2,26.0,25.1,25.2,8983158,,,,,
2020-01-15,25.25,25.8,24.75,25.5,7926374,,,,,
2020-01-17,25.45,25.75,25.15,25.25,2149432,,,,,
2020-01-19,25.3,25.7,25.0,25.15,2475026,,,,,
2020-01-21,25.0,25.2,24.4,24.9,5095386,,,,,
2020-01-23,24.7,27.0,24.65,26.3,19043253,,,,,
2020-01-27,26.2,27.5,25.9,27.1,19212558,,,,,
2020-01-29,27.5,29.3,27.25,27.5,48469878,,,,,
2020-01-31,28.0,28.2,24.6,24.95,22581216,,,,,
2020-02-02,24.95,25.25,23.85,24.15,8839243,,,,1.609478945145294,
2020-02-04,24.4,25.6,24.25,25.25,8454806,,,,1.592501614874408,
2020-02-06,25.35,25.75,24.9,25.05,5032964,,,,1.5161335108882477,
2020-02-10,25.1,25.3,24.6,24.7,4590463,,,,1.4347495845526823,
2020-02-12,24.95,25.1,22.8,23.25,20048295,,,,1.5186576093998139,
2020-02-14,23.4,23.7,22.9,23.0,5574864,,13050800.25,,1.4507015473118767,
2020-02-16,23.05,23.25,22.25,22.4,3774631,,12698976.8,,1.4090468561763452,
2020-02-18,22.35,23.65,21.9,23.4,16943292,,12656070.55,,1.4399104622036558,
2020-02-20,23.6,24.4,23.4,23.65,9617006,,12740886.2,,1.4008351506005745,
2020-02-24,23.55,23.8,22.45,22.6,8582361,,12163498.7,,1.3963969001278556,
2020-02-26,22.55,22.8,21.9,21.95,7904134,,11764917.0,,1.3537354971523918,
2020-02-28,21.4,21.5,20.7,21.15,5850774,,11608297.8,,1.3449477892389596,
2020-03-01,21.75,21.85,19.7,19.75,6580709,,11541014.55,,1.4122518166603817,
2020-03-03,20.25,20.45,19.35,20.0,10214117,,11944248.8,,1.3864608856601752,
2020-03-05,20.1,20.55,18.7,18.95,9075776,,12274286.3,,1.424324765492187,
2020-03-09,18.8,18.8,17.7,18.0,6142748,23.728333333333335,12326654.4,,1.4102297199484457,
2020-03-11,18.1,18.45,15.6,15.95,9443344,23.226505376344086,11846658.95,-32.70042194092827,1.5255553633486534,
2020-03-13,14.0,17.65,12.75,17.1,7157591,22.831246964967047,11243910.6,-31.599999999999994,1.7935247958177896,
2020-03-15,16.7,16.9,15.65,16.2,2621457,22.403424580130466,8951489.55,-32.21757322175732,1.7664610504925256,
2020-03-17,16.45,16.85,14.2,14.4,7946488,21.887074607218825,8219753.15,-42.51497005988024,1.8355603140799528,
2020-03-19,14.0,14.8,13.5,13.9,11107724,21.371779471269225,8333177.2,-44.62151394422311,1.7939575637195686,
2020-03-23,12.75,13.25,10.0,11.05,12595728,20.705858215058306,8540223.3,-56.15079365079365,1.956540109840816,
