datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,965.0,980.0,961.6,969.75,684637,,,,,
2020-01-03,970.0,982.8,969.0,975.1,451081,,,,,
2020-01-05,966.1,1003.1,958.0,985.1,895672,,,,,
2020-01-07,990.0,1003.0,975.2,986.0,938096,,,,,
2020-01-09,996.8,998.0,979.75,987.4,965368,,,,,
2020-01-13,993.0,997.95,980.0,989.0,701754,,,,,
2020-01-15,988.0,1003.0,981.0,999.4,998227,,,,,
2020-01-17,999.8,1009.8,985.25,993.1,372081,,,,,
2020-01-19,1000.0,1001.0,975.5,980.0,340434,,,,,
2020-01-21,980.0,992.6,970.2,980.0,1654931,,,,,
2020-01-23,985.4,1020.0,977.0,999.5,2538338,,,,,
2020-01-27,999.8,1014.7,975.75,985.0,1316911,,,,,
2020-01-29,992.0,1017.0,988.0,1000.0,1098929,,,,,
2020-01-31,1005.0,1012.9,885.0,920.6,4868000,,,,,
2020-02-02,895.0,921.85,856.65,910.95,4037505,,,,42.847227460898914,
2020-02-04,912.0,922.9,896.0,911.85,3328756,,,,41.14956544500103,
2020-02-06,916.1,955.45,912.05,948.3,2825949,,,,41.40159862197815,
2020-02-10,952.0,960.45,935.8,939.0,1318450,,,,39.731147831677625,
2020-02-12,944.75,948.8,916.0,927.15,1475847,,,,39.05899684036156,
2020-02-14,932.4,932.4,907.0,912.95,402248,,1560660.7,,37.767405928080336,
2020-02-16,915.5,919.45,904.0,914.05,355092,,1544183.45,,35.704788978071996,
2020-02-18,915.0,942.45,907.1,936.8,1687743,,1606016.55,,35.67267293092474,
2020-02-20,939.7,945.0,921.7,928.25,784137,,1600439.8,,34.573662810280965,
2020-02-24,923.6,941.5,891.75,894.0,1253410,,1616205.5,,35.89865909554133,
2020-02-26,893.8,914.8,875.0,909.0,1626572,,1649265.7,,36.23394861170652,
2020-02-28,886.0,895.0,875.0,886.5,1002678,,1664311.9,,36.04470492529072,
2020-03-01,895.15,909.0,878.0,893.9,628904,,1645845.75,,35.622957175161844,
2020-03-03,903.05,914.0,877.0,888.9,1383378,,1696410.6,,35.73669619791462,
2020-03-05,891.35,901.45,848.3,865.35,2450606,,1801919.2,,37.159090171246305,
2020-03-09,836.2,861.9,803.0,815.35,1424399,941.0749999999999,1790392.6,,39.195903588560036,
2020-03-11,819.0,847.9,700.0,771.0,3417219,930.1024193548387,1834336.65,-20.494972931167833,47.90310503075029,
2020-03-13,665.0,795.0,625.1,762.0,2069250,919.2571019771073,1871953.6,-21.85416880319967,57.59105141245423,
2020-03-15,701.0,772.85,661.6,746.0,1588484,908.0792244301972,1896431.35,-24.27164754847224,61.818438013580554,
2020-03-17,732.0,768.5,588.15,599.05,3599270,888.14185511212,1832994.85,-39.24442190669372,71.08848055069198,
