datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,234.94,235.49,228.02,232.2,5226665,,,,,
2020-01-03,231.98,233.4,230.2,232.0,2292700,,,,,
2020-01-05,230.24,230.4,222.44,223.12,5464460,,,,,
2020-01-07,224.31,230.2,219.25,226.39,4625430,,,,,
2020-01-09,227.82,230.89,224.42,226.98,7467025,,,,,
2020-01-13,227.2,242.68,222.32,225.0,15405330,,,,,
2020-01-15,225.48,225.6,216.02,219.76,12760450,,,,,
2020-01-17,219.9,222.39,216.93,217.42,4130405,,,,,
2020-01-19,219.6,222.76,213.47,214.4,6065410,,,,,
2020-01-21,214.2,220.76,212.57,215.4,7882735,,,,,
2020-01-23,216.35,220.6,215.1,216.6,4432220,,,,,
2020-01-27,215.4,219.98,211.36,215.9,8287575,,,,,
2020-01-29,217.4,224.2,206.01,208.7,15358495,,,,,
2020-01-31,204.68,210.99,196.0,197.0,12901340,,,,,
2020-02-02,198.0,201.0,193.11,200.81,6296390,,,,10.196396795117936,
2020-02-04,211.0,228.0,206.2,226.2,53466500,,,,12.005450735365839,
2020-02-06,226.5,246.9,226.08,243.64,38242235,,,,12.912048648888998,
2020-02-10,242.6,252.36,239.71,244.02,16040955,,,,12.88591744896522,
2020-02-12,243.6,256.4,242.61,254.6,20800175,,,,12.973591236578327,
2020-02-14,254.05,259.1,251.81,257.87,8412830,,12777966.25,,12.436152442493986,
2020-02-16,257.8,260.0,254.11,256.46,5169820,,12775124.0,,11.83114462802224,
2020-02-18,255.4,260.81,249.07,259.52,11464545,,13233716.25,,11.822894075294563,
2020-02-20,256.2,271.88,255.4,270.01,16592960,,13790141.25,,12.236564312335151,
2020-02-24,268.0,273.4,262.0,263.38,20782370,,14597988.25,,12.163526622649632,
2020-02-26,262.98,263.6,248.21,249.6,20424735,,15245873.75,,12.440816591433276,
2020-02-28,243.0,252.39,233.38,242.39,66508115,,17801013.0,,12.997309466186106,
2020-03-01,245.0,271.63,245.0,262.0,13066935,,17816337.25,,14.355231939378307,
2020-03-03,257.15,260.95,225.34,232.92,34246965,,19322165.25,,16.197529416394367,
2020-03-05,235.4,239.8,199.73,220.83,35130475,,20775418.5,,18.14753607065098,
2020-03-09,209.4,211.65,195.41,195.41,17720330,231.6843333333333,21267298.25,,18.735551835421834,
2020-03-11,192.02,203.09,166.12,169.8,29396490,227.69179569892475,22515511.75,-26.873385012919893,20.196131690252855,
2020-03-13,152.6,175.69,143.37,165.67,13719225,223.6903895248006,22787094.25,-28.59051724137932,21.158905260459502,
2020-03-15,157.6,170.63,149.77,150.96,15406610,218.9981063296522,22789500.0,-32.34134098243098,21.135356754081087,
2020-03-17,153.0,165.87,135.42,137.8,34204495,213.75951882451335,23854657.75,-39.131587084235164,21.8638305686553,
2020-03-19,132.0,146.24,113.96,117.6,39421750,207.5556789003512,25510925.75,-48.189267776896635,22.672966879115766,
2020-03-23,104.57,110.0,88.0,96.06,28882845,200.36240929387694,24281743.0,-57.30666666666666,23.207720909926575,
2020-03-25,92.0,136.08,90.68,130.2,31693265,195.8358022426591,23954294.5,-40.75354932653804,24.911095716536877,
2020-03-27,136.28,162.85,136.04,148.8,19635515,192.80123435603593,24134022.5,-31.561033943519444,25.50195023988441,
2020-03-29,138.0,139.17,116.04,121.08,18225110,188.1740579459691,24005269.25,-43.526119402985074,26.05337914549627,
2020-03-31,128.6,134.06,121.0,124.78,33061170,184.08411872364854,25237686.25,-42.07056638811514,25.070677306591783,
2020-04-02,126.94,126.94,103.0,104.3,26100290,178.93675622534863,26284209.75,-51.846722068328724,24.985520948464487,
2020-04-06,107.12,112.88,100.02,107.1,33864860,174.30212679145518,27404225.5,-50.39370078740157,24.075828775550583,
2020-04-08,105.0,136.14,102.64,134.9,43098785,171.76005409523225,28729516.75,-35.36176329659798,24.780325545351552,
2020-04-12,131.19,139.37,124.04,129.2,15440620,169.01424415360438,28462429.25,-34.416243654822345,24.07621526747471,18.13425224243395
2020-04-14,130.2,141.4,128.11,134.08,16560935,166.76042195014605,28269239.25,-33.23041681191176,23.275038509616827,18.57020696625058
2020-04-16,130.2,163.5,128.58,163.5,44365670,166.55007214691085,27162117.0,-27.71883289124668,24.13754357345429,18.97461006085353
2020-04-20,162.0,164.6,115.66,117.2,74962410,163.36619652452953,30256890.75,-51.89624035462157,25.969748437303675,19.40986672046735
2020-04-22,119.8,132.0,113.2,127.6,70398710,161.0586999745599,32064478.0,-47.70920416359316,25.44139635967818,19.828382684157784
2020-04-24,122.0,139.8,115.85,133.0,64301705,159.24846126652378,33523039.5,-47.76119402985074,25.331740774111253,20.240321002075543
2020-04-26,134.2,137.18,127.4,129.12,29523470,157.30468957190936,34113196.5,-49.928258424787685,24.190684719487912,20.632138744642013
2020-04-28,131.8,143.28,130.26,137.76,47852835,156.04374185759264,35036013.75,-46.28402089994541,23.45614459411963,21.019638743511923
2020-04-30,143.02,159.91,142.0,158.2,33873955,156.18285528613507,36043750.25,-39.04130702836005,23.360668453753554,21.404231222793893
2020-05-04,148.0,157.51,138.04,147.6,54676455,155.6291226870296,38007242.5,-45.33535794970557,23.127096869869927,21.767248974711716
2020-05-06,146.79,161.4,144.35,150.6,44529490,155.30466315883416,38523492.25,-42.820259700812514,22.684300543587998,22.117941438742996
2020-05-08,154.9,157.8,146.67,148.54,15162375,154.86823327761908,37310523.5,-40.48878205128206,21.843623993120172,22.43136835213256
2020-05-10,151.96,153.58,145.21,147.62,13408080,154.40060532422433,36536785.25,-39.09814761335038,20.864602134534096,22.69361144107749
2020-05-12,141.8,144.59,128.8,135.65,67470650,153.19088885169373,38325654.5,-48.225190839694655,20.716220077,22.90564437899821
2020-05-14,139.01,144.0,125.25,128.2,82440635,151.57857344190705,41465910.5,-44.95964279580972,20.573689464449775,23.05151638060006
2020-05-18,128.6,128.88,114.72,117.41,80884360,149.3741493488808,44598873.0,-46.83240501743423,20.109256137988105,23.1169070495113
2020-05-20,117.4,120.39,114.0,114.8,53803075,147.14355906830784,45635968.25,-41.2517271378128,19.11678298132385,23.1296147543747
2020-05-22,114.6,116.73,105.55,108.6,43635520,144.65687783809443,46512729.75,-36.04240282685514,18.54314703123985,23.074515265740935
2020-05-26,110.02,113.28,106.4,111.22,55747315,142.4996599130561,47606852.5,-32.8665419206857,17.700899219625782,22.959248397713147
2020-05-28,113.0,116.58,109.4,114.58,86333835,140.69839153156863,49768605.0,-24.099099099099107,16.941734826869205,22.819461000139412
2020-06-01,117.0,120.86,112.61,116.86,89143735,139.16043078759645,53453760.75,-15.195936139332378,16.315015805807047,22.634500508044475
2020-06-03,120.2,128.2,119.54,122.8,105497205,138.10491912388056,57900574.25,4.421768707482987,15.956533991654483,22.41061941179576
2020-06-05,124.68,125.24,120.08,123.4,33339815,137.15621466427538,57349281.5,28.461378305225903,15.179062566843387,22.14299746702632
2020-06-07,125.0,131.0,125.0,126.42,41703920,136.463555653677,55686357.0,-2.9032258064516037,14.633602940260015,21.80041437448376
2020-06-09,127.38,130.19,122.42,127.38,61642955,135.87751980505266,55248569.25,-14.395161290322589,14.139901368656796,21.421679412109505
2020-06-11,123.05,138.74,121.2,137.36,138036445,135.97316368859765,58935306.25,13.445655764783627,14.384349091096437,21.032711743629513
2020-06-15,138.0,141.51,127.69,130.5,105008850,135.6200563538494,62709575.25,4.584067959608906,14.34379449391356,20.675148983206903
2020-06-17,129.8,134.16,128.2,133.2,51616595,135.46392368585913,62897763.25,27.70853307766059,13.741588329243315,20.300351229232867
2020-06-19,133.44,138.43,131.11,132.98,34124670,135.30367054483597,62910299.0,24.16433239962652,13.280512004097405,19.940507336851095
2020-06-21,134.68,137.39,133.1,135.0,22253650,135.28407889678203,61289158.75,0.0741289844329085,12.64383766496919,19.53595774083835
2020-06-23,136.6,143.72,134.01,136.1,63163750,135.33671896795738,62220871.75,5.340557275541791,12.433336434882984,19.14786177975196
2020-06-25,135.11,146.8,133.6,141.2,65117845,135.71499516357304,64718645.25,5.31026252983291,12.488326476763017,18.78830471199016
2020-06-29,139.96,141.69,136.84,138.2,33156885,135.87531805624576,65706085.5,-15.474006116207962,11.94061971414215,18.381740583346424
2020-07-01,138.53,142.7,137.01,139.6,31577790,136.11562011713315,63911442.5,19.11262798634812,11.492542461505396,17.899167050819816
2020-07-03,140.94,141.6,137.81,138.87,13818580,136.29332204506005,60480339.75,8.83228840125392,10.940525452409592,17.415804687244197
2020-07-05,141.1,142.59,138.2,139.2,12958495,136.48084965505618,57084046.5,4.6616541353383445,10.471181719399667,16.92045271875381
2020-07-07,140.0,156.87,138.97,151.4,114918675,137.44337548376225,60139826.5,17.25526641883519,11.003337224311373,16.480874468914593
2020-07-09,149.6,153.8,138.72,139.76,56015705,137.59283512997115,60758835.75,1.4518002322880363,11.295304670841047,16.07551313813864
2020-07-13,141.2,142.57,131.5,135.0,42689935,137.42555544416658,60105966.75,-14.66498103666245,11.279171599833207,15.672796576341293
2020-07-15,136.4,137.6,128.9,135.61,38564800,137.30842283486552,57717515.0,-8.123306233062323,11.09452121284537,15.271710721107143
2020-07-17,135.8,139.18,135.29,137.9,15835750,137.34658910358388,54052115.75,-8.432934926958824,10.578813359072914,14.868194481623306
2020-07-19,139.07,141.4,136.25,138.09,15303130,137.39455109690107,49542412.0,-7.035142049279653,10.190271980649232,14.479749414540942
2020-07-21,140.6,140.79,135.36,138.86,34737155,137.4890961874236,49612279.0,-5.934155263514418,9.849626509928978,14.112583560387437
2020-07-23,139.52,142.7,137.0,142.0,35414080,137.78012223984788,49297787.0,4.681164762255796,9.552717929108999,13.740466822124404
2020-07-27,142.4,142.59,134.14,139.17,31689770,137.86979177276092,47800127.75,8.556942277691103,9.473827349019,13.370471418276711
2020-07-29,139.0,147.36,136.0,136.26,53373805,137.7659342390344,43566995.75,16.054850523805463,9.608752503641103,13.020454630465144
2020-07-31,137.0,138.99,134.44,138.5,18288745,137.81329332038703,39230990.5,20.64459930313589,9.24691864601647,12.691459152621565
2020-08-02,138.48,140.9,133.7,134.0,15997080,137.56727439649111,37450014.75,23.38858195211786,9.100524432598638,12.376705066000193
2020-08-04,134.6,135.54,127.22,128.4,45549665,136.97583733865298,38021264.5,15.446862075166345,9.04470692704463,12.088165322914154
2020-08-06,128.8,136.0,128.61,135.41,35731460,136.87481557486893,38695155.0,18.179437947285738,8.94140056007925,11.821487514021156
2020-08-10,135.6,137.32,133.1,134.49,23543495,136.72095650552257,36714142.25,15.086428204689373,8.6038147304232,11.564447478175028
2020-08-12,134.0,141.1,130.0,140.8,47871570,136.98412060194048,35851828.5,14.657980456026065,8.782282022542798,11.325305745871303
2020-08-14,141.6,146.12,135.34,137.18,60653805,136.99675798246045,37226674.5,11.16693679092382,8.925101259318629,11.116840368953811
2020-08-16,139.6,141.78,135.11,136.2,21387385,136.94535424165656,36717154.25,7.736117702895107,8.763891480100726,10.921183320281838
2020-08-18,136.9,141.58,134.62,138.0,42003585,137.0133959034852,38126404.5,8.337258596325947,8.634944702737263,10.737684764751185
2020-08-20,137.28,139.8,135.61,137.4,23716560,137.03833810326034,38664307.75,0.029120559114725886,8.317225837743038,10.535447322972738
2020-08-24,138.0,141.36,136.11,139.3,33150110,137.18425177401775,34575879.5,6.743295019157092,8.097995514475295,10.32725402365813
2020-08-26,140.0,149.6,138.63,144.9,76458215,137.68204198214565,35598005.0,8.783783783783793,8.303262814775433,10.145976506509202
2020-08-28,145.74,156.74,145.0,154.8,67724715,138.78642637039434,36849744.0,16.40848247856823,8.556028826641127,9.988493733927324
2020-08-30,156.04,158.58,139.6,140.18,47107350,138.8763343464979,37276871.5,3.837037037037039,9.300986609346232,9.877065365406558
2020-09-01,141.8,144.0,135.48,138.5,51729430,138.85205471124,39071555.5,1.7634092578986182,9.245174830407576,9.770793311924047
2020-09-03,139.99,142.47,133.81,137.8,37773455,138.78418021374063,40195071.75,-2.407932011331426,9.203357828756358,9.661294356990489
2020-09-07,138.6,138.74,131.6,131.8,31129470,138.3335879418864,40014687.5,-4.630969609261926,9.055913575563027,9.565137485704518
2020-09-09,131.2,131.2,124.13,125.72,57824120,137.51980807466796,41135189.5,-9.94269340974212,8.956881360333119,9.480615448998776
2020-09-11,126.6,129.5,125.39,128.2,18552170,136.91853013436682,40478309.5,-7.683444948513007,8.610550888174151,9.402949630190928
2020-09-13,130.0,130.1,126.29,126.82,18417955,136.26701206118187,38730517.0,-8.893678160919539,8.267539749234432,9.329494897852088
2020-09-15,127.82,133.15,127.05,131.3,35886055,135.9465596701379,39610382.5,-13.276089828269477,8.12910108666432,9.233687026597185
2020-09-17,130.87,132.33,126.8,129.5,27886330,135.53065259464515,40204845.0,-7.341156267887805,7.943397490396246,9.121956787249026
2020-09-21,129.88,130.57,122.61,127.84,36194950,135.03448145950676,39737109.25,-5.303703703703699,7.94458370137969,9.010803857300576
2020-09-23,129.04,130.1,111.11,114.08,61676350,133.68257942986116,41034353.75,-15.876410294226096,8.733738108358471,8.932111087151013
2020-09-25,114.4,118.76,114.22,117.8,21059415,132.65789688599915,40910149.75,-14.575779550398849,8.444118558303694,8.860954593792037
2020-09-27,119.8,125.32,119.4,123.2,18214470,132.04770999012825,39427294.75,-10.782822796726776,8.37809594368532,8.80054872589324
2020-09-29,124.41,126.7,120.84,123.68,35498480,131.50785773270064,38169528.5,-10.931873829756588,8.198196155205212,8.745501047402449
2020-10-01,125.4,132.93,125.03,131.7,30999435,131.52025400801028,38650131.0,-7.253521126760576,8.273338883634345,8.702855079219962
2020-10-05,132.4,135.2,129.21,131.29,26602725,131.5053989107193,37880088.0,-5.662139828986135,8.110215265147025,8.657401343090894
