datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,442.7,444.85,410.0,432.8,6714250,,,,,
2020-01-03,432.95,439.9,426.05,429.5,2062509,,,,,
2020-01-05,431.8,431.8,421.0,424.9,1385900,,,,,
2020-01-07,430.5,434.75,412.9,426.5,3581918,,,,,
2020-01-09,428.8,470.75,427.15,462.0,16429444,,,,,
2020-01-13,461.2,469.9,444.35,462.45,10853422,,,,,
2020-01-15,459.0,484.4,453.75,481.85,7904214,,,,,
2020-01-17,479.3,488.8,476.05,484.0,2822730,,,,,
2020-01-19,486.0,489.4,473.05,476.35,1812574,,,,,
2020-01-21,475.0,490.65,473.45,487.0,3466669,,,,,
2020-01-23,487.5,510.7,486.8,497.5,6208807,,,,,
2020-01-27,497.8,504.6,488.0,492.5,3484264,,,,,
2020-01-29,493.25,498.0,483.05,486.0,2810740,,,,,
2020-01-31,486.55,490.95,431.0,440.0,3434162,,,,,
2020-02-02,441.4,464.2,440.15,461.0,2382424,,,,24.813972083192525,
2020-02-04,468.75,489.0,465.3,483.0,3651887,,,,25.153140668403726,
2020-02-06,484.75,496.15,479.1,483.15,2614601,,,,24.319712865982293,
2020-02-10,485.6,512.75,475.75,503.9,7124511,,,,25.584177001152476,
2020-02-12,510.0,513.0,492.1,497.75,5824068,,,,25.129926956097172,
2020-02-14,499.05,502.5,485.65,497.0,2799470,,4868428.2,,24.346979384190103,
2020-02-16,501.0,504.0,455.0,475.7,7615720,,4913501.7,,26.625458269905682,
2020-02-18,478.7,497.45,464.0,494.0,5723373,,5096544.9,,27.243226344757375,
2020-02-20,493.5,501.6,488.5,488.5,2524005,,5153450.15,,25.9869457513705,
2020-02-24,479.9,481.7,462.7,468.55,3196913,,5134199.9,,25.97062413021682,
2020-02-26,465.0,477.65,446.45,450.45,3796418,,4502548.6,,26.420047789457087,
2020-02-28,444.8,444.8,412.4,415.4,2895578,,4104656.4,,27.405251754145166,
2020-03-01,425.0,431.85,406.65,414.0,1880622,,3803476.8,,27.220888153190874,
2020-03-03,425.0,437.0,412.1,427.25,5549895,,3939835.05,,27.029190737757588,
2020-03-05,427.25,436.95,404.0,414.25,3795268,,4038969.75,,27.512828047918763,
2020-03-09,403.0,409.7,382.55,400.0,2582841,461.90833333333336,3994778.35,,27.851382235543383,
2020-03-11,398.0,422.35,352.0,363.1,6182224,455.5336021505377,3993449.2,-16.104436229205177,31.255522816310176,
2020-03-13,326.0,408.4,325.0,387.5,2521519,451.14433749566433,3945311.95,-9.778812572759021,35.39638967349457,
