datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,55.05,55.6,54.15,55.1,10535040,,,,,
2020-01-03,55.1,55.5,54.35,54.65,5515263,,,,,
2020-01-05,54.15,54.3,52.8,52.95,5187958,,,,,
2020-01-07,53.6,54.3,51.0,52.0,10006843,,,,,
2020-01-09,52.9,53.45,52.25,52.5,9839322,,,,,
2020-01-13,53.3,53.3,51.85,52.75,6947550,,,,,
2020-01-15,52.5,53.15,52.2,52.7,6524321,,,,,
2020-01-17,52.5,53.1,52.2,52.6,3651559,,,,,
2020-01-19,52.75,52.85,51.6,51.8,2385602,,,,,
2020-01-21,51.8,52.3,51.3,51.35,4030945,,,,,
2020-01-23,51.5,53.0,51.35,52.35,6190785,,,,,
2020-01-27,52.0,52.35,51.0,51.35,4000685,,,,,
2020-01-29,51.8,51.95,50.2,50.55,3620940,,,,,
2020-01-31,50.9,51.4,47.95,48.1,4915824,,,,,
2020-02-02,48.25,48.9,47.35,47.6,2916889,,,,1.683473287512482,
2020-02-04,47.9,48.7,47.5,48.45,4185578,,,,1.632005141220365,
2020-02-06,48.5,50.65,48.45,49.1,6359857,,,,1.6904247992654515,
2020-02-10,49.0,52.4,47.65,49.4,11755898,,,,1.9955222366733347,
2020-02-12,49.7,50.1,48.0,48.45,5120845,,,,2.0056540119428727,
2020-02-14,48.45,48.9,47.4,47.65,2625505,,5815860.45,,1.9578395103204633,
2020-02-16,47.75,47.75,46.55,46.65,2160551,,5397136.0,,1.8877985465807559,
2020-02-18,46.5,46.8,40.05,44.2,8271672,,5534956.45,,2.327932543882638,
2020-02-20,43.9,44.8,43.7,44.3,2386176,,5394867.35,,2.218860696535744,
2020-02-24,43.05,43.7,41.5,42.25,4417825,,5115416.45,,2.269598065420152,
2020-02-26,41.9,42.3,40.2,40.45,4364701,,4841685.4,,2.2550224477825624,
2020-02-28,38.55,39.4,36.8,37.0,3497159,,4669165.85,,2.3731946801542154,
2020-03-01,38.0,38.15,36.1,36.3,2655733,,4475736.45,,2.346174937428468,
2020-03-03,36.7,38.75,35.05,36.35,9752212,,4780769.1,,2.4579962525086274,
2020-03-05,36.1,40.0,36.1,36.75,14075321,,5365255.05,,2.575785355786535,
2020-03-09,35.95,35.95,33.55,33.95,3607185,47.32000000000001,5344067.05,,2.626256290391941,
2020-03-11,34.0,34.5,28.8,29.6,7755781,46.1767741935484,5422316.85,-46.27949183303085,2.87246325539833,
2020-03-13,26.3,31.6,24.4,31.0,6178232,45.19762747138399,5531194.2,-43.27538883806038,3.2161190833365914,
2020-03-15,29.7,30.05,28.55,29.9,2656114,44.210683763552765,5482952.9,-43.53163361661946,3.1557622997428854,
2020-03-17,30.0,31.1,28.6,29.8,6188731,43.28096223042033,5546598.25,-42.69230769230769,3.104476850441652,
2020-03-19,28.4,30.4,27.6,29.1,7941871,42.366061441360955,5797847.35,-44.57142857142857,3.0808248469857924,
2020-03-23,27.15,28.0,25.1,27.6,4726490,41.41341231611187,5824892.95,-47.67772511848341,3.1517834535808102,
2020-03-25,26.5,29.25,26.2,28.4,4123175,40.573837327975625,5713058.85,-46.11005692599621,3.1439710351331303,
2020-03-27,30.0,30.8,28.1,28.85,3370429,39.817460726170744,5293785.4,-45.15209125475285,3.1100744672553966,
2020-03-29,28.85,28.85,27.6,28.55,1863607,39.090527776095215,5130923.5,-44.88416988416988,2.968755674778714,
2020-03-31,29.65,29.75,28.4,28.65,3524278,38.41694533892779,5175862.15,-44.2064264849075,2.846327616570816,
2020-04-02,29.0,29.15,28.1,28.7,1377921,37.79004563964213,5136730.65,-45.1766953199618,2.7110381604732567,
2020-04-06,29.75,29.75,28.8,29.0,1883869,37.22294592095554,4817340.5,-43.52482960077897,2.5864222021226033,
2020-04-08,28.8,30.4,28.55,28.85,6564805,36.68275586153905,5026271.95,-42.92779426310583,2.5313715191236423,
2020-04-12,28.9,28.9,28.2,28.45,1775987,36.15161032208492,4894180.05,-40.852390852390855,2.3949225150086297,2.5059283927786287
2020-04-14,28.35,29.6,28.35,29.0,4086037,35.69021610775686,4880246.85,-39.075630252100844,2.3098801451109017,2.5268086213652423
2020-04-16,28.85,30.4,28.4,29.15,7679905,35.26826668144997,5089384.15,-39.834881320949435,2.286928313577447,2.548639393777145
2020-04-20,29.15,30.3,28.0,28.25,15636343,34.81547528264675,5738414.65,-42.4643584521385,2.2878939440388106,2.568555031936257
2020-04-22,28.15,28.8,28.0,28.45,6783455,34.40479945795987,5589976.8,-42.40890688259109,2.178248276064031,2.5746458999159474
2020-04-24,28.0,28.3,27.6,27.7,3188648,33.972231750994716,5045643.15,-42.82765737874098,2.080588226443489,2.5771437070659675
2020-04-26,27.8,27.95,27.35,27.4,5441081,33.548216799317636,5137337.95,-42.497376705141654,1.971955103970167,2.577614226854291
2020-04-28,27.5,27.6,26.6,27.05,10560820,33.128977005813276,5277589.9,-42.0150053590568,1.9007795019162488,2.5780469253654745
2020-04-30,27.4,27.75,27.15,27.3,4749647,32.75291397318016,5206160.65,-38.23529411764706,1.8130053054070663,2.560882684082955
2020-05-04,26.55,26.75,25.45,25.5,7157679,32.28498403942661,5431238.9,-42.43792325056434,1.815705025648702,2.5474441617200534
2020-05-06,25.6,25.65,24.05,24.15,9246743,31.760146359463604,5584139.5,-42.84023668639053,1.7999880813637839,2.5317904955848416
2020-05-08,24.25,24.45,23.6,23.9,2893205,31.25304014272402,5331706.2,-40.91470951792336,1.730868128995083,2.514318684958593
2020-05-10,24.0,24.1,23.6,23.9,2545289,30.778650456096667,5222646.15,-35.40540540540541,1.6414306618415953,2.4899265510148387
2020-05-12,23.55,25.75,23.25,25.25,9399873,30.421963329896883,5486481.05,-30.44077134986225,1.7037392561543265,2.4685120283057005
2020-05-14,25.0,25.3,24.3,24.7,5824097,30.05280440538741,5609164.45,-32.04951856946355,1.6527254411553687,2.441669667927258
2020-05-18,24.7,24.7,22.8,22.85,7899389,29.588107346975317,5910953.55,-37.82312925170067,1.6706312887256494,2.411497865691895
2020-05-20,22.9,23.6,22.65,23.15,5009911,29.17274558265433,5985235.2,-31.811487481590582,1.6184996568996213,2.377905977908818
2020-05-22,23.2,23.6,22.65,22.9,3419356,28.768052319257276,6087306.95,-22.635135135135144,1.5701834264169683,2.334496650276106
2020-05-26,23.05,23.5,22.65,23.3,4745675,28.41527475027294,6230397.25,-24.838709677419356,1.5181757724591043,2.2778985399135228
2020-05-28,23.3,24.0,23.15,23.65,5221122,28.107837669610173,6163213.1,-20.903010033444815,1.4699617135688403,2.221705187041055
2020-06-01,24.05,25.9,24.0,25.7,10571308,27.952493303828874,6602979.15,-13.758389261744973,1.5262065071573294,2.169096175598244
2020-06-03,26.0,30.5,26.0,29.25,28057173,28.03620341325927,7801535.95,0.5154639175257714,1.7621043366888922,2.1251388252550143
2020-06-05,30.0,30.6,29.4,30.4,8499127,28.188706418855446,7842497.05,10.144927536231862,1.7324282067323702,2.0778269836933996
2020-06-07,31.3,31.7,29.3,29.55,9675485,28.276531811187354,7544454.15,4.049295774647899,1.7804728636885419,2.0323770446452465
2020-06-09,29.8,30.3,28.05,29.5,13676877,28.355465242723653,7889125.25,2.253032928942811,1.8142461292933472,1.9891827667131783
2020-06-11,29.5,29.65,27.1,28.65,11004544,28.37446748512858,8279920.05,0.3502626970227629,1.8671426412687477,1.952462332262846
2020-06-15,28.65,30.4,27.85,28.85,14548369,28.405147002217063,8735284.45,0.6980802792321272,1.9162133415739553,1.921458523096284
2020-06-17,28.85,29.65,28.1,29.4,7816143,28.469331066590158,8598050.6,2.4390243902439046,1.889908315605054,1.894087528267344
2020-06-19,29.8,31.7,29.3,30.55,14593754,28.60356777197144,9090255.95,5.344827586206891,1.9265333976361256,1.8720912347844616
2020-06-21,31.0,33.3,31.0,33.2,15634495,28.900111786682963,9514096.75,15.077989601386488,1.9856370947634165,1.8539000873057871
2020-06-23,33.85,36.55,32.3,33.05,48168378,29.167846510122775,11460178.5,16.168717047451665,2.1481038810499324,1.8456727995071638
2020-06-25,32.65,35.4,31.8,33.75,13055061,29.463469315921305,11968271.3,16.37931034482758,2.252243208936652,1.8437515683013557
2020-06-29,33.55,33.55,31.7,31.8,7711606,29.614213231023157,12226587.15,9.090909090909104,2.2377413447435295,1.8421120026735585
2020-07-01,32.0,32.95,31.55,32.45,7792895,29.79716721611844,12146238.25,14.867256637168147,2.177687644896199,1.8384384593688048
2020-07-03,32.7,32.75,32.0,32.1,2753830,29.945737073143057,11992724.9,12.82952548330405,2.0753697586141926,1.8350091754538098
2020-07-05,32.35,32.5,32.1,32.2,2881077,30.091173391004798,11741809.3,16.24548736462095,1.9553298774790577,1.8308338971549956
2020-07-07,32.4,34.0,32.0,32.65,15800713,30.25625897868191,12281349.4,19.160583941605847,1.9585297742468488,1.8303863861642182
2020-07-09,32.8,33.15,31.75,32.05,7195773,30.371984205863722,12470170.25,18.484288354898325,1.9185283022168007,1.8309780128409032
2020-07-13,32.1,32.45,30.25,30.4,6160277,30.37379167645316,12540900.35,11.355311355311336,1.938683245610039,1.835167277514336
2020-07-15,30.7,31.0,29.6,29.9,4973415,30.3432244715207,12528515.0,17.25490196078432,1.9001173472525235,1.8379810215677965
2020-07-17,29.9,31.65,29.75,31.3,4790494,30.404951924970977,12239474.3,29.60662525879918,1.900108947402213,1.8413183837690776
2020-07-19,31.55,31.7,30.85,31.1,4110415,30.449793736263175,11042136.4,30.125523012552314,1.8249524166961406,1.8444545266924461
2020-07-21,31.65,31.85,30.55,30.8,4905495,30.47238768876233,10862454.8,28.870292887029294,1.7873867767877247,1.8493197305239837
2020-07-23,30.75,31.25,30.3,30.55,4835171,30.477394934648633,10620439.1,20.990099009900987,1.7274711870596955,1.850110794887496
2020-07-27,30.4,30.55,28.9,29.15,6007741,30.391756551768076,10236982.3,18.016194331983804,1.7219287480314862,1.8524175717833666
2020-07-29,29.5,30.45,29.15,29.4,6301834,30.32777225810562,10001846.8,28.665207877461697,1.6917465685061654,1.853121414442717
2020-07-31,29.0,29.35,28.8,29.05,2356641,30.245335338227843,9392260.4,25.48596112311017,1.6136579741053299,1.8529600250162408
2020-08-02,29.0,29.4,28.9,29.05,2515036,30.16821692930992,9127205.05,26.85589519650655,1.5340099219206824,1.851754241533031
2020-08-04,29.4,30.1,29.0,29.45,4444225,30.12188035322541,8619728.6,26.394849785407715,1.502972647217253,1.8512474706916362
2020-08-06,29.4,29.7,29.05,29.5,4709313,30.081759040114093,8073469.5,24.735729386892192,1.4419793041001725,1.8503147237093474
2020-08-10,29.5,31.0,29.25,31.0,8569728,30.1410003923648,6093537.0,20.62256809338521,1.464003155043002,1.8482412786388698
2020-08-12,31.8,31.8,30.2,30.25,16063178,30.14803262511546,6243942.85,3.418803418803429,1.4737263871091857,1.838628680319546
2020-08-14,30.4,30.4,29.3,29.55,3337736,30.109449875108012,6025249.35,-2.796052631578938,1.447008242720326,1.8291146815191446
2020-08-16,29.6,29.95,29.1,29.35,3157684,30.060453108972013,5793488.8,-0.6768189509306244,1.4043300850976874,1.8165765888994494
2020-08-18,29.55,30.15,29.25,30.0,8116086,30.056552908393172,6061601.6,1.6949152542372836,1.3682792805353436,1.8017110272741828
2020-08-20,29.85,30.9,29.55,30.5,10265765,30.085162398174262,6430836.0,6.457242582897038,1.3669727013419006,1.785038695943288
2020-08-24,31.8,32.2,30.5,30.6,19209805,30.11837772732431,6601290.6,6.0658578856152445,1.3907758662224892,1.7675241134315725
2020-08-26,30.5,30.95,30.35,30.55,6822098,30.146224325561455,6582606.85,3.911564625850339,1.3342576998964575,1.7490024262412858
2020-08-28,30.75,31.85,30.6,31.5,13548203,30.233564691654266,6952003.15,3.109656301145658,1.3318093465908472,1.7291782912064428
