datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,46.95,48.5,46.4,47.4,224321742,,,,,
2020-01-03,47.35,48.25,46.85,47.1,94753950,,,,,
2020-01-05,46.75,46.75,45.0,45.3,102749941,,,,,
2020-01-07,45.7,47.2,43.95,46.05,250976113,,,,,
2020-01-09,47.0,48.5,43.8,44.95,454860034,,,,,
2020-01-13,43.4,43.9,36.55,38.6,509294510,,,,,
2020-01-15,38.45,41.1,36.65,40.1,526800285,,,,,
2020-01-17,37.6,39.55,37.0,39.35,125538333,,,,,
2020-01-19,39.5,40.2,38.45,38.7,89629582,,,,,
2020-01-21,38.6,39.2,38.0,38.5,129482019,,,,,
2020-01-23,38.55,45.0,38.35,42.5,468239188,,,,,
2020-01-27,42.3,43.45,41.25,41.55,240207239,,,,,
2020-01-29,41.85,42.35,38.55,39.1,291798747,,,,,
2020-01-31,39.3,40.2,37.6,37.85,219077848,,,,,
2020-02-02,37.95,38.4,35.7,36.15,147975665,,,,3.400539600795098,
2020-02-04,36.15,39.7,34.05,37.95,419230476,,,,3.6400058958209915,
2020-02-06,37.9,39.95,37.8,38.7,261998337,,,,3.4867551514286093,
2020-02-10,40.0,40.75,36.7,36.85,238807522,,,,3.5429213015173753,
2020-02-12,36.75,38.0,35.05,37.5,269551235,,,,3.4854225076284493,
2020-02-14,37.5,40.2,37.5,39.2,187861093,,262657692.95,,3.41115317547981,
2020-02-16,39.5,40.1,36.6,37.35,116006710,,257241941.35,,3.4193645673772517,
2020-02-18,37.35,37.5,33.6,35.35,356539581,,270331222.9,,3.46287243027265,
2020-02-20,35.3,36.5,34.65,35.55,119294708,,271158461.25,,3.3196080658080778,
2020-02-24,35.5,36.0,34.15,35.1,193858437,,268302577.45,,3.191301399736933,
2020-02-26,34.9,37.95,34.45,36.5,313433123,,261231231.9,,3.2178316125170534,
2020-02-28,35.15,35.85,34.3,34.35,141648439,,242848928.35,,3.1316084086824225,
2020-03-01,35.2,35.55,29.8,32.3,127600695,,222888948.85,,3.3505113532448187,
2020-03-03,32.45,33.3,28.7,29.3,366942699,,234959167.15,,3.453714837594932,
2020-03-05,29.4,37.85,5.65,16.6,2049128500,,332934113.05,,5.8018357476419995,
2020-03-09,17.0,22.8,16.2,21.35,727242743,37.57166666666665,362822149.25,,5.866371394408014,
2020-03-11,23.35,29.6,17.45,25.0,750714309,36.760591397849446,376945905.3,-47.257383966244724,6.369690237607013,
2020-03-13,22.55,27.7,21.35,25.5,274995167,36.03410163024626,378685301.7,-45.85987261146497,6.368126607924242,
2020-03-15,26.7,40.4,26.05,37.1,166428433,36.102869267004564,372416786.0,-18.101545253863126,7.040289000396811,
2020-03-17,40.8,87.3,40.8,61.8,587041385,37.7607486691333,390814962.85,34.20195439739413,10.415696783360115,
2020-03-19,61.65,67.3,41.25,45.85,265419172,38.28263585176987,396687138.2,2.0022246941045596,11.630181868756717,
2020-03-23,41.3,49.5,34.55,35.15,173378940,38.080530312946,384394561.4,-8.937823834196902,11.886465633574998,
2020-03-25,35.3,35.5,25.2,25.2,214502442,37.24952835727207,382019766.65,-37.15710723192021,11.76469600456049,
2020-03-27,29.05,33.25,26.0,26.6,118550844,36.56246201164162,376006932.75,-32.401524777636595,11.481084157616523,
2020-03-29,27.65,27.7,24.55,24.9,54929959,35.81004510766475,365275868.95,-35.65891472868218,10.848131674314502,
2020-03-31,25.55,25.55,20.25,23.95,165421860,35.04488090717025,364153907.3,-37.7922077922078,10.42852110667222,
2020-04-02,24.5,24.95,22.8,24.2,45303776,34.34521117122379,360618760.6,-43.05882352941177,9.80502870613121,
2020-04-06,25.4,25.4,23.8,24.6,35048838,33.71648786985451,344544223.45,-40.79422382671479,9.189463368837666,
2020-04-08,24.5,25.5,23.3,24.9,63531783,33.14768220083164,341756077.2,-36.31713554987213,8.666971337579392,
2020-04-12,25.0,25.0,23.55,24.15,26102117,32.56718657497154,333368261.2,-36.19550858652577,8.129260369894078,6.440180810239349
2020-04-14,24.1,25.95,23.85,24.7,39608208,32.05962615077983,319677015.45,-31.673582295988933,7.681419940638146,6.58287682156745
2020-04-16,24.3,25.5,24.05,25.1,45266108,31.61061801201984,314857898.9,-33.86034255599473,7.2198785900603255,6.702205911375428
2020-04-20,25.6,30.45,25.1,29.55,191105314,31.477674914470175,318033129.85,-23.64341085271319,7.081747084511159,6.8220389758115125
2020-04-22,29.0,30.3,27.85,28.3,68387510,31.272663629665647,303105370.4,-23.202170963365,6.740425040015884,6.928622433761463
2020-04-24,28.05,28.15,26.3,26.75,34103253,30.98087887936464,202354108.05,-28.666666666666664,6.391883164996659,7.025504455673738
2020-04-26,26.8,27.7,25.9,27.05,32477090,30.727273790373374,167615825.4,-30.994897959183675,6.054969364564446,7.113631661976558
2020-04-28,27.25,29.35,26.6,28.1,61091387,30.557772255510578,133134679.3,-24.76572958500669,5.812948736932812,7.193417800961743
