datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,1452.5,1457.0,1438.2,1439.0,320539,,,,,
2020-01-02,1442.0,1501.7,1442.0,1494.8,1503067,,,,,
2020-01-03,1493.0,1494.0,1467.1,1476.8,568087,,,,,
2020-01-06,1462.1,1469.85,1430.55,1432.5,408682,,,,,
2020-01-07,1450.0,1465.05,1436.0,1453.1,863446,,,,,
2020-01-08,1435.0,1477.0,1435.0,1460.15,981073,,,,,
2020-01-09,1478.0,1491.95,1470.9,1483.9,684825,,,,,
2020-01-10,1495.0,1525.0,1487.25,1510.7,1108504,,,,,
2020-01-13,1518.85,1530.7,1514.45,1524.0,530790,,,,,
2020-01-14,1527.0,1534.0,1510.55,1513.55,850198,,,,,
2020-01-15,1511.9,1533.9,1488.0,1520.5,973049,,,,,
2020-01-16,1525.2,1529.65,1494.0,1504.8,649410,,,,,
2020-01-17,1504.5,1522.6,1494.05,1509.0,408422,,,,,
2020-01-20,1517.8,1517.8,1495.0,1497.55,223675,,,,,
2020-01-21,1494.95,1509.4,1487.0,1500.0,359307,,,,32.60835138672578,
2020-01-22,1507.95,1537.0,1502.1,1525.0,1645727,,,,33.07586431687031,
2020-01-23,1526.25,1554.9,1525.0,1550.0,1100568,,,,32.749218917671136,
2020-01-24,1551.75,1570.75,1542.2,1561.8,780294,,,,32.330477475856405,
2020-01-27,1555.0,1579.6,1544.15,1549.95,535223,,,,32.63299449150175,
2020-01-28,1554.9,1576.55,1534.0,1559.95,696414,,759565.0,,33.5707437524116,
2020-01-29,1564.25,1574.0,1545.2,1546.5,405077,,763791.9,,33.129822573687626,
2020-01-30,1552.75,1556.4,1525.35,1535.1,415384,,709407.75,,32.94155381686925,
2020-01-31,1536.0,1552.0,1500.0,1506.0,514025,,706704.65,,34.634431771046266,
2020-02-01,1506.4,1528.0,1417.55,1427.2,1038593,,738200.2,,41.253640675835214,
2020-02-03,1434.0,1468.5,1431.15,1456.55,772562,,733656.0,,41.257624894530686,
2020-02-04,1463.8,1506.0,1463.0,1488.15,944085,,731806.6,,41.95162262453026,
2020-02-05,1496.5,1496.5,1463.3,1470.0,1003827,,747756.7,,41.219968899181815,
2020-02-06,1477.1,1493.7,1460.2,1490.65,820577,,733360.35,,40.58232589895199,
2020-02-07,1491.0,1513.5,1488.1,1505.0,1060197,,759830.7,,39.34216785052695,
2020-02-10,1498.0,1500.0,1446.0,1449.1,1633189,1498.0433333333335,798980.25,,40.93160374424944,
2020-02-11,1461.0,1471.0,1436.65,1440.0,844388,1494.298602150538,792547.2,0.06949270326614965,40.404417083344335,
2020-02-12,1447.0,1460.8,1432.15,1448.05,610629,1491.3148213666325,790608.15,-3.1275086968156285,39.47098215878884,
2020-02-13,1451.0,1458.05,1437.1,1440.4,509335,1488.0299941816886,795653.8,-2.464788732394352,38.011852714796426,
2020-02-14,1448.55,1458.0,1429.55,1440.0,809387,1484.9312848796444,824939.4,0.5235602094240788,37.26404529612837,
2020-02-17,1445.0,1446.55,1416.1,1422.0,571082,1480.8712019841835,835528.15,-2.140251875301069,36.73472484809223,
2020-02-18,1425.0,1428.95,1402.6,1421.1,1094750,1477.014995404559,807979.3,-2.674382768893624,35.93304346813233,
2020-02-19,1430.05,1443.5,1422.6,1432.8,425559,1474.1624150558778,774228.85,-3.4436282768380733,34.89431079868381,
2020-02-20,1430.0,1451.75,1420.25,1422.0,558578,1470.7970979554987,763143.05,-5.871450321043225,34.63515991432215,
2020-02-24,1419.9,1438.0,1401.0,1409.0,627502,1466.8101884099829,767757.0,-7.545931758530189,34.81482817556201,
2020-02-25,1414.0,1417.35,1394.0,1399.05,676074,1462.4385633512743,766740.0,-7.564996200984442,33.947732125743904,
