datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,661.22,662.91,650.25,655.31,21367,,,,,
2020-01-02,653.12,663.16,648.31,650.81,61702,,,,,
2020-01-03,652.5,658.29,644.06,645.19,67995,,,,,
2020-01-06,646.37,646.88,635.63,645.75,89036,,,,,
2020-01-07,649.69,652.5,641.84,642.94,120326,,,,,
2020-01-08,641.25,649.52,638.44,639.28,50673,,,,,
2020-01-09,643.39,647.49,632.81,633.94,293621,,,,,
2020-01-10,638.49,640.69,627.84,633.38,96282,,,,,
2020-01-13,638.33,638.38,622.74,630.0,128532,,,,,
2020-01-14,634.05,640.07,627.19,637.88,105631,,,,,
2020-01-15,638.44,641.36,632.81,634.5,128576,,,,,
2020-01-16,638.61,640.13,624.94,626.85,218965,,,,,
2020-01-17,630.0,633.57,624.49,625.5,387634,,,,,
2020-01-20,634.44,634.44,618.75,620.44,157034,,,,,
2020-01-21,623.79,623.98,608.96,614.81,205375,,,,13.040705239199061,
2020-01-22,618.75,622.1,605.28,618.53,126384,,,,13.443030043183017,
2020-01-23,619.31,623.53,613.74,617.68,140773,,,,13.067306983981915,
2020-01-24,621.56,626.68,614.08,624.01,254651,,,,13.020707651087111,
2020-01-27,627.13,655.31,622.91,648.06,435544,,,,14.900022719767842,
2020-01-28,649.69,703.13,649.69,688.5,754608,,192235.45,,18.698484510781597,
2020-01-29,687.38,700.31,661.53,672.19,249259,,203630.05,,20.55445622915235,
2020-01-30,672.92,678.38,667.13,673.43,140910,,207590.45,,19.712202457462705,
2020-01-31,676.74,700.31,672.19,673.99,249276,,216654.5,,20.459030135132636,
2020-02-01,683.41,685.69,641.81,644.06,131049,,218755.15,,22.50383829142262,
2020-02-03,644.43,670.98,631.13,654.75,80375,,216757.6,,23.994604238060443,
2020-02-04,663.27,682.68,657.48,667.69,117532,,220100.55,,24.327982005835334,
2020-02-05,673.88,680.23,660.94,675.0,78215,,209330.25,,23.90679630565716,
2020-02-06,680.43,680.43,666.56,673.31,34850,,206258.65,,23.07779129376999,
2020-02-07,675.0,680.74,669.38,673.88,147447,,207204.4,,22.12063141724956,
2020-02-10,677.25,679.05,665.44,674.92,117218,647.2193333333332,207783.75,,21.432503502128377,
2020-02-11,675.56,691.88,675.0,689.06,188875,649.9187311827957,210798.7,5.150234240283225,21.074255835025422,
2020-02-12,699.19,711.56,675.59,683.44,272008,652.0813936871315,213450.85,5.013752093544976,22.257147996520406,
2020-02-13,686.19,686.19,664.31,672.19,115472,653.3787231266714,199842.75,4.184813775786966,22.2274353310825,
2020-02-14,671.2,681.13,666.56,675.0,118307,654.7736442152732,197906.4,4.529616724738683,21.628567400425794,
2020-02-17,675.0,682.96,666.56,667.13,181169,655.5708284594491,196696.1,3.7624039568233236,21.222408133983432,
2020-02-18,671.63,673.2,654.3,662.34,139258,656.0075492040008,197339.8,3.607183080966103,21.043122559746585,
2020-02-19,662.37,674.44,660.18,674.3,119559,657.1877073198718,196279.1,6.366533110388972,20.522482023841004,
2020-02-20,673.96,679.5,666.87,671.71,135790,658.1246294282673,190336.05,6.051659351416228,19.91990205471149,
2020-02-24,672.1,676.1,663.75,675.0,127707,659.2133630135404,174944.2,7.14285714285714,19.34478023224109,
2020-02-25,669.38,673.74,663.78,664.93,123157,659.5821783029894,143371.65,4.240609519031779,18.730295240653234,
2020-02-26,663.75,671.04,658.77,662.04,127660,659.740747444732,137291.7,4.340425531914893,18.24374155118421,
2020-02-27,661.5,664.26,654.24,657.09,126875,659.5697314805558,136589.95,4.82412060301507,17.62677232132803,
2020-02-28,651.83,651.83,632.81,647.44,300152,658.7871681592296,139133.75,3.5075939248601307,18.12412930866871,
2020-03-02,644.06,664.88,638.47,642.97,130315,657.7667056973439,139097.05,3.6312939204435457,18.741480180543654,19.632220439794242
2020-03-03,647.16,658.13,632.03,646.88,61771,657.0643375878379,138166.85,5.216245669393804,19.28805512878917,19.840465436113913
2020-03-04,657.56,657.56,624.94,627.19,50592,655.1369609692679,134819.85,1.400093770714439,20.275509657661367,20.068214756596525
2020-03-05,638.1,638.1,625.5,635.63,78289,653.8784473583474,134823.55,2.9060354876311534,19.70850508821725,20.289588026737704
2020-03-06,596.31,635.06,596.31,635.06,72318,652.6643539803896,136696.95,1.7708049550487992,21.153712569705817,20.56068819069166
2020-03-09,621.56,632.81,613.13,630.76,73760,651.2511698526226,133012.6,-2.669505909946601,21.210789450834532,20.771047081727215
2020-03-11,630.28,649.69,627.19,646.88,233109,650.969158894389,138807.15,-6.0450254175744345,21.305380887521697,20.857943627618553
2020-03-12,624.43,630.0,556.88,575.44,206338,646.0963099334607,139680.3,-14.393251907942695,26.335840476882847,21.05065643587624
2020-03-13,520.37,635.09,479.42,611.72,265901,643.8784834861407,139374.95,-9.163535928010324,35.789867561135836,21.586578605998675
2020-03-16,610.31,615.94,567.62,584.44,193933,640.0437426160672,143298.0,-13.286547278149518,36.70426495102633,22.12808643319513
2020-03-17,579.91,596.22,551.31,568.13,208481,635.4041463182565,147806.7,-11.7892742912151,37.30216052714313,22.621363841052478
2020-03-18,573.16,573.75,523.69,565.31,149055,630.8819433299819,146201.0,-13.660175639557092,38.23040507461731,23.095890535604376
2020-03-19,534.38,568.07,503.41,518.63,407262,623.6398824699831,159601.2,-22.32473153709057,40.15083503160123,23.623318969796575
