datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,402.0,404.93,396.0,396.2,179318,,,,,
2020-01-02,396.75,400.53,396.53,398.0,127154,,,,,
2020-01-03,398.4,401.25,396.0,397.0,181796,,,,,
2020-01-06,396.5,400.08,393.13,396.1,226722,,,,,
2020-01-07,396.0,404.03,394.0,399.88,5693298,,,,,
2020-01-08,397.0,422.98,395.25,418.9,4933400,,,,,
2020-01-09,421.88,425.5,413.18,414.0,2030276,,,,,
2020-01-10,416.95,420.75,410.5,411.08,603280,,,,,
2020-01-13,415.0,421.5,412.6,419.0,465244,,,,,
2020-01-14,420.5,425.0,418.5,424.15,661274,,,,,
2020-01-15,425.03,432.48,422.03,426.5,1044024,,,,,
2020-01-16,429.7,442.35,429.7,439.18,1184150,,,,,
2020-01-17,441.5,444.25,432.78,437.63,706738,,,,,
2020-01-20,442.0,446.0,437.5,444.48,896608,,,,,
2020-01-21,442.0,446.0,437.75,444.98,510922,,,,10.672196285799643,
2020-01-22,446.08,449.7,441.13,442.5,511626,,,,10.44840699119567,
2020-01-23,455.5,504.0,455.5,488.0,9953958,,,,15.699187980022154,
2020-01-24,490.0,548.95,486.0,547.0,8375332,,,,20.410986421608364,
2020-01-27,540.0,552.5,499.5,505.0,5437792,,,,23.571319791301715,
2020-01-28,504.9,524.95,502.5,524.5,1657828,,2269037.0,,23.465288106168977,
2020-01-29,530.0,534.5,516.5,520.5,568062,,2288474.2,,22.960175822026695,
2020-01-30,523.98,538.42,512.0,524.5,1203834,,2342308.2,,23.27336445890273,
2020-01-31,527.5,536.95,520.0,535.5,843590,,2375397.9,,22.711687804581462,
2020-02-01,530.0,540.0,509.0,520.0,450044,,2386564.0,,23.435313191440116,
2020-02-03,519.0,530.0,495.5,520.6,819978,,2142898.0,,24.38623585557378,
2020-02-04,525.9,530.7,522.0,525.0,520726,,1922264.3,,23.176011088474482,
2020-02-05,530.0,571.38,525.42,547.0,2542156,,1947858.3,,25.115912482585724,
2020-02-06,552.5,557.15,540.0,541.23,979306,,1966659.6,,24.45795538440331,
2020-02-07,543.45,573.8,540.28,565.0,1311166,,2008955.7,,25.19818238519473,
2020-02-10,565.0,569.0,550.5,563.0,852616,471.2136666666667,2018522.8,,24.656600209460585,
2020-02-11,566.5,589.0,558.5,575.0,1712428,477.90955913978496,2051943.0,45.12872286723877,25.12465671113005,
2020-02-12,580.0,587.5,566.0,578.65,853932,484.4089424210892,2035432.1,45.3894472361809,24.83681758310665,
2020-02-13,567.53,579.0,550.5,573.83,1095628,490.1780429100512,2054876.6,44.54156171284636,25.125412284909114,
2020-02-14,580.0,582.58,566.67,572.5,511520,495.4891369158544,2035622.2,44.53420853319867,24.40469906349798,
2020-02-17,579.85,588.2,564.5,568.0,959904,500.1672571148315,2058071.3,42.04261278383514,24.34995748080945,
2020-02-18,569.95,579.5,565.0,574.28,1024770,504.94872439774565,2083728.5,37.09238481737884,23.589559143706435,
2020-02-19,578.55,602.0,575.8,579.0,2536066,509.726226049504,1712833.9,39.85507246376812,23.90659232746589,
2020-02-20,582.75,597.1,580.0,584.5,1194766,514.5503404979231,1353805.6,42.18643573027148,23.463267120659875,
2020-02-24,585.48,595.0,573.15,578.25,1234984,518.65999594967,1143665.2,38.0071599045346,23.340699467887145,
2020-02-25,582.48,586.0,576.5,578.0,1687880,522.4883833077558,1145167.8,36.272545090180365,22.293913973019826,
2020-02-26,577.5,600.5,509.55,589.5,1917842,526.8117134169329,1212656.8,38.21805392731537,27.46471046397897,
2020-02-27,590.0,597.05,584.48,592.5,1068994,531.049667390034,1205914.8,34.910515050776446,26.34726556536483,
2020-02-28,582.48,590.0,570.0,575.0,2353902,533.8851727197092,1281430.4,31.389529968238005,26.059666146931686,
2020-03-02,582.28,609.0,570.03,571.1,2066262,536.2861293184377,1362241.3,28.48722102231822,27.02156938647015,23.03225369925594
2020-03-03,580.98,595.0,575.0,594.5,1010472,540.0418629107966,1371766.0,33.60151018023281,26.78970595908038,23.56950402169863
2020-03-04,591.0,594.0,565.0,577.05,2841354,542.4294846584871,1487797.4,30.406779661016948,26.99044877276097,24.12090541441747
2020-03-05,578.5,592.4,571.63,591.5,2214068,545.5953243579396,1471393.0,21.209016393442614,26.53093233209986,24.481963559486733
2020-03-06,568.0,571.7,501.5,565.0,3589096,546.847238915492,1601882.5,3.290676416819016,31.20808579996953,24.84186687209877
2020-03-09,552.0,556.5,521.58,522.08,2147436,545.2493525338473,1643696.0,3.382178217821785,32.10597226308682,25.126355287824943
2020-03-11,531.5,538.55,512.5,515.13,1428200,543.3061684994055,1672475.2,-1.7864632983794149,31.66163590757544,25.399566881205153
2020-03-12,477.78,487.5,460.0,468.63,2033102,538.4883511768633,1688508.9,-9.965417867435155,33.3802080274973,25.746901288054175
2020-03-13,452.5,509.4,420.5,488.0,3158544,535.2310381977109,1803739.5,-6.959008579599624,37.43857604840916,26.219075007704394
2020-03-16,469.5,494.0,440.55,445.0,3099008,529.4096808946327,1903908.5,-16.900093370681603,38.607023735710065,26.748919538742012
2020-03-17,453.0,458.88,400.9,412.5,2730140,521.8671208369145,2014839.5,-20.673076923076927,40.018599509910004,27.301695749357673
2020-03-18,427.5,427.5,337.23,337.5,6204180,509.97246787969425,2277053.3,-35.170956588551675,43.67482896844091,27.94464885311991
2020-03-19,308.0,332.23,277.33,315.0,5093040,497.39359898423015,2480466.8,-40.0,44.87340279009857,28.667895243174048
2020-03-20,324.5,342.0,298.77,315.1,2114244,485.63272163040887,2459375.7,-42.39488117001827,44.75413680517497,29.322502720593693
2020-03-23,291.7,291.7,291.7,291.7,200874,473.1209331381244,2409681.1,-46.10424403673116,43.20618282233969,29.94744363519157
2020-03-24,262.55,272.0,262.55,262.55,1269840,459.53571164534225,2411423.9,-53.53097345132743,42.18833501699812,30.513782056251678
2020-03-25,236.3,261.5,236.3,236.3,3772282,445.1334076682234,2515644.0,-58.02841918294849,41.03533010862761,31.05973971955725
2020-03-26,238.0,248.38,238.0,248.38,608022,432.4396394315638,2450153.0,-56.80347826086957,38.94256552933356,31.52033668016403
2020-03-27,260.77,260.77,260.77,260.77,1203848,421.36417882307586,2456895.7,-54.93476194590858,37.02508646901489,31.926612309694306
2020-03-30,257.5,273.8,247.75,247.75,2390246,410.1632640602968,2458712.9,-56.825192130073376,36.23314894725266,32.296870198439095
2020-03-31,257.5,260.23,235.48,260.23,1489642,400.4901502499551,2429881.9,-54.544978165938865,35.40515453528722,32.66355204749873
2020-04-01,265.0,265.0,240.05,240.05,1821348,390.13917281447414,2470425.7,-57.737676056338024,34.65179355888984,33.00694658343475
2020-04-03,241.0,241.45,229.0,229.68,1444674,379.78696811676616,2400591.7,-60.005572194748204,33.05301564692897,33.322395133542166
2020-04-07,244.35,244.35,221.8,237.38,2402388,370.5994217866522,2410007.7,-59.001727115716754,32.29712124148679,33.60207943067619
2020-04-08,230.6,245.0,228.5,236.28,3581790,361.9336526391263,2409642.4,-59.57570573139434,31.1608282986096,33.85866480327452
2020-04-09,241.0,251.7,237.53,246.0,1480316,354.45406214627945,2376286.4,-57.45784695201037,30.029152413846088,34.08161323480648
2020-04-13,249.5,255.98,238.0,246.38,3104190,347.4815420078098,2460085.9,-57.37370242214532,29.163290254682757,34.310592444195244
2020-04-15,249.0,254.5,245.5,253.63,1295552,341.4266038137576,2423208.4,-56.97540288379983,27.714965429900783,34.31893427639264
2020-04-16,250.0,262.0,247.55,258.73,952936,336.0913390515797,2312928.0,-56.332489451476796,26.762527933128563,34.332776355318096
2020-04-17,262.5,269.9,262.48,269.9,1461748,331.8209300805101,2231065.0,-53.060869565217395,25.643385947572682,34.31890034867279
2020-04-20,279.5,283.38,274.5,283.38,1353604,328.69570878499337,2162238.2,-50.37996848187708,24.770669732033802,34.24387036019159
2020-04-21,277.5,283.0,268.77,275.3,1250742,325.25082434725186,1914566.3,-53.69217830109335,24.041881147945492,34.15227619982043
2020-04-22,277.85,282.5,266.0,266.0,664812,321.42819051839695,1693154.9,-53.90347456892817,23.501090004731214,34.0359642408861
2020-04-23,255.5,266.5,252.7,252.7,874652,316.9941137107585,1631175.3,-57.27810650887575,22.80566491798869,33.91178866041573
2020-04-24,248.4,263.35,243.0,258.9,1010104,313.2461063745805,1671636.8,-54.176991150442475,22.62967513148063,33.62584163813276
2020-04-27,261.8,264.45,248.5,258.0,860764,309.6818414471882,1651183.0,-50.58228623965676,22.15107785187622,33.29401182442574
2020-04-28,260.15,262.5,252.35,258.05,1018362,306.35075490220834,1513487.0,-49.90584900898802,21.291393390294022,32.94833707384969
2020-04-29,258.75,269.13,255.55,269.13,1018506,303.9494158762594,1534011.2,-42.570898149926386,20.739109338059745,32.52696711753511
2020-04-30,276.95,282.55,264.13,271.83,3806186,301.877195497146,1664128.1,-44.297131147540995,20.573048175252087,31.96478285509654
2020-05-04,258.52,258.52,258.52,258.52,218092,299.0799570779753,1555520.4,-41.905617977528095,20.053065458181873,31.346317579178937
2020-05-05,245.6,253.85,245.6,245.6,2073402,295.629637266493,1584708.4,-40.46060606060606,19.54247248890882,30.66378001181223
2020-05-06,235.83,240.33,233.33,233.33,2186986,291.61030582994505,1602990.3,-30.865185185185183,19.021980016890684,29.842018380093887
2020-05-07,221.68,224.85,221.68,221.68,667524,287.09867319575505,1564132.8,-29.62539682539682,18.494440495367055,28.96271963693617
2020-05-08,210.6,216.85,210.6,210.6,3648032,282.16327492506116,1626415.0,-33.16407489685814,17.96393226775038,28.069712819022016
2020-05-11,205.3,209.5,200.08,200.08,2826488,276.86757976860565,1588649.9,-31.40898183064792,17.431378910947707,27.210552688642284
2020-05-12,195.0,196.5,190.08,190.08,2238636,271.2683810738569,1626565.9,-27.602361454960956,16.89978391189311,26.367600985138786
2020-05-13,199.58,199.58,199.58,199.58,976588,266.6433242303823,1520185.8,-15.53956834532374,16.370504735554317,25.54544013936967
