datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,3183.0,3193.75,3142.1,3151.0,319938,,,,,
2020-01-02,3154.95,3172.5,3112.05,3121.75,452196,,,,,
2020-01-03,3125.5,3128.25,3065.0,3067.0,424134,,,,,
2020-01-06,3070.0,3071.6,3028.05,3033.0,355697,,,,,
2020-01-07,3045.5,3072.0,3030.1,3045.0,225438,,,,,
2020-01-08,3000.0,3073.4,3000.0,3057.0,393554,,,,,
2020-01-09,3076.0,3110.0,3066.05,3090.0,332751,,,,,
2020-01-10,3098.0,3117.0,3085.75,3102.0,455026,,,,,
2020-01-13,3106.0,3119.95,3080.2,3085.0,154810,,,,,
2020-01-14,3091.1,3118.0,3074.0,3109.0,278420,,,,,
2020-01-15,3101.0,3138.0,3092.0,3126.5,553443,,,,,
2020-01-16,3129.8,3150.0,3101.5,3104.55,287475,,,,,
2020-01-17,3112.0,3138.0,3098.0,3110.5,272062,,,,,
2020-01-20,3130.0,3144.65,3083.15,3103.55,365552,,,,,
2020-01-21,3096.0,3119.0,3085.5,3093.0,215713,,,,47.33314064625405,
2020-01-22,3105.0,3110.0,3070.1,3074.85,269299,,,,46.541845697654836,
2020-01-23,3072.0,3089.95,3051.1,3068.0,255863,,,,45.750720587195154,
2020-01-24,3068.0,3092.95,3064.0,3082.4,209855,,,,44.07537140913654,
2020-01-27,3069.8,3122.95,3044.05,3079.25,308428,,,,47.45250448983389,
2020-01-28,3089.8,3109.6,3048.0,3052.7,239966,,318481.0,,48.790287699393964,
2020-01-29,3079.0,3099.0,3060.0,3094.75,243932,,314680.7,,48.560130590825004,
2020-01-30,3108.5,3185.0,3041.1,3142.0,2400335,,412087.65,,57.19044305881016,
2020-01-31,3150.0,3239.95,3150.0,3182.0,1140895,,447925.7,,60.810935238746524,
2020-02-01,3173.6,3215.6,3124.8,3145.0,477257,,454003.7,,63.42918224461901,
2020-02-03,3143.0,3315.15,3115.1,3282.8,920960,,488779.8,,75.17066523856704,
2020-02-04,3270.0,3313.0,3151.0,3160.9,1545956,,546399.9,,82.52620748926033,
2020-02-05,3185.0,3220.9,3150.0,3158.0,646533,,562089.0,,81.55423253259931,
2020-02-06,3170.0,3211.0,3141.4,3148.0,514003,,565037.85,,80.56685385308941,
2020-02-07,3164.8,3189.0,3106.6,3135.0,454203,,580007.5,,80.7165931593829,
2020-02-10,3138.0,3150.85,3091.7,3100.0,385639,3110.1499999999996,585368.45,,78.97282421211615,
2020-02-11,3125.0,3150.0,3100.0,3150.0,274129,3112.720967741935,571402.75,-0.03173595683909625,76.65210010794601,
2020-02-12,3164.7,3184.65,3136.85,3158.9,345353,3115.7002601456816,574296.65,1.1900376391447143,74.36091393541443,
2020-02-13,3149.0,3172.2,3120.4,3130.15,267995,3116.6325014266054,574093.3,2.059015324421254,72.58350852978796,
2020-02-14,3145.0,3205.0,3136.8,3152.6,381525,3118.9529852055343,574891.95,3.9432904714803874,72.76076488233035,
2020-02-17,3152.55,3159.45,3070.0,3071.7,269804,3115.9044055148547,577596.5,0.8768472906403924,74.05719791527257,
2020-02-18,3064.7,3090.55,3033.5,3086.0,337027,3113.9750890300256,580982.9,0.9486424599280285,72.74427397232655,
2020-02-19,3092.0,3111.95,3072.4,3091.0,220425,3112.4928252216373,579211.0,0.03236245954691963,70.19643786325956,
2020-02-20,3091.0,3100.05,3057.65,3059.85,256081,3109.0965139170157,581522.3,-1.3588007736943908,68.07421869076634,
2020-02-24,3077.0,3084.65,2970.05,2978.0,499103,3100.6386743094663,591056.05,-3.468395461912477,71.60900579171327,
2020-02-25,2992.0,3007.0,2931.0,2955.0,527383,3091.2426308056297,605426.9,-4.953361209392082,71.94110093299898,
2020-02-26,2937.0,2974.0,2920.0,2935.0,445498,3081.1624610762346,615505.2,-6.12505997121382,70.58987648784435,
2020-02-27,2944.8,2969.95,2913.5,2930.8,416623,3071.4616571358324,516319.6,-5.596624309481246,69.52906144974156,
2020-02-28,2890.0,2915.0,2850.45,2888.0,925531,3059.6254211915857,505551.4,-7.153190805336762,70.33797250126138,
2020-03-02,2920.0,2944.5,2772.0,2797.0,1281437,3042.6818456308383,545760.4,-9.87739846305038,77.94970325332856,66.76093581538254
2020-03-03,2700.0,2730.0,2653.0,2699.9,1459510,3020.566887848204,572687.9,-12.709343679275786,82.85577654139102,67.94502367855377
2020-03-04,2720.0,2764.5,2653.5,2706.0,953651,3000.2722499225133,543072.65,-11.995707107663788,84.94032918425467,69.22497312810711
2020-03-05,2719.95,2749.0,2696.2,2702.95,384409,2981.0901692823513,529966.45,-11.898631029986973,82.56606163412263,70.45215116300467
2020-03-06,2640.0,2758.0,2620.0,2745.0,658722,2965.8585454576837,537202.4,-10.946016091357391,86.65109150130571,71.87134183274365
2020-03-09,2675.0,2690.0,2558.6,2572.0,706722,2940.4483167184785,549828.35,-16.473167167329706,93.98517469126784,73.42243083945813
2020-03-11,2580.0,2630.0,2562.7,2598.6,641872,2918.393586607609,562640.0,-14.875356242015258,92.02724081155445,74.86366260986347
2020-03-12,2519.95,2535.0,2319.05,2352.0,799287,2881.852064890989,588897.9,-24.000323127877856,105.75940316095777,76.77030502886788
2020-03-13,2249.0,2432.45,2040.0,2408.9,880991,2851.3390284464094,615679.8,-23.33227243793762,126.71582084141214,79.08781762162128
2020-03-16,2315.0,2389.0,2290.0,2339.0,963217,2818.2848975788993,650440.9,-26.492771841609052,126.14545446961928,81.26563492931705
