datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,510.8,511.75,501.0,503.4,518654,,,,,
2020-01-02,502.95,502.95,495.25,499.2,1831660,,,,,
2020-01-03,496.0,514.7,496.0,508.0,1462559,,,,,
2020-01-06,505.0,505.5,494.05,498.3,1191084,,,,,
2020-01-07,502.9,504.0,490.3,491.8,1187630,,,,,
2020-01-08,485.55,493.7,483.1,484.6,1145329,,,,,
2020-01-09,491.8,493.75,484.25,487.25,1261174,,,,,
2020-01-10,489.0,496.85,484.0,490.95,2057329,,,,,
2020-01-13,495.8,517.9,492.2,517.2,2760455,,,,,
2020-01-14,521.1,525.0,498.2,518.45,8841538,,,,,
2020-01-15,519.5,526.0,491.0,491.3,3781633,,,,,
2020-01-16,495.5,498.0,473.8,475.0,3381094,,,,,
2020-01-17,477.0,484.9,475.15,480.5,2607253,,,,,
2020-01-20,482.0,486.55,478.35,484.5,1032779,,,,,
2020-01-21,481.0,483.9,476.0,477.0,1252419,,,,16.335780753247278,
2020-01-22,479.8,487.5,473.5,474.7,2610877,,,,16.087125225383517,
2020-01-23,476.8,480.3,474.0,474.4,1258248,,,,15.080495499650077,
2020-01-24,476.5,484.9,470.3,482.9,1320336,,,,15.032581022635728,
2020-01-27,478.4,484.4,473.9,474.5,943128,,,,14.593032061688582,
2020-01-28,475.0,477.0,460.0,460.6,1201767,,2082347.3,,14.820634275204652,
2020-01-29,465.0,466.0,445.25,451.15,2269900,,2169909.6,,15.368637492342593,
2020-01-30,451.0,451.1,435.0,436.8,1798710,,2168262.1,,15.439367635289514,
2020-01-31,446.0,459.75,446.0,450.4,2760829,,2233175.6,,16.10650407600318,
2020-02-01,448.75,452.75,436.5,440.0,978266,,2222534.7,,16.11903223506218,
2020-02-03,439.7,442.0,432.85,438.0,1266099,,2226458.15,,15.520098816154023,
2020-02-04,440.0,442.35,433.0,438.5,2465850,,2292484.2,,14.997413451146116,
2020-02-05,439.5,439.9,427.5,427.85,2484780,,2353664.5,,14.780264322426314,
2020-02-06,431.75,436.25,421.0,425.25,3500730,,2425834.55,,14.81906288116077,
2020-02-07,428.1,447.85,425.45,442.75,5354726,,2555548.1,,15.454643480368157,
2020-02-10,444.7,461.2,437.15,458.8,4550786,472.8016666666666,2341010.5,,16.149621851724877,
2020-02-11,463.0,468.45,453.0,459.95,2657245,471.9725268817204,2284791.1,-8.63130711164084,16.09358212003648,
2020-02-12,465.0,481.2,461.0,467.35,4140488,471.67429934096424,2322760.8,-6.380208333333326,16.50306057401957,
2020-02-13,455.0,456.7,445.1,452.0,2415471,470.40498970606336,2313171.7,-11.023622047244096,16.955818881186868,
2020-02-14,454.3,463.5,448.6,452.5,1574122,469.2498290798657,2340238.85,-9.1912502508529,16.795038679206716,
2020-02-17,452.9,456.55,432.6,435.5,1055788,467.0724207521325,2330407.3,-11.447742984953235,17.35084175468017,
2020-02-18,434.65,437.65,420.2,422.35,2732391,464.187103284253,2336483.0,-12.84564589352043,17.358496586185602,
2020-02-19,426.0,427.35,409.0,414.9,3245071,461.00729016913994,2435824.15,-14.84864032837353,17.434599717770453,
2020-02-20,417.95,434.0,410.1,415.8,5022974,458.090690803389,2620956.05,-15.307057745187901,17.92822399093412,
2020-02-24,414.7,424.5,406.25,408.2,2218999,454.87193655800905,2684749.6,-21.07501933488013,17.952670860051278,
2020-02-25,419.0,425.95,402.0,403.1,3497778,451.5318116187827,2799550.15,-22.249011476516543,18.40625466672299,
2020-02-26,415.0,423.0,391.3,392.5,7220056,447.7233076433774,3047057.95,-20.109912477101567,19.40746600425832,
2020-02-27,395.0,406.0,387.3,398.7,12869533,444.5605136018692,3600599.1,-16.063157894736847,19.354389828033664,
2020-02-28,385.2,388.75,370.0,382.85,12483023,440.5791901436841,4086708.8,-20.32258064516128,20.053013825960228,
2020-03-02,395.8,406.85,385.0,392.2,6528960,437.45795206989806,4364243.5,-19.050567595459235,20.347089783284915,16.621494745060634
2020-03-03,398.0,410.7,395.2,401.5,4541790,435.13808419442074,4528028.05,-15.828092243186587,20.20989194629134,16.750631784828766
2020-03-04,401.5,409.9,396.6,400.05,4444446,432.8743368270388,4626957.85,-15.725721508321044,19.698098343610223,16.870997555436322
2020-03-05,405.6,424.9,403.1,424.3,4730987,432.32115380593956,4739268.2,-10.56070826306913,20.078679166355194,17.037603677659828
2020-03-06,395.0,408.9,388.15,405.0,6058788,430.5584987216854,4867171.1,-16.131704286601778,21.263004645400237,17.245284465085312
2020-03-09,394.4,402.0,368.1,375.5,5343398,427.00633751383475,4866604.7,-20.864067439409904,22.41272173501818,17.50594078752963
2020-03-11,376.45,389.0,372.0,377.3,3533678,423.7994770290712,4815749.3,-18.085106382978722,22.015581697935303,17.74577236828732
2020-03-12,362.55,362.7,327.25,335.6,6087138,418.109188188486,4987243.95,-25.61232406073367,24.068522819114996,18.0357685458464
2020-03-13,301.5,362.8,271.0,335.0,9536910,412.74730507955144,5257065.05,-23.30586080586081,29.01953670504895,18.488440848171713
2020-03-16,322.45,322.9,268.4,282.0,8154511,404.3119950744191,5544017.05,-37.388987566607454,31.76200393078993,19.010290843331276
2020-03-17,283.2,292.55,252.2,256.5,6691016,394.7757373276824,5799861.75,-41.70454545454545,32.38775224301838,19.552581510263146
2020-03-18,260.0,265.0,185.7,217.0,26926149,383.30633491944485,7093379.8,-50.4566210045662,35.80102909783564,20.228612519652533
2020-03-19,202.0,212.95,195.05,199.0,14031163,371.4156036343194,7658318.4,-54.618015963511965,34.79458419053994,20.888518210965664
2020-03-20,203.75,239.85,203.75,235.0,19125334,362.6145969482343,8452331.55,-45.0742082505551,35.234041355264516,21.570310778726935
2020-03-23,208.45,220.0,170.0,177.0,11402899,350.63946166125146,8771327.8,-58.377425044091716,37.39176539053729,22.322734195706154
2020-03-24,191.0,191.0,157.05,163.0,11491326,338.53368994117073,9234944.15,-63.18464144551101,37.142537460484235,23.045663995043352
2020-03-25,163.0,165.0,152.2,155.5,16351989,326.72506478367586,9877654.7,-66.10723626852659,35.3815589677999,23.686728565579187
2020-03-26,160.8,224.35,158.0,220.0,20245657,319.83957673311613,10528934.75,-52.16871399065115,37.80051145957309,24.410292876897074
2020-03-27,237.15,269.5,230.05,251.95,24786806,315.45960404065704,11124798.4,-46.089654434577945,38.64538365348308,25.14837031287919
2020-03-30,225.05,248.9,212.15,213.0,18915089,308.849307005776,11446401.7,-52.876106194690266,38.72869816864688,25.87413295579453
2020-03-31,225.0,229.0,198.5,203.3,12601592,302.03967429572594,11750033.3,-55.07182320441989,38.13536648474322,26.585477215979076
2020-04-01,205.9,207.7,191.0,195.0,9312330,295.133888857292,11988560.3,-55.223880597014926,36.59081077589371,27.226809516686195
2020-04-03,196.2,197.05,180.0,182.8,9143208,287.88654118907965,12223498.4,-56.718361548478754,35.18365344117485,27.820981411852504
2020-04-07,198.0,199.25,164.3,170.05,45519748,280.28418369301005,14262936.45,-59.01422029404675,35.166837572767754,28.41205600701908
2020-04-08,167.95,209.05,167.5,195.05,30685799,274.7852040999126,15494287.0,-53.09042809042809,35.62598087542561,29.001981236502125
2020-04-09,205.0,205.0,182.25,192.6,19522391,269.4829328676602,16203236.65,-52.8172464478197,34.70027120037106,29.56023458117945
2020-04-13,184.0,195.8,173.5,194.4,22141397,264.6388726826499,17133622.6,-51.77375341106425,33.809177351858864,30.07366533735065
2020-04-15,212.3,212.3,185.0,187.5,24167959,259.66217121925314,18037663.65,-52.22929936305732,33.34162453540242,30.538137288388786
2020-04-16,184.6,204.75,180.0,199.8,21998963,255.8000956567207,18660766.3,-49.88713318284424,32.72473748741509,30.9838155437015
2020-04-17,211.0,226.65,200.9,221.35,23286610,253.5775088401581,19417371.25,-42.18362282878413,32.303082614999155,31.392151170002798
2020-04-20,223.0,229.7,213.0,215.5,21743084,251.1208953665995,20169974.65,-45.05354411014788,31.183570065681423,31.753367179416013
2020-04-21,205.5,207.4,183.6,195.15,15118892,247.50986985907699,19579611.8,-51.39476961394769,31.234957028470344,32.12086934882198
2020-04-22,194.0,200.7,190.0,199.7,13938293,244.42536212623332,19574968.3,-50.081239845019375,29.762496422231838,32.45634928477603
2020-04-23,199.5,208.0,197.8,200.25,11785345,241.57533876325053,19207968.85,-52.80461937308508,28.360153926213748,32.73239844343799
2020-04-24,195.0,202.9,193.0,198.7,9298203,238.80918787529887,19102734.05,-50.938271604938265,27.03717271465609,32.92487071241318
2020-04-27,203.0,210.5,200.45,209.2,10389763,236.89891768979575,19047655.9,-44.28761651131825,25.945432582605612,33.0426277406661
2020-04-28,214.0,224.5,213.1,223.5,12891423,236.03447138722828,18874627.6,-40.763318314338726,25.182858329605818,33.14820362838845
2020-04-29,221.1,237.9,219.65,234.3,20046670,235.92257000740713,18864678.25,-30.18474374255066,24.686332358481053,33.16879727970065
2020-04-30,245.05,266.45,245.05,263.8,28021852,237.721113877897,19026430.55,-21.253731343283576,25.220772588193324,33.0421718091388
2020-05-04,245.0,245.0,236.15,240.65,15027918,237.9100742728714,18832072.0,-14.663120567375888,25.39468803519211,32.8299279459522
2020-05-05,247.95,253.0,235.5,236.8,12056682,237.83845657784747,18804826.5,-7.680311890838198,24.829577252316916,32.577988779595486
2020-05-06,237.8,253.5,222.15,251.5,15815166,238.71984647605086,19129968.3,15.89861751152073,25.296245357245567,32.22782932157581
2020-05-07,247.4,263.9,244.45,253.4,13820802,239.66695315501534,19363848.0,27.33668341708544,24.877887538667018,31.897272766513385
2020-05-08,261.8,262.85,234.55,242.0,12438528,239.8174723063047,17709787.0,2.9787234042553123,25.12274199770558,31.560229454594758
2020-05-11,246.95,250.85,237.5,238.8,9655898,239.7518289317044,16658291.95,34.91525423728814,24.280497194268566,31.123187181385795
2020-05-12,238.0,238.65,229.0,235.05,13230487,239.44848512965896,16343696.75,44.20245398773006,23.244651763085237,30.659924324805832
2020-05-13,251.0,257.25,243.35,253.25,20767927,240.33890544387452,16275023.25,62.86173633440515,23.169931685943798,30.252870082077298
2020-05-14,246.9,255.25,243.0,255.15,9421005,241.2944599313665,15537675.55,15.97727272727274,22.388945683959157,29.739151222890165
2020-05-15,254.0,255.3,242.15,243.2,10297884,241.4173980003106,14952621.6,-3.4729112919229976,21.72824259704791,29.17524652100899
2020-05-18,243.7,244.6,224.35,230.3,13559963,240.70014651641964,14466289.25,8.122065727699535,21.62253820168872,28.605041188777047
2020-05-19,231.1,235.5,216.3,220.2,16404103,239.37755641858612,14199340.2,8.312838170191817,21.449323800943862,28.048839765983743
2020-05-20,214.9,223.85,212.25,223.5,10838477,238.35319793996766,13985319.45,14.615384615384608,20.745136427759995,27.52065062104595
2020-05-21,222.0,222.0,209.95,210.35,10216589,236.54654000835686,13799234.25,15.071115973741778,20.230747557706053,27.02222042493032
2020-05-22,204.0,209.75,195.4,204.2,26936051,234.45966645943062,14556769.55,20.082328726845034,19.85324426628379,26.51176731471419
2020-05-26,204.25,208.5,201.0,202.4,7909046,232.39130088140286,14487311.7,3.7682645475519028,18.970202766452527,25.956574711081757
2020-05-27,204.0,220.85,202.0,218.55,15428903,231.49831372776396,14739268.7,13.473520249221194,18.961610829076353,25.431952698705267
2020-05-28,221.0,230.9,219.3,220.55,13472269,230.7919709066179,14768311.0,13.451646090534975,18.489045176576017,24.921281626195835
