datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,43.5,44.1,43.25,43.5,12274913,,,,,
2020-01-02,43.75,45.85,43.5,45.35,24651165,,,,,
2020-01-03,45.4,45.65,44.3,44.6,10836248,,,,,
2020-01-06,44.25,44.4,42.4,42.6,12607067,,,,,
2020-01-07,43.1,44.0,42.7,43.4,13307464,,,,,
2020-01-08,42.5,43.35,42.5,43.15,11194570,,,,,
2020-01-09,44.0,45.1,43.6,44.85,16102814,,,,,
2020-01-10,45.1,45.5,44.4,44.6,10519040,,,,,
2020-01-13,45.0,46.55,44.75,46.05,17301076,,,,,
2020-01-14,46.4,46.65,45.4,46.1,11877018,,,,,
2020-01-15,45.85,47.0,45.45,46.85,10675694,,,,,
2020-01-16,47.45,47.75,46.4,46.65,14189332,,,,,
2020-01-17,46.6,47.1,46.05,46.05,8408127,,,,,
2020-01-20,46.3,46.55,44.7,45.0,12204947,,,,,
2020-01-21,45.0,45.45,43.2,43.55,24286682,,,,1.604815681064091,
2020-01-22,43.65,43.8,43.05,43.4,16572785,,,,1.5138162822096783,
2020-01-23,43.45,44.0,43.3,43.4,14865411,,,,1.430113290565773,
2020-01-24,43.5,45.2,43.4,45.0,27338007,,,,1.4669979819936956,
2020-01-27,44.7,44.95,43.8,43.95,13147148,,,,1.4411057398088956,
2020-01-28,43.95,44.45,43.05,43.45,11294342,,14682692.5,,1.4372187925754887,
2020-01-29,43.7,45.1,43.6,44.6,15564474,,14847170.55,,1.4568844350113248,
2020-01-30,44.65,44.65,43.2,44.15,14975143,,14363369.45,,1.4562612453040018,
2020-01-31,44.45,44.6,42.05,42.75,14067463,,14524930.2,,1.553413248550351,
2020-02-01,42.7,43.55,39.2,39.5,17217461,,14755449.9,,1.7975740767368353,
2020-02-03,39.9,40.55,38.8,39.45,20405520,,15110352.7,,1.7934854596275562,
2020-02-04,39.8,40.2,39.35,40.0,13214594,,15211353.9,,1.713560314741064,
2020-02-05,40.0,40.5,39.25,39.75,23948880,,15603657.2,,1.674805715079358,
2020-02-06,39.95,40.2,39.45,39.55,16142765,,15884843.45,,1.5984199292693422,
2020-02-07,39.75,40.3,39.2,39.7,16653889,,15852484.1,,1.5577068336018665,
2020-02-10,39.75,39.8,37.9,38.15,21388861,43.303333333333335,16328076.25,,1.5853829802243564,
2020-02-11,38.6,39.1,38.25,38.6,20314804,42.99989247311829,16810031.75,-11.264367816091948,1.5344887841048953,
2020-02-12,37.8,38.2,35.8,36.5,51204866,42.58054457162678,18660808.45,-19.514884233737597,1.6349848238453089,
2020-02-13,36.85,37.35,36.25,37.15,20148308,42.230186857328285,19247817.5,-16.70403587443947,1.5928373771349107,
2020-02-14,37.2,37.4,36.0,36.2,20450582,41.841142543952266,19660099.25,-15.02347417840375,1.5777560717101966,
2020-02-17,36.2,36.4,34.75,34.8,21566907,41.38687528305212,19524110.5,-19.81566820276498,1.5833680374116834,
2020-02-18,34.3,34.9,33.4,34.8,34511669,40.96191558737134,20421054.7,-19.351100811123988,1.5769321804916008,
2020-02-19,34.7,35.6,34.2,35.4,18787294,40.60308232366996,20617148.85,-21.07023411371238,1.5633516997530168,
2020-02-20,35.4,35.9,34.9,35.1,15545700,40.24804475440093,20027533.5,-21.30044843049327,1.5203405850211993,
2020-02-24,34.3,34.75,33.7,33.75,13331098,39.82881606056861,20036731.0,-26.710097719869708,1.511197732699686,
2020-02-25,33.75,34.5,33.65,33.85,13570299,39.44308599214484,20150528.85,-26.572668112798258,1.4611907083122946,
2020-02-26,33.6,33.95,33.1,33.25,13446785,39.04353205716776,20044644.4,-29.02881536819637,1.415159206187252,
2020-02-27,33.25,33.35,32.05,32.6,18647934,38.627820311544035,20228283.95,-30.117899249732037,1.4065196245187397,
2020-02-28,31.7,31.7,30.3,30.4,21830650,38.096993194670226,20616443.3,-33.98479913137894,1.47331107210769,
2020-03-02,31.1,31.7,29.05,29.65,23004393,37.55202589178828,20905789.9,-34.111111111111114,1.5609819956136415,1.5497993968425265
2020-03-03,30.0,31.35,29.85,31.1,20564937,37.1357661568342,20913760.75,-28.587830080367382,1.5713079525203235,1.5486824725577342
2020-03-04,31.1,31.2,29.85,30.6,18103558,36.71410382413522,21158208.95,-29.49308755760368,1.5549163800901427,1.5500524758204162
2020-03-05,30.9,31.4,29.95,30.6,20598624,36.3196455129007,20990696.15,-29.49308755760368,1.5471660065548467,1.553954233020052
2020-03-06,29.7,29.7,28.95,29.4,16035292,35.87321677013291,20985322.5,-34.66666666666667,1.5547440345097168,1.556879101437253
2020-03-09,28.8,28.85,27.05,27.1,21876410,35.30720278496305,21246448.55,-38.33902161547213,1.6132155856875996,1.5626160962998763
2020-03-11,27.45,28.7,27.2,27.25,30445621,34.78738325044931,21699286.55,-37.284234752589185,1.612245937062197,1.5684503344494332
2020-03-12,26.0,26.6,24.0,24.2,35565738,34.10432626654936,22461833.25,-45.73991031390135,1.7321775377808932,1.5776267712084189
2020-03-13,22.2,26.4,18.4,26.2,39021123,33.594369733223594,21852646.1,-40.65685164212911,2.1903408222186544,1.6020960904389072
2020-03-16,24.35,25.75,23.3,23.8,26299419,32.9624749117253,22160201.65,-44.32748538011696,2.242128822308933,1.6250532762308603
2020-03-17,24.05,25.35,23.0,23.4,23761770,32.3455410464527,22325761.05,-40.75949367088608,2.249988654432085,1.640133762154035
2020-03-18,23.55,24.4,22.4,23.4,26954336,31.768409366036398,22595132.5,-40.68441064638784,2.2317997905652294,1.6547442398519576
2020-03-19,22.45,23.6,21.8,22.3,27920679,31.157544245646953,22265583.0,-44.25,2.2004243095727283,1.6709730396796796
2020-03-20,22.95,23.95,22.05,23.2,41560197,30.644154294314895,23404228.15,-41.63522012578616,2.178621741515731,1.6877669072275587
2020-03-23,21.5,21.75,20.05,20.25,15455945,29.973563694681676,23399740.4,-48.79898862199747,2.249036615119797,1.7094541300892407
2020-03-24,21.0,21.25,19.5,20.1,20646297,29.336559585347377,23765500.35,-49.37027707808564,2.2128999676455274,1.7312939012240292
2020-03-25,20.0,20.2,19.15,19.9,14146705,28.727749289518517,23794320.65,-47.83748361730014,2.1287739049665078,1.7494069320487677
2020-03-26,20.05,21.1,19.45,20.65,18624629,28.20660417406571,24053212.85,-46.50259067357514,2.094170221774319,1.7680629799710819
2020-03-27,21.4,21.9,20.15,20.25,22348169,27.693274872513083,24238224.6,-44.52054794520548,2.0693161566291476,1.7825406910638761
2020-03-30,20.25,20.6,19.65,20.1,13032851,27.20338617106063,23798334.65,-45.89502018842529,1.9885488236653581,1.7957310726148914
2020-03-31,20.7,21.15,20.2,20.7,20134046,26.78381286970188,23654817.3,-42.81767955801106,1.920874600773946,1.8071683569170165
2020-04-01,20.65,21.2,20.4,20.8,15995668,26.39776042649531,23426353.85,-40.22988505747126,1.8401083929854274,1.8157263687694742
2020-04-03,21.15,21.2,20.4,20.75,14718884,26.03338878607626,23257120.15,-40.37356321839079,1.7652089340593096,1.8220022605550648
2020-04-07,21.05,21.45,20.85,21.2,18370596,25.721557251490694,23145718.75,-40.112994350282484,1.688546620972316,1.8261754245957078
2020-04-08,21.2,22.65,20.95,21.3,28410678,25.436295493330007,23764488.05,-39.31623931623932,1.6893704668846379,1.831809753991156
2020-04-09,21.65,22.65,21.4,22.45,28473618,25.24363126795388,24094348.45,-33.48148148148148,1.664971663588613,1.8369355516874535
2020-04-13,23.15,23.35,21.85,22.0,36281196,25.0343647345375,24386127.2,-35.00738552437224,1.6531166620142732,1.8433330834775197
2020-04-15,22.35,23.15,21.3,21.55,40166028,24.80956700972863,24616141.7,-35.18796992481202,1.6672587500559033,1.8517364016064743
2020-04-16,21.45,21.9,21.15,21.7,27307471,24.608949783294527,24030459.1,-33.4355828220859,1.601398674323901,1.8582323699333132
2020-04-17,22.6,22.6,21.5,21.8,29651789,24.427727216630366,24198077.6,-28.28947368421052,1.5654111609236063,1.8613023728938438
2020-04-20,22.0,23.15,21.6,22.8,53186922,24.322712557492927,25669335.2,-23.10286677908937,1.5643054186495156,1.861413153661706
2020-04-21,22.25,22.25,21.55,21.65,23570038,24.15027948926758,25500120.3,-30.385852090032163,1.541761412489499,1.8604282689940121
2020-04-22,21.6,21.85,20.9,21.4,24319815,23.97284210286322,25320077.1,-30.065359477124186,1.4993291168204712,1.8585753602183563
2020-04-23,21.6,21.85,21.2,21.4,19286696,23.806852289775268,24206402.05,-30.065359477124186,1.43844474460562,1.8549513181533823
2020-04-24,21.1,21.4,20.6,20.7,19966729,23.60641020656396,24431941.25,-29.591836734693878,1.3926894163939987,1.849549497549525
2020-04-27,20.95,20.95,20.4,20.6,16340347,23.412448257753383,24216643.75,-23.98523985239852,1.3323109018257016,1.8401860080874615
2020-04-28,20.75,21.15,20.65,20.95,15573220,23.253580628220906,24287969.5,-23.119266055045873,1.2762708915260625,1.8289868399029239
2020-04-29,21.0,21.35,20.85,20.95,19712894,23.104962523174397,24342382.75,-13.429752066115707,1.2206749684671847,1.8119367542591334
2020-04-30,21.3,22.9,21.15,22.55,56125155,23.06915848942121,26031232.05,-13.931297709923662,1.2728987083372498,1.7813553504630868
2020-05-04,21.7,24.85,20.9,23.6,145510067,23.103406328813392,32655092.85,-0.8403361344537785,1.464560166436095,1.7554363952673253
2020-05-05,24.65,24.65,22.6,22.9,93082799,23.09028333985769,36302530.5,-2.1367521367521403,1.50646661811561,1.7306523273901098
2020-05-06,23.05,23.4,22.75,23.05,48648559,23.087684414705585,37935175.05,-1.4957264957264904,1.4451691119450647,1.7044313047694373
2020-05-07,22.9,23.3,22.75,23.0,51892753,23.082027355692322,39793868.5,3.139013452914785,1.381110733610311,1.677120852237357
2020-05-08,23.35,23.5,21.8,22.25,43580452,23.028348171454113,41054361.3,-4.094827586206895,1.4039274761041087,1.6512977100569695
2020-05-11,22.55,23.0,22.1,22.45,28628260,22.99103538619901,41065240.4,10.864197530864184,1.3678755267671965,1.6219256737785492
2020-05-12,22.4,22.4,21.4,21.6,42010287,22.90129116773456,41742073.85,7.462686567164178,1.34513667272998,1.593000230614698
2020-05-13,23.1,27.15,22.15,27.0,309648452,23.165723995622653,55410436.65,35.67839195979901,1.6458949955369109,1.5769042669670446
2020-05-14,26.9,29.25,25.0,27.35,247634968,23.435677286227644,65783883.65,32.445520581113804,1.8321387940033154,1.5681698860413442
2020-05-15,27.5,28.25,27.0,27.2,88354812,23.67853681614844,68836250.7,34.32098765432099,1.7905084054973446,1.5588762943369512
2020-05-18,27.7,28.45,25.85,26.0,90691092,23.828308634461443,71888215.85,29.35323383084576,1.8483925577441602,1.5542044188062445
2020-05-19,26.4,26.55,25.3,25.35,50168952,23.926482270947805,71737317.35,22.463768115942038,1.8056067687615205,1.5503621577391633
2020-05-20,25.1,26.6,25.0,25.85,59447552,24.050580188951173,73531193.05,24.278846153846168,1.790906704744017,1.5487221014644499
2020-05-21,26.0,26.25,25.3,25.55,42164291,24.147316950954323,74423416.85,23.13253012048193,1.7307892832028215,1.5475747797692336
2020-05-22,25.4,25.55,24.15,24.65,43947199,24.179748115408884,75656442.0,16.27358490566038,1.7071422442539423,1.5481946338786214
2020-05-26,25.0,25.45,24.35,24.95,41170555,24.229441785382505,76716633.3,17.136150234741777,1.6637421635609533,1.5473403571011652
2020-05-27,25.25,25.35,24.75,25.2,38389565,24.292058444390086,77819094.2,12.249443207126953,1.5877072575147748,1.544764876898704
2020-05-28,25.4,27.25,25.15,26.95,98866633,24.463538544752016,81983764.85,22.499999999999986,1.624323440829596,1.5438051028592146
2020-05-29,26.8,28.45,26.15,27.8,105048220,24.678794122509952,86250531.15,29.00232018561484,1.6726152536996781,1.5439836529806739
2020-06-01,28.4,29.0,27.7,28.0,55503098,24.893065469444792,86219428.3,29.032258064516125,1.645984925601943,1.5454698613566085
2020-06-02,28.2,28.55,27.45,28.0,40730603,25.09351285851287,80980455.1,28.44036697247705,1.6069656581075784,1.5468550112627406
2020-06-03,28.2,28.75,27.4,27.75,48817202,25.26489912570559,78767175.25,21.71052631578947,1.5886020775627954,1.5476648998931837
2020-06-04,27.9,28.05,26.4,26.8,47945713,25.363937891789103,78732032.95,23.787528868360287,1.5929896159368395,1.5493725066747615
2020-06-05,27.0,27.95,26.9,27.95,50314218,25.530780608447873,78653106.2,30.60747663551402,1.561334285880212,1.5514393456434195
2020-06-08,28.55,28.75,27.55,28.1,51853740,25.69653669822543,79066770.6,31.308411214953292,1.5355146854374517,1.5546750103378137
2020-06-09,28.25,31.45,27.8,31.05,157881125,26.041921427372177,85529413.85,50.0,1.6866037348536147,1.5644721542864677
2020-06-10,31.5,32.4,30.55,31.1,135935983,26.368249077219136,90225698.65,50.970873786407765,1.6982787988852084,1.5766710841884513
2020-06-11,30.8,32.3,29.75,30.15,79429749,26.61223300772113,78714763.5,43.914081145584724,1.7591349150043905,1.5927665516377292
2020-06-12,28.4,31.8,28.25,31.2,73030878,26.908217974964927,69984559.0,48.92601431980908,1.8870907257348755,1.6149804102133187
2020-06-15,29.25,30.6,28.5,29.1,102980419,27.049623266902678,70715839.35,29.046563192904664,1.945171216738409,1.6373894938266906
2020-06-16,29.9,30.0,27.6,28.4,62602717,27.136744346457345,69311420.6,20.338983050847446,1.9776670619856829,1.654493057011677
2020-06-17,28.3,28.65,27.35,27.5,69066058,27.160180195073,70256275.9,20.087336244541486,1.9292511001418344,1.6685858730792176
2020-06-18,28.65,32.15,28.5,32.0,250885016,27.47242663410055,79828149.1,38.82863340563991,2.1236319557957146,1.6912013012075728
2020-06-19,32.65,33.0,31.75,32.55,100943582,27.80001201254568,82767113.65,41.521739130434774,2.061217255334741,1.713871518598387
2020-06-22,32.95,34.9,32.25,33.65,91661396,28.177430592381445,85152823.5,51.23595505617977,2.103280936795016,1.7371833006214172
2020-06-23,34.1,35.4,33.7,34.9,91350044,28.611144747711673,87661797.95,55.456570155902,2.0780422544576544,1.760855524877766
2020-06-24,36.0,39.8,35.6,36.4,215263083,29.113651538181887,96505473.85,68.5185185185185,2.2796427791949667,1.7920057284265987
2020-06-25,36.3,38.5,35.55,37.85,144508436,29.677286922815316,98787564.0,40.18518518518519,2.3275325216057734,1.814726979295561
2020-06-26,38.7,38.7,36.5,36.95,90443535,30.146494218117553,98057329.75,35.10054844606947,2.3184218043928926,1.8309364129752135
2020-06-29,36.2,36.8,35.35,35.85,46308136,30.514462333077713,97597581.65,31.801470588235304,2.2670994154604993,1.8468227799739851
2020-06-30,36.6,37.8,35.0,35.9,81160188,30.861916376104958,99619060.9,38.07692307692307,2.305168251491482,1.862048636432229
2020-07-01,36.3,36.7,35.4,36.05,47267267,31.196631448614315,99541564.15,42.209072978303716,2.233362622600343,1.8763071648935237
2020-07-02,37.0,37.15,36.4,36.7,38169768,31.551687484187585,99052766.9,41.97292069632495,2.1523998818621477,1.8883569374641278
2020-07-03,37.0,39.0,36.65,38.6,144158351,32.00641732391742,103744973.55,51.07632093933463,2.16651551450422,1.9028811451741743
2020-07-06,39.05,44.4,38.8,43.4,253409330,32.74148717398726,113822753.05,76.06490872210954,2.4260729746735774,1.9268455028548288
2020-07-07,43.75,44.1,42.2,42.35,111684347,33.3613912272784,111512914.15,69.73947895791584,2.3884932610774543,1.9510038727720453
2020-07-08,42.5,43.05,41.0,41.25,62288536,33.87033372874431,107830541.8,63.69047619047619,2.3643133352422248,1.9768907420296273
2020-07-09,41.8,43.1,41.25,42.05,58804133,34.398054133341454,106799261.0,56.029684601113175,2.3275740784007537,2.000332429948666
2020-07-10,42.15,42.45,41.15,41.45,34649003,34.85301838280329,104880167.25,49.100719424460436,2.2541711248184773,2.0197176256526257
2020-07-13,42.45,43.0,41.8,42.6,44725248,35.35282364842889,101967408.7,52.14285714285716,2.2038701297146486,2.0383137991230496
2020-07-14,41.95,41.95,38.5,39.1,126670127,35.59457696143348,105170779.2,39.64285714285716,2.3393156227482037,2.0627254646110704
2020-07-15,39.5,39.9,36.35,37.0,68953196,35.68524941553455,105165136.1,33.33333333333333,2.4257976110267387,2.0906319823932016
2020-07-16,37.5,38.15,36.15,36.7,68591528,35.75071719517749,96050461.7,36.9402985074627,2.3953820156567707,2.1173783957171994
2020-07-17,36.9,39.15,36.8,38.45,78815538,35.92486447290798,94944059.5,37.56708407871201,2.399283476570047,2.1453100354068604
2020-07-20,38.75,39.05,37.8,38.05,27158306,36.06196999078488,91718905.0,35.409252669039134,2.3171883545834393,2.1713658243783933
2020-07-21,38.5,38.6,37.7,38.05,24091456,36.190229991379404,88355975.6,22.54428341384862,2.2159566702625173,2.1890109222253566
2020-07-22,38.3,38.95,37.5,37.9,39490971,36.30053773387106,79567370.0,21.864951768488726,2.161243499801249,2.204443078922558
2020-07-23,37.9,38.3,37.6,37.85,14841740,36.40050304136326,73084035.2,25.538971807628542,2.0568654570818254,2.2143674303251393
2020-07-24,37.4,37.7,36.6,36.85,20954568,36.429502845146274,69609586.85,18.10897435897436,1.9992304119765083,2.218105419866527
2020-07-27,36.9,36.9,35.8,36.2,25388575,36.41469620997555,68563608.8,24.398625429553267,1.9349978073975735,2.2177663062218325
2020-07-28,36.1,37.7,35.9,37.35,37059886,36.47503838997713,66358593.7,31.514084507042273,1.925354847460006,2.2160225657376436
2020-07-29,37.4,40.1,37.35,38.5,98938734,36.60568107449474,68942167.05,39.99999999999999,1.9842595440734503,2.2178561805353643
