datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,246.0,246.95,244.25,245.6,4763726,,,,,
2020-01-02,245.6,245.85,243.23,243.43,6414686,,,,,
2020-01-03,241.95,243.38,236.43,241.25,22652190,,,,,
2020-01-06,237.5,240.0,232.58,233.95,15330914,,,,,
2020-01-07,233.95,237.38,229.93,231.03,23452946,,,,,
2020-01-08,225.0,232.2,224.28,230.93,24738262,,,,,
2020-01-09,236.08,237.2,232.73,234.75,12997830,,,,,
2020-01-10,236.9,237.35,233.2,234.45,8706552,,,,,
2020-01-13,235.5,238.13,234.5,235.3,7332016,,,,,
2020-01-14,236.95,239.38,236.05,236.6,7214926,,,,,
2020-01-15,236.25,236.48,231.6,234.0,9949724,,,,,
2020-01-16,234.0,234.75,230.08,230.65,6367270,,,,,
2020-01-17,231.0,232.63,226.0,226.75,11129860,,,,,
2020-01-20,227.48,233.35,225.8,228.73,11677908,,,,,
2020-01-21,228.8,233.25,227.53,231.75,8392894,,,,5.790775718680352,
2020-01-22,232.6,233.23,227.05,228.45,7458208,,,,5.832210587511415,
2020-01-23,229.75,235.9,228.5,233.95,11124942,,,,5.9986041785900515,
2020-01-24,234.63,236.6,232.35,233.03,7861876,,,,5.824235313984122,
2020-01-27,233.25,235.9,231.5,232.5,8827220,,,,5.686119492274681,
2020-01-28,234.55,241.13,233.8,239.7,15207724,,11580083.7,,5.9644920078451,
2020-01-29,241.98,243.45,238.33,239.33,14261028,,12054948.8,,5.886442456067387,
2020-01-30,240.03,242.25,232.58,234.15,10886988,,12278563.9,,6.228935938039772,
2020-01-31,235.0,236.3,228.03,228.1,13889618,,11840435.3,,6.410234681932853,
2020-02-01,228.25,232.2,218.65,220.08,9141118,,11530945.5,,7.03358420334955,
2020-02-03,223.13,231.75,221.23,231.0,18801094,,11298352.9,,7.432047615614544,
2020-02-04,232.5,240.55,231.0,240.15,15682400,,10845559.8,,7.6114649552856015,
2020-02-05,240.0,253.98,239.0,250.78,30227186,,11707027.6,,8.227489702595276,
2020-02-06,251.65,255.0,246.1,247.4,22464412,,12394920.6,,8.283036750688701,
2020-02-07,247.4,247.8,243.0,245.0,9017418,,12479190.7,,7.998527243510687,
2020-02-10,246.0,247.78,241.68,242.1,8847406,235.49633333333333,12560814.7,,7.84502164212489,
2020-02-11,245.4,246.98,240.03,240.6,7936990,235.82560215053766,12460178.0,-2.035830618892509,7.773330381258282,
2020-02-12,241.5,242.85,236.95,237.88,7547574,235.95814394727716,12519193.2,-2.2799161976749027,7.6245665599051105,
2020-02-13,238.85,239.25,234.0,234.7,8080298,235.8769733700335,12366715.1,-2.7150259067357574,7.43749224847972,
2020-02-14,235.5,242.25,234.95,238.6,23038490,236.05265250745072,12934744.2,1.9876041889292706,7.446291184601623,
2020-02-17,239.23,239.23,230.0,230.88,9022506,235.718932990841,12966224.8,-0.06492663290481593,7.584851101405983,
2020-02-18,230.88,236.25,228.0,235.93,11936728,235.73255021723838,13190150.8,2.165158273069756,7.636199355182935,
2020-02-19,236.75,240.5,234.75,237.58,10784226,235.85174052580368,13173115.0,1.2055378061767819,7.491423577588271,
2020-02-20,237.43,240.0,235.28,235.5,8749112,235.82904758865507,13217476.8,0.44785668586053706,7.279829261784531,
2020-02-24,235.5,237.85,231.5,232.4,12377412,235.60781871196767,13394986.4,-1.232469188270291,7.209185666166144,
2020-02-25,234.9,235.28,227.45,228.8,11033538,235.16860460151815,13186277.1,-3.296703296703285,7.25613845501694,
2020-02-26,228.8,229.78,221.6,223.63,14488418,234.42417849819444,13197646.6,-4.431623931623929,7.325718594395308,
2020-02-27,223.43,224.83,219.25,222.55,12176146,233.65810246605287,13262104.5,-3.5118144374593485,7.194749661334105,
2020-02-28,219.45,219.45,210.25,211.35,12190604,232.21887004888816,13177153.8,-6.791620727673653,7.576388777067124,
2020-03-02,216.0,220.93,203.25,205.73,15620484,230.5099106908954,13501122.1,-10.055523980238712,8.32917305646564,7.10728534562489
2020-03-03,207.55,213.58,206.75,212.15,11413704,229.32540032374087,13131752.6,-8.457389428263207,8.293581117466461,7.190712192251094
2020-03-04,211.05,214.35,202.7,206.9,15451024,227.87860030285438,13120183.8,-9.433136353687887,8.54218033223721,7.281044517075287
2020-03-05,209.33,214.58,208.53,209.5,11447198,226.69288415428315,12181184.4,-10.450951057918356,8.478489423116226,7.363707358559493
2020-03-06,200.1,204.93,199.0,200.4,15759894,224.99656904755523,11845958.5,-14.002488949920611,8.627458291770163,7.457148124485694
2020-03-09,206.95,227.2,202.9,212.53,79585702,224.1922742702936,15374372.7,-8.589247311827952,9.963602563092776,7.599730893512964
2020-03-11,211.68,211.68,200.53,201.0,29488532,222.69599851091985,16406429.0,-16.145181476846048,10.113016294889961,7.738015036414459
2020-03-12,195.65,196.28,165.28,189.0,35179198,220.52206312311858,17768539.4,-21.029540801403922,11.988198054367633,7.941406889691135
2020-03-13,168.9,198.35,137.73,188.5,50760046,218.45612356678836,19929163.0,-19.496049540892592,15.543069980278723,8.251878024432433
2020-03-16,175.0,193.63,174.85,182.23,33312392,216.11895430441493,21190767.7,-20.1096010521701,15.779287783700411,8.56417979449135
2020-03-17,182.5,192.83,177.0,177.63,19648030,213.63579596219463,21021244.7,-19.288440567066523,15.782982834734797,8.855826415537527
2020-03-18,181.98,183.03,164.1,166.2,20387640,210.57542202914982,21589501.4,-28.05194805194806,16.01195589327501,9.141823358126208
2020-03-19,155.5,160.0,142.7,148.6,27421404,206.57700770468855,22363735.2,-38.122007078909014,16.556052927768754,9.439976290542313
2020-03-20,152.5,161.5,149.3,161.0,20241204,203.63655559470865,22836584.1,-35.80030305447005,16.290723724246476,9.708750757930687
2020-03-23,142.5,149.0,131.15,136.5,18686414,199.30516491117908,23333449.2,-44.826192400970086,17.273630966384694,10.00843723178722
2020-03-24,138.85,141.5,126.0,134.0,19507998,195.09192846529658,23689978.5,-45.30612244897959,17.145197350413838,10.313326235350656
2020-03-25,126.3,138.48,126.3,136.43,14911058,191.30728791914842,23883854.5,-43.647253201156545,16.786006951294368,10.61135907898964
