datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,211.35,212.6,208.4,211.6,6446548,,,,,
2020-01-02,212.5,212.8,208.3,210.95,5953888,,,,,
2020-01-03,210.0,212.6,207.7,210.2,6451771,,,,,
2020-01-06,209.95,209.95,203.45,205.4,6851858,,,,,
2020-01-07,206.5,208.2,204.35,205.6,5240256,,,,,
2020-01-08,203.0,204.55,198.2,200.5,7290391,,,,,
2020-01-09,203.25,203.7,197.35,197.85,10314874,,,,,
2020-01-10,199.15,206.55,198.95,204.5,13530966,,,,,
2020-01-13,205.3,212.0,205.0,211.6,9861272,,,,,
2020-01-14,211.15,213.5,209.75,212.85,5413484,,,,,
2020-01-15,212.6,214.6,211.3,212.4,4860420,,,,,
2020-01-16,212.45,212.7,207.1,210.2,6937663,,,,,
2020-01-17,210.0,210.55,206.1,208.1,5984928,,,,,
2020-01-20,208.0,209.8,200.5,202.1,8110343,,,,,
2020-01-21,201.15,205.25,201.15,202.35,6345656,,,,5.746714677588981,
2020-01-22,199.1,199.4,190.95,191.55,19074034,,,,6.348535137002508,
2020-01-23,192.05,195.2,189.85,191.6,16364255,,,,6.2458333601325124,
2020-01-24,193.0,196.3,192.15,194.4,10623171,,,,6.091684576104321,
2020-01-27,193.95,195.0,192.0,193.0,7192278,,,,5.791867157239354,
2020-01-28,193.9,194.25,188.4,189.3,10271679,,8655986.75,,5.797364182554775,
2020-01-29,191.0,193.0,188.0,191.15,10588409,,8863079.8,,5.723670273703223,
2020-01-30,191.4,192.35,187.5,188.2,10850877,,9107929.25,,5.644584288975375,
2020-01-31,188.8,189.45,180.0,183.55,35278385,,10549259.95,,5.982602630122964,
2020-02-01,182.0,182.0,171.05,174.1,23290789,,11371206.5,,6.551615244741383,
2020-02-03,174.9,179.45,172.15,178.9,15279529,,11873170.15,,6.615933018717324,
2020-02-04,180.75,183.0,179.75,182.7,10038236,,12010562.4,,6.4028016885057575,
2020-02-05,184.0,184.0,178.5,179.8,9466931,,11968165.25,,6.327325602871688,
2020-02-06,180.2,181.6,178.25,179.7,6915005,,11637367.2,,6.081408701538397,
2020-02-07,180.3,186.05,178.1,185.0,13459937,,11817300.45,,6.23404332112354,
2020-02-10,184.9,185.0,177.65,178.95,19659474,196.26999999999998,12529599.95,,6.324274104851803,
2020-02-11,180.0,181.5,176.25,179.35,16388349,195.17838709677417,13105996.4,-15.241020793950854,6.238224716246712,
2020-02-12,181.0,183.4,178.2,180.3,14667170,194.21849115504682,13492471.75,-14.529509362408144,6.15577781966223,
2020-02-13,180.3,180.95,175.85,178.05,11773521,193.1753626934309,13781901.4,-15.294957183634628,6.072600994061097,
2020-02-14,178.0,178.9,174.2,174.5,15387362,191.9705005841773,14145752.35,-15.043816942551125,5.965253470851326,
2020-02-17,174.75,175.2,166.8,168.1,15991012,190.43046828842392,14628020.15,-18.239299610894943,6.1543865140959415,
2020-02-18,168.1,173.95,165.0,172.75,27642270,189.28979291497723,15056431.95,-13.840399002493765,6.370202658480913,
2020-02-19,176.35,178.55,174.25,177.8,21080565,188.54851595272063,15292247.45,-10.133939853424302,6.3264365883456,
2020-02-20,177.75,180.25,175.2,179.2,16773482,187.9453858912548,15599763.0,-12.371638141809294,6.228982439235388,
2020-02-24,178.75,178.9,173.3,174.15,9951038,187.05536099504485,15737701.0,-17.6984877126654,6.203988063000881,
2020-02-25,176.1,178.7,174.2,175.6,13531659,186.31630544697742,15900700.0,-17.500587268029133,6.0788953451761705,
2020-02-26,174.2,177.75,172.65,173.7,10913480,185.50235025684987,15916953.55,-18.220338983050855,6.0051703644969034,
2020-02-27,173.75,174.55,169.6,173.9,11497175,184.7538115306015,15949268.45,-17.26926736441483,5.926008386570084,
2020-02-28,171.55,171.8,166.75,167.75,14691156,183.656791431853,14919907.0,-19.38971648246035,6.017506950994272,
2020-03-02,172.65,175.0,168.3,169.4,11957294,182.7369984362496,14353232.25,-16.180108857001475,6.1093356418739795,6.1254342639621795
2020-03-03,171.35,179.65,170.9,177.65,17004556,182.40880498874964,14439483.6,-12.20657276995305,6.4168952411918765,6.147773616082277
2020-03-04,178.25,179.8,174.1,177.95,9854045,182.1211401507658,14430274.05,-7.099973897154799,6.363797102887203,6.148282348278433
2020-03-05,180.0,180.2,172.2,176.65,12346331,181.76816336684544,14574244.05,-7.802713987473897,6.484666538348682,6.156243454218972
2020-03-06,166.7,173.0,166.5,168.9,10621388,180.93795927866188,14759563.2,-13.117283950617287,6.754771768202745,6.178346360622252
2020-03-09,165.8,166.7,156.95,157.65,23964253,179.43551029294179,15284779.0,-18.316062176165804,7.136753251672709,6.223175897103364
2020-03-11,158.1,169.9,157.05,166.7,28396414,178.6138644675907,15721626.0,-11.938721605916546,7.555943288879879,6.281795200647535
2020-03-12,161.0,163.0,150.1,156.65,33228918,177.1968409535526,16563654.45,-18.048652890400206,8.218233325522881,6.3649473023748575
2020-03-13,146.25,161.55,123.65,155.25,43116022,175.78091573074278,17986097.05,-17.50797024442082,10.387901625712576,6.523057880266097
2020-03-16,150.95,151.35,143.1,144.55,23537193,173.7660179416626,18574280.65,-21.247616453282482,10.516492298001175,6.674187535862037
2020-03-17,145.2,155.4,142.3,147.0,18982520,172.03917807445856,18754038.55,-15.565766800689252,10.704734767038968,6.812624853271957
2020-03-18,151.6,151.85,143.0,144.75,18668453,170.27858594062255,18887910.6,-19.088876467300175,10.569786570036046,6.944419971649248
2020-03-19,128.0,133.5,122.0,122.95,28534533,167.22512878316306,18932523.75,-32.703886152162006,11.454826496656183,7.112820798587594
2020-03-20,124.5,135.8,122.65,132.4,23994352,164.9783462810235,19078213.1,-26.362625139043384,11.577849615949146,7.287838265690177
2020-03-23,122.5,134.85,120.05,127.55,17873914,162.56361426289297,19133234.7,-29.020589872008905,11.811422181573857,7.478838715024692
2020-03-24,129.25,135.0,125.45,129.8,9966978,160.44983269754505,19134031.7,-29.83783783783783,11.647666229224727,7.659292811961397
2020-03-25,126.0,129.25,123.7,124.25,8335607,158.11435962028406,18874229.1,-30.56719754121262,11.246339090255969,7.823361644808204
2020-03-26,126.0,127.0,119.2,123.75,28356472,155.8973041609109,19746378.7,-31.00083635349874,10.997252778711031,7.981995913557014
2020-03-27,125.9,132.95,125.0,131.35,18328194,154.31360711827148,20087929.65,-27.149195784803116,10.867465148002774,8.139052157835033
2020-03-30,127.55,134.75,127.2,133.1,12354251,152.94498730418945,19971084.4,-25.245717495085664,10.62808433444298,8.29090160251443
2020-03-31,135.1,142.35,134.25,139.8,14993956,152.096923607145,20122917.5,-19.88538681948423,10.528717328634968,8.44301706444055
2020-04-01,138.75,141.25,137.05,139.5,8831311,151.28421885829692,19714255.25,-17.01368233194527,10.072692632878287,8.573627268399962
2020-04-03,138.6,139.9,131.8,137.75,10932413,150.41104344808423,19768173.65,-20.260492040520983,9.930636658879244,8.692308401746573
2020-04-07,140.3,142.4,137.15,139.65,8186351,149.7167825804659,19560174.65,-21.456692913385833,9.593774639123145,8.801219670105825
2020-04-08,140.0,143.4,137.0,137.6,7067996,148.93505467204875,19382505.05,-23.214285714285708,9.364045213862736,8.905721762593403
2020-04-09,139.2,141.45,138.0,140.75,5075849,148.4069866286908,18438084.85,-19.178868791271896,8.967616774542593,8.997842719644792
2020-04-13,140.8,146.7,138.35,145.9,10687997,148.24524555587203,17552664.0,-16.913439635535298,8.923234317123727,9.092654018709712
2020-04-15,147.4,151.6,146.0,146.5,10487045,148.1326490683964,16415570.35,-15.659182498560732,8.691710085779823,9.182205342752475
2020-04-16,144.6,150.5,144.4,147.35,9734273,148.08215558011275,14746482.9,-15.267395054629107,8.50562276580119,9.268192488726845
2020-04-17,151.5,152.45,148.3,148.75,7090038,148.12524231687968,13924125.15,-11.326378539493298,8.261186748721801,9.342981815317762
2020-04-20,149.9,149.9,143.0,144.3,7136800,147.87845248998423,13331839.15,-14.817001180637545,8.163522352220166,9.411454705662637
2020-04-21,141.0,141.6,137.8,140.3,6498946,147.3895200712756,12723363.8,-21.02448634956374,8.044203829755887,9.465698325281437
2020-04-22,138.2,141.3,135.0,141.0,5603300,146.97729296990298,11576802.15,-20.764259623489746,7.919135565673078,9.517542940707632
2020-04-23,140.8,144.75,140.1,140.8,7551199,146.57875793958667,10754644.5,-20.294367393150292,7.684786757114193,9.557546947999816
2020-04-24,140.6,143.8,135.8,137.25,11693054,145.9769025886456,10445601.5,-18.73889875666075,7.707377099515395,9.589300459043573
2020-04-27,139.0,139.7,137.5,138.2,4237302,145.47516693776524,10159117.7,-12.337456390738987,7.3306871665238695,9.595764922871945
2020-04-28,138.6,139.55,134.45,135.4,7060621,144.82515616758687,10095368.4,-18.776244751049788,7.170894261304814,9.582929955286108
2020-04-29,135.5,140.85,135.35,140.15,7396975,144.5235331890329,9047393.55,-10.533035429300986,7.051226101896695,9.544029714498569
2020-04-30,141.5,149.45,141.35,148.8,13136918,144.7994342736114,8787829.75,-4.154589371980666,7.212250854926654,9.438174688805704
2020-05-04,144.7,144.7,140.35,142.15,8355402,144.62850303015261,8587887.3,-1.6603251470079572,7.30086491172165,9.330987109263052
2020-05-05,143.9,147.25,137.35,138.5,11877158,144.2331157378847,8432047.4,-5.782312925170063,7.486913968756952,9.223726415986986
2020-05-06,139.35,139.35,133.15,134.0,10426779,143.57291472253732,8511820.8,-7.4265975820379975,7.394809250053028,9.117893838654219
2020-05-07,130.0,133.0,130.0,131.0,10857388,142.76175893398653,8508069.55,6.54737698251322,7.151876409305542,8.974462169075865
2020-05-08,132.85,133.2,128.55,129.0,7091918,141.87390351889061,8453347.9,-2.5679758308157163,6.972865461622299,8.820962697264969
2020-05-11,130.15,131.05,128.05,128.25,6652390,140.99494200154285,8432567.6,0.5488043904351203,6.6886389585308414,8.650203256496868
2020-05-12,128.2,129.05,125.3,127.0,8126528,140.09204251757234,8585101.55,-2.157164869029282,6.478426857506001,8.477895277439579
2020-05-13,132.5,132.5,128.5,131.0,11134074,139.50545912934186,8607405.4,5.432595573440646,6.408443602938768,8.316632094529004
2020-05-14,129.85,131.45,128.05,128.95,5661298,138.82446176615852,8366118.05,4.202020202020185,6.1932817860677165,8.15649972810756
2020-05-15,129.7,130.85,127.75,129.4,6292793,138.21643197479347,8194044.05,-1.484583174724008,5.972072473376371,7.99331997228668
