datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,754.0,767.8,754.0,758.0,71160,,,,,
2020-01-02,756.0,787.02,755.8,782.4,166180,,,,,
2020-01-03,782.2,809.8,776.37,790.4,247470,,,,,
2020-01-06,804.0,807.0,780.2,793.2,285585,,,,,
2020-01-07,808.0,862.98,803.6,847.8,905485,,,,,
2020-01-08,839.8,850.8,817.66,826.0,777005,,,,,
2020-01-09,837.04,844.2,825.6,834.0,297680,,,,,
2020-01-10,835.4,850.02,831.0,836.59,324485,,,,,
2020-01-13,846.0,856.0,834.4,836.0,176370,,,,,
2020-01-14,842.32,845.8,825.01,828.4,172435,,,,,
2020-01-15,828.4,831.2,820.2,823.8,171900,,,,,
2020-01-16,827.48,842.6,822.0,823.99,346730,,,,,
2020-01-17,834.0,837.0,827.61,834.0,411650,,,,,
2020-01-20,838.6,850.0,832.0,843.0,301375,,,,,
2020-01-21,840.6,846.0,826.44,832.42,111530,,,,23.2035660926328,
2020-01-22,839.6,839.6,828.8,832.03,65145,,,,21.88314452914966,
2020-01-23,834.6,840.0,827.13,837.91,55595,,,,20.956120607779713,
2020-01-24,843.12,849.98,837.09,844.05,143700,,,,20.151776028615362,
2020-01-27,844.0,878.7,842.2,866.6,446500,,,,21.73715195991526,
2020-01-28,869.25,899.6,867.81,886.8,298310,,288814.5,,22.8021637133401,
2020-01-29,892.8,897.99,848.48,850.61,759825,,323247.75,,25.270552557475405,
2020-01-30,840.0,905.6,820.0,899.6,1117055,,370791.5,,30.731667468545016,
2020-01-31,906.98,943.99,892.0,923.6,691700,,393003.0,,32.61995165180221,
2020-02-01,919.0,939.6,879.6,880.0,518950,,404671.25,,35.01041398128891,
2020-02-03,873.0,979.0,873.0,954.0,999880,,409391.0,,41.11140964710703,
2020-02-04,964.0,968.22,943.0,953.6,464645,,393773.0,,39.765206369107375,
2020-02-05,959.8,961.6,926.44,931.2,293600,,393569.0,,39.38020160593219,
2020-02-06,937.58,959.6,929.01,936.0,183735,,386531.5,,38.65416104827844,
2020-02-07,934.1,938.36,903.01,920.6,221255,,388775.75,,38.384262882174795,
2020-02-10,922.0,944.6,912.2,923.4,278530,857.6666666666665,394080.5,,37.900404735962326,
2020-02-11,924.0,939.0,918.2,923.32,159725,861.9023655913978,393471.75,21.81002638522429,36.530661794395144,
2020-02-12,933.8,933.8,920.2,923.0,97415,865.8441484564689,381006.0,17.970347648261754,34.70970543302969,
2020-02-13,929.6,952.0,920.0,943.0,346640,870.8219453302452,377755.5,19.306680161943323,34.496228040309255,
2020-02-14,943.9,948.6,887.54,899.03,319955,872.6418198250681,378684.5,13.34215834594048,36.573710964567645,
2020-02-17,902.52,929.2,858.0,904.1,595365,874.671379836354,402876.25,6.6407171502713025,39.26350858544318,
2020-02-18,906.0,914.43,891.4,899.97,302665,876.30354887917,414752.25,8.955205811138022,38.01031201502467,
2020-02-19,904.4,915.8,890.0,893.0,285265,877.3807392740623,426235.75,7.074340527577938,37.07310598121323,
2020-02-20,897.78,908.0,860.0,872.0,1704670,877.033594804768,504284.25,4.232658769528674,37.90735906416389,
2020-02-24,857.5,857.5,816.0,820.0,423850,873.3540080431701,503151.75,-1.9138755980861233,39.28194390728538,
2020-02-25,826.04,852.9,820.44,834.0,294570,870.8150397823205,502964.75,0.6760019314340893,38.79927131355533,
2020-02-26,826.0,829.43,800.44,803.98,238735,866.5031017318482,476910.25,-2.4059237679048273,38.40467838973691,
2020-02-27,807.32,829.0,772.44,799.8,445155,862.1996758136645,443315.25,-2.935715239262615,39.76674390723391,
2020-02-28,774.0,779.8,752.4,770.2,516365,856.2642128579444,434548.5,-7.6498800959232565,40.33736217512637,
2020-03-02,783.0,819.59,767.0,787.0,458425,851.7955539638834,431522.25,-6.642941874258601,41.25026281354297,34.065566975457806
2020-03-03,797.59,816.39,774.93,809.99,252365,849.0984214500845,394146.5,-2.6945532303404462,41.265841638448734,34.667642826985
2020-03-04,811.05,819.0,773.16,775.4,202980,844.3436845823371,381063.25,-6.806244967128594,41.60463492281387,35.325025840107145
2020-03-05,789.0,829.8,778.31,823.0,415135,842.9666726737993,387140.0,-1.7794273848026565,42.5498529982323,36.0448169197889
2020-03-06,770.0,897.54,770.0,889.75,983075,845.9849518561348,427107.0,5.414371186541089,48.812934770033955,37.00018887783619
2020-03-09,876.0,884.84,843.69,848.0,422245,846.1149549621907,437156.5,-2.1463189476113587,48.6105240076121,37.89596794609274
2020-03-11,846.21,909.0,846.21,861.4,543615,847.101086900114,450410.75,-2.8642309427153734,49.65089480387912,38.79092564911071
2020-03-12,825.0,834.98,774.49,804.4,575840,844.3461780678485,471216.5,-5.432571918975793,52.379353385445015,39.694552343376365
2020-03-13,731.0,821.09,660.0,782.0,407755,840.3238439989552,486733.5,-13.072476656291688,60.32584951013633,40.681025078096084
2020-03-16,764.0,813.99,745.2,756.0,353165,834.8835959990226,487059.75,-18.14638371589433,60.94352830589798,41.62514429989927
2020-03-17,793.0,809.59,756.0,762.0,254835,830.1814285152147,483803.75,-13.409090909090903,60.407727184279274,42.471721406665615
2020-03-18,783.6,789.2,711.02,720.92,265420,823.1323040948784,467306.5,-24.43186582809225,61.70081567097132,43.15803494079442
2020-03-19,680.0,680.04,617.69,647.0,451995,811.7689296371443,474773.0,-32.1518456375839,64.71841355318399,43.98980851359698
2020-03-20,652.05,740.0,652.05,710.0,583530,805.2031922411995,489686.25,-23.754295532646054,66.77088132499485,44.90283117089906
2020-03-23,640.0,680.0,620.0,636.0,212560,794.2868572578964,415080.75,-32.05128205128205,68.45475209433515,45.896184205767625
