datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,576.0,577.7,572.04,577.0,773295,,,,,
2020-01-02,576.76,578.48,572.04,573.8,1492295,,,,,
2020-01-03,572.98,579.4,570.41,577.4,1723340,,,,,
2020-01-06,574.2,579.56,570.84,577.0,1787150,,,,,
2020-01-07,578.0,582.0,574.21,576.0,1788045,,,,,
2020-01-08,575.0,581.0,573.2,580.0,1394865,,,,,
2020-01-09,582.32,587.32,580.2,583.0,1876170,,,,,
2020-01-10,586.0,601.6,585.03,587.32,5634500,,,,,
2020-01-13,586.58,593.3,583.14,590.98,2209280,,,,,
2020-01-14,590.96,593.76,586.4,590.0,1785845,,,,,
2020-01-15,589.23,589.3,580.0,582.88,1922830,,,,,
2020-01-16,585.6,590.3,584.33,588.4,1916025,,,,,
2020-01-17,588.88,609.8,588.0,605.36,5582940,,,,,
2020-01-20,608.6,616.0,606.41,612.44,4373070,,,,,
2020-01-21,611.11,615.96,607.17,610.57,2852895,,,,10.540809162746552,
2020-01-22,612.11,621.01,609.48,611.11,2798775,,,,10.646113468149913,
2020-01-23,611.06,615.74,604.8,606.42,2130275,,,,10.676340415505791,
2020-01-24,608.8,609.41,605.04,605.89,1363420,,,,10.047479160606532,
2020-01-27,605.8,641.8,599.5,640.0,20696255,,,,13.175181004673691,
2020-01-28,638.0,649.99,631.55,636.6,11510680,,3780597.5,,13.673020813017118,
2020-01-29,637.83,640.37,619.84,629.03,6945610,,4089213.25,,14.306755824268125,
2020-01-30,630.46,634.0,623.71,630.8,3365575,,4182877.25,,13.943152873206213,
2020-01-31,631.05,638.37,620.42,622.0,3340010,,4263710.75,,14.299063481108275,
2020-02-01,622.9,628.0,619.37,623.58,900570,,4219381.75,,13.804116119338913,
2020-02-03,624.8,634.6,623.43,628.4,2575890,,4258774.0,,13.577734590319825,
2020-02-04,630.8,655.52,630.41,646.42,5147780,,4446419.75,,14.724935656234807,
2020-02-05,647.0,650.0,624.34,628.4,4779810,,4591601.75,,15.639129618576758,
2020-02-06,633.52,635.36,627.32,633.0,2462250,,4432989.25,,15.011467529207701,
2020-02-07,631.97,637.0,627.4,633.34,2676070,,4456328.75,,14.569435454886271,
