datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,80.93,81.2,79.83,80.63,7052848,,,,,
2020-01-02,81.0,82.63,80.43,82.27,10120347,,,,,
2020-01-03,82.47,85.87,82.47,83.57,32428759,,,,,
2020-01-06,83.33,84.17,81.9,82.9,11577350,,,,,
2020-01-07,83.27,84.03,82.57,82.73,13947705,,,,,
2020-01-08,82.07,83.0,81.83,82.8,5183208,,,,,
2020-01-09,82.93,83.6,82.13,82.3,6206953,,,,,
2020-01-10,83.4,85.17,82.83,83.63,16999965,,,,,
2020-01-13,83.93,86.27,83.27,86.0,16117277,,,,,
2020-01-14,86.33,88.53,85.63,86.73,28888687,,,,,
2020-01-15,86.9,88.03,85.83,87.93,19596538,,,,,
2020-01-16,88.63,88.9,85.57,86.0,22257379,,,,,
2020-01-17,84.6,84.93,81.83,84.13,25048468,,,,,
2020-01-20,84.0,86.03,83.03,85.33,20103173,,,,,
2020-01-21,85.57,86.37,84.2,84.8,15130846,,,,2.646118039294976,
2020-01-22,84.8,85.27,83.67,84.17,8666568,,,,2.5347535488961825,
2020-01-23,83.8,87.13,83.47,86.3,20391473,,,,2.6504878938005896,
2020-01-24,86.57,87.8,86.1,86.33,15671882,,,,2.555706297775052,
2020-01-27,86.0,86.33,84.07,84.43,8264198,,,,2.5270300545301017,
2020-01-28,84.67,84.97,83.47,84.0,9912580,,15678310.2,,2.4299143804748136,
2020-01-29,85.13,85.9,83.73,84.13,16681074,,16159721.5,,2.4058926008627073,
2020-01-30,84.17,84.5,82.0,82.3,11236225,,16215515.4,,2.414411348215072,
2020-01-31,82.7,82.93,79.6,80.27,23083026,,15748228.75,,2.4957390613354273,
2020-02-01,81.0,82.63,77.07,77.4,18788248,,16108773.65,,2.763269645958276,
2020-02-03,76.73,79.67,76.0,76.43,15575761,,16190176.45,,2.841195976710736,
2020-02-04,76.8,79.5,76.8,79.23,17559199,,16808976.0,,2.8605785697601567,
2020-02-05,79.53,81.0,78.67,80.83,17709488,,17384102.75,,2.8162211055720903,
2020-02-06,80.97,82.93,80.93,82.43,12317115,,17149960.25,,2.7570636943766513,
2020-02-07,82.67,83.07,81.43,82.7,13816810,,17034936.9,,2.6658171001192934,
2020-02-10,82.73,82.9,79.5,81.27,29278438,83.1323333333333,17054424.45,,2.7251795285271965,
2020-02-11,82.3,86.57,82.13,86.0,46567186,83.31734408602148,18402956.85,6.660052089792878,2.931422726922704,
