datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,83.97,84.5,83.83,83.9,3183744,,,,,
2020-01-02,84.13,84.8,84.0,84.67,3836757,,,,,
2020-01-03,84.33,85.0,84.1,84.67,13274167,,,,,
2020-01-06,84.33,84.33,83.0,83.2,18942870,,,,,
2020-01-07,83.53,84.97,82.73,83.2,12670994,,,,,
2020-01-08,82.03,82.6,81.0,81.4,13318931,,,,,
2020-01-09,83.27,83.67,81.9,82.93,13819205,,,,,
2020-01-10,83.33,83.83,82.7,83.47,12546715,,,,,
2020-01-13,83.93,85.07,83.53,84.67,8602529,,,,,
2020-01-14,85.07,85.47,84.43,84.7,6728377,,,,,
2020-01-15,84.63,84.67,83.33,83.83,7145635,,,,,
2020-01-16,84.03,84.33,82.67,82.77,10562097,,,,,
2020-01-17,82.77,82.83,81.53,81.73,11545070,,,,,
2020-01-20,78.63,79.8,75.8,78.43,67874729,,,,,
2020-01-21,78.67,78.97,76.17,76.8,69747316,,,,2.112453950756109,
2020-01-22,77.77,77.93,74.63,76.37,107575994,,,,2.23887415921392,
2020-01-23,76.73,80.6,76.7,80.33,314829390,,,,2.443666313483378,
2020-01-24,81.0,81.1,79.4,79.8,39226401,,,,2.3695087355046187,
2020-01-27,79.5,80.13,78.0,78.23,20373646,,,,2.346282274619954,
2020-01-28,78.77,79.73,77.57,78.63,31901192,,39385287.95,,2.3286674749512675,
2020-01-29,79.2,79.97,78.53,78.97,31974928,,40824847.15,,2.2465351427858478,
2020-01-30,79.93,79.97,77.47,77.9,41903451,,42728181.85,,2.2694791737664572,
2020-01-31,79.03,79.03,75.07,75.63,55054129,,44817179.95,,2.4196407037416034,
2020-02-01,75.57,76.47,72.1,72.9,28881965,,45314134.7,,2.5899201848944107,
2020-02-03,73.37,74.93,71.7,72.37,37529974,,46557083.7,,2.644930002485227,
2020-02-04,73.33,76.13,73.0,76.07,31509245,,47466599.4,,2.739390526704784,
2020-02-05,76.57,77.23,75.93,76.47,23610109,,47956144.6,,2.6190545060286925,
2020-02-06,77.0,78.33,76.93,78.0,19614832,,48309550.45,,2.5563592026041673,
2020-02-07,77.8,78.5,76.67,78.43,16238089,,48691328.45,,2.4970270411716857,
2020-02-10,78.27,78.9,76.83,77.2,20648311,79.92233333333333,49387325.15,,2.4624997290211152,
2020-02-11,77.33,78.27,77.13,77.4,15494765,79.75960215053765,49804781.65,-7.747318235995227,2.3565674603396842,
2020-02-12,77.37,77.97,76.43,76.7,17905261,79.5622084634062,50171939.85,-9.413015235620648,2.2917226806851767,
2020-02-13,76.63,77.17,76.17,76.5,13538236,79.36464662705741,50271598.15,-9.649226408409117,2.1899575269421736,
2020-02-14,76.47,77.13,75.8,76.8,17707093,79.19918555434403,47763216.35,-7.692307692307699,2.1227025045560137,
2020-02-17,76.67,76.87,74.17,74.5,14502346,78.89601229277345,45000967.85,-10.45673076923077,2.167547432298449,
2020-02-18,74.6,76.73,73.63,75.13,21760263,78.65304375775581,40710181.3,-7.702702702702712,2.2395310305311424,
2020-02-19,75.87,76.33,75.1,76.13,12022836,78.4902667411264,25569853.6,-8.199686482575675,2.1620441840058904,
2020-02-20,75.7,76.3,74.67,74.93,16430164,78.26057211266664,24430041.75,-10.23122079789145,2.121423354334645,
2020-02-24,75.2,75.4,73.43,73.53,11882862,77.95537391184945,24005502.55,-13.156962324317945,2.109918994716766,
2020-02-25,74.6,75.3,73.4,73.9,16810465,77.69373688527853,23250966.2,-12.750885478158203,2.094042618000655,
2020-02-26,73.47,74.2,72.0,72.23,17191000,77.34123773138958,22511769.8,-13.837528331146364,2.1020227416974553,
2020-02-27,72.23,72.23,70.0,70.4,26465753,76.89341594226768,21739884.9,-14.945028391929426,2.1116239712597658,
