datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,167.8,171.3,164.4,166.35,24645549,,,,,
2020-01-02,169.9,174.25,169.0,173.6,23253520,,,,,
2020-01-03,173.35,174.6,170.0,171.8,19533711,,,,,
2020-01-06,169.25,170.85,165.5,166.95,15665806,,,,,
2020-01-07,169.0,171.9,165.75,166.9,19600251,,,,,
2020-01-08,166.45,176.4,164.05,175.8,33037680,,,,,
2020-01-09,177.25,179.5,174.35,175.45,18379227,,,,,
2020-01-10,177.0,179.4,174.7,176.45,18325947,,,,,
2020-01-13,177.8,179.75,174.1,177.35,15761327,,,,,
2020-01-14,178.5,180.65,171.65,173.3,22192116,,,,,
2020-01-15,172.9,180.75,171.15,180.35,28156901,,,,,
2020-01-16,180.45,181.8,176.1,178.25,20933814,,,,,
2020-01-17,179.5,180.9,175.8,175.8,14451516,,,,,
2020-01-20,175.0,180.2,173.25,178.65,19933634,,,,,
2020-01-21,177.0,186.95,176.4,184.5,30487813,,,,7.251048966039911,
2020-01-22,185.9,186.2,177.5,179.4,19431225,,,,7.405297040777746,
2020-01-23,179.4,181.2,177.5,179.45,11413527,,,,7.024198193258618,
2020-01-24,179.4,189.8,178.95,189.0,19851551,,,,7.405702895933362,
2020-01-27,181.0,186.0,177.65,178.15,24948405,,,,7.788202775163577,
2020-01-28,179.8,180.85,173.2,174.8,19416820,,20971017.0,,7.7751343594856515,
2020-01-29,178.95,181.0,170.6,175.55,23678052,,20922642.15,,8.017729416414166,
2020-01-30,176.0,181.9,172.35,175.0,33405322,,21430232.25,,8.156432920035446,
2020-01-31,178.0,178.3,172.6,177.0,15205272,,21213810.3,,7.938238787298464,
2020-02-01,174.0,175.25,165.45,167.2,14155015,,21138270.75,,8.253569827341444,
2020-02-03,166.0,175.95,161.7,175.35,23268810,,21321698.7,,8.768915761097533,
2020-02-04,176.0,184.8,173.75,184.3,21433229,,20741476.15,,8.962152430971114,
2020-02-05,183.4,192.95,181.9,192.5,20045576,,20824793.6,,9.136700799585405,
2020-02-06,192.15,198.75,191.2,196.85,28812541,,21349123.3,,9.005644745924112,
2020-02-07,195.5,202.25,194.8,196.95,22908495,,21706481.7,,8.878572954356185,
2020-02-10,196.5,196.7,190.4,193.95,14806904,178.565,21337221.1,,8.690295965995372,
2020-02-11,197.7,202.4,195.05,195.85,18728234,179.6801612903226,20865787.75,17.733694018635404,8.671048251780922,
2020-02-12,198.7,199.25,194.0,196.8,12299734,180.78466701352758,20434083.75,13.36405529953919,8.399377960165472,
2020-02-13,196.5,197.25,192.65,192.7,8746008,181.55339817394517,20148808.35,12.165308498253768,8.100053431746627,
2020-02-14,192.9,197.65,189.4,190.05,14338682,182.10156603369063,19869060.75,13.836477987421404,8.111780359517661,
2020-02-17,192.5,193.4,188.85,189.85,12474883,182.60146499925898,18968414.25,13.750748951467928,7.8350984336171345,
2020-02-18,188.7,189.3,181.7,185.9,14227275,182.81427370898422,18708216.75,5.745164960182025,7.859408246922947,
2020-02-19,188.0,189.5,184.0,188.05,9797931,183.15206250195297,18627436.95,7.181533200341983,7.678311183840553,
2020-02-20,187.5,195.9,185.8,192.8,16682579,183.77451008247215,18468988.35,9.266081042788343,7.863203739525144,
2020-02-24,190.4,190.4,172.85,175.1,19894736,183.21486427069976,18216304.9,-1.2686777558500117,8.781495712513912,
2020-02-25,179.95,182.7,175.35,179.3,19981317,182.96229238226752,18244529.75,3.4622042700519273,8.692138048403292,
2020-02-26,172.05,175.8,169.15,170.9,25602581,182.18407997050835,18340756.2,-5.239811477682277,8.801936143515453,
2020-02-27,170.0,170.0,164.55,169.05,21179714,181.33671997241106,17729475.8,-5.161290322580636,8.617984696998578,
2020-02-28,158.0,162.2,146.3,152.5,22937638,179.47628642580392,18116094.1,-13.253697383390218,9.674412779068367,
2020-03-02,161.1,163.95,149.45,153.8,24182946,177.81975181768757,18617490.65,-13.909879652952695,10.033950187884978,8.319267900505972
2020-03-03,158.0,162.2,155.35,161.2,25464799,176.74750976493354,18727290.1,-12.628726287262882,9.912583899379829,8.407985731617302
2020-03-04,161.0,162.5,148.1,154.2,24248663,175.292831715583,18868061.8,-14.04682274247493,10.244952461828664,8.502640912318999
2020-03-05,156.8,159.8,152.8,153.2,18924233,173.86748773393248,18811994.65,-14.628030091947618,10.005241621044393,8.602009026578525
2020-03-06,140.0,149.25,140.0,146.1,17132642,172.07603691238847,18227999.7,-22.698412698412707,10.240669299127255,8.696507906684989
2020-03-09,141.25,142.0,126.55,130.35,21050075,169.38403453094406,18135078.7,-26.831321919730566,10.925142009963613,8.80107254784499
2020-03-11,130.6,133.15,125.0,125.8,27035160,166.5721613353993,18746491.5,-28.032036613272314,10.721525409166103,8.899285582834336
2020-03-12,119.75,121.35,107.9,114.05,22693788,163.1836347976316,18944769.2,-35.03275420108232,11.247200153549192,9.006934607405505
2020-03-13,103.0,130.5,99.2,120.4,25174781,160.42340029455863,19588521.55,-31.199999999999996,12.713013311979042,9.158820620470292
2020-03-16,112.3,115.85,106.8,108.2,15432740,157.0541486626516,19922858.15,-38.87005649717514,12.777741942450527,9.320137392308693
2020-03-17,111.0,116.8,105.45,107.0,18380037,153.82484874893217,20124925.9,-36.00478468899521,12.673712189340922,9.467475471042011
2020-03-18,112.0,112.1,100.0,101.25,17096438,150.4329230231946,20356003.65,-42.25834046193327,12.631969603324832,9.596243932449587
2020-03-19,95.15,100.45,91.45,94.0,18964510,146.7920892797627,20592865.4,-48.99620184481823,12.4261927354293,9.711711942598193
2020-03-20,96.1,108.5,92.9,105.9,26500738,144.15388997139092,21428005.75,-44.98701298701299,12.656524125668687,9.829039386800968
2020-03-23,94.1,99.5,86.0,88.2,5351985,140.54396158613991,20861476.05,-55.19431038862077,13.181601183643012,9.968237934724932
2020-03-24,94.0,94.45,86.5,90.45,9726937,137.31209309671155,20353086.1,-54.074638233054074,12.802766200454665,10.09904437626155
2020-03-25,88.0,94.9,87.25,91.5,12548683,134.3564741872463,19981454.4,-52.82289249806651,12.43000676764856,10.223701402983322
