datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,43.02,43.23,42.38,42.67,7860456,,,,,
2020-01-02,43.05,43.88,42.98,43.52,18471453,,,,,
2020-01-03,43.83,43.83,42.8,43.1,14062185,,,,,
2020-01-06,42.8,43.33,42.45,43.28,16022805,,,,,
2020-01-07,43.33,43.63,41.42,42.52,42655506,,,,,
2020-01-08,42.47,42.47,39.37,40.53,40137399,,,,,
2020-01-09,41.27,41.3,39.82,40.23,30649893,,,,,
2020-01-10,40.5,40.93,39.85,40.43,21691710,,,,,
2020-01-13,40.48,41.55,40.48,41.08,16180683,,,,,
2020-01-14,41.3,42.0,41.18,41.83,16384476,,,,,
2020-01-15,42.02,43.82,41.92,43.72,29810808,,,,,
2020-01-16,43.97,44.33,43.25,43.4,17970444,,,,,
2020-01-17,43.37,43.78,43.05,43.18,6964134,,,,,
2020-01-20,44.75,46.45,44.4,46.23,65758101,,,,,
2020-01-21,46.0,46.13,44.6,44.8,17539515,,,,1.592890678611328,
2020-01-22,45.0,45.07,42.88,43.67,51414642,,,,1.6564559482950754,
2020-01-23,43.97,46.57,42.33,43.22,182750427,,,,1.92217976200934,
2020-01-24,42.83,43.73,42.15,42.98,28479879,,,,1.8880579765742818,
2020-01-27,42.67,42.67,41.12,41.18,13217430,,,,1.8853370424336864,
2020-01-28,41.3,42.07,40.83,41.13,17329239,,32767559.25,,1.8243141526045585,
2020-01-29,41.4,41.98,40.5,40.77,11203791,,32934726.0,,1.7924919861046271,
2020-01-30,40.85,41.13,39.48,40.0,20591808,,33040743.75,,1.779593391089892,
2020-01-31,40.28,40.77,38.73,38.9,34662396,,34070754.3,,1.8027241648743848,
2020-02-01,38.95,38.95,33.92,35.05,27693750,,34654301.55,,2.0844870461016676,
2020-02-03,35.18,36.15,34.15,34.32,25411260,,33792089.25,,2.0772260500740507,
2020-02-04,34.8,36.55,34.53,36.2,20860158,,32828227.2,,2.0901679348250175,
2020-02-05,36.48,38.12,35.8,37.83,21123756,,32351920.35,,2.109382370125103,
2020-02-06,38.18,39.15,37.4,38.68,26976819,,32616175.8,,2.0796986167694955,
2020-02-07,38.57,38.57,37.0,37.87,34560138,,33535148.55,,2.0470495049120516,
2020-02-10,37.67,38.08,36.95,37.6,30809652,40.99733333333333,34256407.35,,1.9729013797096122,
2020-02-11,37.93,38.3,37.37,37.67,20500233,40.782666666666664,33790878.6,-11.717834544176231,1.8893649473464793,
2020-02-12,37.6,38.47,37.57,38.22,14623857,40.617333333333335,33623549.25,-12.178308823529417,1.8107980742777345,
2020-02-13,38.23,38.35,36.5,36.67,27804486,40.36266666666667,34665566.85,-14.918793503480277,1.813886500344568,
2020-02-14,36.67,37.03,35.22,35.53,23336634,40.05088172043011,32544493.5,-17.90665434380776,1.8135825473474856,
2020-02-17,35.58,35.92,35.27,35.42,17178534,39.75211515782172,32526444.45,-16.698024459078088,1.7231945313419328,
