datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,268.5,269.8,266.3,267.0,804082,,,,,
2020-01-02,267.0,270.5,267.0,269.4,914480,,,,,
2020-01-03,269.25,271.85,268.2,269.85,1432871,,,,,
2020-01-06,269.25,269.25,264.7,266.65,1529260,,,,,
2020-01-07,268.0,272.15,266.45,270.9,1945178,,,,,
2020-01-08,268.5,271.55,265.75,270.25,1314791,,,,,
2020-01-09,271.8,273.15,268.1,269.25,1008741,,,,,
2020-01-10,270.0,271.35,268.0,269.5,1379438,,,,,
2020-01-13,270.0,275.7,270.0,273.55,2166556,,,,,
2020-01-14,273.35,278.6,272.85,277.5,5080687,,,,,
2020-01-15,277.45,280.2,275.1,276.7,3199414,,,,,
2020-01-16,277.05,277.75,272.2,274.75,2004980,,,,,
2020-01-17,274.95,276.25,270.4,272.65,2144845,,,,,
2020-01-20,272.5,276.45,272.35,273.5,877350,,,,,
2020-01-21,272.95,274.95,269.0,273.55,1401232,,,,5.152427289187869,
2020-01-22,273.55,274.65,270.4,270.45,676959,,,,5.056359396839792,
2020-01-23,271.0,277.5,270.85,277.0,3159863,,,,5.2614102005594905,
2020-01-24,277.95,279.85,275.5,276.85,1830292,,,,5.1705253886577145,
2020-01-27,277.5,277.95,271.3,272.3,2643611,,,,5.31399806458244,
2020-01-28,272.3,275.5,270.95,273.3,1162094,,1833836.2,,5.241754621762448,
2020-01-29,277.6,277.6,272.5,272.65,1989579,,1893111.05,,5.2286533909773185,
2020-01-30,273.6,276.45,268.7,269.2,1938650,,1944319.55,,5.456889586503998,
2020-01-31,271.4,273.25,265.5,266.4,2307368,,1988044.4,,5.660576499287957,
2020-02-01,266.5,269.4,261.6,262.9,691543,,1946158.55,,5.847362556793485,
2020-02-03,263.85,267.9,261.0,266.6,2349707,,1966385.0,,5.937828452410737,
2020-02-04,266.6,271.3,266.6,269.9,1720832,,1986687.05,,5.832968735290554,
2020-02-05,270.5,270.9,264.25,268.0,2154042,,2043952.1,,5.901274236361321,
2020-02-06,268.5,274.5,268.4,274.4,2143189,,2082139.65,,5.9507269345816365,
2020-02-07,273.45,276.0,270.05,273.7,3489450,,2148284.35,,5.950667555420755,
2020-02-10,273.0,273.7,268.5,269.5,1295611,271.27166666666665,1959030.55,,5.889972258616592,
2020-02-11,272.0,272.1,260.65,264.0,3955381,270.80252688172044,1996828.9,-1.1235955056179803,6.335330650494977,
2020-02-12,263.9,264.8,261.1,264.0,1635059,270.363654179674,1978332.85,-2.0044543429843964,6.126055307491439,
2020-02-13,265.0,267.55,263.6,264.3,2370455,269.97245068421114,1989613.35,-2.056698165647586,5.95462021059999,
2020-02-14,264.3,265.4,260.1,261.1,2661913,269.40003451103627,2078841.5,-2.081380086255369,5.90342408109475,
2020-02-17,260.8,260.8,255.1,255.6,1712970,268.50970970387266,2094428.4,-5.647840531561455,5.910926175143565,
2020-02-18,255.6,260.8,254.6,259.8,2789136,267.9477929487841,2200037.25,-3.866790009250687,5.93324213499914,
2020-02-19,261.65,266.25,260.15,265.6,1983322,267.7963224359594,2141210.2,-1.3556174558959966,5.972906034537691,
2020-02-20,266.0,271.0,265.1,266.75,3803534,267.72881776267167,2239872.3,-1.0204081632653073,5.967339760720609,
2020-02-24,266.5,270.45,264.0,265.0,4169313,267.55276500378966,2316157.4,-3.125571193566079,6.004009777643164,
2020-02-25,266.95,267.7,263.3,264.25,2122948,267.33968339064194,2364200.1,-4.77477477477477,5.882696965905727,
2020-02-26,264.0,264.65,258.55,260.95,3087384,266.927445752536,2419090.35,-5.692085290928805,5.899063027986919,
2020-02-27,259.9,263.2,259.0,261.0,2651429,266.5450298975337,2454729.3,-5.004549590536856,5.771594332463134,
2020-02-28,255.2,257.8,243.05,248.0,2842464,265.34857635575736,2481484.1,-9.040894920227394,6.681981808429946,
2020-03-02,248.05,253.35,240.85,241.1,4995631,263.78415207474075,2696688.5,-11.846435100548447,7.115461733105548,5.81040157228169
2020-03-03,244.5,249.8,241.55,248.7,3019556,262.8109809731446,2730180.95,-9.084262474867488,7.233157810913336,5.879759256339205
2020-03-04,249.0,250.9,242.5,244.6,5789375,261.6360789748772,2933608.1,-9.558143834350153,7.319582080982204,5.955200012477286
2020-03-05,248.5,248.5,241.6,242.2,3026159,260.38213839585285,2977213.95,-12.56317689530686,7.288586750667387,6.022772564147549
2020-03-06,242.45,243.05,232.05,236.35,4601105,258.83167785418493,3100109.75,-14.628860393715016,7.5620876856526476,6.102491307380714
2020-03-09,230.1,231.75,220.0,220.5,4603294,256.3586663797214,3155801.95,-19.02313624678663,8.20822287599771,6.198965467761223
2020-03-11,218.0,225.6,213.1,223.35,5085046,254.22907500038454,3345273.7,-18.276619099890233,8.523117416973404,6.308344227601588
2020-03-12,217.0,220.35,208.5,214.8,6404285,251.6852637100372,3467718.9,-21.217678342196944,8.986430665838435,6.433603470096958
2020-03-13,201.1,231.5,182.0,230.7,5738813,250.33137572874446,3672906.6,-14.301634472511148,11.94787861723185,6.649969771121221
2020-03-16,223.45,224.05,205.9,211.0,2895356,247.79386761721258,3699151.65,-20.79579579579579,12.885773432334405,6.8908096688894345
2020-03-17,208.0,211.5,198.75,200.8,4249816,244.76200519029567,3778546.8,-23.62114872575123,12.875880554479776,7.125093602145644
2020-03-18,205.25,206.7,189.15,191.8,3075208,241.34510162963144,3846658.7,-28.057014253563395,13.21596367739241,7.367698109645033
2020-03-19,178.1,201.45,172.0,193.95,6079057,238.28735313739716,4011154.75,-28.140051871063353,14.395562901849658,7.653117915197004
2020-03-20,193.9,208.75,179.25,206.5,10880461,236.2365561607909,4456011.7,-22.947761194029848,15.491730912565622,7.972799804403815
2020-03-23,195.0,208.35,187.0,189.5,3548675,233.22129447299795,4443268.75,-30.94023323615159,15.916394810205224,8.304988733591268
