datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,988.15,1009.0,988.15,991.6,107047,,,,,
2020-01-02,994.0,994.4,975.0,975.65,105338,,,,,
2020-01-03,978.0,993.8,971.0,985.0,207750,,,,,
2020-01-06,972.0,974.0,955.0,960.0,176626,,,,,
2020-01-07,970.0,974.75,955.0,959.7,101088,,,,,
2020-01-08,952.5,973.8,950.0,968.05,127715,,,,,
2020-01-09,978.0,981.95,968.0,972.0,150462,,,,,
2020-01-10,973.05,1039.0,973.0,1030.0,518760,,,,,
2020-01-13,1033.0,1087.25,1023.0,1070.0,513662,,,,,
2020-01-14,1078.25,1094.1,1025.0,1048.1,363770,,,,,
2020-01-15,1047.4,1109.7,1041.85,1083.4,533532,,,,,
2020-01-16,1090.95,1120.0,1086.05,1109.5,327513,,,,,
2020-01-17,1115.0,1124.45,1092.1,1107.0,211384,,,,,
2020-01-20,1114.6,1140.0,1112.0,1133.4,280288,,,,,
2020-01-21,1133.6,1147.0,1067.1,1084.0,527070,,,,44.95332965031424,
2020-01-22,1129.5,1130.0,986.0,992.5,2022954,,,,55.49734242407712,
2020-01-23,1003.0,1020.3,993.3,1005.55,962382,,,,52.64860312976596,
2020-01-24,1011.0,1024.0,1004.0,1022.0,277881,,,,49.39292072410156,
2020-01-27,1017.9,1017.9,992.2,1001.0,205896,,,,47.49288895341945,
2020-01-28,1001.9,1011.0,990.0,994.95,284722,,400292.0,,44.98772880057426,
2020-01-29,1004.0,1010.0,981.0,990.0,323022,,411090.75,,43.51011260618004,
2020-01-30,993.95,993.95,970.1,976.55,147279,,413187.8,,41.73044879922732,
2020-01-31,975.0,999.7,961.0,985.0,205423,,413071.45,,41.46126736050043,
2020-02-01,984.8,1006.95,956.0,964.05,180374,,413258.85,,42.28969752398434,
2020-02-03,959.0,993.0,950.0,988.0,174908,,416949.85,,42.35074242606968,
2020-02-04,993.0,1025.0,990.0,999.5,438210,,432474.6,,41.897466904661286,
2020-02-05,1007.8,1020.0,1003.1,1012.9,259990,,437951.0,,40.10859448117103,
2020-02-06,1013.95,1063.0,1011.95,1057.05,574693,,440747.65,,41.01231711695738,
2020-02-07,1062.0,1076.1,1051.55,1061.0,273716,,428750.35,,39.66760384942506,
2020-02-10,1064.95,1064.95,1033.05,1040.9,171532,1018.945,419138.45,,39.03955349918215,
2020-02-11,1041.0,1056.7,1036.0,1046.3,133897,1020.7098387096776,399156.7,5.516337232755131,37.57055470383962,
2020-02-12,1053.1,1074.95,1044.0,1066.0,328273,1023.6317845993758,399194.7,9.260493004663562,37.04480706899938,
2020-02-13,1070.0,1091.7,1069.0,1087.0,354660,1027.7200565607063,406358.5,10.355329949238579,36.151034703750646,
2020-02-14,1087.0,1088.65,1065.0,1077.5,237498,1030.9316658148543,404219.0,12.239583333333325,35.173361571636256,
2020-02-17,1083.8,1083.8,1042.65,1052.0,143748,1032.290913181638,385052.9,9.61758882984265,35.63763158939633,
2020-02-18,1050.0,1077.95,1030.6,1068.25,153148,1034.6108542666937,291562.6,10.350705025566874,36.54180457494602,
2020-02-19,1072.95,1088.0,1070.3,1080.0,147789,1037.5391862494878,250832.95,11.111111111111116,35.25294475327585,
2020-02-20,1077.5,1157.7,1071.05,1142.9,876388,1044.3366581043595,280758.3,10.961165048543698,39.17703807022796,
2020-02-24,1132.0,1182.0,1068.0,1089.0,555922,1047.2181640331105,298259.6,1.7757009345794383,44.8616979134687,
2020-02-25,1095.95,1130.25,1071.0,1124.0,293047,1052.171830869684,298675.85,7.241675412651483,45.949899124317575,
2020-02-26,1118.0,1157.7,1113.05,1135.0,442985,1057.5155837168013,304674.0,4.762783828687467,45.851997915268456,
2020-02-27,1136.0,1172.0,1110.0,1167.0,387581,1064.5790944447497,316689.1,5.182514646237046,47.0634684299879,
2020-02-28,1120.0,1135.4,1047.0,1070.0,597768,1064.928830287024,336306.35,-3.342366757000903,52.51578351083598,
2020-03-02,1090.0,1120.0,1036.0,1073.65,321295,1065.4914863975387,343352.4,-5.271748720663494,54.86156094617779,43.05647343752466
2020-03-03,1077.0,1086.0,1020.0,1052.0,279776,1064.6210679202782,348595.8,-2.9520295202952074,55.6889001256255,43.4143257867017
2020-03-04,1051.25,1067.0,1000.0,1052.0,295867,1063.8068054738087,341478.65,5.994962216624677,56.52667712705879,43.448636943467754
2020-03-05,1059.0,1063.0,1036.4,1051.5,136114,1063.0128180238855,335284.85,4.569638506290086,54.31593628558465,43.50421471532838
2020-03-06,995.0,1063.9,986.45,1035.05,230494,1061.2087652481512,318074.9,1.2769080234833696,56.02072840406915,43.725141637993964
2020-03-09,990.2,1016.0,982.0,1007.0,286271,1057.7114255547222,318702.65,0.5994005994006013,55.8023042671222,44.00212214845072
2020-03-11,1002.0,1035.0,988.0,995.0,177752,1053.6655271318368,319013.65,0.005025378159695393,55.156465146953956,44.34108002666338
2020-03-12,966.0,990.0,850.1,875.45,435179,1042.1677511878474,334077.75,-11.570707070707066,61.72832232175656,44.94835368384927
2020-03-13,806.0,1032.8,710.0,930.7,407814,1034.9762833692766,338054.8,-4.695100097281236,80.81205643192656,46.251073938272576
2020-03-16,876.1,900.0,809.2,820.0,235486,1021.1068457325491,332096.1,-16.75126903553299,83.78129475244592,47.66174151800409
2020-03-17,812.6,874.95,795.0,839.9,261572,1009.4160814917395,333299.8,-12.87796276126757,83.50213460778913,49.03548942079758
