datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,686.3,690.6,685.06,688.2,532790,,,,,
2020-01-02,688.2,693.9,687.0,691.64,762405,,,,,
2020-01-03,691.64,695.17,687.06,694.0,607970,,,,,
2020-01-06,690.0,690.0,676.81,680.83,749320,,,,,
2020-01-07,683.1,689.8,677.62,682.4,769245,,,,,
2020-01-08,677.6,698.51,676.2,693.09,995430,,,,,
2020-01-09,694.98,703.2,691.64,700.0,1324910,,,,,
2020-01-10,703.6,703.6,696.0,700.0,950770,,,,,
2020-01-13,700.4,708.72,700.25,708.0,1099035,,,,,
2020-01-14,704.24,712.49,704.24,707.84,705200,,,,,
2020-01-15,704.0,716.1,704.0,714.15,665545,,,,,
2020-01-16,712.4,719.36,712.01,715.8,521905,,,,,
2020-01-17,715.78,731.0,714.2,727.36,974580,,,,,
2020-01-20,727.0,728.97,720.4,723.0,420055,,,,,
2020-01-21,723.0,729.4,720.42,722.6,470220,,,,10.988959308757629,
2020-01-22,725.8,727.72,720.18,720.56,456520,,,,10.621800363592307,
2020-01-23,722.2,732.6,721.48,728.22,822115,,,,10.767665658881453,
2020-01-24,725.04,745.35,725.04,732.83,1464880,,,,11.719216630292639,
2020-01-27,730.0,742.51,729.17,737.37,763835,,,,11.876392782802103,
2020-01-28,737.94,757.0,736.66,756.19,1537440,,829708.5,,12.676709108708891,
2020-01-29,756.19,760.77,750.21,754.4,1418420,,873990.0,,12.481078841466822,
2020-01-30,753.9,764.8,748.35,763.2,768125,,874276.0,,12.84035172458703,
2020-01-31,763.2,772.2,754.4,755.2,1572075,,922481.25,,13.280895468040283,
2020-02-01,755.2,761.5,734.1,736.07,727090,,921369.75,,14.513588233243388,
2020-02-03,737.63,762.81,737.63,760.0,1188730,,942344.0,,15.564352005521593,
2020-02-04,769.99,780.0,728.26,753.6,5338205,,1159482.75,,18.62888668151204,
2020-02-05,760.0,799.55,755.0,796.6,5148045,,1350639.5,,20.912988178771442,
2020-02-06,798.0,811.0,795.41,802.21,3153690,,1460785.5,,20.473327579509263,
2020-02-07,799.82,824.8,796.93,824.4,2105930,,1511130.25,,21.077519776073057,
2020-02-10,824.4,834.7,818.0,825.75,2540855,733.1836666666666,1602913.0,,20.723574996981174,
2020-02-11,830.6,839.01,821.2,833.0,1317940,739.6234301075268,1635532.75,21.04039523394361,20.490197550747467,
2020-02-12,832.8,836.73,827.82,833.4,801420,745.6735313909122,1649508.5,20.49621190214563,19.570597646262527,
2020-02-13,832.0,834.0,824.04,830.96,962805,751.1758842044018,1648919.75,19.734870317002894,18.813450650503913,
2020-02-14,830.0,846.0,829.83,838.0,1394930,756.7774400621824,1697663.5,23.085057943980125,18.606713309290658,
2020-02-17,840.2,843.4,828.2,831.44,848625,761.5943794130094,1716583.75,21.84056271981243,18.34207711495408,
2020-02-18,831.44,834.96,824.49,833.0,1225680,766.2011936444281,1755041.75,20.18641157714005,17.73436745129106,
2020-02-19,833.0,836.0,828.76,832.4,732000,770.4720843770458,1750536.0,18.914285714285704,16.928869239264873,
2020-02-20,834.0,852.0,831.0,832.2,1588875,774.4545305462688,1756735.75,18.885714285714283,17.239694381560493,
2020-02-24,827.11,832.0,810.01,813.19,952055,776.9535930916709,1766146.75,14.857344632768378,17.615792879068852,
2020-02-25,813.9,827.63,806.59,823.4,1236160,779.9501354728535,1751082.75,16.325723327305596,17.874768977345425,
2020-02-26,821.6,833.1,819.83,825.46,1044675,782.8862557649275,1732395.5,15.58636140866765,17.527963258470358,
2020-02-27,824.96,834.29,818.2,829.15,833795,785.8710134575128,1735679.0,15.8354288907516,17.420083034047178,
2020-02-28,815.2,819.79,769.21,787.0,2509225,785.9438512989636,1782536.5,8.19951605807303,20.598627167138233,
2020-03-02,800.0,803.8,777.09,783.02,1396430,785.7552157312886,1816003.5,8.301521438450887,21.05396390690503,16.632149130186374
2020-03-03,788.8,801.18,775.0,799.0,1145550,786.6097179421731,1813844.5,10.57293108220314,21.434714789015857,16.980340979528318
2020-03-04,794.42,803.19,777.98,795.22,1282690,787.1652200104201,1611068.75,10.36138558898636,21.714338093446155,17.35009223719011
2020-03-05,795.6,801.86,782.61,786.2,1057740,787.1029477516834,1406553.5,7.9618796517535895,21.53229272812706,17.7089131394983
2020-03-06,770.0,783.54,748.03,780.8,2443455,786.6963059612522,1371041.75,6.545856474216372,22.758356275668312,18.07688446101082
2020-03-09,768.0,769.19,737.61,744.4,1594395,783.9675120282682,1345465.0,0.9533883938863674,24.260602034917667,18.48969143608134
2020-03-11,733.02,750.94,728.0,744.79,1473510,781.4399306070895,1292097.75,-1.5075576244065747,24.163707354792912,18.872591377617475
2020-03-12,719.6,725.94,665.52,676.49,2608355,774.668967342116,1356618.5,-10.327412513255563,28.199103166760796,19.39652552179394
2020-03-13,613.0,718.23,580.07,711.15,1555900,770.5709694490763,1394342.5,-6.819968553459132,36.23698968261494,20.176413453728205
2020-03-16,699.61,699.61,625.02,628.19,1534010,761.3851004523617,1422902.75,-16.818061440677965,39.877975811898985,21.062982798523493
2020-03-17,631.0,671.0,620.65,648.44,1303080,754.0983197780158,1418310.25,-11.905117719782087,40.64100031825771,21.933896534690636
2020-03-18,652.05,667.76,587.51,591.87,1521205,743.631976566531,1451939.25,-22.12236842105263,43.52290191795317,22.865848198438353
2020-03-19,550.2,615.5,537.31,583.6,2401670,733.3073329170774,1510738.75,-22.558386411889597,46.04188618034623,23.779614848399497
2020-03-20,586.0,659.98,572.4,659.98,1651040,728.5765372450079,1556690.75,-17.15038915390409,49.05641438147721,24.717729055156358
2020-03-23,580.2,609.8,521.01,549.8,1127750,717.0425671001688,1533634.5,-31.46432978895801,55.57421906911343,25.887758771476495
2020-03-24,588.98,591.0,527.03,544.0,1273205,705.8785305130612,1549692.0,-34.01261523532265,56.182181223749744,27.05791415306572
2020-03-25,543.7,567.0,493.53,537.79,1184545,695.0341091896379,1547111.25,-34.87254011504694,57.43280996776711,28.28155531875858
