datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,827.9,831.4,821.0,827.7,263631,,,,,
2020-01-02,829.8,835.8,823.3,828.05,293940,,,,,
2020-01-03,828.0,842.0,821.55,837.95,665519,,,,,
2020-01-06,835.0,835.0,816.55,823.0,300661,,,,,
2020-01-07,830.0,832.8,821.75,825.0,223858,,,,,
2020-01-08,820.0,826.05,812.6,822.0,221898,,,,,
2020-01-09,826.9,851.7,825.0,844.1,468811,,,,,
2020-01-10,845.0,859.0,841.0,842.0,518365,,,,,
2020-01-13,854.0,899.9,852.3,891.9,4030502,,,,,
2020-01-14,892.0,920.0,892.0,905.95,2040323,,,,,
2020-01-15,909.0,962.8,907.0,958.1,1557187,,,,,
2020-01-16,960.0,969.5,951.1,957.45,935196,,,,,
2020-01-17,963.0,964.0,940.25,948.05,406902,,,,,
2020-01-20,950.0,957.25,930.2,938.0,266680,,,,,
2020-01-21,935.0,964.0,925.0,952.0,473723,,,,28.76942094932432,
2020-01-22,956.5,979.0,954.5,957.0,898551,,,,28.581057251423413,
2020-01-23,963.0,978.0,961.0,964.95,283871,,,,27.801327003160363,
2020-01-24,968.9,973.0,958.1,962.0,218974,,,,26.514821017989497,
2020-01-27,960.0,968.0,929.1,942.35,212999,,,,27.71587898595528,
2020-01-28,942.75,956.9,927.55,950.0,321099,,730134.5,,27.870401010960162,
2020-01-29,950.0,961.9,925.0,928.15,305535,,732229.7,,28.70493366168987,
2020-01-30,938.0,962.0,935.0,956.0,695694,,752317.4,,29.17067302595898,
2020-01-31,957.95,966.5,941.8,950.4,317848,,734933.85,,28.773562803370176,
2020-02-01,944.0,959.05,941.05,957.0,157119,,727756.75,,27.83295832713627,
2020-02-03,950.0,979.9,926.4,956.0,564642,,744795.95,,30.038838355218704,
2020-02-04,961.9,1037.3,960.0,1032.75,2221592,,844780.65,,34.3813067310709,
2020-02-05,1031.3,1058.0,1014.3,1025.0,795485,,861114.35,,35.160368733411005,
2020-02-06,1030.0,1048.0,1013.35,1037.9,521499,,861271.05,,35.1182140233797,
2020-02-07,1036.0,1057.0,1021.0,1030.15,636484,,691570.15,,35.1902421159903,
2020-02-10,1036.9,1070.8,1021.1,1069.1,576257,930.6666666666667,618366.85,,36.3634299738735,
2020-02-11,1064.0,1088.0,1059.3,1088.0,637275,940.8172043010754,572371.25,31.448592485199956,35.74958899893843,
2020-02-12,1086.0,1098.4,1054.5,1055.4,531129,948.2096427332642,552167.9,27.45607149326734,36.3968246911832,
2020-02-13,1067.8,1096.55,1058.5,1090.55,486666,957.3928915891827,556156.1,30.14499671818127,36.77129176782584,
2020-02-14,1088.0,1096.45,1025.1,1030.55,448492,962.1127050350419,565246.7,25.218712029161594,39.475601833589984,
2020-02-17,1041.0,1043.35,975.95,985.5,864677,963.6215627747167,584794.4,19.454545454545457,41.644791251362435,
2020-02-18,980.0,992.0,934.8,972.0,911990,964.1621071118319,585466.35,18.248175182481763,42.84562434011424,
2020-02-19,980.1,1014.0,978.05,1006.0,627336,966.8613260078428,602639.6,19.18019192038858,42.78071819906579,
2020-02-20,1005.7,1021.0,986.0,995.0,632752,968.6767243299175,623328.5,18.171021377672215,42.18667124171627,
2020-02-24,991.5,1013.0,971.45,1006.0,585780,971.0846775989552,641967.55,12.792914003812083,42.13830026911928,
2020-02-25,1012.8,1012.8,985.1,994.7,256186,972.6082467861194,638721.9,9.796346376731613,41.046317647336345,
2020-02-26,993.0,993.0,952.1,957.0,277601,971.6012631224988,637325.2,-0.11481056257175437,41.16333240483449,
2020-02-27,955.0,955.0,915.0,930.05,559199,968.9205364694344,630500.45,-2.861768238550322,41.22610166364717,
2020-02-28,910.0,919.05,855.1,883.0,629054,963.3772760520517,646060.75,-6.861452455039285,43.747106097588244,
2020-03-02,887.0,965.0,887.0,949.1,865008,962.4561614680484,681455.2,1.1833688699360412,46.597193708429224,35.391896602822115
2020-03-03,962.25,1071.25,940.45,1066.0,1462204,969.1364091152711,726333.3,11.974789915966388,52.85159617253007,36.19463577692897
2020-03-04,1042.0,1057.0,947.0,992.1,1289077,970.6179311078344,679707.55,3.6677115987460818,57.75099694024194,37.16696709988958
