datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,197.2,220.25,195.65,205.0,82547551,,,,,
2020-02-01,204.1,216.05,194.0,208.2,76572033,,,,,
2020-03-01,208.6,216.55,136.55,155.7,128471688,,,,,
2020-04-01,155.4,179.5,148.2,172.0,109050266,,,,,
2020-05-01,167.25,194.9,161.5,189.85,99801906,,,,,
2020-06-01,191.8,198.95,181.65,193.8,104322564,,,,,
2020-07-01,194.15,225.5,185.7,219.6,119418193,,,,,
2020-08-01,218.5,231.85,208.55,208.65,73660989,,,,,
2020-09-01,211.0,223.0,197.45,216.75,77522236,,,,,
2020-10-01,218.5,265.8,217.55,259.35,212884683,,,,,
2020-11-01,260.0,272.0,246.65,260.5,143414122,,,,,
2020-12-01,262.2,269.55,225.95,249.0,198583560,,,,,
2021-01-01,249.0,274.6,241.75,243.95,138740333,,,,,
2021-02-01,246.4,290.5,242.1,272.9,170339964,,,,,
2021-03-01,275.55,310.95,273.5,308.95,147384609,,,,36.63139501872408,
2021-04-01,311.85,329.9,285.3,308.35,143568073,,,,37.47969282030596,
2021-05-01,304.5,335.0,300.0,327.0,96852665,,,,37.22465035930485,
2021-06-01,327.0,351.5,322.55,340.5,63512089,,,,36.39951142516,
2021-07-01,341.3,415.35,337.25,411.95,111202903,,,,40.44343393476814,
2021-08-01,412.0,427.4,381.25,422.0,82967145,,119040878.6,,40.98304522220956,
2021-09-01,423.0,442.5,398.4,400.5,77743235,,118800662.8,,41.2711200897725,
2021-10-01,399.9,418.0,365.75,404.1,102940122,,120119067.25,,42.26494528337644,
2021-11-01,406.0,435.0,360.05,374.5,51311131,,116261039.4,,45.16821494288402,
2021-12-01,379.6,387.4,347.0,377.9,50242965,,113320674.35,,44.751917715979744,
2022-01-01,378.75,410.0,340.45,365.0,56424282,,111151793.15,,46.88311753021069,
2022-02-01,370.0,386.3,302.05,315.45,89779980,,110424663.95,,50.048564824473594,
2022-03-01,312.8,314.9,274.0,299.25,125666367,,110737072.65,,49.32970704730637,
2022-04-01,298.9,391.0,298.5,372.0,208459958,,117477021.1,,52.89542544315033,
2022-05-01,371.6,382.0,349.3,370.4,172601954,,122231007.0,,51.24577574050366,
2022-06-01,370.0,376.35,355.5,363.15,98588419,293.875,116516193.8,,48.788122393372454,
2022-07-01,363.95,376.0,362.1,374.9,64712049,299.10241935483873,112581090.15,82.87804878048779,45.99358272424078,
2022-08-01,377.0,427.0,374.25,410.4,187715449,306.28290842872013,112037684.6,97.11815561959654,46.5301193985264,
2022-09-01,409.6,585.7,405.55,515.8,593450344,319.80014014299627,134773185.15,231.2780989081567,57.0570288473238,
2022-10-01,516.1,538.6,471.05,533.5,163071415,333.5872278757062,134409757.7,210.17441860465115,57.87765659655684,
2022-11-01,535.0,593.5,533.75,572.0,131407836,348.96869704501546,133610919.05,201.2904924940743,58.04252191699071,
2022-12-01,573.5,598.0,486.0,523.6,119766249,360.2352327195306,132420827.85,170.17543859649123,62.207938538182155,
2023-01-01,526.75,536.75,345.15,402.9,292936210,362.98779835052864,142225005.1,83.46994535519126,72.1394636769417,
2023-02-01,409.2,412.7,315.3,342.25,532519066,361.649875876301,165675353.95,64.03067337646777,74.0680703119348,
2023-03-01,344.2,404.9,340.8,365.95,288596398,361.9273032391203,174545028.7,68.83506343713957,73.31074812693441,
2023-04-01,368.95,399.5,363.5,397.0,89801158,364.1900578688545,174886729.35,53.074995180258334,70.48890013922681,
2023-05-01,398.0,440.95,375.75,423.75,153458191,368.03263478054134,178672477.15,62.66794625719769,70.09056944688002,
2023-06-01,425.0,468.9,419.3,426.6,91935144,371.8111744721193,178122228.25,71.32530120481928,68.5533067821583,
2023-07-01,428.4,468.8,412.05,462.0,75905137,377.6298083771439,179351928.55,89.38307030129127,67.67095953878187,
2023-08-01,464.0,481.15,425.1,428.0,96985819,380.8794981592637,181689071.25,56.8340051300843,66.80512301169291,53.08815429492913
2023-09-01,427.55,453.9,414.7,424.55,64812947,383.6969498909241,182108504.5,37.41705777633921,64.75467413724225,54.02559693221307
2023-10-01,424.05,450.35,407.75,424.2,41406086,386.3100498979613,179689809.8,37.570942111237215,63.11374826154735,54.880065446921115
2023-11-01,425.5,443.0,404.05,438.7,47913872,389.690046678738,175802185.05,34.15902140672782,61.32872599067846,55.683534634633574
2023-12-01,444.0,532.5,438.0,519.7,111492770,398.07778560269037,170953825.65,52.628487518355385,63.77317877637488,56.595990213007404
2024-01-01,520.85,586.45,509.0,559.0,103340230,408.4598639509039,167490739.45,35.696079621313274,64.778773184755,57.40716818800696
2024-02-01,568.0,615.25,549.95,605.0,76350012,421.139872728265,166378819.1,43.3649289099526,64.81701642851826,58.20163389488391
