datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,40.98,43.75,39.78,40.98,674153748,,,,,
2020-02-01,40.95,43.18,34.75,34.98,1025986648,,,,,
2020-03-01,35.75,38.5,16.85,21.48,1811089162,,,,,
2020-04-01,21.53,26.6,18.65,26.18,1314309118,,,,,
2020-05-01,25.03,26.0,21.0,21.38,1521165444,,,,,
2020-06-01,21.93,29.25,21.75,23.55,2482900554,,,,,
2020-07-01,23.78,26.7,23.43,24.4,1521279062,,,,,
2020-08-01,24.5,36.8,24.33,33.95,2687400638,,,,,
2020-09-01,33.95,41.7,32.08,37.17,2407272062,,,,,
2020-10-01,37.7,41.75,36.0,39.55,1659833910,,,,,
2020-11-01,39.9,48.9,39.3,45.95,1453247442,,,,,
2020-12-01,46.58,51.05,43.63,47.8,1123530506,,,,,
2021-01-01,47.85,63.63,47.85,55.1,1622161340,,,,,
2021-02-01,55.95,69.45,54.25,64.25,1329396876,,,,,
2021-03-01,65.35,67.18,53.63,56.63,983796738,,,,10.60909578461626,
2021-04-01,57.63,62.8,53.1,56.28,974582132,,,,10.512317997622251,
2021-05-01,54.85,64.43,54.15,61.85,664469610,,,,10.488423524337808,
2021-06-01,61.95,66.15,56.2,61.45,908288798,,,,10.43473252910548,
2021-07-01,61.9,68.75,60.4,66.25,610761886,,,,10.232564710715733,
2021-08-01,67.47,71.65,57.43,61.4,786281768,,1378095372.1,,10.609615473897012,
2021-09-01,61.25,67.25,59.78,67.0,752061012,,1381990735.3,,10.319446261855195,
2021-10-01,66.97,74.85,64.5,71.38,811167982,,1371249802.0,,10.322212033498145,
2021-11-01,71.2,76.75,59.38,59.63,717663662,,1316578527.0,,10.94823604193833,
2021-12-01,60.0,65.18,58.5,61.4,483818142,,1275053978.2,,10.575590335040497,
2022-01-01,62.5,70.95,62.08,66.38,508519514,,1224421681.7,,10.487448925294316,
2022-02-01,66.78,69.45,56.4,59.28,609721546,,1130762731.3,,10.704529394139845,
2022-03-01,59.0,59.65,46.6,58.65,998353116,,1104616434.0,,10.90061558067888,
2022-04-01,58.7,66.0,58.15,63.5,416756152,,991084209.7,,10.64864517810147,
2022-05-01,63.55,71.5,56.5,68.93,787552276,,910098220.4,,11.00408266112264,
2022-06-01,69.45,74.72,64.1,73.5,665746076,51.007666666666665,860393828.7,,10.973027620917653,
2022-07-01,74.0,77.25,70.28,74.35,486659506,52.51362365591398,812064431.9,81.42996583699365,10.652384986236655,
2022-08-01,75.2,79.13,69.8,77.13,565815384,54.101776968435665,784178675.8,120.4974271012007,10.547372519764782,
2022-09-01,77.58,84.73,73.15,76.43,629683104,55.54230748660111,734554764.0,255.81936685288645,10.62872550354118,
2022-10-01,77.6,80.25,70.85,76.58,421813456,56.89957797133653,689175593.0,192.51336898395724,10.532630105038246,
2022-11-01,77.13,77.2,70.83,74.5,521243176,58.03508906995998,666047914.9,248.45650140318054,10.20927369391202,
2022-12-01,75.15,75.3,67.6,71.83,365870256,58.925083323510954,635612321.1,205.01061571125265,10.015562447147305,
2023-01-01,73.28,76.4,71.65,74.68,416969398,59.9415295607038,623237310.5,206.06557377049185,9.611402677044381,
2023-02-01,74.97,78.15,68.8,72.65,427802824,60.76143087936807,599213011.8,113.99116347569955,9.591444948083078,
2023-03-01,72.68,73.25,66.55,69.65,292765714,61.33488695166691,583313203.2,87.38229755178908,9.371767985805954,
2023-04-01,70.5,73.15,67.2,72.75,328978644,62.071345858010986,560448047.0,83.94437420986094,9.11297636167933,
2023-05-01,72.97,77.47,71.6,73.25,356722154,62.79254935104254,540681104.1,59.412404787812825,8.868733327133999,
2023-06-01,73.38,85.28,72.22,83.65,496025142,64.13819132839464,524923962.1,75.00000000000003,9.183174455321891,
2023-07-01,84.5,93.25,80.85,92.08,692913934,65.9408886620466,523686475.7,67.11433756805806,9.423645808321039,
2023-08-01,92.23,95.75,89.43,91.7,963438326,67.60276681288231,547667484.9,42.723735408560316,9.192404154047749,10.223736100865304
2023-09-01,92.33,92.95,86.78,88.6,374202682,68.95742701850281,540951643.3,56.4541762316793,8.967906505796835,10.169029791571322
2023-10-01,89.0,90.0,82.55,83.88,335790662,69.92017366247038,527255099.1,49.040511727078886,8.855480024286974,10.113801859126815
