datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,15399.7,15550.0,13840.0,13875.0,349197,,,,,
2020-02-01,13875.0,14950.0,12010.0,12140.0,376650,,,,,
2020-03-01,12370.6,13690.0,7850.0,9400.0,667633,,,,,
2020-04-01,9399.0,11100.0,8710.0,10610.0,626748,,,,,
2020-05-01,10255.0,10300.2,9030.0,9772.0,891300,,,,,
2020-06-01,9800.0,11850.0,9800.0,11385.0,1145602,,,,,
2020-07-01,11425.0,13960.0,11150.0,13150.0,1476249,,,,,
2020-08-01,13078.7,14725.8,12700.8,12843.0,1411118,,,,,
2020-09-01,13100.0,13880.5,12111.2,13723.9,1691325,,,,,
2020-10-01,13760.3,14045.5,11567.5,11640.0,904709,,,,,
2020-11-01,11680.0,13783.3,11265.0,12893.0,3168436,,,,,
2020-12-01,12849.5,13646.3,11910.0,12773.9,2394400,,,,,
2021-01-01,12813.0,16550.0,12780.0,15330.0,1902543,,,,,
2021-02-01,15524.0,16830.1,14353.6,14905.0,1404096,,,,,
2021-03-01,15000.0,15639.0,13590.0,14065.0,796209,,,,2530.0178553506394,
2021-04-01,14245.0,14847.8,13303.3,13520.0,619832,,,,2425.1045572165185,
2021-05-01,13230.0,16250.0,13225.0,15264.0,1494340,,,,2486.805268215055,
2021-06-01,15270.0,16200.0,14911.0,15005.0,773924,,,,2367.3614585782343,
2021-07-01,15100.0,16179.8,14816.8,14940.0,813559,,,,2269.9630815103474,
2021-08-01,15073.0,15788.0,13412.0,13834.8,944218,,1192604.4,,2279.9899027980455,
2021-09-01,13899.0,16229.0,13850.0,15477.0,1026419,,1226465.5,,2290.545416423151,
2021-10-01,15426.6,18570.0,15218.0,16942.1,1534263,,1284346.15,,2386.629927379715,
2021-11-01,17037.1,19250.0,15692.0,16165.0,1492009,,1325564.95,,2490.6775791697555,
2021-12-01,16200.0,17420.0,15200.0,17330.0,765599,,1332507.5,,2467.045606420352,
2022-01-01,17320.2,17929.9,15773.3,16538.9,555564,,1315720.7,,2440.365252223842,
2022-02-01,16725.0,17027.9,14975.0,15662.0,524148,,1284648.0,,2407.542047471226,
2022-03-01,15492.1,15741.0,13865.8,14400.0,862956,,1253983.35,,2363.037152904563,
2022-04-01,14420.0,15168.0,14028.3,14512.0,379160,,1202385.45,,2261.993692411692,
2022-05-01,14420.0,14700.0,12932.5,14626.0,580552,,1146846.8,,2221.6013087531305,
2022-06-01,14680.0,15700.0,13165.0,15240.0,476438,13932.086666666666,1125433.25,,2246.941189830851,
2022-07-01,15273.0,17230.0,15201.5,17063.0,760865,14134.081075268818,1005054.7,22.97657657657657,2229.444043854586,
2022-08-01,17200.0,18224.7,16801.2,17545.0,1256572,14354.140360735346,948163.3,44.52224052718287,2165.442884763734,
2022-09-01,17490.0,17898.0,15300.0,15834.0,737759,14449.615176171776,889924.1,68.44680851063829,2199.520819596696,
2022-10-01,15895.1,16555.0,15393.6,16465.0,333889,14579.640003515533,836413.75,55.18378887841659,2118.332113440736,
2022-11-01,16510.0,17510.3,16108.5,17012.0,693995,14736.56645490163,831303.05,74.08923454768728,2062.671330038807,
2022-12-01,17025.0,17897.7,16617.6,17257.9,623965,14899.233135230557,831509.7,51.58454106280195,2002.258283669281,
2023-01-01,17337.8,17524.9,16366.0,17124.0,249285,15042.766481344715,769256.95,30.220532319391637,1937.5260744393186,
2023-02-01,17100.0,18525.0,16780.0,18020.0,491464,15234.846063193443,755133.95,40.30989644164136,1922.8269778000317,
2023-03-01,17996.2,19504.9,17801.1,19200.1,646377,15490.668897826125,746774.85,39.902651578632884,1906.1864461614307,
2023-04-01,19500.0,19654.9,18455.1,19370.0,462730,15740.948323772827,722700.45,66.40893470790378,1852.7617556442876,
2023-05-01,19371.8,19850.4,18245.7,18500.0,576916,15918.951657722968,700225.3,43.48871480648413,1834.0791168593942,
2023-06-01,18599.9,19449.9,18484.4,19117.9,406400,16125.335421740841,643832.15,49.66376752597095,1768.915762021141,
2023-07-01,19100.1,19990.0,18740.0,18950.5,617997,16307.604104209175,600131.55,23.6170906718852,1730.124607930659,
2023-08-01,19140.0,19200.0,17931.2,18582.2,549407,16454.352226518262,589321.95,24.670915800067107,1695.7529456717589,2178.7154819516327
2023-09-01,18599.0,19749.9,18507.2,19015.0,446357,16619.555308678377,583861.6,35.1937433345183,1662.1011520490415,2149.7849251749126
2023-10-01,19060.0,20932.1,18600.0,19475.0,499640,16803.77754682816,582636.2,44.04585798816567,1711.7258244535146,2126.005634082813
2023-11-01,19460.0,21819.9,19300.0,21800.0,560349,17126.114479290864,567505.85,42.819706498951795,1771.4271955519405,2102.1596983273757
2023-12-01,21700.0,22300.0,21331.0,22249.0,551538,17456.623222562423,576124.75,48.27724091969343,1712.2948452860355,2080.324144550969
2024-01-01,22301.0,24172.1,22101.0,23530.8,554700,17848.505595300332,574832.15,57.5020080321285,1738.6761550493788,2062.614580335603
2024-02-01,23600.0,29300.0,23589.2,28750.0,930629,18551.82781495838,597541.7,107.80929250874607,2034.4021257548986,2054.4283211008315
