datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,3044.7,3274.6,2978.05,3190.65,7795993,,,,,
2020-02-01,3161.0,3318.0,2917.0,2965.0,9248288,,,,,
2020-03-01,2995.0,3165.0,2100.0,2687.2,14623865,,,,,
2020-04-01,2700.0,3290.0,2475.0,3161.05,21926359,,,,,
2020-05-01,3109.0,3417.0,2867.0,3381.0,16991686,,,,,
2020-06-01,3416.0,3708.0,3305.75,3605.0,20937693,,,,,
2020-07-01,3605.0,4010.0,3512.05,3831.55,23254853,,,,,
2020-08-01,3827.0,4005.0,3684.0,3721.0,12427242,,,,,
2020-09-01,3735.0,3890.95,3540.05,3795.5,11631041,,,,,
2020-10-01,3820.0,3879.95,3382.0,3478.3,19656202,,,,,
2020-11-01,3483.0,3684.9,3390.0,3550.0,19238698,,,,,
2020-12-01,3702.5,3797.7,3534.85,3572.5,13550486,,,,,
2021-01-01,3575.0,3704.9,3480.2,3508.0,15198867,,,,,
2021-02-01,3539.0,3616.9,3317.3,3360.4,16449016,,,,,
2021-03-01,3371.5,3655.0,3367.05,3610.0,10314780,,,,403.9270817671613,
2021-04-01,3635.0,3850.0,3437.0,3444.8,11930893,,,,404.8929392301594,
2021-05-01,3439.1,3555.0,3371.4,3445.0,11215716,,,,382.1324201201903,
2021-06-01,3458.0,3709.9,3442.0,3652.9,8083281,,,,370.7412901884261,
2021-07-01,3640.0,3661.0,3378.0,3425.05,8113318,,,,362.2325414772871,
2021-08-01,3446.7,4027.3,3440.05,3984.6,13006802,,14279753.95,,384.92852507256293,
2021-09-01,3984.6,4153.0,3940.3,3950.0,6891001,,14234504.35,,369.01083839184383,
2021-10-01,3958.8,3993.15,3605.85,3670.0,5685306,,14056355.25,,370.6664015936189,
2021-11-01,3694.0,3760.0,3469.1,3535.0,6910921,,13670708.05,,363.5811029578155,
2021-12-01,3550.5,3658.35,3430.1,3614.0,5324584,,12840619.3,,351.76578767734276,
2022-01-01,3610.0,3800.95,3430.25,3544.2,4792459,,12230657.95,,353.39303406367554,
2022-02-01,3560.0,3710.0,3327.35,3418.0,5816023,,11474574.45,,355.87146891133386,
2022-03-01,3420.95,3439.55,3050.0,3209.0,9324374,,10778050.5,,358.68706366358236,
2022-04-01,3210.0,3402.0,3132.05,3289.0,4994582,,10406417.5,,351.35768601388384,
2022-05-01,3242.0,3700.0,3156.9,3666.0,10278893,,10338810.1,,367.0200275744704,
2022-06-01,3649.1,3669.75,3270.95,3441.0,7187891,3490.19,9715394.55,,369.5896002766161,
2022-07-01,3412.0,3949.35,3412.0,3894.0,8362426,3516.242258064516,9171580.95,22.044097597668188,383.02721341756984,
2022-08-01,3900.4,3916.0,3585.25,3740.5,6462805,3530.710499479709,8817196.9,26.155143338954478,378.87580578787595,
2022-09-01,3730.0,3889.8,3564.1,3850.0,8483310,3551.309822093922,8481419.05,43.27180708544211,374.68648238872277,
2022-10-01,3862.0,3878.2,3690.0,3763.55,4280973,3565.0027367975404,7873016.9,19.060122427674344,360.10186378277024,
2022-11-01,3780.0,4387.9,3705.45,4370.0,10585071,3616.9380441009253,7886531.45,29.25170068027212,385.14212290506686,
2022-12-01,4364.55,4537.0,4296.55,4320.0,5791088,3662.296879965382,7579541.2,19.833564493758658,373.9721610180967,
2023-01-01,4379.95,4444.0,4206.3,4325.0,5443209,3705.0519199676155,7290915.85,12.878600044368472,363.51255184598614,
2023-02-01,4329.9,4669.2,4326.85,4467.8,6926858,3754.2614735180923,7233094.7,20.069873689868324,362.0380655107606,
2023-03-01,4439.0,4454.55,4153.0,4321.5,5446863,3790.8575074846676,7099771.95,13.858516664471088,358.4491627574395,
2023-04-01,4344.0,4564.85,4222.55,4533.5,5344027,3838.7699263566246,6716633.2,30.336658712589482,357.2277859500057,
2023-05-01,4565.25,4705.45,4443.35,4626.0,8616380,3889.558963365875,6802902.15,30.309859154929587,350.06328750205006,
2023-06-01,4655.0,5085.25,4587.55,5025.0,7219917,3962.813223793883,6879632.7,40.65780265920225,361.13942702339017,
2023-07-01,5035.0,5270.35,4763.8,4810.0,7097093,4017.47043516202,6888941.3,37.115165336374,372.00948408380987,
2023-08-01,4825.1,4843.5,4421.4,4460.0,10965841,4046.0207296676963,7171004.15,32.72229496488512,375.7415509752083,369.1928257976241
2023-09-01,4475.0,4634.3,4426.0,4530.1,7263738,4077.2516503342968,7294568.1,25.487534626038787,363.30435445962087,367.83873488737277
2023-10-01,4524.8,4623.0,4401.9,4428.05,6845943,4099.883801925633,7346064.1,28.543021365536458,352.7717326108967,366.10136133339734
2023-11-01,4442.6,4875.95,4347.7,4870.0,5705911,4149.5687179304305,7165140.95,41.36429608127721,365.7346476335421,365.5547689171757
2023-12-01,4873.0,5386.05,4837.05,5340.8,7066415,4226.422349031694,7268732.6,46.20712310766788,379.23981180022247,365.83805297090225
2024-01-01,5339.0,5375.0,4925.9,5173.1,6875536,4287.49832651352,7098564.75,51.03721113560387,384.3763134385365,366.57617870294393
2024-02-01,5196.05,5239.75,4828.85,4980.0,6597943,4332.175853835229,7069067.35,24.981177533503995,386.32239867629147,366.6226411564015
2024-03-01,4965.2,5014.0,4740.7,4943.9,5725875,4371.641927781343,6937239.8,25.162025316455683,378.0458463556095,366.9238080885271
2024-04-01,4929.95,4960.7,4641.0,4780.0,7026650,4397.987609859966,6965432.05,30.24523160762942,373.7809003140264,367.0276247125406
2024-05-01,4789.95,5302.5,4707.9,5192.05,10375325,4449.217441481904,7060032.8,46.875530410183885,389.89536752943656,367.90476686492804
2024-06-01,5300.0,5725.0,5127.05,5455.0,7129558,4514.106638805652,7202462.05,50.94078583287216,405.0548801876369,369.6810699486045
2024-07-01,5475.05,6005.0,5384.3,5800.0,5823524,4597.067500818191,6964384.7,63.64764968116925,420.7449511499751,371.9261338514811
2024-08-01,5784.45,5924.8,5594.15,5866.0,6757833,4678.93411366863,7012721.95,71.62083089526038,414.19846250155297,373.8703669711551
2024-09-01,5882.05,6362.9,5827.1,6339.0,7286413,4786.0351385932345,7104882.15,97.53817388594577,423.02340014030796,376.01491152037926
2024-10-01,6306.9,6469.9,5601.6,5730.0,6740040,4846.936097393672,7095541.25,74.21708726056553,455.3013466808175,379.4797002092771
2024-11-01,5768.55,5902.15,4746.9,4939.0,10094519,4852.875704013435,7327924.05,34.72449536279323,505.98660096624315,384.1119193223361
2024-12-01,4930.5,4973.9,4663.8,4765.0,6517223,4847.206303754504,7386583.85,38.47718686428363,491.8158477378025,388.1861275710424
2025-01-01,4752.2,5216.25,4723.1,5126.0,9561169,4865.192993834859,7433823.3,31.63841807909604,491.912274426334,391.81562960466783
2025-02-01,5160.0,5379.0,4553.8,4591.9,8471466,4847.561187780998,7496400.75,22.7616628792942,515.9804660345135,396.3857849462225
2025-03-01,4595.45,5028.65,4506.0,4950.0,12496990,4854.1701434080305,7766395.6,28.57142857142858,516.4617245844892,401.11162635274803
2025-04-01,4890.1,5622.7,4605.05,5415.1,6951950,4890.359166413964,7565701.05,43.8827702568054,552.5999906030559,407.52823058009085
2025-05-01,5380.0,5640.0,5276.5,5496.0,5199315,4929.432768580806,7462479.9,25.76659038901601,538.9741228000852,412.6559639099248
2025-06-01,5515.0,5860.0,5425.0,5825.0,5895474,4987.211299640109,7414956.45,34.837962962962955,531.4868209067783,417.9064525728808
2025-07-01,5865.0,5930.5,5669.0,5684.5,3497684,5032.197667405264,7304545.1,31.433526011560687,512.0560655573635,422.8579030299268
