datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,459.04,467.72,435.08,454.4,22918827,,,,,
2020-02-01,456.4,481.76,393.76,407.28,26263495,,,,,
2020-03-01,411.2,418.84,210.72,263.96,55321363,,,,,
2020-04-01,267.2,319.04,241.6,299.2,36059593,,,,,
2020-05-01,295.2,315.92,260.68,300.8,41372361,,,,,
2020-06-01,304.0,351.2,292.08,334.4,75882763,,,,,
2020-07-01,335.92,379.12,321.84,360.16,61214301,,,,,
2020-08-01,358.56,373.6,288.96,314.64,101687417,,,,,
2020-09-01,317.68,326.16,289.6,291.8,56547662,,,,,
2020-10-01,293.6,320.8,280.8,313.24,43459197,,,,,
2020-11-01,313.6,335.08,297.52,320.64,69526593,,,,,
2020-12-01,327.6,338.32,292.04,318.6,73611986,,,,,
2021-01-01,320.36,365.96,319.44,349.12,86560909,,,,,
2021-02-01,349.6,477.6,340.96,441.0,111168844,,,,,
2021-03-01,450.32,515.16,422.32,478.2,112791876,,,,73.9745842860484,
2021-04-01,484.0,486.6,433.6,471.6,47623917,,,,71.74173502563747,
2021-05-01,472.0,555.2,444.04,546.52,140770939,,,,75.7959998221192,
2021-06-01,546.64,598.4,535.2,559.92,71882449,,,,74.53994072398162,
2021-07-01,560.4,563.64,502.44,515.16,45262659,,,,73.24629433243561,
2021-08-01,528.0,572.8,510.4,544.44,52283480,,66610531.55,,72.22067178083611,
2021-09-01,544.04,603.52,541.0,563.68,54015409,,68165360.65,,71.32411731092594,
2021-10-01,565.04,577.6,507.2,525.92,45671196,,69135745.7,,71.24046478234803,
2021-11-01,531.88,568.64,465.48,497.44,34779867,,68108670.9,,74.0757367115659,
2021-12-01,500.8,525.08,474.64,491.6,28617645,,67736573.5,,72.01217796542574,
2022-01-01,495.04,557.16,480.44,516.0,33409358,,67338423.35,,72.41677818130542,
2022-02-01,524.0,532.8,444.8,479.56,27331139,,64910842.15,,73.73687405448312,
2022-03-01,476.04,564.0,444.8,536.8,52289100,,64464582.1,,77.5376852744263,
2022-04-01,540.0,574.4,508.0,520.28,29483864,,60854404.45,,76.61775060283023,
2022-05-01,512.0,542.16,443.2,519.2,67118660,,61382954.35,,78.44276217182392,
2022-06-01,525.44,534.0,472.0,472.08,32324754,433.588,60826232.2,,77.11328106784877,
2022-07-01,477.12,571.72,468.04,568.2,43480426,442.27264516129037,59523923.85,25.044014084507047,79.24127606561544,
2022-08-01,570.2,587.2,526.04,555.96,32336498,449.6073132154007,57460149.45,36.50559811431941,77.80541629983516,
2022-09-01,555.12,625.6,528.44,571.04,89742483,457.4416801047297,57619228.15,116.33580845582662,79.3302189647805,
2022-10-01,565.6,648.76,547.2,637.04,45397064,469.0286684850697,54330639.15,112.91443850267378,81.0687518275362,
2022-11-01,639.2,663.0,580.44,619.16,41279740,478.7145608408717,50755032.35,105.8377659574468,81.18459316942311,
2022-12-01,619.48,633.56,562.4,592.8,27064249,486.0749117543639,49727048.95,77.27272727272727,80.41071328303632,
2023-01-01,595.52,602.2,496.4,504.8,47666900,487.28298196375977,45071847.0,40.15992892047977,82.35947533563802,
2023-02-01,510.4,510.88,464.04,472.8,42570211,486.348596030614,43606235.1,50.26697177726926,79.64761304864238,
2023-03-01,472.8,489.64,444.0,463.84,29355443,484.89642854476796,42810874.3,58.958190541466735,77.06389132370536,
2023-04-01,468.76,499.04,455.08,488.64,25341719,485.1379492838152,41463786.25,55.99540288596603,74.56021198714299,
2023-05-01,491.92,542.8,488.0,537.2,27498007,488.4967912655046,40137916.15,67.53992015968066,73.07198216344499,
2023-06-01,537.2,550.4,503.36,528.72,31824121,491.0918369903108,39445562.4,65.95103578154425,71.11898645132928,
2023-07-01,533.6,564.0,524.28,555.2,25589084,495.22784750706495,38986023.25,59.02841429880845,68.77177904145135,
2023-08-01,559.0,571.56,516.72,539.6,28122231,498.0905670227382,38961252.55,22.358276643990926,67.73377153947484,75.31351781983659
