datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2021-07-01,116.0,147.8,115.0,134.25,1546213746,,,,,
2021-08-01,135.75,141.45,120.5,134.0,904043044,,,,,
2021-09-01,134.55,152.75,130.7,136.8,636078993,,,,,
2021-10-01,137.3,146.15,130.5,131.7,212570283,,,,,
2021-11-01,133.6,169.0,127.5,153.15,1194881173,,,,,
2021-12-01,153.0,157.9,124.6,136.8,576824132,,,,,
2022-01-01,139.7,142.45,84.15,90.5,764611100,,,,,
2022-02-01,91.75,99.75,75.75,80.05,528455779,,,,,
2022-03-01,80.0,88.7,75.5,82.3,409237515,,,,,
2022-04-01,82.1,88.3,71.1,72.0,329809388,,,,,
2022-05-01,71.75,77.7,50.05,76.3,1346679445,,,,,
2022-06-01,75.4,79.8,53.35,54.0,1204403704,,,,,
2022-07-01,54.15,61.5,40.6,46.2,2225578923,,,,,
2022-08-01,46.8,69.25,45.05,58.3,4929895204,,,,,
2022-09-01,58.7,66.6,56.95,62.2,2129472709,,,,24.291231708835518,
2022-10-01,62.0,70.2,60.85,63.05,1240875559,,,,22.700662965459156,
2022-11-01,63.5,75.45,61.4,65.75,2204484131,,,,21.810921157951903,
2022-12-01,66.5,69.0,53.2,59.35,1044137626,,,,21.21151878297133,
2023-01-01,60.65,60.7,44.35,49.6,1299158559,,,,20.74007094364788,
2023-02-01,50.0,56.8,47.05,53.35,1763579634,,1324549532.35,,19.70085291599617,
2023-03-01,53.5,56.35,49.0,51.0,1037418362,,1299109763.15,,18.559363683166456,
2023-04-01,51.5,66.0,50.9,64.5,1050950528,,1306455137.35,,18.246216730992707,
2023-05-01,64.5,70.0,60.3,69.2,1983194680,,1373810921.7,,17.487093885588752,
2023-06-01,68.7,80.3,67.6,74.9,1404304360,,1433397625.55,,17.069148400040724,
2023-07-01,75.45,87.25,73.0,84.15,1239054810,,1435606307.4,,16.826864804170576,
2023-08-01,84.6,102.85,81.6,98.45,2370420633,,1525286132.45,,17.201560267435863,
2023-09-01,98.3,105.0,96.5,101.5,1209813278,,1547546241.35,,16.474091858529782,
2023-10-01,101.0,115.1,100.0,104.85,1429305713,,1592588738.05,,16.360596575490863,
2023-11-01,105.6,126.35,103.25,117.75,1645021051,,1654377914.85,,16.911100197539003,
2023-12-01,118.0,131.75,114.2,123.7,1025747008,87.65499999999999,1689174795.85,,16.962758502015415,
2024-01-01,124.45,142.0,121.6,139.2,1209907735,90.98048387096773,1682336210.35,3.6871508379888285,17.238081650971356,
2024-02-01,141.0,168.85,138.05,167.25,1801402659,95.90109781477628,1712186158.1,24.81343283582089,18.315052813487856,
2024-03-01,168.0,189.0,144.3,182.15,893388972,101.46554311704878,1645576660.55,33.15058479532163,20.393725153213413,
2024-04-01,183.9,199.7,177.85,193.55,718313544,107.40647581917467,1434997577.55,46.96279422930905,20.507616588955937,
2024-05-01,193.6,207.2,171.25,179.5,1042818969,112.05767092761502,1380664890.55,17.205354227881166,21.707193191495413,
2024-06-01,184.5,204.7,146.3,199.99,873405180,117.730724416156,1362291371.6,46.191520467836256,24.53980940686371,
2024-07-01,199.71,232.0,194.56,229.75,881679669,124.95777445382336,1296151148.5,153.86740331491714,25.529967270669975,
2024-08-01,231.0,280.9,228.0,251.18,1769890079,133.10114384389928,1332438771.15,213.7788881948782,27.619631007285893,
2024-09-01,252.0,298.25,240.4,272.9,1325067614,142.12042488622836,1333734223.9,231.591737545565,29.916377356628864,
2024-10-01,272.55,290.0,240.4,241.5,1197402142,148.53201037743946,1305425349.3,235.41666666666666,31.40506878565158,
2024-11-01,244.4,289.7,239.45,279.4,1057422615,156.9751064821208,1306425561.95,266.1861074705111,32.824364726250735,
2024-12-01,281.9,304.7,269.1,278.0,1235748380,164.7831641284356,1315665454.55,414.8148148148148,33.03260103165361,
2025-01-01,279.0,286.0,203.85,222.0,1698136548,168.47457289434297,1301412547.95,380.5194805194805,36.70433492634918,
2025-02-01,220.35,242.0,206.75,221.24,1003958870,171.87879399793377,1281395273.45,279.4854202401373,36.595977583080575,22.629461829079673
2025-03-01,222.05,231.75,199.17,201.2,1591570014,173.7704847077445,1299021033.65,223.47266881028935,36.297679447927955,23.02967675371609
2025-04-01,201.7,243.45,194.8,231.35,892335672,177.48529214595453,1225116785.6,266.93100713719275,37.21257633574542,23.513407199392297
2025-05-01,220.05,246.94,220.05,239.78,1509595460,181.50430555589296,1240105894.7,264.68441064638785,36.45002789116608,24.00137742383277
2025-06-01,237.31,266.49,236.11,263.95,938354260,186.8233826168031,1215558322.05,344.7346251053075,36.00271626292876,24.49441733983135
2025-07-01,264.75,277.75,256.2,276.5,362195336,192.60897083507388,1151417036.3,457.4596774193548,34.94007382414332,24.967750769181198
