datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,43.02,46.57,38.73,38.9,721809180,,,,,
2020-02-01,38.95,39.15,29.47,30.08,478290594,,,,,
2020-03-01,30.97,32.47,20.52,26.65,665395410,,,,,
2020-04-01,26.33,28.77,23.95,26.87,332178558,,,,,
2020-05-01,25.27,27.37,23.28,26.95,275483889,,,,,
2020-06-01,27.68,31.63,26.53,27.17,508724856,,,,,
2020-07-01,27.03,29.5,26.68,28.02,501458055,,,,,
2020-08-01,27.9,36.47,27.87,32.32,680817672,,,,,
2020-09-01,32.77,33.13,25.2,27.37,606016518,,,,,
2020-10-01,27.67,29.07,25.98,27.4,343435254,,,,,
2020-11-01,27.57,33.0,27.27,32.1,630690783,,,,,
2020-12-01,32.33,40.27,31.97,38.02,861063960,,,,,
2021-01-01,38.3,43.5,34.75,35.05,605731215,,,,,
2021-02-01,35.38,43.8,34.55,42.02,815356992,,,,,
2021-03-01,43.1,46.63,40.67,45.13,845917107,,,,6.8809263227950614,
2021-04-01,45.37,52.9,44.38,51.68,598609512,,,,7.055413902524613,
2021-05-01,50.67,71.07,50.43,60.83,1542859671,,,,8.45262175085559,
2021-06-01,61.08,65.07,57.2,61.42,1194305568,,,,8.394523357614116,
2021-07-01,61.5,62.17,55.08,60.4,1660847340,,,,8.268016653485278,
2021-08-01,60.78,61.42,48.42,51.35,978863640,,742392788.7,,8.715471672243648,
2021-09-01,51.33,52.25,44.52,47.67,710699160,,741837287.7,,8.624392512709015,
2021-10-01,47.43,53.2,44.37,47.65,925938357,,764219675.85,,8.643004420529687,
2021-11-01,48.0,49.5,43.6,44.17,553055973,,758602704.0,,8.399355401763668,
2021-12-01,44.28,50.03,41.67,44.5,746725773,,779330064.75,,8.39591941055644,
2022-01-01,44.8,48.97,44.27,46.35,375580428,,784334891.7,,8.078284253491647,
2022-02-01,46.97,53.8,44.6,47.7,795146847,,798655991.25,,8.173307756658861,
2022-03-01,47.97,54.52,47.57,54.3,732641625,,810215169.75,,8.071036701814887,
2022-04-01,54.58,58.45,52.47,53.5,491071071,,800727839.7,,7.898324229323292,
2022-05-01,53.0,54.0,39.73,42.1,522865728,,796570300.2,,8.418790266052557,
2022-06-01,42.47,43.22,33.85,36.0,529770684,41.12233333333333,805887071.7,,8.4957004198324,
2022-07-01,35.72,37.12,33.2,35.97,639464220,40.78992473118279,806325743.55,-7.5321336760925455,8.129186676469896,
2022-08-01,36.25,41.75,34.75,40.77,1374696627,40.788639264654876,832007376.9,35.538563829787265,8.039516361669406,
2022-09-01,40.6,44.23,39.97,42.65,546249351,40.90872705403198,829033283.7,60.0375234521576,7.741756579813239,
2022-10-01,42.57,45.82,30.75,33.17,639561135,40.40945434086863,820243490.85,23.446222553033124,8.314879274637944,
