datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,1450.9,1595.0,1374.0,1540.0,3484366,,,,,
2020-02-01,1556.8,1629.0,1438.0,1505.0,3899165,,,,,
2020-03-01,1545.0,1589.85,970.1,1181.0,4515484,,,,,
2020-04-01,1177.3,1604.7,1153.0,1583.0,3443739,,,,,
2020-05-01,1550.0,1650.0,1425.55,1533.85,3280658,,,,,
2020-06-01,1572.0,1689.0,1500.0,1505.05,5592894,,,,,
2020-07-01,1515.0,1838.0,1500.0,1769.95,5207043,,,,,
2020-08-01,1769.95,2160.0,1769.95,1858.0,7057839,,,,,
2020-09-01,1835.0,2070.0,1810.0,1962.0,7573060,,,,,
2020-10-01,1972.0,2239.0,1933.0,2194.55,6118222,,,,,
2020-11-01,2199.0,2517.0,2142.0,2215.75,18672102,,,,,
2020-12-01,2282.9,2650.0,2168.0,2194.0,8236058,,,,,
2021-01-01,2204.0,2400.0,1987.5,2050.0,7212632,,,,,
2021-02-01,2046.05,2339.9,1981.0,2140.0,8608786,,,,,
2021-03-01,2150.85,2357.95,2123.0,2254.0,5907542,,,,344.8259374978529,
2021-04-01,2254.2,2669.0,2201.85,2507.0,8939659,,,,357.8479449313951,
2021-05-01,2519.0,2795.0,2470.0,2615.0,10410302,,,,354.4694535934648,
2021-06-01,2628.0,2960.6,2586.55,2921.25,6191446,,,,356.4220039116415,
2021-07-01,2926.0,3309.75,2893.35,2963.95,8694254,,,,362.23839543970723,
2021-08-01,2960.0,3426.4,2956.0,3415.05,10324724,,7168498.75,,372.46612644664486,
2021-09-01,3424.4,3534.9,3100.1,3165.0,6963291,,7342445.0,,378.22714117054056,
2021-10-01,3170.0,3406.9,2865.0,3000.0,6911674,,7493070.45,,393.04306155075795,
2021-11-01,2997.0,3031.9,2700.9,2850.0,9014889,,7718040.7,,387.53204926257393,
2021-12-01,2870.0,3106.5,2762.45,3037.0,5258505,,7808779.0,,383.73577398032415,
2022-01-01,3035.0,3108.0,2333.55,2440.0,7935062,,8041499.2,,417.31458367913297,
2022-02-01,2452.45,2684.4,2371.0,2484.85,6885364,,8106122.7,,408.5117048730804,
2022-03-01,2468.45,2885.4,2351.3,2815.0,5160445,,8103792.8,,419.0111457118818,
2022-04-01,2840.0,3035.9,2800.0,2839.9,3566660,,7929233.85,,403.886791993356,
2022-05-01,2840.0,2896.75,2364.55,2786.0,5876791,,7844420.4,,414.3679698239321,
2022-06-01,2775.0,2788.0,2442.1,2542.15,4519918,2328.943333333333,7764505.2,,408.83198559225366,
2022-07-01,2559.5,3134.6,2511.95,3084.1,4086836,2377.66311827957,7035241.9,100.26623376623375,425.95881507594413,
2022-08-01,3113.85,3474.0,2990.9,3440.0,6003030,2446.2009816163722,6923590.5,128.57142857142856,430.4964775785087,
2022-09-01,3432.9,3504.85,2935.0,3000.0,4991733,2481.9299505443482,6812545.55,154.02201524132093,441.47509771571174,
2022-10-01,2978.3,3288.4,2950.0,3244.75,4245686,2531.1441472834226,6594390.55,104.97473152242578,433.4138647046168,
2022-11-01,3241.95,3698.45,3222.05,3493.1,10444203,2593.2058152006216,6821223.6,127.73413306385892,436.7530618195556,
2022-12-01,3510.0,3630.0,3400.0,3420.05,6003824,2646.5506013167105,6674431.85,127.23829773097242,420.79211125658657,
2023-01-01,3427.85,3463.95,2899.0,3016.0,4721282,2670.386046393052,6389980.85,70.40029379360999,431.8569917433094,
2023-02-01,3019.0,3414.85,2979.9,3095.0,11015913,2697.7804950128548,6631204.2,66.57696447793326,432.0931385997993,
2023-03-01,3115.9,3169.95,2868.9,3031.7,5074190,2719.3236888829933,6450201.0,54.520897043832804,422.13716187129586,
2023-04-01,3050.1,3462.25,2935.05,3376.0,8689929,2761.689902503446,6368461.25,53.835638285753326,430.08316599181654,
2023-05-01,3370.0,3646.9,3165.1,3629.95,8495598,2817.7066829870946,6445076.6,63.82488999210199,433.97819175410575,
2023-06-01,3645.0,4011.15,3467.95,3912.65,6337647,2888.348187310508,6416375.25,78.3340929808569,442.17233240134743,
2023-07-01,3939.6,3939.6,3455.0,3616.6,5812560,2935.3321752259594,6256258.8,76.41951219512195,445.3439805029752,
2023-08-01,3629.9,3987.0,3573.05,3621.0,6839922,2979.568809082349,6335329.65,69.2056074766355,443.0049262312964,407.7430462235136
2023-09-01,3650.0,3713.55,3376.0,3445.0,5473149,3009.5966278512296,6212234.0,52.839396628216505,435.1719622302069,410.7545803812588
2023-10-01,3453.0,3543.0,3271.05,3393.0,3187837,3034.332329280183,6027357.65,35.34104507379339,423.0826333758949,412.92906999607544
2023-11-01,3393.0,3805.0,3355.0,3775.9,7031389,3082.1754048104935,6120904.85,44.39388145315488,425.07107069849485,415.2824572329098
2023-12-01,3788.95,3920.0,3320.0,3511.0,15063341,3109.8415077259456,6695738.9,20.188275566966183,437.96190836755136,418.0004540481068
2024-01-01,3529.0,3543.85,3220.0,3376.1,6378619,3127.0194749694333,6720830.3,13.905430253546802,429.5717791768754,420.244900172679
2024-02-01,3372.65,3712.0,3264.0,3680.05,9400733,3162.698863681083,6964871.05,7.759769256672677,430.9238871660445,422.19349219665907
2024-03-01,3673.25,3905.9,3533.0,3880.0,6669027,3208.97635634682,7093980.6,22.59083728278042,426.6748379191375,423.80841542161227
2024-04-01,3887.5,4040.0,3592.0,3640.0,6648565,3236.784333356703,7126257.35,21.333333333333336,428.2336578057933,424.98143529678015
2024-05-01,3654.1,3749.9,3475.0,3560.75,9239280,3257.6853441078833,7338634.7,24.938596491228072,417.04399982220303,425.9651669821011
2024-06-01,3584.0,3950.0,3441.05,3802.95,9071613,3292.8637090041493,7579931.05,25.220612446493252,423.7405590697218,427.2986598184143
2024-07-01,3799.5,4467.05,3728.0,4427.0,8273289,3366.0337922942044,7471385.35,81.4344262295082,446.6820821962175,428.2775764356505
2024-08-01,4440.35,4600.0,4185.15,4510.7,7671625,3439.8832250494174,7554775.4,81.52806004386584,444.36909615101405,429.47282281158164
2024-09-01,4524.9,4804.05,4476.6,4670.0,5708851,3519.2455976268748,7604153.85,65.89698046181172,435.88397537426823,430.03525046699446
2024-10-01,4686.0,4759.0,4259.0,4488.0,3174070,3581.7458816509475,7212061.7,58.03373358216839,440.5317237983073,431.2567481938261
2024-11-01,4488.5,4715.0,4033.0,4066.65,5630742,3613.0300183186287,7239889.3,45.96733668341708,458.0171220816085,432.71171993574876
2024-12-01,4090.0,4267.45,3675.6,3690.0,6824501,3617.9958235883946,7146617.9,45.1527250555632,467.6988087180536,434.6739473732754
2025-01-01,3690.0,3734.05,3327.5,3486.0,6109693,3609.479964002047,7027322.65,13.03135436594145,463.27924035288277,435.91796154917336
2025-02-01,3500.0,3692.5,2962.55,3010.0,8122869,3570.8038372922374,7116583.75,-12.5,482.5367240434034,437.65263643133653
2025-03-01,3017.2,3523.95,2951.1,3428.85,5810952,3561.645525208867,7116503.35,14.294999999999991,489.05352663491084,439.23858406197644
2025-04-01,3420.0,3742.5,3051.0,3626.0,6011499,3565.7974268082953,7075082.2,11.749749595500415,503.65096410074716,441.57982070851415
2025-05-01,3640.2,3920.0,3534.1,3830.0,6473505,3582.842754110986,7125100.0,9.644728178408869,495.1662515135473,443.5269270316473
2025-06-01,3823.7,4249.8,3756.0,4112.0,6665776,3616.981931265116,7298996.95,20.2321603485329,495.0678660954392,446.00278552627566
2025-07-01,4110.0,4274.1,3975.4,4180.4,2136345,3653.3314840867215,7054244.75,38.6074270557029,480.93541343803855,447.63873291609997
