datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,432.95,462.5,431.25,435.6,92171930,,,,,
2020-02-01,432.95,441.75,369.45,373.2,124766008,,,,,
2020-03-01,378.0,414.8,312.0,353.2,234451967,,,,,
2020-04-01,353.0,504.8,338.4,466.0,383451468,,,,,
2020-05-01,464.45,481.6,434.25,477.0,203746432,,,,,
2020-06-01,483.5,512.7,455.0,472.9,254275497,,,,,
2020-07-01,473.5,541.0,466.15,536.45,230510996,,,,,
2020-08-01,534.1,564.75,514.05,514.5,223325946,,,,,
2020-09-01,521.2,535.0,483.0,500.6,233060135,,,,,
2020-10-01,505.1,529.3,452.25,466.0,162185985,,,,,
2020-11-01,467.9,526.0,459.05,511.4,234483900,,,,,
2020-12-01,518.0,599.45,512.65,590.95,222440687,,,,,
2021-01-01,592.5,628.0,550.4,590.0,162408778,,,,,
2021-02-01,596.0,654.4,579.6,595.4,185707121,,,,,
2021-03-01,600.0,636.75,562.1,597.65,120400851,,,,75.78317643451746,
2021-04-01,600.0,666.6,592.75,653.9,162666588,,,,75.57738014729725,
2021-05-01,653.95,721.85,642.0,668.0,187049167,,,,76.0168295312016,
2021-06-01,670.1,686.35,652.7,674.55,84350542,,,,71.79205639342648,
2021-07-01,675.0,783.75,664.2,773.5,102039434,,,,76.4234031656977,
2021-08-01,785.0,804.35,743.35,794.0,108738230,,185611583.1,,74.96497048589798,
2021-09-01,795.05,832.95,751.05,817.8,78820543,,184944013.75,,75.60591905629599,
2021-10-01,812.0,851.0,779.35,796.0,59021794,,181656803.05,,75.2478231435843,
2021-11-01,798.95,836.0,746.05,751.6,77891868,,173828798.1,,76.55375285262154,
2021-12-01,756.75,850.95,733.7,844.5,102618391,,159787144.25,,80.10680887794781,
2022-01-01,845.0,871.0,784.8,834.6,75104761,,153355060.7,,80.63047065302625,
2022-02-01,847.4,902.85,815.0,844.2,72033941,,144242982.9,,81.24205604968614,
2022-03-01,844.35,931.0,809.1,914.0,74281187,,136431492.45,,84.6411441311209,
2022-04-01,914.0,967.05,896.6,930.0,38508995,,127190644.9,,83.46900421208304,
2022-05-01,922.45,931.3,835.2,861.1,87979559,,119936616.1,,84.50075858162198,
2022-06-01,875.0,875.0,789.9,831.0,61360823,648.9866666666666,114895358.0,,84.54921030367014,
2022-07-01,829.9,951.95,821.9,943.6,60007270,667.9939784946235,106171526.5,116.62075298438933,88.19382494786109,
2022-08-01,939.95,939.95,865.0,891.6,52978281,682.4201734304543,97698406.2,138.9067524115756,87.43196570780617,
2022-09-01,893.0,955.5,856.8,947.3,70486963,699.5091944994573,93102315.45,168.20498301245755,88.3196897210737,
2022-10-01,952.95,1027.3,935.25,1017.65,50966855,720.0344077575569,86365302.15,118.37982832618023,88.61142750283206,
2022-11-01,1021.95,1070.95,993.5,1053.2,46599619,741.5289620957791,82675240.55,120.79664570230611,87.74439895374407,
2022-12-01,1055.0,1057.85,973.7,1000.0,57496715,758.2045129283096,77416746.9,111.4611968703743,87.46691806180753,
2023-01-01,1001.4,1072.15,987.2,1037.05,45219795,776.1945443522897,70325278.3,93.31717774256686,87.27373128728185,
2023-02-01,1036.45,1043.95,954.0,958.4,43041980,787.9497350392388,68259850.2,86.2779397473275,87.47806066217565,
2023-03-01,951.0,996.5,946.1,982.2,44561768,800.4820101979976,65385966.9,96.20455453455854,84.66106228259603,
2023-04-01,981.0,1023.85,959.25,986.45,33735969,812.4799450239333,61635853.85,111.6845493562232,83.14382472839769,
2023-05-01,987.65,988.9,922.45,976.0,62595223,823.0296259901312,60824587.85,90.84865076261244,81.88653822516817,
2023-06-01,979.8,1055.0,975.0,1048.75,58722605,837.5922307649614,60809628.4,77.46848295118029,81.74500459006643,
2023-07-01,1053.0,1155.35,1028.75,1142.9,53533696,857.2895061994801,59591719.8,93.71186440677968,85.09810574062216,
2023-08-01,1143.4,1169.7,1100.25,1113.35,51061226,873.8095380575783,57013861.55,86.99193819281155,83.93222081651018,82.00305124158798
2023-09-01,1112.0,1167.4,1102.0,1159.55,41983964,892.2444065699925,55357821.7,94.01823809922196,82.55568750788524,82.22880161070023
2023-10-01,1159.55,1161.95,1068.35,1090.0,34258012,905.0028319525737,53469025.25,66.69215476372534,83.3737044209441,82.48867908648846
2023-11-01,1092.0,1231.1,1082.6,1225.5,36560775,925.6800686007948,51583004.65,83.45808383233533,88.18470835830924,82.89427504739206
2023-12-01,1233.05,1271.95,1208.55,1260.05,39175216,947.2523222394532,51616315.7,86.79860647839301,86.35827717052558,83.37981573996201
2024-01-01,1261.0,1438.9,1252.5,1415.0,47383985,977.4295917723917,49586537.0,82.93471234647704,93.71388966535406,83.95616528995058
2024-02-01,1427.0,1587.8,1398.9,1575.6,51270698,1016.0212310128826,49082030.75,98.43828715365237,100.69784657995226,84.81392782641905
2024-03-01,1580.0,1634.0,1520.5,1627.0,53226924,1055.4392161088256,48743013.45,98.94839814135487,101.6353394472015,85.68157517278256
2024-04-01,1631.6,1638.85,1477.7,1498.6,56452840,1084.0302344243853,48916741.4,88.26633165829145,105.98572309565834,86.7061718378517
2024-05-01,1503.0,1564.0,1440.0,1463.0,61831175,1108.4798967195863,48483952.0,94.65141032464075,107.30033073148856,87.73105776714728
2024-06-01,1496.5,1538.95,1377.2,1519.8,48272307,1135.0166775763873,48349224.6,79.96447602131438,111.267704304041,88.76975428135036
2024-07-01,1520.85,1730.95,1498.3,1717.5,42918951,1172.5962467650074,48165191.2,105.78720345075484,120.09932931228722,90.08538290332574
2024-08-01,1725.5,1828.15,1681.3,1823.35,47640862,1214.5803598769426,47672398.55,115.98554844823501,122.04308930948481,91.44541734531904
2024-09-01,1829.95,1960.35,1801.3,1926.0,40913900,1260.4784011752045,47457103.8,110.72210065645515,124.72877639671383,92.78167175417212
2024-10-01,1924.85,1952.25,1820.0,1858.1,38306064,1299.0346333574494,47220308.0,99.79569892473117,125.27398729138602,94.17517119014889
2024-11-01,1860.0,1864.95,1723.4,1784.0,38344169,1330.3227215279364,46909428.05,107.17686679828127,126.4525792337763,95.57356521188737
2024-12-01,1800.0,1910.0,1774.05,1890.0,40552191,1366.4309330422632,47250239.15,127.43682310469313,127.13963799798456,96.99324613503117
2025-01-01,1889.9,1902.95,1693.1,1752.85,44032853,1391.3611954266332,46322120.65,85.76197541331072,133.11758110169077,98.49070467349217
2025-02-01,1740.0,1789.0,1586.4,1590.0,46131304,1404.1766021733022,45692555.6,78.33109017496636,138.13521614530316,100.18081302140874
2025-03-01,1585.3,1820.0,1553.05,1733.05,39175672,1425.3942407427667,44974654.4,82.94626834160246,147.430200834511,102.15116339185666
2025-04-01,1731.0,1846.0,1620.1,1821.6,58138179,1450.9559026303302,45328502.05,79.00063872647766,153.08827907729304,104.30039177767202
2025-05-01,1832.3,1851.2,1623.6,1674.9,66216857,1465.4039089122443,46540146.7,59.02962400303835,158.45732672148813,106.65748936993015
2025-06-01,1679.0,1727.5,1636.0,1675.0,50792140,1478.926237369519,47366853.1,67.5,153.63564892674984,108.86311373209489
2025-07-01,1675.7,1731.3,1647.0,1689.4,28386741,1492.5051897972921,46958151.4,62.904392266525264,148.64561264733538,110.90884311076334
