datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,442.7,510.7,410.0,470.45,71092692,,,,,
2020-02-01,471.95,513.0,412.4,415.4,52027879,,,,,
2020-03-01,425.0,437.0,267.0,286.0,46264129,,,,,
2020-04-01,283.1,401.85,259.55,384.8,48350784,,,,,
2020-05-01,377.8,415.0,355.5,384.2,51859663,,,,,
2020-06-01,385.05,427.0,368.0,403.0,78313819,,,,,
2020-07-01,406.0,413.8,372.0,386.7,40486816,,,,,
2020-08-01,386.0,494.5,383.4,447.6,70632752,,,,,
2020-09-01,453.3,508.25,439.3,467.0,60189115,,,,,
2020-10-01,471.5,479.3,412.0,423.6,30746351,,,,,
2020-11-01,422.0,457.3,407.8,440.3,45925031,,,,,
2020-12-01,442.1,517.5,429.2,480.5,98627635,,,,,
2021-01-01,481.0,550.65,474.3,478.0,67152137,,,,,
2021-02-01,484.25,570.4,473.05,492.15,71610192,,,,,
2021-03-01,498.7,530.7,450.0,470.0,45552253,,,,83.4348064105393,
2021-04-01,474.5,549.95,450.0,544.9,53274936,,,,85.19293125768105,
2021-05-01,554.0,560.0,487.0,542.0,72904756,,,,83.9388585074956,
2021-06-01,543.0,571.0,511.0,528.5,64356889,,,,81.55170215214491,
2021-07-01,530.0,583.7,517.1,574.0,46598742,,,,80.10175451468496,
2021-08-01,580.0,586.55,471.0,482.1,29835098,,57290083.45,,83.45373067078565,
2021-09-01,485.6,534.0,478.6,505.0,42080427,,55839470.2,,80.86095171703971,
2021-10-01,502.0,576.5,498.0,560.0,54049677,,55940560.1,,80.64723471526335,
2021-11-01,565.0,612.0,506.0,518.7,38567579,,55555732.6,,82.8992093524163,
2021-12-01,522.1,555.0,483.3,499.6,20740627,,54175224.75,,81.92144307032176,
2022-01-01,500.0,524.75,465.55,499.9,14491863,,52306834.75,,79.96871403684594,
2022-02-01,502.0,539.8,425.3,449.1,28139865,,49798137.05,,82.89395046265315,
2022-03-01,442.0,496.95,425.0,489.0,29015416,,49224567.05,,81.97901360242047,
2022-04-01,489.4,540.0,481.0,483.0,18610283,,46623443.6,,80.08102575206499,
2022-05-01,479.95,487.1,402.95,444.0,14940810,,44361028.35,,80.41339716840767,
2022-06-01,441.65,453.0,402.55,416.0,32404808,465.51666666666665,44443951.2,,77.99070383197044,
2022-07-01,413.8,482.0,411.85,472.2,23048719,465.9478494623656,43300135.6,0.37198427037943294,77.36266321558816,
2022-08-01,472.2,523.45,458.1,500.0,30267695,468.1447624002775,39882138.6,20.365912373615803,76.40872059956158,
2022-09-01,498.0,538.0,486.0,510.5,23444409,470.8773583744532,37696752.2,78.4965034965035,74.48574034874892,
2022-10-01,511.4,551.0,502.0,522.8,17659256,474.2272062212627,34999205.4,35.86278586278584,72.49256744894568,
2022-11-01,525.5,568.5,473.2,492.4,28239553,475.3996445295683,34133570.4,28.16241540864133,74.26426691553678,
2022-12-01,496.0,520.5,478.0,488.0,19398580,476.2125706889511,32439752.6,21.09181141439207,71.81212478305261,
2023-01-01,488.95,491.5,443.95,463.0,11546591,475.3601467735349,29371844.35,19.731057667442474,69.94987837102127,
2023-02-01,465.0,471.0,424.35,430.4,8109232,472.4594921429843,26559461.5,-3.8427167113494254,68.17096522974069,
2023-03-01,429.4,447.6,393.8,415.95,11591912,468.81371845634015,24809120.0,-10.931477516059962,67.07913396774396,
2023-04-01,420.0,435.6,414.0,431.9,6547339,466.43218823335053,23644732.05,1.9593956562794945,63.63950305407386,
2023-05-01,431.8,457.9,423.1,444.2,11308152,464.9978535086183,22106118.3,0.8857597092891245,61.46747126749038,
2023-06-01,447.8,467.4,423.0,437.35,12407993,463.2141210241913,20024034.1,-8.980228928199786,60.187019475814154,
2023-07-01,442.0,554.7,436.45,540.55,32631117,468.20353257101766,19727211.0,13.085774058577403,64.52747353273791,
2023-08-01,544.0,628.5,519.05,617.9,44440368,477.86136917933914,20912198.05,25.55115310372853,67.874491838298,75.90171490903631
2023-09-01,618.0,627.1,577.45,610.3,19065662,486.4057969742205,21140888.0,29.851063829787215,66.52081597308106,75.3379152277877
2023-10-01,613.05,666.5,592.75,632.2,30339051,495.81187458878696,21250847.3,16.021288309781625,67.0562585192655,74.73335946984051
2023-11-01,636.95,688.0,630.0,675.65,16256093,507.4143342927362,20612881.15,24.65867158671586,66.38725539223988,74.14830603266532
2023-12-01,675.55,731.9,663.0,711.9,19341008,520.6069578867532,20649417.4,34.701986754966875,66.57242420892315,73.64899676789126
