datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,317.4,394.55,306.59,379.29,171102425,,,,,
2020-02-01,378.25,402.99,337.36,344.52,110692911,,,,,
2020-03-01,346.74,353.31,211.08,291.33,84261032,,,,,
2020-04-01,289.25,356.96,260.76,347.09,92863819,,,,,
2020-05-01,335.83,378.1,321.65,356.62,145164046,,,,,
2020-06-01,363.98,390.05,355.09,383.24,68798960,,,,,
2020-07-01,380.27,432.38,375.83,423.19,71580904,,,,,
2020-08-01,423.68,554.51,422.45,526.51,143491983,,,,,
2020-09-01,519.54,584.68,472.13,493.37,110280476,,,,,
2020-10-01,502.31,507.2,453.32,486.7,92179671,,,,,
2020-11-01,487.94,538.61,482.31,531.15,93576204,,,,,
2020-12-01,547.2,608.54,518.85,583.25,81091328,,,,,
2021-01-01,585.72,627.11,547.45,548.19,76979003,,,,,
2021-02-01,556.09,645.97,547.54,599.2,103164423,,,,,
2021-03-01,607.35,640.04,569.97,628.69,80824233,,,,81.19565679831823,
2021-04-01,633.13,689.43,630.27,660.79,65848706,,,,79.01804996089805,
2021-05-01,653.72,677.87,606.46,655.26,74894964,,,,78.23554344655999,
2021-06-01,657.63,762.42,648.74,746.87,56812532,,,,81.7700252472274,
2021-07-01,746.52,778.47,730.12,749.68,36071471,,,,78.52910416961497,
2021-08-01,753.63,857.05,742.77,856.11,64023589,,91185134.0,,81.90969885750535,
2021-09-01,860.41,878.09,800.9,802.92,32808801,,84270452.8,,81.47349534470474,
2021-10-01,802.92,852.4,764.1,802.03,48791529,,81175383.7,,82.09144110658224,
2021-11-01,811.41,847.47,740.05,771.41,29446632,,78434663.7,,84.34126559645561,
2021-12-01,780.2,781.14,688.05,734.47,33360198,,75459482.65,,85.10508893805077,
2022-01-01,737.83,767.46,666.71,717.73,53538361,,70878198.4,,86.44964579398037,
2022-02-01,723.01,759.56,665.77,707.21,46164130,,69746456.9,,87.0714665835301,
2022-03-01,703.21,773.14,642.22,767.76,58057814,,69070302.4,,90.73729453357247,
2022-04-01,770.37,826.58,769.44,814.23,32313325,,63511369.5,,88.10103528027899,
2022-05-01,813.19,821.79,689.43,764.5,38862880,,59940489.7,,91.71629895446421,
2022-06-01,750.67,770.92,694.47,696.1,28953791,605.647,56779195.7,,90.48194089615846,
2022-07-01,691.41,813.88,688.44,803.02,28252304,618.3807419354839,53513000.7,111.71662843734342,93.28208249793447,
2022-08-01,802.03,815.86,751.21,799.31,50922880,630.0535972944849,52004578.3,132.0068501102984,91.00836823572779,
2022-09-01,799.71,850.58,752.64,792.15,43888283,640.5114297270989,50350042.3,171.9081454021213,91.55445957772302,
2022-10-01,792.99,794.92,729.73,761.19,25255103,648.2971439382538,46454576.3,119.30623181307448,89.4925643520324,
2022-11-01,763.51,811.86,747.36,805.98,33611980,658.4702314261085,44093963.65,126.00527171779486,87.55112211244139,
2022-12-01,811.81,811.81,753.73,758.57,24020713,664.928281011521,42002564.0,97.93601920467594,85.27600647965606,
2023-01-01,760.45,771.41,716.15,721.04,21948010,668.5483919140036,39355216.3,70.38209787565867,82.97211921215286,
2023-02-01,728.2,739.21,691.41,702.37,20735195,670.7304311453581,37551349.45,33.40107500332377,80.28677707959461,
2023-03-01,704.2,714.32,678.17,701.83,23983136,672.7368549424318,36946932.7,42.25226503435555,76.93349410598107,
2023-04-01,701.28,755.61,687.9,752.55,25343635,677.8860901074362,35012935.0,54.62297102938154,76.23591232085984,
2023-05-01,758.52,790.18,747.16,786.18,20584059,684.8727939714727,34401697.9,48.01468511719853,73.73427360517171,
2023-06-01,789.09,866.43,774.82,849.1,39036194,695.4680975862163,33913931.15,45.58079725675097,75.07536306892666,
2023-07-01,856.31,873.1,811.91,847.57,32844897,705.281123548396,34083844.4,54.61245188711943,74.03737328748103,
2023-08-01,851.32,852.7,818.08,826.72,22313253,713.1158897710801,33531497.15,37.970627503337774,71.1005244429166,83.22558306288337
2023-09-01,822.77,898.73,822.77,866.38,31800350,723.0038968826234,32444596.6,37.80718637166169,71.46147578452886,82.90111036242372
2023-10-01,859.32,916.61,844.5,889.0,29301920,733.7133228901961,31601486.1,34.535934260506366,71.50950989956883,82.65082569371276
