datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,56.8,62.1,55.7,57.85,173282462,,,,,
2020-02-01,57.8,58.4,46.05,46.5,176826791,,,,,
2020-03-01,47.1,47.8,31.2,32.75,280331691,,,,,
2020-04-01,32.3,37.5,29.95,32.1,220709878,,,,,
2020-05-01,31.5,37.5,27.0,36.75,842965635,,,,,
2020-06-01,37.6,47.4,37.2,44.95,901804337,,,,,
2020-07-01,45.0,53.2,44.05,48.75,705464336,,,,,
2020-08-01,48.8,63.4,48.35,59.0,839018620,,,,,
2020-09-01,59.6,61.6,50.1,53.1,531441199,,,,,
2020-10-01,53.5,56.9,51.65,52.2,343017648,,,,,
2020-11-01,52.4,65.25,52.0,64.6,547015459,,,,,
2020-12-01,65.6,78.8,65.0,75.6,881150907,,,,,
2021-01-01,76.0,88.0,74.45,75.55,679580085,,,,,
2021-02-01,76.4,97.65,74.5,94.5,1018033851,,,,,
2021-03-01,96.6,114.5,95.55,103.0,1591321129,,,,13.801833183105817,
2021-04-01,103.9,107.35,89.9,98.85,854944777,,,,14.190198762507368,
2021-05-01,97.95,111.15,96.35,106.5,776768000,,,,14.252918308677787,
2021-06-01,106.4,132.7,103.7,122.15,1485585108,,,,15.723480899257979,
2021-07-01,122.8,128.45,118.4,125.0,565543511,,,,15.17329269042764,
2021-08-01,126.55,137.0,121.7,129.15,685277511,,705004146.75,,15.185274098101717,
2021-09-01,129.7,161.2,128.7,158.6,703748650,,731527456.15,,16.785533879417436,
2021-10-01,158.75,267.85,156.6,216.0,2586318530,,852002043.1,,25.33660348748603,
2021-11-01,219.95,252.5,213.1,216.3,1359225667,,905946741.9,,26.585793147971458,
2021-12-01,220.0,236.5,202.8,220.95,717673366,,930794916.3,,27.206911243442963,
2022-01-01,221.2,252.15,216.0,246.15,637506590,,920521964.05,,27.975499268852772,
2022-02-01,249.5,257.9,203.25,223.0,781793027,,914521398.55,,30.235166669083174,
2022-03-01,220.0,244.9,212.25,238.35,446003662,,901548364.85,,30.437051722685528,
2022-04-01,237.65,298.05,237.1,242.3,1097979619,,914496414.8,,32.957316783269675,
2022-05-01,240.0,254.2,210.2,234.7,562723439,,916060526.8,,33.85933091197322,
2022-06-01,233.6,236.85,190.0,202.25,390614121,121.91499999999999,918440350.45,,34.90969270034236,
2022-07-01,202.7,234.0,200.6,222.0,307160103,128.37209677419355,906447582.65,283.75108038029384,34.78876626894155,
2022-08-01,222.3,241.9,221.6,236.55,372426294,135.3513163371488,881011352.0,408.7096774193548,33.63819279913376,
2022-09-01,235.05,251.15,210.25,217.0,435338674,140.61897334765536,868799281.45,562.5954198473282,34.2102961904408,
2022-10-01,216.5,229.0,211.8,226.1,192880632,146.13387829296792,827541620.5,604.3613707165108,32.879965545913244,
2022-11-01,226.5,234.5,218.4,224.65,185084888,151.1994345321313,757229808.45,511.2925170068027,31.57648450127732,
2022-12-01,225.25,230.3,194.6,208.0,238769915,154.86398714296155,726421065.35,362.73637374860954,31.894812203133505,
2023-01-01,208.75,214.65,196.65,212.85,169903280,158.60502023051242,696077829.35,336.61538461538464,30.828311869691607,
2023-02-01,214.9,215.4,196.65,202.5,186647290,161.43695440918904,631130938.45,243.22033898305085,29.90614964346288,
2023-03-01,203.3,212.9,182.35,190.7,192625796,163.32489283440268,612485052.7,259.13370998116756,29.95506604789897,
2023-04-01,193.35,201.55,192.05,201.4,113411517,165.78135136121543,583891753.0,285.823754789272,28.510131414080522,
2023-05-01,201.95,219.0,199.4,213.5,196873305,168.85997385404025,558547985.75,230.49535603715174,27.83906962020245,
2023-06-01,213.95,226.35,213.0,222.0,191305465,172.28836263765055,438797332.5,193.65079365079367,26.752057088343197,
2023-07-01,222.9,238.9,216.75,236.55,247337627,176.43427472554407,383202930.5,213.1039046988749,26.408033802267248,
2023-08-01,237.4,252.8,228.05,246.2,295278133,180.93528925937994,362083168.85,160.52910052910053,26.28449957737297,26.6695911442921
2023-09-01,246.75,276.5,246.1,262.4,281886034,186.19107704909737,344302141.05,154.75728155339806,26.59019005394873,27.095869706653527
2023-10-01,262.55,266.5,230.8,239.35,141331249,189.6206849814137,312279052.15,142.13454729387962,27.2649245488249,27.531693899530776
2023-11-01,239.95,275.55,236.3,268.0,212229363,194.67741498261282,300590337.2,151.6431924882629,28.1502849807756,27.994939455267374
2023-12-01,270.0,346.9,268.55,331.7,653110083,203.51758175792813,278346860.4,171.5513712648383,31.890125730250027,28.53382761630044
2024-01-01,333.9,392.8,319.6,389.75,421487454,215.5325764832231,271285061.15,211.79999999999998,34.9274527448628,29.192299618114944
2024-02-01,392.1,412.9,354.6,373.7,325868827,225.7369263875313,268047796.45,189.35346496322106,36.64233385976927,29.90753494350387
2024-03-01,375.55,433.3,365.55,395.0,447997688,236.65712468510992,275089675.7,149.05422446406055,38.92032680098559,30.645361374222805
2024-04-01,398.95,455.3,397.55,448.65,336458700,250.33408438284476,273291296.0,107.70833333333334,40.483131323945614,31.15024563543812
2024-05-01,450.05,464.2,396.55,437.8,298456710,262.42865958395157,266447197.8,102.40406842348588,42.46565736108732,31.679574442541984
2024-06-01,460.0,460.0,371.65,441.0,289701908,273.94939122369664,271288261.6,99.59266802443993,45.80893438783757,32.29964188068847
2024-07-01,441.0,455.0,400.0,453.35,258129595,285.5236240479743,274940496.95,84.17631525492585,46.47766490119124,32.91638073509975
2024-08-01,454.95,471.0,403.1,434.65,320950664,295.1446805610083,279049534.4,94.91031390134528,48.03425682734255,33.50968374037507
2024-09-01,435.85,494.85,411.3,482.5,342498370,307.2321205248142,287679288.9,102.43339626599538,50.61172603653529,34.182172884170065
2024-10-01,486.8,491.2,414.5,440.4,299359259,315.82359661998754,293314887.35,81.75815105241435,52.50285598271307,34.83369085748484
2024-11-01,444.0,454.75,396.95,414.45,199784667,322.18659038644,293672830.9,76.58713250958671,52.88643710717061,35.46792773065808
2024-12-01,413.0,447.7,385.5,392.4,203499130,326.71648778086325,298177211.55,94.01730531520394,53.56019529573906,36.089611150504645
2025-01-01,392.5,402.95,338.4,366.5,176608432,329.2831659885495,297163967.9,65.09009009009009,54.35449029884053,36.74180195150128
2025-02-01,367.9,379.0,326.35,338.9,150557990,329.90360689251406,295126594.15,43.26780807440287,54.23140146010168,37.428242240200206
2025-03-01,338.75,386.05,331.85,375.2,122024392,332.82595483493253,288860932.4,72.90322580645162,54.22913560146241,38.09553688723426
2025-04-01,372.45,403.3,335.0,383.5,132893673,336.09524807138854,280741709.4,69.61521450685537,55.24371767707852,38.84099529160643
2025-05-01,384.0,411.95,357.25,392.8,145751944,339.753619163557,273935004.9,74.84976630313822,55.2045393293357,39.628597119208386
2025-06-01,392.8,416.8,381.6,405.75,121120004,344.011450185263,272924442.65,95.07211538461537,53.76398834259399,40.357569657190396
2025-07-01,406.0,416.75,395.0,402.3,87677731,347.7720017862138,266696861.05,89.0063424947146,51.45996486043021,41.045291423548356
