datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-01,4060.0,4754.1,4045.0,4422.0,14410185,,,,,
2020-02-01,4422.0,4547.0,4194.7,4216.0,8843963,,,,,
2020-03-01,4255.0,4329.0,2910.0,3214.0,15856749,,,,,
2020-04-01,3245.0,3674.0,3025.0,3532.0,12260741,,,,,
2020-05-01,3431.0,3940.0,3231.0,3855.0,15448110,,,,,
2020-06-01,3905.0,4016.0,3600.0,3890.4,11791438,,,,,
2020-07-01,3888.0,4287.35,3735.0,4129.6,12623427,,,,,
2020-08-01,4139.0,4224.0,3882.85,3910.0,11214148,,,,,
2020-09-01,3925.0,4102.7,3753.9,4030.2,9912540,,,,,
2020-10-01,4088.0,4735.55,4031.05,4551.15,18590193,,,,,
2020-11-01,4551.0,4979.0,4501.05,4807.7,11031994,,,,,
2020-12-01,4815.0,5400.0,4805.0,5279.0,20799252,,,,,
2021-01-01,5316.9,5831.8,5245.05,5312.4,14515752,,,,,
2021-02-01,5384.0,6589.0,5260.0,6088.0,16013472,,,,,
2021-03-01,6218.8,6958.75,6170.6,6724.0,13135213,,,,687.8414003400486,
2021-04-01,6766.0,7055.95,5970.2,6273.5,12444388,,,,730.2007582345863,
2021-05-01,6252.0,6755.0,6150.0,6692.5,9607331,,,,717.3235545592485,
2021-06-01,6723.0,7000.0,6522.2,6770.0,7107619,,,,693.438531998826,
2021-07-01,6777.3,7730.0,6685.0,7630.05,9055277,,,,727.5313539908111,
2021-08-01,7622.05,7911.0,7288.0,7828.0,5782616,,12522220.4,,717.6468984600776,
2021-09-01,7832.0,8073.3,7371.0,7393.0,5883997,,12095911.0,,716.2285090202017,
2021-10-01,7396.1,7690.0,7007.0,7650.0,9536639,,12130544.8,,713.2206129797861,
2021-11-01,7670.0,8269.0,7201.4,7399.0,5946658,,11635040.25,,744.6985753454849,
2021-12-01,7612.0,7678.75,7035.2,7600.0,5193132,,11281659.8,,735.8676245754311,
2022-01-01,7600.0,7946.0,6950.0,7218.0,7793821,,10898945.35,,758.2239529330293,
2022-02-01,7263.2,7575.0,6396.2,6565.2,7820730,,10700409.95,,793.8520605573749,
2022-03-01,6539.0,6699.0,5629.2,6601.0,17422438,,10940360.5,,816.9218781851959,
