datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,1452.5,1501.7,1438.2,1476.8,2391693,,,,,
2020-01-10,1462.1,1525.0,1430.55,1510.7,4046530,,,,,
2020-01-17,1518.85,1534.0,1488.0,1509.0,3411869,,,,,
2020-01-24,1517.8,1570.75,1487.0,1561.8,4109571,,,,,
2020-01-31,1555.0,1579.6,1500.0,1506.0,2566123,,,,,
2020-02-07,1506.4,1528.0,1417.55,1505.0,5639841,,,,,
2020-02-14,1498.0,1500.0,1429.55,1440.0,4406928,,,,,
2020-02-21,1445.0,1451.75,1402.6,1422.0,2649969,,,,,
2020-02-28,1419.9,1438.0,1312.05,1321.05,3534888,,,,,
2020-03-06,1340.45,1356.45,1248.0,1300.0,3497618,,,,,
2020-03-13,1276.75,1292.35,1022.0,1180.0,4842434,,,,,
2020-03-20,1129.0,1162.35,1000.45,1142.9,5112933,,,,,
2020-03-27,1034.0,1068.75,895.15,954.9,7940626,,,,,
2020-04-03,939.8,985.85,924.05,958.05,4421214,,,,,
2020-04-10,976.0,1029.9,941.25,1007.7,6390899,,,,124.26900485287148,
2020-04-17,1015.0,1193.25,1001.45,1175.0,9665576,,,,131.45801658786817,
2020-04-24,1189.95,1244.0,1120.0,1156.0,11643475,,,,130.6909413722686,
2020-05-01,1170.1,1192.8,1107.0,1170.1,6470875,,,,126.2144666079881,
2020-05-08,1130.0,1204.0,1117.2,1153.0,8029693,,,,122.39223204509598,
2020-05-15,1162.0,1257.0,1147.2,1192.05,7883654,,5432820.45,,121.20151411281539,
2020-05-22,1202.0,1240.0,1125.0,1232.0,5953970,,5610934.3,,120.6283584259031,
2020-05-29,1236.0,1297.95,1236.0,1267.5,6339962,,5725605.9,,115.67878883475134,
2020-06-05,1283.0,1310.0,1240.2,1298.95,6066970,,5858360.95,,111.60357780042058,
2020-06-12,1315.0,1316.3,1180.0,1264.0,5648333,,5935299.05,,113.75974152191668,
2020-06-19,1263.5,1284.9,1220.6,1272.95,3878551,,6000920.45,,109.50906637953507,
2020-06-26,1273.0,1319.7,1245.0,1289.0,4772648,,5957560.8,,106.56029844108045,
2020-07-03,1279.95,1340.0,1265.5,1315.0,7016481,,6088038.45,,103.87999128016025,
2020-07-10,1317.0,1334.95,1290.6,1307.9,5165682,,6213824.1,,98.9630178131351,
2020-07-17,1310.25,1359.9,1253.0,1314.3,8184965,,6446327.95,,99.61134484844965,
2020-07-24,1315.85,1423.95,1314.5,1343.7,10972852,1284.9116666666666,6820089.65,,100.42302126837494,
2020-07-31,1353.0,1454.9,1338.0,1428.8,6667542,1294.1947849462367,6911345.05,-3.250270855904658,101.74282776795636,
2020-08-07,1423.4,1452.95,1390.0,1396.65,4270947,1300.804798820673,6869245.75,-7.549480373336859,98.66223431920206,
2020-08-14,1402.1,1434.95,1380.45,1384.0,4133686,1306.1722311548233,6678898.75,-8.283631544068914,95.18302269558619,
2020-08-21,1397.0,1444.0,1372.3,1418.5,3258317,1313.4191839835444,6620753.9,-9.17531053912153,93.34647709001172,
2020-08-28,1425.15,1439.0,1387.05,1391.2,2584097,1318.4373011458965,6430413.8,-7.62284196547145,90.13076588644032,
2020-09-04,1393.0,1403.2,1301.35,1310.0,4152006,1317.8929591364838,6154735.3,-12.956810631229231,91.03546889144653,
2020-09-11,1315.0,1355.4,1289.0,1317.0,5309960,1317.8353488696139,5838059.55,-8.54166666666667,89.14456634428579,
2020-09-18,1350.0,1438.05,1343.3,1425.75,6374818,1324.797584426413,5833256.7,0.2637130801687704,91.58050160131253,
2020-09-25,1431.4,1431.4,1293.65,1336.2,3126315,1325.5332241408382,5588087.8,1.1468150334960958,95.0882201780768,
2020-10-02,1348.0,1423.0,1341.0,1415.35,3373540,1331.3278548414294,5362582.1,8.873076923076905,94.46137406521905,
2020-10-09,1420.0,1531.5,1402.0,1503.1,6648428,1342.4099287226277,5397305.0,27.381355932203387,97.1002894843182,
2020-10-16,1501.1,1566.0,1473.1,1562.5,7391386,1356.6092881598775,5449876.2,36.71362323912852,96.78517143833102,
2020-10-23,1569.0,1636.2,1538.2,1602.0,13553858,1372.4409469882723,5824220.6,67.76625824693684,96.87598502577279,
2020-10-30,1604.9,1700.0,1573.5,1649.9,10523763,1390.3415310535452,6067992.1,72.21439382078181,99.08316543614404,105.5687817472246
2020-11-06,1649.0,1703.2,1630.0,1659.55,5584452,1407.7098193726713,6153287.15,64.68691078694056,97.16061984874413,104.66516891375369
2020-11-13,1668.1,1696.95,1647.0,1672.0,7355323,1424.760798767983,6282420.9,42.29787234042553,93.66388018841336,103.40536436710521
2020-11-20,1677.9,1723.9,1658.0,1690.5,7157922,1441.905263363597,6289492.95,46.23702422145328,91.61290929078493,102.10276329772242
2020-11-27,1704.0,1757.0,1654.0,1685.75,14362092,1457.6371818562682,6749313.45,44.06888300145289,92.45204515265434,100.9773492492113
2020-12-04,1738.0,1785.0,1654.55,1666.0,7828852,1471.0799443171543,6731507.8,44.492627927146565,95.24586180782612,100.07247024130228
2020-12-11,1682.6,1700.0,1605.0,1613.05,9133523,1480.2393027483056,6639541.35,35.31731051549851,95.22782253437785,99.20668052202105
2020-12-18,1619.85,1659.85,1607.6,1649.95,5817033,1491.1883799903505,6597015.9,33.924512987013,92.0805862254622,98.25508811533969
2020-12-25,1648.0,1694.4,1485.0,1612.0,7959036,1498.9826780554893,6781420.35,27.17948717948717,100.65636326242448,97.75434059626213
2021-01-01,1614.0,1652.55,1600.0,1626.0,5594838,1507.1773439873934,6854477.95,25.17802840755994,97.14575926690337,97.27241331181155
2021-01-08,1634.0,1769.55,1628.0,1760.0,8598057,1523.488483084981,7121464.95,39.240506329113934,100.52691769838931,96.83131918436064
2021-01-15,1743.95,1814.0,1718.25,1740.5,5964032,1537.4892261117566,7290461.7,36.729643740916764,100.17935510233244,96.52032880845387
2021-01-22,1738.0,1746.35,1653.25,1697.6,5627959,1547.8189534593853,7364259.35,31.698991466252902,99.66495427049868,96.29048400276783
2021-01-29,1724.55,1725.65,1593.4,1605.0,3234792,1551.5080532361992,7260500.95,22.05323193916351,102.02973519707622,96.22880879999836
2021-02-05,1625.0,1784.0,1584.2,1722.25,5570440,1562.5236627048314,7220282.05,31.680556617478395,109.11706783830338,96.56727713417062
2021-02-12,1736.0,1813.6,1716.1,1763.55,8629825,1575.4931038206487,7495457.55,34.18169367724264,108.27584322183577,96.85609374661684
2021-02-19,1785.0,1843.55,1735.5,1750.0,5104552,1586.7516132515748,7582008.15,30.2374041824812,108.25950535824957,97.11730988294599
2021-02-26,1749.8,1847.0,1686.05,1722.0,5831193,1595.477315622441,7541146.4,20.520716685330353,112.06774378751489,97.4614737502646
2021-03-05,1754.4,1894.0,1725.7,1828.0,6039229,1610.4787791306708,7473538.55,30.88461676153653,116.39571903337725,98.05258990740377
