datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,661.22,663.16,644.06,645.19,151064,,,,,
2020-01-10,646.37,652.5,627.84,633.38,649938,,,,,
2020-01-17,638.33,641.36,622.74,625.5,969338,,,,,
2020-01-24,634.44,634.44,605.28,624.01,884217,,,,,
2020-01-31,627.13,703.13,622.91,673.99,1829597,,,,,
2020-02-07,683.41,685.69,631.13,673.88,589468,,,,,
2020-02-14,677.25,711.56,664.31,675.0,811880,,,,,
2020-02-21,675.0,682.96,654.3,671.71,575776,,,,,
2020-02-28,672.1,676.1,632.81,647.44,805551,,,,,
2020-03-06,644.06,664.88,596.31,635.06,393285,,,,,
2020-03-13,621.56,649.69,479.42,611.72,779108,,,,,
2020-03-20,610.31,615.94,503.41,511.88,1069336,,,,,
2020-03-27,502.37,568.55,419.43,515.76,915133,,,,,
2020-04-03,492.19,573.75,483.84,555.75,441245,,,,,
2020-04-10,567.56,567.56,535.5,544.5,260997,,,,74.70519327370809,
2020-04-17,545.63,545.82,495.03,506.81,1157932,,,,72.15930149890413,
2020-04-24,517.39,517.5,478.13,506.25,1100504,,,,68.78684178118966,
2020-05-01,516.94,549.0,500.85,533.25,1015527,,,,66.72895886263244,
2020-05-08,517.5,541.13,495.62,516.74,517205,,,,64.6712413560126,
2020-05-15,514.69,517.87,482.06,485.38,1194805,,805595.3,,61.94213046388401,
2020-05-22,488.81,489.94,433.18,473.63,1256152,,860849.7,,61.463188145659075,
2020-05-29,464.06,508.5,445.53,497.95,1310102,,893857.9,,61.59958708572491,
2020-06-05,502.88,555.75,496.13,511.96,1087332,,899757.6,,61.42374907125112,
2020-06-12,519.58,523.13,478.13,490.5,1200718,,915582.65,,59.9898453408966,
2020-06-19,492.19,520.31,477.51,508.44,2990986,,973652.1,,58.51251355460823,
2020-06-26,515.81,554.06,500.63,544.5,1759832,,1032170.3,,58.08196040925294,
2020-07-03,537.19,559.69,523.38,551.0,2400639,,1111608.25,,56.26177955537114,
2020-07-10,561.32,561.32,513.56,521.44,2284846,,1197061.75,,55.55956167162372,
2020-07-17,524.03,555.27,511.34,545.63,925650,,1203066.7,,54.60960877226492,
2020-07-24,547.88,555.19,516.46,521.44,747511,565.3230000000001,1220778.0,,53.32566149013366,
2020-07-31,523.13,544.78,514.69,544.78,523756,563.9976451612904,1208010.4,-15.56285745284336,51.46448429519729,
2020-08-07,534.38,615.38,523.13,590.06,2676455,565.679087408949,1288366.35,-6.8394960371341185,54.703319918004475,
2020-08-14,590.63,623.76,574.93,593.44,1868825,567.4701140277265,1336050.95,-5.125499600319738,54.240605038584285,
2020-08-21,599.06,702.0,582.58,699.75,2696028,576.004300219486,1448790.1,12.137625999583346,59.338114543307896,
