datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,991.85,997.0,968.6,971.0,1432586,,,,,
2020-01-10,970.0,1054.0,955.55,1037.95,4442420,,,,,
2020-01-17,1039.5,1117.9,1024.4,1102.0,3532829,,,,,
2020-01-24,1102.0,1137.8,1080.1,1108.0,2924101,,,,,
2020-01-31,1101.0,1110.5,1061.75,1071.45,1995304,,,,,
2020-02-07,1069.85,1140.95,1033.25,1103.45,3863147,,,,,
2020-02-14,1101.5,1162.8,1093.75,1157.0,3891441,,,,,
2020-02-21,1175.0,1297.95,1174.85,1262.4,10520317,,,,,
2020-02-28,1246.9,1251.6,1087.8,1094.0,4648737,,,,,
2020-03-06,1100.4,1155.65,1045.2,1096.7,4910776,,,,,
2020-03-13,1051.0,1085.7,881.0,1000.2,3499614,,,,,
2020-03-20,984.0,984.0,733.35,830.0,5418560,,,,,
2020-03-27,760.0,919.95,679.0,855.0,4993651,,,,,
2020-04-03,815.0,836.0,738.5,776.65,3863015,,,,,
2020-04-10,809.9,930.5,798.0,878.0,2231222,,,,147.58796643144214,
2020-04-17,878.0,950.0,823.25,940.0,3411834,,,,145.36966082402841,
2020-04-24,944.9,954.9,837.65,870.5,3622575,,,,142.47748505114717,
2020-05-01,880.0,1006.9,880.0,930.0,4016339,,,,141.8714449987423,
2020-05-08,900.0,915.4,868.3,890.5,2664096,,,,134.09678522523944,
2020-05-15,895.0,981.0,894.75,943.65,3988609,,3993558.65,,129.974285435562,
2020-05-22,943.0,1009.4,914.5,988.05,4076081,,4125733.4,,126.73265350567021,
2020-05-29,1000.0,1110.05,1000.0,1078.0,4346479,,4120936.35,,126.30424638900692,
2020-06-05,1088.55,1172.05,1088.5,1160.95,3815422,,4135066.0,,123.43924353851882,
2020-06-12,1186.3,1189.0,1082.0,1149.65,2959513,,4136836.6,,122.00398703698406,
2020-06-19,1155.0,1244.35,1132.35,1223.0,5384498,,4306296.3,,121.14422316207636,
2020-06-26,1259.95,1293.0,1216.0,1237.55,4252783,,4325778.1,,117.40464943984499,
2020-07-03,1238.75,1318.9,1220.05,1315.0,3630670,,4312739.55,,115.85344242742816,
2020-07-10,1316.1,1324.9,1242.0,1268.0,3496239,,3961535.65,,113.13160090555974,
2020-07-17,1275.0,1295.95,1230.15,1249.8,3332140,,3895705.8,,109.26535101746292,
2020-07-24,1250.0,1292.0,1240.0,1263.0,4628120,1061.715,3881573.0,,104.6351555980655,
2020-07-31,1267.0,1327.0,1230.0,1323.5,4986554,1078.6043548387097,3955920.0,36.30278063851699,104.02357940149608,
2020-08-07,1330.0,1383.55,1301.0,1353.7,4195868,1096.3524609781477,3894785.4,30.420540488462834,102.31833201862298,
2020-08-14,1359.0,1405.0,1305.0,1309.9,4050108,1110.1297215602028,3847608.25,18.86569872958259,102.13568800545342,
2020-08-21,1319.7,1415.0,1295.55,1368.9,2885252,1126.824578233738,3798720.1,23.54693140794224,103.48979492854158,
2020-08-28,1370.0,1413.0,1355.25,1379.0,2740889,1143.0939602831745,3824203.45,28.704092584814966,99.93669134726464,
2020-09-04,1379.0,1385.0,1282.55,1294.0,2717572,1152.8298338132925,3789490.35,17.268566767864414,100.13071408532113,
2020-09-11,1290.1,1309.0,1237.5,1300.0,2784653,1162.324683244693,3747594.25,12.35955056179776,97.9331553366114,
2020-09-18,1312.95,1411.6,1304.2,1403.5,4879334,1177.8843810998742,3790744.0,11.177122940430916,98.97659982093026,
2020-09-25,1402.0,1431.9,1282.4,1352.0,4035192,1189.1176468353663,3859298.8,23.583180987202933,102.8151052306935,
2020-10-02,1362.9,1514.7,1351.0,1463.0,6951424,1206.7874760717943,4007439.55,33.400200601805416,107.41988874245935,
2020-10-09,1464.95,1485.0,1403.35,1406.45,4514127,1219.668929228453,4029341.85,40.61687662467506,105.4790433201096,
2020-10-16,1410.0,1422.95,1345.1,1379.8,3047127,1229.9999660524238,3964374.25,66.24096385542168,103.40623139225707,
2020-10-23,1382.25,1418.0,1329.7,1385.0,4399724,1239.99996824259,3993589.35,61.98830409356726,102.27697652556901,
2020-10-30,1387.9,1412.0,1315.0,1344.5,3697509,1246.7419057753264,4030489.15,73.11530290349579,101.88380769874531,115.11725962802848
2020-11-06,1345.0,1468.45,1306.3,1449.0,3799371,1259.790815080144,3951232.8,65.03416856492028,106.36025020976739,113.74300242063933
2020-11-13,1479.0,1597.0,1406.05,1586.0,8841633,1280.8365689459413,4180675.3,68.72340425531915,112.6255425083355,112.65153181011623
2020-11-20,1589.0,1685.0,1569.0,1625.0,5705596,1303.0406612720096,4284421.6,86.67432510051694,112.87482013321073,111.66477631285169
2020-11-27,1626.1,1701.45,1580.1,1664.0,14323676,1326.3283605447832,4825793.45,78.92473118279571,113.49937187725378,110.7190405421354
2020-12-04,1720.0,1720.0,1630.0,1645.1,3716850,1346.8942727677004,4845028.95,84.73891072431216,111.77157003106224,109.97486670232949
2020-12-11,1653.6,1698.1,1630.8,1666.0,4093340,1367.481739040752,4818289.95,76.54850845122662,108.5086199228002,109.25934451857076
2020-12-18,1665.7,1670.2,1605.0,1610.0,3623710,1383.1280784574778,4750147.75,62.947219270279845,105.33715954923109,108.54616138668946
2020-12-25,1603.95,1609.65,1515.5,1557.25,2468613,1394.36175081506,4663785.0,44.45732838589982,104.54498832182625,107.82085278445011
2021-01-01,1563.5,1652.8,1549.35,1633.0,4736272,1409.7577668915078,4698093.2,40.66066583401524,104.46508058993884,107.1883806861641
2021-01-08,1640.5,1733.45,1617.0,1733.0,3117827,1430.6121045114105,4709721.95,50.741530030878955,105.33833938426075,106.63285909774
2021-01-15,1735.0,1747.5,1640.4,1650.0,3350242,1444.766162284868,4740189.6,34.91414554374488,105.4665156216667,106.110268846393
