datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,510.8,514.7,495.25,508.0,3812873,,,,,
2020-01-10,505.0,505.5,483.1,490.95,6842546,,,,,
2020-01-17,495.8,526.0,473.8,480.5,21371973,,,,,
2020-01-24,482.0,487.5,470.3,482.9,7474659,,,,,
2020-01-31,478.4,484.4,435.0,450.4,8974334,,,,,
2020-02-07,448.75,452.75,421.0,442.75,16050451,,,,,
2020-02-14,444.7,481.2,437.15,452.5,15338112,,,,,
2020-02-21,452.9,456.55,409.0,415.8,12056224,,,,,
2020-02-28,414.7,425.95,370.0,382.85,38289389,,,,,
2020-03-06,395.8,424.9,385.0,405.0,26304971,,,,,
2020-03-13,394.4,402.0,271.0,335.0,24501124,,,,,
2020-03-20,322.45,322.9,185.7,235.0,74928173,,,,,
2020-03-27,208.45,269.5,152.2,251.95,84278677,,,,,
2020-04-03,225.05,248.9,180.0,182.8,49972219,,,,,
2020-04-10,198.0,209.05,164.3,192.6,95727938,,,,69.45431644047535,
2020-04-17,184.0,226.65,173.5,221.35,91594929,,,,67.7186405191253,
2020-04-24,223.0,229.7,183.6,198.7,71883817,,,,65.49511055753291,
2020-05-01,203.0,266.45,200.45,263.8,71349708,,,,65.71996562576906,
2020-05-08,245.0,263.9,222.15,242.0,69159096,,,,63.39546807522801,
2020-05-15,246.95,257.25,229.0,243.2,63373201,,42664220.7,,60.0721224661494,
2020-05-22,243.7,244.6,195.4,204.2,77955183,,46371336.2,,59.06730030386437,
2020-05-29,204.25,230.9,201.0,218.1,50867079,,48572562.85,,56.42703115906854,
2020-06-05,225.0,261.4,223.0,250.85,72664155,,51137171.95,,55.2610147147347,
2020-06-12,257.6,289.2,248.55,282.55,115881085,,56557493.25,,53.98537488287706,
2020-06-19,278.0,294.7,260.05,291.25,77937804,,60005666.75,,52.323651734832374,
2020-06-26,295.0,367.8,294.55,339.0,128954912,,65650889.8,,54.375929674471735,
2020-07-03,333.0,355.75,313.4,346.8,78761263,,68822047.35,,53.37053711761683,
2020-07-10,351.7,402.0,349.0,373.0,98892585,,73163865.4,,53.521644488173145,
2020-07-17,378.0,382.75,330.55,354.3,73236675,,74911229.7,,53.41368684979326,
2020-07-24,356.0,358.8,338.0,341.9,42918567,329.33333333333326,75741909.5,,50.77670408834078,
2020-07-31,345.0,348.7,327.3,344.4,41189307,330.30537634408597,76576318.65,-32.20472440944883,48.42362919375127,
