datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,102.25,104.85,100.1,101.15,56016030,,,,,
2020-01-10,99.95,99.95,93.5,96.85,132460921,,,,,
2020-01-17,97.4,99.0,95.1,97.3,79640010,,,,,
2020-01-24,97.85,97.85,93.5,95.35,92532280,,,,,
2020-01-31,93.25,94.2,92.0,92.45,123685305,,,,,
2020-02-07,92.7,93.25,85.4,91.85,134483651,,,,,
2020-02-14,91.85,92.3,86.1,86.4,69668506,,,,,
2020-02-21,85.3,86.35,78.2,82.3,84514813,,,,,
2020-02-28,80.9,82.1,73.3,76.7,103356882,,,,,
2020-03-06,77.5,78.35,68.75,71.6,139075974,,,,,
2020-03-13,69.7,72.6,47.0,65.85,134584468,,,,,
2020-03-20,62.0,69.6,60.2,63.25,160762263,,,,,
2020-03-27,57.5,61.5,51.7,53.8,130926450,,,,,
2020-04-03,52.1,56.2,48.5,48.6,77721856,,,,,
2020-04-10,50.25,51.9,47.3,50.7,78613527,,,,8.96590719897563,
2020-04-17,50.9,52.35,48.25,50.2,88571015,,,,8.447907073572056,
2020-04-24,51.0,53.2,46.1,46.4,133037454,,,,8.309271539997301,
2020-05-01,47.25,51.25,46.55,49.25,102685881,,,,7.964316828017084,
2020-05-08,48.0,48.0,41.0,41.05,118865167,,,,7.992021074400783,
2020-05-15,41.85,45.15,39.35,41.55,152079998,,109664122.55,,7.784744176081357,
2020-05-22,41.5,41.7,36.0,37.6,212748617,,117500751.9,,7.592068168490073,
2020-05-29,37.85,39.95,36.7,38.8,161808552,,118968133.45,,7.199017440776834,
2020-06-05,39.7,47.0,39.4,47.0,347269692,,132349617.55,,7.287930319127037,
2020-06-12,48.0,49.0,41.85,45.5,288067801,,142126393.6,,7.275888074797365,
2020-06-19,45.2,47.5,43.65,46.95,216910690,,146787662.85,,6.981459983747395,
2020-06-26,47.55,54.8,47.4,51.8,365070166,,158316988.6,,7.055036302206089,
2020-07-03,51.5,52.4,48.2,50.6,189164515,,164291789.05,,6.8163493710924135,
2020-07-10,51.0,54.1,49.7,51.55,235784254,,171855261.1,,6.616767185890851,
2020-07-17,52.0,52.45,46.9,49.65,143465151,,173860674.55,,6.529629027997035,
2020-07-24,49.45,50.3,47.7,48.65,132128858,62.35666666666667,173513318.75,,6.211898498067784,
2020-07-31,48.6,48.65,45.45,46.7,135056100,61.34655913978496,173536900.35,-53.830944142362824,5.970645336394416,
2020-08-07,46.45,48.85,45.9,48.6,133554594,60.524200485605284,172176516.9,-49.81930820856994,5.730771607931825,
2020-08-14,48.95,49.9,45.8,46.2,200679818,59.600058518792046,175664185.3,-52.51798561151079,5.602295329019639,
2020-08-21,46.7,48.85,45.65,48.35,133520803,58.874248291773206,178454132.65,-49.292081803880436,5.414418112913539,
2020-08-28,48.7,52.2,47.5,51.65,240823596,58.408167756820106,186564636.1,-44.13196322336398,5.3589215467507945,
2020-09-04,53.5,53.95,45.75,46.1,188567639,57.61409241767043,191564467.3,-49.809471965160576,5.578247501775361,
