datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,246.0,246.95,236.43,241.25,33830602,,,,,
2020-01-10,237.5,240.0,224.28,234.45,85226504,,,,,
2020-01-17,235.5,239.38,226.0,226.75,41993796,,,,,
2020-01-24,227.48,236.6,225.8,233.03,46515828,,,,,
2020-01-31,233.25,243.45,228.03,228.1,63072578,,,,,
2020-02-07,228.25,255.0,218.65,245.0,105333628,,,,,
2020-02-14,246.0,247.78,234.0,238.6,55450758,,,,,
2020-02-21,239.23,240.5,228.0,235.5,40492572,,,,,
2020-02-28,235.5,237.85,210.25,211.35,62266118,,,,,
2020-03-06,216.0,220.93,199.0,200.4,69692304,,,,,
2020-03-13,206.95,227.2,137.73,188.5,195013478,,,,,
2020-03-20,175.0,193.63,142.7,161.0,121010670,,,,,
2020-03-27,142.5,152.0,126.0,139.48,77884074,,,,,
2020-04-03,134.5,164.85,134.5,158.5,100563206,,,,,
2020-04-10,163.5,182.1,159.75,173.6,55388654,,,,30.965436629261447,
2020-04-17,172.5,185.18,168.1,180.5,43161986,,,,29.487262545556153,
2020-04-24,181.08,186.45,168.58,175.28,52200262,,,,28.292398727968862,
2020-05-01,176.6,187.43,176.15,185.93,59715366,,,,26.682696673795732,
2020-05-08,181.0,182.1,156.18,162.25,116298584,,,,26.980149710643776,
2020-05-15,163.0,165.18,153.63,158.9,90639838,,75787540.3,,25.521079079445162,
2020-05-22,160.28,162.0,145.9,156.7,81757954,,78183907.9,,24.650365096858916,
2020-05-29,157.5,173.58,156.03,170.1,75579518,,77701558.6,,24.007629064153893,
2020-06-05,172.15,186.25,168.65,185.5,107946382,,80999187.9,,23.438467555549302,
2020-06-12,189.8,201.03,177.63,186.7,96792666,,83513029.8,,23.435109079286633,
2020-06-19,186.95,192.25,178.25,190.2,60113770,,83365089.4,,22.624235783250278,
2020-06-26,191.5,198.48,183.65,197.15,75000950,,81848455.5,,21.96396548666121,
2020-07-03,196.45,197.8,186.1,192.23,51540880,,81652961.6,,21.105876774733154,
2020-07-10,194.0,198.38,185.18,187.88,45674502,,81912058.1,,20.452878420475226,
2020-07-17,189.0,223.7,180.15,221.43,163822082,,86989856.3,,22.339551214416296,
2020-07-24,220.5,240.5,217.55,223.95,247588492,196.3403333333333,95884665.7,,22.38890910920898,
2020-07-31,227.0,236.85,205.45,207.0,161753636,197.02805376344082,94221673.6,-14.196891191709849,23.110697764744373,
2020-08-07,207.0,214.13,195.5,209.75,145076850,197.84882448838013,95424982.6,-10.53529537214758,22.75487920306372,
2020-08-14,210.5,217.05,204.33,206.5,100233478,198.40696484396852,96542452.8,-8.930540242557882,21.964306241729204,
2020-08-21,209.4,209.93,198.83,205.45,137104988,198.8613542088738,98369541.9,-11.83538600180235,21.114637349248277,
2020-08-28,206.7,211.0,204.18,207.6,81859624,199.42513780830132,99693090.4,-8.98728627794827,20.004218571944662,
2020-09-04,208.75,213.2,200.25,202.0,78749422,199.59125794970123,101472462.2,-17.551020408163264,19.45964606164514,
2020-09-11,205.5,218.0,198.1,211.53,143016800,200.36149937230118,106013289.1,-11.34534786253143,19.493445555673713,
2020-09-18,212.95,214.75,204.8,206.28,71388470,200.7433381224753,106596944.3,-12.407643312101913,18.76481682887321,
2020-09-25,206.75,207.85,182.65,186.8,74874522,199.84376792102532,104525741.2,-11.615803170096983,19.253728606933247,
2020-10-02,188.5,197.25,173.75,176.25,151142578,198.3215893454753,107550878.2,-12.05089820359282,19.57487822165072,
2020-10-09,176.65,180.2,168.8,172.63,93347602,196.66406745221883,108130360.6,-8.41909814323608,18.95919162970141,
2020-10-16,173.5,174.9,162.5,170.2,73948838,194.9567082617531,108048826.6,5.714285714285716,18.467101820814694,
2020-10-23,172.0,181.53,170.53,175.35,80688842,193.69175934164002,106685949.6,25.716948666475492,17.933573189091607,
2020-10-30,175.78,179.73,169.1,176.78,74872582,192.60067809379228,105589945.4,11.533123028391179,17.389409824243856,22.41935139402076
2020-11-06,176.9,185.03,172.1,181.3,68929228,191.87160208774117,106030718.3,4.435483870967749,17.058174500606214,21.955775989732253
2020-11-13,184.13,200.2,182.75,196.25,94688448,192.15407937240303,107015093.2,8.725761772853179,17.194592626268886,21.54602032575601
2020-11-20,198.78,207.5,188.68,191.5,154558064,192.11188070321575,112165952.4,9.25376540392515,17.314664575783507,21.1800958540165
2020-11-27,193.0,199.75,185.5,186.28,91859894,191.73563033526636,114475222.0,0.1882428871080588,17.08882375165978,20.860300089945305
2020-12-04,187.45,199.4,185.5,196.0,81129126,192.0107509587976,110340574.2,20.801232665639446,16.85436405656341,20.522773901475954
2020-12-11,196.08,203.7,193.55,198.25,92234954,192.4132831550042,102572897.3,24.764002517306483,16.36245415977065,20.217486404153473
2020-12-18,200.75,204.63,194.63,196.75,79098086,192.69307133855233,98440119.8,25.558391831525217,15.896536028868965,19.925692101887144
2020-12-25,196.5,196.5,178.5,188.65,69567164,192.4322280263877,94664635.5,10.905349794238695,16.068568786548187,19.66105675930028
2021-01-01,190.0,192.8,188.83,191.25,38246892,192.35595525049172,91565306.2,3.0997304582210283,15.198800789855097,19.38640120044381
2021-01-08,192.45,203.0,191.28,200.25,79349862,192.86524846013742,88677549.9,7.257632565613292,14.94751035422004,19.10348124294159
2021-01-15,202.0,215.0,197.68,207.05,115284934,193.7803937207737,90348815.4,8.859095688748697,15.120129752850946,18.853344375261614
2021-01-22,207.0,211.5,197.48,198.45,70539834,194.08165864201413,89938336.0,0.6593963986812001,15.040192011091793,18.622551926075968
2021-01-29,200.0,201.43,188.13,192.5,56847106,193.97961614898097,85629851.3,0.14045674452478618,14.913901782421446,18.416152759665575
2021-02-05,194.0,211.25,190.3,207.53,85097018,194.85383446194993,86315278.7,10.458803491590384,15.351456452129348,18.246105360720712
2021-02-12,210.0,219.03,204.53,209.0,98816280,195.76649030311444,87512366.6,-5.613512170889223,15.289800091217025,18.011113656614075
2021-02-19,211.4,222.4,200.78,214.53,129080636,196.97703931581674,86409269.5,-4.206296048225044,15.747736980986833,17.789741252339997
2021-02-26,214.65,233.9,209.0,224.95,134391628,198.78174645673178,88461470.8,8.671497584541065,16.40922251041157,17.56635874386224
