datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,55.61,59.17,55.19,57.11,3631455,,,,,
2020-01-10,57.11,58.0,54.04,56.89,5495841,,,,,
2020-01-17,57.33,61.53,57.0,60.87,9200097,,,,,
2020-01-24,61.11,61.56,58.73,60.44,5496435,,,,,
2020-01-31,60.72,61.73,59.02,59.32,3840354,,,,,
2020-02-07,60.01,65.56,57.57,63.73,13869153,,,,,
2020-02-14,64.17,64.72,57.46,58.0,8987958,,,,,
2020-02-21,58.11,58.53,54.73,57.78,3912030,,,,,
2020-02-28,57.22,58.29,50.01,50.22,7728282,,,,,
2020-03-06,50.78,51.66,45.57,46.21,8154846,,,,,
2020-03-13,45.54,45.54,36.44,40.87,8416665,,,,,
2020-03-20,40.56,40.56,33.33,35.0,9189027,,,,,
2020-03-27,33.33,35.33,30.56,33.41,10885680,,,,,
2020-04-03,33.33,33.51,32.02,33.15,5786343,,,,,
2020-04-10,34.11,37.08,33.59,36.67,8076357,,,,5.373979475292556,
2020-04-17,37.67,43.22,35.58,42.66,10073403,,,,5.615208678392163,
2020-04-24,42.91,43.59,39.44,39.91,5785110,,,,5.464508388357368,
2020-05-01,40.52,45.33,40.06,43.49,10640475,,,,5.460070061354415,
2020-05-08,42.78,43.78,41.29,42.61,5671647,,,,5.1720462614733025,
2020-05-15,43.3,48.87,41.87,47.54,12535875,,7868851.65,,5.344897054569252,
2020-05-22,47.23,51.43,43.72,43.83,16304886,,8502523.2,,5.563484350936977,
2020-05-29,43.88,44.99,41.46,41.89,7452252,,8600343.75,,5.3794102017263725,
2020-06-05,42.44,45.94,42.24,45.11,7805079,,8530592.85,,5.261324540338477,
2020-06-12,45.47,46.29,42.39,43.61,5184954,,8515018.8,,5.142471754159992,
2020-06-19,43.35,46.94,42.67,45.9,6612372,,8653619.7,,5.067489680179791,
2020-06-26,46.33,56.09,46.0,50.47,24744087,,9197366.4,,5.501431057141553,
2020-07-03,50.36,53.33,48.5,52.14,12333996,,9364668.3,,5.4452980341184505,
2020-07-10,52.78,58.88,52.46,55.88,24410358,,10389584.7,,5.552235983831649,
2020-07-17,56.13,57.16,54.11,56.34,8251119,,10415726.55,,5.347842525605211,
2020-07-24,56.67,59.08,54.22,54.88,11335914,48.53100000000002,10574779.95,,5.308397971659218,
2020-07-31,55.0,62.08,53.56,57.33,35993988,49.09867741935486,11953646.1,0.3852215023638639,5.565647392206051,
2020-08-07,57.55,57.99,54.67,54.78,11067111,49.46521436004164,12047550.3,-3.7089119353137634,5.387317349188241,
2020-08-14,54.83,56.76,54.24,54.37,8430255,49.781652143264765,11924779.05,-10.678495153606049,5.161422894261318,
2020-08-21,54.78,55.04,53.51,54.44,5784597,50.08219071466704,11924691.75,-9.927200529450698,4.877418835461354,
2020-08-28,54.96,58.41,53.96,57.61,19319814,50.56785582984982,12486864.6,-2.882670262980447,4.84421660100981,
2020-09-04,58.33,62.66,54.63,58.28,44754012,51.06541351824661,14220895.05,-8.55170249490036,5.0901531346123345,
2020-09-11,58.33,60.55,56.68,58.86,21435912,51.56829006545651,15003435.15,1.4827586206896504,4.99649992750956,
2020-09-18,59.0,67.56,59.0,63.11,57998718,52.312916512846414,17371347.3,9.224645205953607,5.279256980691467,
2020-09-25,63.22,64.11,56.67,59.83,17393751,52.79788964104987,17957452.5,19.135802469135797,5.443419007382615,
2020-10-02,60.22,62.0,59.58,60.14,10868283,53.271574180336984,17874072.9,30.144990261848093,5.214754901989869,
2020-10-09,60.49,61.77,57.79,58.11,7792425,53.58373068483137,17448449.85,42.1825299730854,5.121759995290778,
2020-10-16,58.57,59.17,57.38,58.33,7419483,53.88994160839064,17446811.4,66.65714285714286,4.871801580916218,
2020-10-23,58.89,59.17,56.44,58.31,8386974,54.17510666591383,17475906.15,74.52858425621073,4.711692828711513,
2020-10-30,58.44,58.73,54.56,54.79,7292799,54.21477720359681,17581298.4,65.2790346907994,4.671333215032853,5.241226355446691
2020-11-06,55.0,56.11,51.78,55.56,14934537,54.301565771106695,17997406.65,51.51349877283884,4.645979721542521,5.216959696988357
