datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,306.65,310.5,299.35,304.95,2792935,,,,,
2020-01-10,291.5,316.0,287.05,313.85,8602292,,,,,
2020-01-17,316.05,334.9,312.8,325.25,7218139,,,,,
2020-01-24,327.25,329.0,308.95,325.45,14320345,,,,,
2020-01-31,323.05,336.8,323.05,325.0,18509789,,,,,
2020-02-07,325.0,349.0,315.0,338.5,18531053,,,,,
2020-02-14,339.95,341.75,330.6,332.25,4575841,,,,,
2020-02-21,334.35,334.75,322.0,331.5,3938619,,,,,
2020-02-28,332.0,332.0,300.55,307.2,7072882,,,,,
2020-03-06,309.0,317.0,267.0,278.75,13947583,,,,,
2020-03-13,275.75,279.55,210.35,248.05,20293637,,,,,
2020-03-20,235.0,246.95,170.95,194.0,18546873,,,,,
2020-03-27,175.0,184.0,123.6,169.9,22654938,,,,,
2020-04-03,167.0,167.05,122.5,125.4,15887200,,,,,
2020-04-10,136.9,177.8,117.4,170.6,26725635,,,,44.221630331881094,
2020-04-17,170.0,180.8,145.0,180.3,34117072,,,,43.32510571897123,
2020-04-24,180.0,183.7,132.05,133.0,52728362,,,,44.181341421886074,
2020-05-01,136.45,170.6,133.0,159.0,54391151,,,,43.52505737237433,
2020-05-08,150.0,155.95,138.55,144.4,74251076,,,,41.28734392805404,
2020-05-15,146.95,165.95,141.5,149.25,70787001,,24494621.15,,39.6952094061273,
2020-05-22,149.0,149.0,121.2,124.2,75272308,,28118589.8,,38.61893708375794,
2020-05-29,126.55,143.2,120.1,140.5,66986356,,31037793.0,,37.214138891419076,
2020-06-05,145.0,164.0,140.3,145.75,87319744,,35042873.25,,36.013737369745215,
2020-06-12,150.0,165.0,139.0,160.15,102982858,,39475998.9,,35.13947076307851,
2020-06-19,160.05,204.7,151.2,198.25,144697743,,45785396.6,,36.71741360763968,
2020-06-26,201.0,216.45,190.1,201.25,122688722,,50993280.05,,35.83916262217575,
2020-07-03,200.0,204.7,187.0,196.6,81447936,,54836884.8,,34.32269116578356,
2020-07-10,200.0,218.0,196.65,208.25,70359062,,58157906.95,,33.255321118882605,
2020-07-17,210.0,212.9,195.8,206.95,39898664,,59799196.05,,31.93568461234072,
2020-07-24,207.2,224.55,207.05,212.0,58882452,221.68333333333337,62045939.5,,30.77657146544419,
2020-07-31,213.0,223.35,200.5,202.9,41702942,220.47150537634414,63116404.75,-33.46450237743892,30.141652848998408,
2020-08-07,200.95,209.7,197.5,208.95,40266850,219.72818244883806,64202403.6,-33.423610004779356,28.716880760790307,
2020-08-14,210.9,231.0,202.15,219.05,42026132,219.68442874246142,65170963.3,-32.651806302843966,28.727368228454136,
2020-08-21,221.0,234.55,210.35,227.0,47613941,220.1564010816575,66757300.35,-30.25042249193425,28.373294635264287,
2020-08-28,229.9,259.0,227.35,249.6,52418324,222.05598810864734,68041934.8,-23.2,28.655019987111853,
2020-09-04,252.0,255.6,228.85,235.0,28530192,222.89108565002493,67762590.8,-30.57607090103397,28.50795599895047,
2020-09-11,236.1,238.2,215.6,224.3,21435495,222.98198335002334,66197947.45,-32.49059443190369,28.05448912579476,
2020-09-18,230.0,243.95,226.5,243.95,36802077,224.33475861776378,65318493.75,-26.410256410256416,27.412818130197596,
2020-09-25,242.9,242.9,220.75,237.5,28586548,225.18412902952096,63035267.35,-22.688802083333325,27.092750099823597,
2020-10-02,240.5,260.0,238.0,256.8,22981509,227.22386264051963,60644992.75,-7.874439461883409,26.74539596521499,
2020-10-09,259.4,265.0,248.05,252.75,25440536,228.87071021209903,58153404.15,1.8947792783712947,26.00766094395868,
2020-10-16,255.2,257.05,233.0,236.5,22410280,229.36292245647974,55924600.35,21.907216494845372,25.860791473730767,
2020-10-23,237.85,257.3,233.9,250.5,23943371,230.72660487864235,52755781.7,47.43967039434962,25.676836874105124,
2020-10-30,250.55,280.35,234.5,271.2,36481654,233.33779166066543,49430721.5,116.26794258373204,27.179867793628894,33.10738665818617
2020-11-06,271.0,308.3,268.65,302.8,37967079,237.81922445675156,44094188.3,77.49120750293083,28.106122262264087,32.570203055865605
2020-11-13,306.05,322.45,299.0,309.5,32219310,242.44379062083212,39570717.7,71.65834719911257,27.76125817384562,32.05140813769475
2020-11-20,312.7,344.6,309.7,336.5,28826713,248.51193316142363,36939656.55,153.0075187969925,28.3033850598755,31.522142925627733
2020-11-27,340.0,394.9,340.0,385.85,40685647,257.3724536026221,35455985.8,142.6729559748428,30.5212605086673,31.08868303017083
2020-12-04,389.65,389.65,361.25,371.45,23191716,264.73229530567875,34620638.4,157.23684210526315,30.3652938793347,30.724614695213518
2020-12-11,373.5,378.0,362.1,370.0,24661549,271.5237601246672,32909593.25,147.90619765494137,29.30395216828987,30.378239453952276
2020-12-18,370.0,386.25,362.7,372.5,18959771,278.0383562456565,31772434.7,199.9194847020934,28.88259421863292,30.05369469178144
2020-12-25,372.65,383.05,345.15,375.0,13721171,284.2939461652916,30445150.75,166.90391459074735,29.541745666333064,29.79794825094524
2021-01-01,376.35,415.9,375.75,414.45,23446781,292.69111092882116,29516183.2,184.35677530017153,30.37062422504676,29.609844479455294
2021-01-08,415.0,446.55,414.2,431.0,34646695,301.6142650624456,28867820.9,169.1226974711208,30.514847748259996,29.45569037896134
2021-01-15,434.8,451.0,417.4,423.85,21213395,309.5004415100298,27307574.45,113.79571248423707,30.739319592563906,29.256420578458812
2021-01-22,426.65,464.85,402.55,423.9,47051121,316.88105818680214,28233620.9,110.63354037267081,33.03258501295166,29.162867991484678
2021-01-29,435.0,449.5,390.65,400.0,26254370,322.2435705618472,28474564.65,103.45879959308242,34.90622149766693,29.182319002547455
2021-02-05,402.0,475.0,402.0,453.0,39940769,330.6794692352765,28631499.25,117.52701080432173,37.81260561826327,29.334228485860145
2021-02-12,455.0,478.5,454.0,467.9,19878239,339.5324067039683,28196083.8,126.09325924136266,36.921015151279036,29.500406170491424
2021-02-19,472.05,538.0,472.05,534.4,59249636,352.1045094972607,30009490.15,152.0754716981132,39.32123652600399,29.78522833917675
2021-02-26,534.4,550.95,487.35,518.0,37702589,362.80744436840524,30622592.8,155.29817644159684,41.07599932915013,30.149706555181808
2021-03-05,524.5,558.0,515.65,529.0,19829798,373.52954473173395,30493568.7,153.1706149796602,41.16800059382973,30.564743882949788
2021-03-12,532.0,556.8,525.0,533.4,15506914,383.8437676522673,30071745.85,143.5060488472951,40.49202676937835,30.95689916764726
2021-03-19,536.0,558.95,514.05,557.3,17308612,395.0344923198629,29113093.75,145.50660792951538,40.80986443044267,31.37145149415321
2021-03-26,558.0,579.6,525.5,558.8,25038557,405.6000089443879,28466667.65,123.87820512820511,41.76750398281302,31.808534294009913
2021-04-02,560.2,568.9,547.0,561.2,9168260,415.63871804475,27314115.15,138.80851063829792,40.33682107653054,32.202829796595914
2021-04-09,560.0,588.1,534.0,556.3,22445685,424.7136394612178,26995063.75,148.01604993312526,41.32734706440644,32.645258394549636
2021-04-16,544.7,550.5,503.7,540.0,24314540,432.1514691733973,26176508.4,121.35683541709366,42.13819328014475,33.13610423288121
2021-04-23,527.0,566.8,514.2,554.4,18268328,440.0384711622104,25930339.0,133.4315789473684,42.890337586106256,33.66269048242397
2021-04-30,558.95,600.95,550.95,570.5,20280394,448.45534399045494,25711281.25,122.15732087227416,43.40124386707772,34.21788541248606
2021-05-07,562.05,587.8,544.55,567.8,15657668,456.15499921687723,25546176.1,124.64886251236398,43.39038005246622,34.79730938276964
2021-05-14,560.0,560.0,513.0,525.2,28683339,460.60951539643355,26294284.5,122.07188160676536,44.20960192826968,35.40893639792093
2021-05-21,530.7,586.4,526.75,580.0,31636279,468.3121273063411,26703759.4,131.53692614770458,45.42907499350508,36.06734433523427
2021-05-28,585.25,590.55,523.9,542.55,59182861,473.10166748012557,27930567.7,100.05530973451329,46.95166462781644,36.726404229707185
2021-06-04,546.0,574.15,539.05,571.0,16846551,479.4176889330207,27712225.5,88.57331571994716,46.101587013742964,37.326253054756485
2021-06-11,572.75,584.75,548.4,563.0,20414856,484.8100960986323,26380412.25,81.90630048465266,45.402348748664735,37.91428940725045
2021-06-18,563.0,579.7,518.0,538.5,15342211,488.2739608664625,25834804.3,60.02971768202081,46.57064999415692,38.52319823839317
2021-06-25,534.0,553.6,528.05,532.2,11032191,491.10789887507786,24389375.4,37.92924711675523,45.06416607705868,39.00796175733955
2021-07-02,536.9,536.9,502.75,510.05,15619383,492.3299699153954,24176432.6,37.313231928927195,44.28216843633312,39.47185757590616
2021-07-09,513.95,532.75,508.2,518.7,14323455,494.03126217891827,21930123.55,40.189189189189214,42.86867551449642,39.92401502077971
2021-07-16,523.5,526.55,508.3,512.5,7706322,495.22279365124615,20430310.2,37.583892617449656,41.10550494523197,40.33144537833301
2021-07-23,509.95,516.4,479.0,499.0,14008895,495.46648438342385,20139265.05,33.06666666666666,40.84017012470575,40.70805952694544
2021-07-30,499.95,505.75,470.05,475.55,15089854,494.18154990707393,20118412.05,14.74242972614308,40.472170413956924,41.04477773324244
2021-08-06,473.65,541.9,470.0,522.65,32850740,496.0182241066176,20895518.45,21.2645011600928,42.72181033668313,41.451676486189875
2021-08-13,527.35,531.95,494.05,500.8,7154737,496.3267257771584,20001327.45,18.155007667807,42.3767122994516,41.83958957641947
