datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,216.15,221.2,213.2,216.35,28970677,,,,,
2020-01-10,215.0,215.65,204.5,211.1,49500865,,,,,
2020-01-17,212.8,215.0,208.15,210.1,39801668,,,,,
2020-01-24,210.1,210.8,202.25,205.25,26021832,,,,,
2020-01-31,203.55,203.55,188.25,189.4,37812430,,,,,
2020-02-07,187.65,198.4,180.3,196.0,42527361,,,,,
2020-02-14,195.9,197.0,189.6,193.75,34002365,,,,,
2020-02-21,194.0,194.7,181.75,190.0,22149069,,,,,
2020-02-28,186.9,186.9,154.1,155.0,63899337,,,,,
2020-03-06,160.55,167.9,140.0,150.5,68836165,,,,,
2020-03-13,143.9,145.8,103.1,129.3,51477192,,,,,
2020-03-20,120.8,129.05,97.55,105.5,69742978,,,,,
2020-03-27,94.95,99.95,84.9,91.45,59444577,,,,,
2020-04-03,88.1,97.25,86.55,89.0,43006024,,,,,
2020-04-10,92.15,111.8,90.0,108.0,62796043,,,,21.433690403528722,
2020-04-17,109.0,125.7,105.1,124.85,102354156,,,,21.344939895983792,
2020-04-24,125.0,125.15,102.75,104.6,89122445,,,,21.45345540372284,
2020-05-01,106.4,132.2,105.3,130.0,113813814,,,,22.066381997188238,
2020-05-08,121.4,123.0,114.6,117.15,96216501,,,,21.419906784609044,
2020-05-15,118.95,126.95,116.4,118.95,66770063,,58413278.1,,20.392051446151157,
2020-05-22,120.55,130.75,114.3,124.4,90486130,,61489050.75,,20.02771958084213,
2020-05-29,125.55,141.15,125.5,138.45,92532324,,63640623.7,,19.731015333810944,
2020-06-05,141.9,151.0,138.35,149.8,72980356,,65299558.1,,19.10203988446879,
2020-06-12,155.0,155.85,136.2,145.9,81021871,,68049560.05,,19.14988048714343,
2020-06-19,149.05,154.6,143.75,150.75,101426448,,71230260.95,,18.4365711453264,
2020-06-26,150.9,160.1,144.6,151.0,77094163,,72958601.05,,18.187806448568534,
2020-07-03,149.45,151.6,143.3,146.1,56303825,,74073674.05,,17.3611654090724,
2020-07-10,147.8,166.45,147.1,163.55,117136446,,78823042.9,,17.608032913415805,
2020-07-17,165.3,170.5,161.05,162.9,76637326,,79459942.35,,16.941649498632998,
2020-07-24,162.2,163.9,154.3,156.4,68655955,150.84999999999997,79450931.85,,16.348039728057667,
2020-07-31,157.0,168.5,154.6,164.0,62965052,151.69838709677418,80025324.85,-24.196903166165928,16.151951671081378,
2020-08-07,163.1,179.0,160.75,177.4,111364541,153.35655567117584,82106403.0,-15.963998105163423,16.31856066323573,
2020-08-14,176.9,189.45,172.7,183.8,112258223,155.3206488536806,84747085.3,-12.517848643503083,16.352550536676137,
2020-08-21,185.15,203.15,184.25,195.8,109501909,157.93221989537864,88071879.55,-4.604141291108399,16.58697319644871,
2020-08-28,197.45,197.8,190.05,193.9,48219496,160.25272183761228,87343052.2,2.375923970432936,15.900510103183777,
2020-09-04,195.0,197.0,184.25,188.85,81181204,162.09770752550827,86284404.6,-3.647959183673477,15.657296602196123,
2020-09-11,188.3,191.5,171.75,178.05,73454852,163.12688768515292,85501024.95,-8.103225806451608,15.971433236403547,
2020-09-18,179.0,184.6,174.5,179.4,83808230,164.17676589901401,84000745.75,-5.5789473684210495,15.523157516845272,
2020-09-25,179.4,180.7,154.4,161.6,101239817,164.01052293778733,84251911.55,4.258064516129023,16.34192600877454,
2020-10-02,163.95,179.25,162.1,174.55,77224595,164.69048919986557,84774638.15,15.980066445182729,16.44085691059818,
2020-10-09,175.0,182.4,169.25,169.8,80243559,165.02013505793877,84262509.6,31.32250580046403,16.193007778055396,
2020-10-16,174.0,180.55,169.7,179.9,72419230,165.98012634452337,83256854.9,70.521327014218,15.792159651515266,
2020-10-23,181.0,187.7,177.7,182.05,78901948,167.0168923868122,83552934.5,99.07053034445053,15.359171151255667,
2020-10-30,182.3,182.9,165.3,171.0,70593250,167.273867071534,83031503.45,92.13483146067416,15.52612737046654,17.83733429190864
2020-11-06,171.5,190.35,167.65,187.5,82877132,168.5787788733705,82104037.65,73.61111111111111,16.058987124521927,17.658177515941745
2020-11-13,189.85,211.4,189.3,210.3,136899772,171.27047055895952,85094318.1,68.44213055666802,16.639745877249418,17.501337715317266
2020-11-20,212.0,227.25,207.05,214.2,86905617,174.0401176196718,86624407.7,104.78011472275335,16.902748654396195,17.34964749033971
2020-11-27,217.0,231.25,215.55,225.25,118481582,177.34398099904783,86691664.5,73.26923076923077,16.91359987952121,17.177888086417475
2020-12-04,230.8,255.95,222.5,252.5,106814586,182.1927564184641,88200527.5,115.53563807084934,18.129446107529596,17.068206063848162
2020-12-11,252.3,253.95,238.0,243.05,78294364,186.11903019791805,88682447.95,104.32955023118957,17.969536666339465,16.987455571187773
2020-12-18,245.95,254.9,242.6,249.3,77547625,190.1952217980524,89411576.6,100.40192926045015,17.55436040568179,16.905010265349095
2020-12-25,246.0,249.75,227.0,237.25,62165292,193.23101394011354,86951614.15,71.36150234741785,17.934149609290618,16.84511474119842
2021-01-01,239.15,242.0,232.65,238.25,41509193,196.13546465365462,83414162.65,59.04539385847796,17.307713772681346,16.7853038708055
2021-01-08,240.9,275.4,239.55,267.6,108372910,200.7460798372898,83357712.7,83.4132967786155,18.753484941815156,16.772090685961228
2021-01-15,267.6,270.5,251.1,253.2,64864071,204.130203718755,84189941.45,67.96019900497512,18.800524574105314,16.78422246692052
2021-01-22,252.3,254.55,235.55,239.6,64015323,206.41857767238375,83331647.4,58.675496688741724,18.815018878110042,16.805129547905242
2021-01-29,240.7,243.9,224.55,226.1,51107280,207.68834685481062,82214268.8,54.757015742642025,18.853843839831022,16.854885495597195
2021-02-05,227.35,267.4,226.55,262.6,80123484,211.23103415450026,82030031.5,60.562519107306635,20.480957927582683,16.95064966273609
2021-02-12,264.0,297.35,263.55,291.0,128947815,216.37741904775834,83415431.4,78.63720073664824,21.514219471012083,17.103068661815392
2021-02-19,292.5,313.35,289.0,309.0,87275129,222.35306943177395,83917958.1,97.57033248081841,21.719364416547332,17.28211281809838
2021-02-26,310.0,354.6,310.0,340.95,167441697,230.00448430714337,88277865.0,107.89634146341464,23.445352277593607,17.52522617164879
2021-03-05,342.0,361.3,333.15,339.0,75936833,237.03645306152123,88453745.15,91.09357384441938,23.785095850918918,17.774110677904897
2021-03-12,340.05,345.0,327.45,331.5,50205531,243.1308754446489,87018924.3,80.35908596300325,23.33518537685867,18.006865172577644
2021-03-19,331.9,340.5,320.6,333.05,78772026,248.93210928692963,87427863.1,70.097037793667,23.08749074978646,18.22354909102224
2021-03-26,335.1,342.65,305.4,326.45,77299645,253.93326352648256,87148988.75,68.35997937080968,24.10799042398708,18.49713176838235
2021-04-02,330.55,352.0,320.9,348.3,45083701,260.02144007316116,82558185.2,84.43208895949168,24.611493460383542,18.795604996988594
