datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2021-01-29,24.9,25.8,24.35,24.8,381711768,,,,,
2021-02-05,25.25,26.2,23.85,25.6,297737555,,,,,
2021-02-12,25.9,25.95,25.0,25.4,114767287,,,,,
2021-02-19,26.2,26.2,24.9,25.4,142160042,,,,,
2021-02-26,25.3,25.4,24.5,24.65,99340360,,,,,
2021-03-05,24.65,26.7,24.65,24.95,205747521,,,,,
2021-03-12,25.1,25.5,24.8,24.85,65732523,,,,,
2021-03-19,24.9,24.95,23.5,23.95,72228348,,,,,
2021-03-26,24.0,24.5,22.9,23.0,78915078,,,,,
2021-04-02,23.15,23.3,22.7,22.85,43861335,,,,,
2021-04-09,22.85,22.9,21.9,21.95,93490433,,,,,
2021-04-16,21.85,22.0,20.8,21.8,80670411,,,,,
2021-04-23,21.2,21.65,20.9,21.05,46824440,,,,,
2021-04-30,21.1,21.5,20.95,21.25,61598151,,,,,
2021-05-07,21.15,21.25,20.9,21.05,68499075,,,,1.0370838126874502,
2021-05-14,21.15,23.85,21.1,23.1,135988113,,,,1.224755046182437,
2021-05-21,23.15,23.65,22.9,23.35,78952461,,,,1.1759253305178492,
2021-05-28,23.85,24.25,23.3,23.4,79330155,,,,1.1533963077404465,
2021-06-04,23.45,24.0,23.35,23.7,75923558,,,,1.104579237972265,
2021-06-11,24.0,25.0,23.9,24.5,128789915,,117613426.45,,1.123058170448496,
2021-06-18,24.7,25.6,24.2,24.45,200820422,,108568859.15,,1.1486536591733092,
2021-06-25,24.5,25.3,24.3,24.75,62562750,,96810118.9,,1.135197299980399,
2021-07-02,25.0,26.45,24.2,24.35,185905281,,100367018.6,,1.2342203208492588,
2021-07-09,24.5,24.65,23.65,23.75,76646738,,97091353.4,,1.2137713118968223,
2021-07-16,23.95,24.05,23.2,23.3,71537592,,95701215.0,,1.1825080334119118,
2021-07-23,23.25,23.65,23.15,23.3,32504087,,87039043.3,,1.1246909755017924,
2021-07-30,23.25,23.4,22.85,22.95,38762465,,85690540.4,,1.076645623092348,
2021-08-06,23.15,23.8,23.1,23.55,64199646,,85289105.3,,1.0579254705911019,
2021-08-13,23.55,24.15,22.8,23.7,46677886,,83677245.7,,1.0817833814801974,
2021-08-20,24.25,24.25,22.95,23.0,33569934,23.59,83162675.65,,1.0994273069875897,
2021-08-27,23.15,23.3,22.55,22.9,32109417,23.545483870967743,80093624.85,-7.6612903225806495,1.071438169026982,
2021-09-03,22.9,23.35,22.85,23.05,33881742,23.51351716961499,77754191.4,-9.9609375,1.0260594539097827,
2021-09-10,23.1,23.15,22.95,23.05,16679302,23.483612836091442,76246934.5,-9.251968503937002,0.960980417530705,
2021-09-17,23.1,23.15,22.7,22.8,84022440,23.43950878215006,77368148.95,-10.236220472440937,0.9210179794529606,
2021-09-24,22.75,22.9,22.25,22.3,48538437,23.365992086527477,76370117.05,-9.533468559837722,0.8999650876573334,
2021-10-01,22.4,24.0,22.3,23.95,90891680,23.403670016428933,74115295.4,-4.008016032064132,0.961726289992973,
2021-10-08,24.2,24.55,23.5,23.65,98772525,23.41956227343352,75106298.6,-4.8289738430583595,0.9685017641613405,
2021-10-15,23.75,24.1,23.4,23.65,42029460,23.434429223534586,73241263.85,-1.2526096033402934,0.9480020298229124,
2021-10-22,23.8,26.15,23.4,25.8,218651053,23.587046692983968,80377638.6,12.173913043478258,1.0849084718357491,
2021-10-29,26.2,26.4,23.25,24.2,127761915,23.626592067630167,80326238.6,5.908096280087527,1.241093342569433,
2021-11-05,24.6,25.5,24.45,25.3,63694534,23.734553869718546,73469944.2,15.261958997722115,1.2455298660469936,
