datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-08-21,106.45,111.75,106.45,111.75,807715,,,,,
2020-08-28,117.3,129.3,111.95,111.95,4723782,,,,,
2020-09-04,107.2,120.9,101.1,117.2,3842161,,,,,
2020-09-11,115.65,133.95,105.6,130.4,14049340,,,,,
2020-09-18,127.0,129.35,115.25,116.8,7193701,,,,,
2020-09-25,117.95,119.3,107.0,109.85,4406775,,,,,
2020-10-02,111.55,119.5,111.35,115.65,9494655,,,,,
2020-10-09,116.05,117.65,109.55,110.6,2254836,,,,,
2020-10-16,111.25,114.5,106.3,107.9,1910709,,,,,
2020-10-23,108.7,109.8,104.4,105.7,1029512,,,,,
2020-10-30,105.05,110.9,102.35,106.3,1241144,,,,,
2020-11-06,106.5,116.8,106.25,114.45,2374120,,,,,
2020-11-13,115.7,124.8,97.15,122.25,5119556,,,,,
2020-11-20,124.0,125.0,118.1,124.05,2460850,,,,,
2020-11-27,124.4,129.2,122.1,127.15,2010984,,,,12.413078007927167,
2020-12-04,128.0,141.0,126.0,139.15,2920795,,,,12.688468775055874,
2020-12-11,142.9,151.9,138.0,140.7,4513682,,,,12.813077719623172,
2020-12-18,141.95,142.6,135.0,141.0,1722065,,,,12.293235405277274,
2020-12-25,140.0,147.3,128.5,141.3,2659383,,,,12.924231652769597,
2021-01-01,142.85,146.0,139.65,143.0,1636642,,3818620.35,,12.30257415059801,
2021-01-08,145.8,158.45,140.0,155.15,3596434,,3958056.3,,12.870730897701934,
2021-01-15,155.05,167.45,155.0,161.0,3365227,,3890128.55,,12.832645685978807,
2021-01-22,160.0,170.0,158.5,163.3,2624522,,3829246.6,,12.714272630754635,
2021-01-29,163.1,165.0,158.7,162.0,1175617,,3185560.45,,12.154263499292098,
2021-02-05,163.45,182.0,163.0,181.1,3657237,,3008737.25,,12.828542743199131,
2021-02-12,183.5,208.0,177.5,197.25,6347783,,3105787.65,,14.325538555050658,
2021-02-19,199.75,213.4,189.5,210.3,4084992,,2835304.5,,15.125983305121025,
2021-02-26,208.4,210.85,178.0,182.05,4990703,,2972097.85,,16.58992640243633,
2021-03-05,182.95,200.7,180.6,199.0,5546730,,3153898.9,,16.87664439621114,
2021-03-12,201.0,209.45,196.0,207.4,8507812,141.85666666666668,3527813.9,,16.599582736667617,
2021-03-19,207.0,214.4,181.25,199.3,4634311,145.562688172043,3697472.25,78.34451901565997,17.925271664881482,
2021-03-26,198.2,206.15,197.5,199.25,5899812,149.02638570933055,3873756.85,77.98124162572577,17.18870919263365,
2021-04-02,200.7,221.0,198.75,219.0,1938001,153.54081243776085,3714679.1,86.86006825938566,17.58745038132012,
2021-04-09,222.4,239.0,213.0,219.0,6369349,157.76398582887305,3910104.05,67.94478527607362,18.245373819633183,
2021-04-16,216.7,227.0,212.0,222.35,3767757,161.93082545281672,3997942.7,90.36815068493152,17.993270604935,
2021-04-23,221.0,241.95,217.05,224.95,9758173,165.99657864940917,4339811.6,104.77924442421482,18.526457226000122,
2021-04-30,227.9,235.0,222.2,228.3,3554466,170.01615422041505,4291850.8,97.40596627756162,18.086921343709278,
2021-05-07,227.7,239.5,224.55,228.0,20859467,173.75704749651732,5248720.9,106.1482820976492,17.847421784414223,
2021-05-14,228.95,241.3,215.5,220.0,18279168,176.74046378706458,6029710.15,103.89249304911954,18.451617353079403,
2021-05-21,222.0,234.0,214.5,227.0,36465140,179.9830145104798,7771135.05,114.75875118259222,18.530907547221204,
2021-05-28,228.0,237.9,222.35,223.9,21199795,182.8163684130295,8651303.1,110.63029162746942,18.306402085622537,
2021-06-04,225.05,254.0,218.25,245.7,22347754,186.87337690251147,9600429.45,114.6788990825688,19.615072002371637,
2021-06-11,248.1,259.15,235.05,255.0,10286062,191.26864290880104,9983506.45,108.58895705521472,19.950339392136588,
2021-06-18,253.0,258.0,240.2,250.0,5010594,195.05776272113647,10175255.3,101.53164046755343,19.790125221771675,15.879937872779818
2021-06-25,247.25,265.0,236.0,256.2,5975707,199.0024231907406,10291178.8,101.49429807314192,20.474214815027636,16.1486424330165
2021-07-02,259.1,284.4,250.6,278.1,9228935,204.10549266230572,10435236.4,99.85627021200145,21.46121311563522,16.441067244369144
2021-07-09,278.2,289.7,277.2,281.0,4695110,209.06642861957633,10465742.3,99.71570717839376,20.799231174246344,16.70727235952325
2021-07-16,282.45,282.8,264.95,268.0,4239471,212.86859451508752,10428180.7,90.07092198581562,20.581896851858748,16.9835610744093
2021-07-23,267.2,280.5,256.95,279.0,4033256,217.13513680443674,10352507.0,97.45222929936304,20.80012796568734,17.24609095150656
2021-07-30,279.95,301.2,273.35,296.8,6744032,222.2748053976989,10264318.0,107.55244755244755,21.31738833453707,17.54658475763786
2021-08-06,302.0,305.9,272.8,278.9,6700720,225.92804375913772,10367638.45,79.76152110860455,22.180220862121168,17.856901089785165
2021-08-13,279.95,333.05,279.9,319.0,23873437,231.93268609725789,11266319.7,98.13664596273293,24.517137566582917,18.246384152471972
2021-08-20,319.3,354.0,316.75,326.95,13256236,238.06283538130577,11832231.45,100.21432945499078,25.446329355397463,18.6707860432934
2021-08-27,334.0,339.4,319.7,335.0,8859942,244.3168460018667,11956761.1,106.79012345679011,25.027633786993515,19.099898386216783
2021-09-03,337.0,398.85,337.0,379.95,11666495,253.0673720662624,12351698.0,109.80121479845391,27.85230091295475,19.600690325208635
2021-09-10,383.0,391.2,375.0,380.0,3825831,261.25657386843903,12055080.9,92.6489226869455,27.005620220185662,20.023359714046467
2021-09-17,383.7,402.6,355.7,382.2,21273550,269.0593755543462,12941035.1,81.74037089871611,28.449406742381683,20.467473828621824
2021-09-24,378.95,384.95,354.05,363.0,3650689,275.1200610024529,12080596.2,99.39577039274923,28.627049399073865,20.868711261843075
2021-10-01,366.1,374.0,345.85,358.7,99973274,280.51231513132694,16165301.5,80.25125628140704,28.59250490786853,21.25923994556499
2021-10-08,359.9,360.5,341.05,349.9,12090767,284.9889399615639,14946582.85,68.70781099324974,27.93112133032849,21.636957898687015
2021-10-15,349.95,355.45,325.5,352.0,5146012,289.31223415759206,14143893.7,76.61816357250375,28.07703704788137,21.975350078120346
