datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,761.0,772.85,758.0,769.85,1121747,,,,,
2020-01-10,772.5,778.95,740.0,748.5,4836217,,,,,
2020-01-17,749.0,796.4,747.6,779.25,4915038,,,,,
2020-01-24,781.0,786.5,750.25,752.45,3487514,,,,,
2020-01-31,747.1,782.45,746.4,760.4,3744660,,,,,
2020-02-07,760.0,781.25,732.75,758.5,4168418,,,,,
2020-02-14,762.0,765.45,737.0,747.5,2632613,,,,,
2020-02-21,782.0,935.45,769.0,915.8,51560523,,,,,
2020-02-28,901.9,954.5,871.4,882.0,20344616,,,,,
2020-03-06,882.1,901.8,840.55,867.85,10101624,,,,,
2020-03-13,862.0,863.75,650.05,808.0,9157074,,,,,
2020-03-20,774.8,775.0,483.95,623.0,17467146,,,,,
2020-03-27,548.15,691.45,476.8,622.0,14888772,,,,,
2020-04-03,609.4,630.5,582.0,607.0,5987876,,,,,
2020-04-10,620.95,749.95,620.95,738.0,6103043,,,,122.8679640096916,
2020-04-17,743.0,751.65,658.45,702.0,15029695,,,,119.70966105629286,
2020-04-24,714.75,856.85,703.05,817.0,18671283,,,,123.3239307155122,
2020-05-01,828.0,875.0,807.4,867.2,7909667,,,,117.76720229794772,
2020-05-08,822.0,848.7,763.4,810.0,10097639,,,,116.41272695007376,
2020-05-15,814.7,845.0,798.0,819.9,7125495,,10967533.0,,109.84907894772165,
2020-05-22,816.0,842.0,765.6,806.0,10020129,,11412452.1,,106.75765168139544,
2020-05-29,818.5,879.0,786.0,860.0,7140789,,11527680.7,,105.51228776835534,
2020-06-05,865.05,939.45,865.0,919.0,7068599,,11635358.75,,103.19728936950798,
2020-06-12,925.95,998.0,905.0,976.65,11995419,,12060754.0,,102.30699743902319,
2020-06-19,979.6,1284.0,925.75,1181.85,42184892,,13982765.6,,124.30328220267035,
2020-06-26,1179.0,1236.9,1080.55,1088.0,20114246,,14780057.0,,127.01804429778437,
2020-07-03,1088.0,1151.45,1071.0,1143.9,11376616,,15217257.15,,123.12485962170332,
2020-07-10,1166.35,1169.6,1064.4,1086.0,9053801,,13091921.05,,121.64432758625786,
2020-07-17,1090.3,1225.0,1070.0,1204.45,14454360,,12797408.25,,124.36896318424533,
2020-07-24,1140.0,1345.7,1140.0,1303.05,24288231,865.5033333333333,13506738.6,,130.94499192463172,
2020-07-31,1310.0,1405.75,1257.55,1271.0,21730010,891.6644086021506,14135385.4,65.09709683704617,132.32711859840663,
2020-08-07,1278.35,1324.65,1175.95,1216.75,24958731,912.6376725633022,14509964.65,62.55845023380093,133.62731232196506,
2020-08-14,1221.0,1226.0,1091.0,1212.0,17310562,931.9513711076054,14631054.15,55.53416746871993,133.73545610134212,
2020-08-21,1228.5,1292.95,1175.0,1181.9,21592967,948.0770891006631,15411308.7,57.07355970496379,132.50091698724597,
2020-08-28,1170.2,1239.9,1170.0,1207.9,11178174,964.8398575457816,15665065.25,58.85060494476593,127.63802805899216,
2020-09-04,1215.0,1224.9,1096.05,1123.0,10258410,975.0437377041184,15426501.0,48.05537244561635,127.73159003124977,
2020-09-11,1120.0,1134.0,1060.55,1131.0,10044706,985.1054320457882,14995172.15,51.304347826086946,123.5651908729345,
2020-09-18,1138.0,1173.0,1100.0,1105.3,8135741,992.8599203008987,15006475.85,20.69229089320812,119.70460923800637,
2020-09-25,1111.0,1119.75,1000.0,1082.65,11716296,998.6528286685827,15087408.7,22.749433106575978,119.70805779223764,
2020-10-02,1096.0,1160.0,1075.0,1154.15,9151824,1008.6849042383517,15188725.15,32.98957193063319,117.08305379325425,
2020-10-09,1161.9,1201.2,1130.05,1142.4,9923934,1017.311684610071,15183915.4,41.3861386138614,113.62363035219381,
2020-10-16,1150.0,1204.7,1116.45,1186.95,7684841,1028.2560920545825,15211118.0,90.52166934189407,111.72002612538124,
2020-10-23,1191.3,1237.75,1170.05,1181.65,7545763,1038.1524732123514,15234976.2,89.97588424437299,108.4293424702042,
2020-10-30,1185.0,1274.0,1153.15,1228.0,10461758,1050.4007007470384,15158293.15,102.30642504118617,109.35476166161178,119.66194511526133
2020-11-06,1239.0,1266.9,1136.5,1249.7,15914987,1063.2587200536811,13844797.9,69.33604336043362,110.91795648038567,119.26361153095114
2020-11-13,1268.1,1298.0,1141.0,1191.95,16728592,1071.5613832760243,13675515.2,69.7934472934473,114.3311061005428,119.08432636575948
2020-11-20,1198.0,1217.0,1156.0,1186.0,9181386,1078.9445198388617,13565753.7,45.16523867809057,110.39143535537819,118.65324318708832
2020-11-27,1195.0,1197.75,1108.65,1145.0,28952137,1083.2061637202255,14560670.5,32.034132841328415,108.82242994270382,118.3550841085802
2020-12-04,1171.95,1191.55,1118.4,1169.5,8377115,1088.77350799634,14256808.25,44.38271604938271,106.19959854809953,118.01464649518107
2020-12-11,1175.0,1204.85,1159.0,1172.0,9381905,1094.1429590933503,13511491.95,42.9442614953043,101.77165213247825,117.74539893467296
2020-12-18,1173.0,1234.05,1173.0,1207.25,8150913,1101.4401875389408,12832537.1,49.78287841191067,98.86286293680752,117.48223930985336
2020-12-25,1206.85,1249.7,1138.6,1189.0,7184764,1107.0892076977188,11943838.75,38.255813953488385,99.75736927338336,117.2904086933543
2021-01-01,1199.0,1232.9,1188.95,1214.0,4761331,1113.9866781688338,11316377.2,32.10010881392817,95.68477761888825,117.0399916350003
2021-01-08,1222.9,1311.05,1220.0,1281.8,10588074,1124.8133440934253,10766132.55,31.244560487380333,95.78425200079441,116.82256678705934
2021-01-15,1276.0,1289.45,1193.0,1202.0,10855031,1129.7931283454623,10749975.4,1.7049540973896882,95.83269099797486,115.87354708023616
2021-01-22,1203.5,1228.0,1160.0,1172.0,6382348,1132.5161523231743,10556172.3,7.720588235294112,93.81030912920644,114.76662257461689
2021-01-29,1174.0,1205.0,1100.1,1109.35,6287403,1131.0215618507114,10368307.15,-3.0203689133665668,94.61511663724536,113.8162978084683
2021-02-05,1110.55,1195.9,1090.0,1166.85,7616902,1133.3330739893752,10342365.2,7.444751381215453,95.433153924661,112.9425920197484
2021-02-12,1177.7,1329.9,1165.05,1316.0,23400117,1145.1180369578028,10926556.25,9.261488646270077,100.45982335010582,112.14562069194376
2021-02-19,1329.6,1361.6,1277.4,1300.0,11300731,1155.1104216702029,11034001.6,-0.23406622923141107,99.28356145625584,111.09023967633122
2021-02-26,1309.7,1340.0,1270.8,1301.0,8542486,1164.5226525301898,10964929.2,2.3603461841070095,97.10925325122147,109.91631083142505
2021-03-05,1297.3,1334.8,1283.0,1293.0,5761467,1172.8115136572744,10868760.5,6.266694062050537,93.83727020114993,108.58997609406454
2021-03-12,1228.5,1312.85,1225.0,1280.9,7295521,1179.7849643890634,10856248.4,5.684818481848186,93.40524226782968,107.24563563294747
2021-03-19,1271.3,1299.4,1198.0,1231.35,4791078,1183.1117408800917,10572714.4,4.183941111769163,93.9817056366897,105.96166192126226
2021-03-26,1236.0,1249.35,1165.9,1238.0,4262799,1186.6529188878276,9990105.0,2.4919281397466575,93.22282866219756,104.81448860803577
2021-04-02,1238.6,1251.15,1196.75,1214.0,2326426,1188.4172467015162,9269996.7,8.103294746215495,90.42714998063853,103.57100727301538
2021-04-09,1215.0,1265.0,1165.0,1234.95,5100183,1191.4193598175475,9065936.55,9.190981432360745,91.11610104165005,102.48937094530591
2021-04-16,1209.75,1209.75,1136.65,1168.0,4712171,1189.9084333777057,7853938.25,5.672668053922014,91.63284162773088,101.55364535829673
2021-04-23,1140.0,1207.0,1121.0,1205.0,5171188,1190.8820828372086,7693641.9,11.300974460813729,91.22787240299459,100.60430584532196
2021-04-30,1204.0,1215.95,1151.0,1152.55,4716789,1188.409045234808,7460386.1,-0.1386301607243512,89.33952253774356,99.67952147013827
2021-05-07,1155.0,1216.95,1135.0,1214.0,4021526,1190.0600745744978,7253916.75,6.26750700280112,88.80873471494692,98.85235828223003
2021-05-14,1224.0,1230.0,1152.5,1168.0,2666947,1188.6368439567882,7028025.9,-1.5965289186570697,87.99675649755284,98.0615826279691
2021-05-21,1183.0,1298.0,1175.0,1265.05,6653384,1193.566724991834,7122628.55,7.057927474294412,91.01150776397459,97.48098813776143
2021-05-28,1267.0,1292.0,1232.0,1266.0,5211102,1198.23983950849,6853779.95,3.0944625407166138,88.78644923088319,96.79537772340382
2021-06-04,1270.0,1550.0,1262.4,1506.5,30060066,1218.1275917982648,7814031.7,20.54893174361847,103.04663581147703,96.53300036777354
2021-06-11,1510.0,1525.65,1456.1,1473.3,7390588,1234.59032781128,7864443.7,23.60417802760182,100.64475707340442,96.07678873353558
2021-06-18,1484.1,1542.0,1445.1,1475.0,7571351,1250.1006292428106,7928641.1,24.367622259696464,100.37631321695821,95.74295132892159
2021-06-25,1450.4,1518.8,1448.0,1485.0,5215874,1265.2554273561777,7808589.7,29.694323144104807,98.25667180716387,95.39075939107026
2021-07-02,1490.05,1501.0,1456.4,1481.6,4540615,1279.2131417202952,6865614.6,26.686618212911494,94.41218286809729,94.99784553507018
2021-07-09,1492.0,1576.8,1482.0,1536.8,8294157,1295.8316487060827,6715285.9,31.126279863481223,94.4686173113385,94.75441104103218
2021-07-16,1551.0,1584.5,1541.65,1566.05,3711249,1313.2650907250452,6473724.05,29.72043901428867,91.11908497926859,94.49628510911424
2021-07-23,1559.0,1616.05,1514.0,1565.2,3873066,1329.5189558395584,6379304.0,31.640033641715725,91.90179945896321,94.23443278196689
2021-07-30,1565.0,1598.75,1536.15,1556.75,3520791,1344.1790232047483,6190567.5,28.23311367380561,89.80399851780543,94.03840681193078
2021-08-06,1565.9,1638.85,1505.0,1542.75,6354987,1356.9900539657324,6268762.95,20.358090185676403,92.95686159094639,93.94416046493585
2021-08-13,1531.0,1533.35,1402.4,1452.7,6460907,1363.1648891937498,6378668.35,20.856905158069882,96.34879903792148,93.96136406626742
2021-08-20,1458.0,1489.0,1436.0,1459.6,3475265,1369.386509245766,6436110.3,24.53924914675767,93.24675526532671,93.94257893747142
2021-08-27,1471.95,1518.0,1441.2,1490.35,3459222,1377.1906054234587,6354062.25,34.34443593095055,92.06997881249717,93.85774100997982
2021-09-03,1504.0,1538.5,1490.0,1507.0,3092300,1385.5654050735582,6273068.7,29.151133393323914,88.95289799582433,93.6417324790186
2021-09-10,1515.0,1564.95,1508.1,1534.15,2824995,1395.1515079720384,6155759.05,16.57674772036475,86.73514194701075,93.18424309891542
2021-09-17,1538.0,1563.0,1503.6,1512.0,2921002,1402.690120360939,6065969.7,16.307692307692314,84.77996033804988,92.70078972830856
2021-09-24,1500.0,1560.3,1432.0,1503.0,3999733,1409.161725498943,6064880.05,15.52651806302845,87.89248363575051,92.39356407445953
2021-10-01,1505.0,1542.95,1446.35,1530.65,5200647,1416.9996786925597,6191565.05,18.379737045630318,88.51518271181267,92.21616115814828
2021-10-08,1537.9,1589.85,1495.0,1520.0,3964988,1423.6448607123946,6057145.25,18.666562573190724,88.96816521447903,92.06825858970325
2021-10-15,1536.05,1588.0,1511.9,1554.1,2641218,1432.061321311595,5928651.05,26.211069151744027,88.04807589462514,91.87047093163443
2021-10-22,1568.1,1612.0,1512.5,1569.4,5522728,1440.9218812269762,4701784.15,26.768982229402273,88.86684279849038,91.7252714028442
2021-10-29,1578.0,1578.0,1450.9,1473.85,3438512,1443.046275986526,4504180.35,21.404448105436558,91.60017672883836,91.76437229445087
2021-11-05,1483.0,1575.0,1457.25,1530.0,3424070,1448.656193664815,4296816.3,23.891655532612653,93.46954167141519,91.84282031544303
2021-11-12,1550.0,1709.65,1532.0,1689.5,13082934,1464.194503750956,4690169.3,44.648972602739725,99.62994128290224,92.10939030394874
2021-11-19,1693.55,1721.95,1593.8,1598.7,3936216,1472.8722777025075,4659949.35,32.67219917012449,101.6685179787124,92.45741182313934
2021-11-26,1603.0,1603.0,1437.0,1438.65,4562860,1470.664388818475,4473384.5,24.82321808164507,106.26661813367119,93.02164834300359
2021-12-03,1427.35,1508.0,1390.0,1483.5,5471420,1471.4924927656702,4561393.05,22.199341021416807,107.10522393363807,93.63153131695998
2021-12-10,1487.0,1516.0,1461.3,1493.5,2096532,1472.9123319420787,4472566.35,27.868150684931514,103.35989066149868,94.1436357890915
2021-12-17,1503.9,1503.95,1438.6,1458.6,2816468,1471.988955687751,4437350.2,15.299790522113742,100.6434821644739,94.46470160244148
2021-12-24,1444.0,1500.0,1381.0,1470.05,3577069,1471.8638617724123,4298454.3,16.117693522906794,101.95529712168234,94.90366319880145
2021-12-31,1460.6,1511.95,1460.6,1495.0,1685723,1473.3565158516117,4059695.1,-0.7633587786259555,98.33900728258612,94.74674224783841
2022-01-07,1499.0,1559.95,1489.15,1525.7,2443370,1476.7335148289271,4008100.35,3.556641552976325,96.37111382955668,94.60428747304348
2022-01-14,1526.1,1550.0,1477.1,1485.0,2975090,1477.2668364528674,3983893.75,0.6779661016949046,94.69395557276563,94.4148755515704
2022-01-21,1483.0,1518.9,1420.0,1437.7,2750835,1474.714137326876,3966820.5,-3.18518518518518,94.99449549609183,94.30613634120135
2022-01-28,1437.0,1490.05,1405.0,1443.85,3386416,1472.722902660626,3994891.55,-2.547921166306699,94.28393689443253,94.30186147541251
2022-02-04,1450.65,1501.6,1409.55,1422.0,3810413,1469.4504573276824,4039362.1,-7.470067673086933,94.12432043440714,94.29038491284814
2022-02-11,1420.55,1470.0,1396.25,1418.0,2286732,1466.131072983961,3953712.05,-9.453721145557292,92.66859229993763,94.34203515687042
2022-02-18,1360.0,1405.0,1294.05,1326.05,8818691,1457.0935844043506,4134614.25,-15.279197546639411,94.9035766653747,94.44209439708416
2022-02-25,1318.0,1366.4,1291.15,1342.0,5439814,1449.6681918621346,4208355.55,-13.794764734221932,93.49940083179266,94.56527447421708
2022-03-04,1347.0,1444.5,1329.35,1385.15,4785729,1445.5057278710292,4315581.1,-10.215524226219408,95.04622912259502,94.63492005860535
2022-03-11,1377.0,1448.0,1338.9,1375.0,3881929,1440.9569712341888,4233541.15,-5.348661113788122,96.0502850310458,94.62496959170949
2022-03-18,1388.0,1389.05,1327.05,1340.5,3542120,1434.475876315854,4238721.55,-8.159769799945183,93.61763781991236,94.637332343529
2022-03-25,1348.0,1378.55,1277.0,1303.0,5875890,1425.9935617148312,4361312.55,-12.570872613815542,94.18433981482296,94.70781104360654
2022-04-01,1318.5,1359.0,1283.1,1353.0,3274815,1421.2842996687132,3870906.6,-10.21897810218978,92.87809145474672,94.83865082557061
2022-04-08,1358.0,1384.0,1346.0,1373.0,2012603,1418.1691835610543,3774725.95,-10.504187986833102,88.95760325773692,94.91273286926149
2022-04-15,1370.0,1381.0,1333.0,1336.9,1951649,1412.9260104280831,3644165.4,-11.580687830687818,86.03162736174895,94.95445510338479
2022-04-22,1336.0,1346.0,1290.0,1314.9,2155507,1406.6017516907875,3478369.75,-12.514970059880238,83.88621644310267,94.82091286362987
2022-04-29,1290.0,1304.65,1247.0,1262.3,3222092,1397.291961259124,3534647.75,-17.53176754973378,82.7441981847013,94.62854671272615
2022-05-06,1252.0,1291.95,1181.15,1215.65,2103901,1385.5731250488582,3499019.4,-20.023026315789473,84.74842139257656,94.4878885853294
2022-05-13,1200.0,1218.85,1102.0,1112.0,2696532,1367.923246013448,3454992.55,-28.447332861463227,87.04164348438465,94.45434083832139
2022-05-20,1115.0,1209.5,1110.0,1159.0,2997575,1354.4443269158064,3520585.15,-26.15012106537531,87.93161697431988,94.42316664418236
2022-05-27,1173.45,1173.45,1026.7,1094.9,6096064,1337.6995316309158,3703219.85,-25.71157173389421,92.13332846728555,94.44093836879728
2022-06-03,1100.0,1151.4,1100.0,1103.0,3423372,1322.5576263644052,3725633.95,-27.908496732026144,89.58786659142808,94.31154919946438
2022-06-10,1105.0,1105.0,1055.05,1062.5,3107687,1305.7797149860564,3743476.55,-37.111571470849356,86.75635889994957,93.88242978669929
2022-06-17,1025.0,1055.3,987.95,1003.75,4163144,1286.29392692244,3782312.95,-37.21461187214612,85.8844099223555,93.35629285148738
2022-06-24,999.9,1025.55,980.0,980.7,3064838,1266.5781897016375,3745034.2,-31.831925763736834,83.0031775215104,92.58084483108203
2022-07-01,1000.95,1048.3,960.4,1037.0,5396727,1251.7666935918546,3900533.95,-30.097741826761037,83.35297345412931,91.78910314843174
2022-07-08,1041.9,1091.6,1026.0,1037.05,4812466,1237.914003682703,3700222.7,-30.56243722798795,82.08482683561417,91.07993435423558
2022-07-15,1037.0,1046.1,987.0,1017.3,3495978,1223.6808421547867,3603030.9,-30.25503907856849,80.44296081587146,90.4065836426155
2022-07-22,1031.65,1059.4,1022.0,1040.0,2602049,1211.8304652415745,3493846.9,-29.254107003163156,77.7040343457293,89.59820821675041
2022-07-29,1044.65,1091.3,1012.1,1068.0,3761411,1202.5510803872796,3487821.0,-28.561872909698995,77.81089423608414,88.913937781867
2022-08-05,1080.0,1152.0,1067.0,1142.0,5580159,1198.6445590719713,3589722.95,-25.149111883070063,78.32442499846218,88.3123814874972
2022-08-12,1145.0,1213.95,1112.15,1188.0,3865334,1197.9578133253926,3489195.15,-19.999999999999996,80.00132215460043,87.822627040225
2022-08-19,1093.0,1093.0,1009.3,1045.95,16890768,1188.1508576269803,4169992.8,-27.24838283369271,87.05150244025108,87.55786060503031
2022-08-26,1035.0,1060.0,1013.95,1049.0,4197694,1179.1733829413688,4279247.35,-27.347023582782136,84.12271772007531,87.2191532992184
2022-09-02,1015.0,1067.1,1012.1,1032.5,3008143,1169.7105840419256,4332072.05,-27.390998593530234,82.042453701994,86.81642440813796
2022-09-09,1039.2,1051.0,1024.15,1045.0,2470614,1161.6647399101887,4347827.4,-26.304654442877297,78.10001257916755,86.33080508411231
2022-09-16,1045.3,1067.0,1029.6,1033.0,4333467,1153.363788948241,4403396.15,-22.099468345839146,75.19278459895591,85.67377868189834
2022-09-23,1033.2,1056.0,998.0,1001.0,4579511,1143.5338670806127,4527176.65,-25.409836065573764,73.96469551885176,85.02262183813365
2022-09-30,994.95,1058.0,950.2,1041.0,7815265,1136.9187788818635,4783113.3,-24.845684582897164,76.3815633548497,84.40046631254214
2022-10-07,1031.0,1074.4,1019.8,1057.0,2773977,1131.762728631421,4771933.4,-23.12727272727273,74.82570131177964,83.69298018856661
2022-10-14,1050.0,1057.0,1011.0,1015.9,2942255,1124.2877138810068,4614242.95,-24.214845207012313,72.76667829782814,82.99794820449713
