datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,23.9,24.1,23.9,24.0,2341601,,,,,
2020-01-10,24.0,24.3,23.65,24.25,6539954,,,,,
2020-01-17,24.25,24.8,24.1,24.3,4784281,,,,,
2020-01-24,26.95,29.1,24.85,27.4,319757663,,,,,
2020-01-31,27.25,28.2,24.1,24.35,36991416,,,,,
2020-02-07,24.4,24.9,23.65,24.6,26262085,,,,,
2020-02-14,24.9,25.4,23.3,23.5,71391281,,,,,
2020-02-21,22.9,22.9,20.85,21.6,62311709,,,,,
2020-02-28,21.5,22.2,20.4,20.75,28256662,,,,,
2020-03-06,21.0,23.4,20.8,21.9,32325357,,,,,
2020-03-13,21.5,21.65,17.5,20.85,86071060,,,,,
2020-03-20,19.95,21.8,15.1,20.85,112780023,,,,,
2020-03-27,18.85,19.6,17.6,19.35,63354330,,,,,
2020-04-03,19.1,21.45,18.7,19.9,48018518,,,,,
2020-04-10,20.55,22.45,20.0,21.7,24082014,,,,3.0443333055132644,
2020-04-17,22.1,23.55,21.2,22.65,22747967,,,,2.9704180571083083,
2020-04-24,22.85,22.85,20.4,21.3,30979555,,,,2.9168917892789175,
2020-05-01,21.2,21.45,20.15,20.9,29313692,,,,2.7556571376983943,
2020-05-08,20.7,20.7,19.9,19.95,16545381,,,,2.5854015445162952,
2020-05-15,20.0,20.5,19.4,20.1,16046584,,52045056.65,,2.4449423908603998,
2020-05-22,20.2,20.3,19.55,19.75,11738976,,52514925.4,,2.288292602979921,
2020-05-29,19.8,20.15,19.55,19.65,11130688,,52744462.1,,2.135465744799826,
2020-06-05,19.75,20.35,19.75,20.1,31659936,,54088244.85,,2.007959635959807,
2020-06-12,20.35,20.65,19.4,19.85,15680328,,38884378.1,,1.9417846630747562,
2020-06-19,19.9,20.85,19.7,19.85,21833176,,38126466.1,,1.8737370089243701,
2020-06-26,20.1,21.25,19.95,20.9,61233670,,39875045.35,,1.8336054958310781,
