datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,268.5,271.85,266.3,269.85,3151433,,,,,
2020-01-10,269.25,273.15,264.7,269.5,7177408,,,,,
2020-01-17,270.0,280.2,270.0,272.65,14596482,,,,,
2020-01-24,272.5,279.85,269.0,276.85,7945696,,,,,
2020-01-31,277.5,277.95,265.5,266.4,10041302,,,,,
2020-02-07,266.5,276.0,261.0,273.7,12548763,,,,,
2020-02-14,273.0,273.7,260.1,261.1,11918419,,,,,
2020-02-21,260.8,271.0,254.6,266.75,10288962,,,,,
2020-02-28,266.5,270.45,243.05,248.0,14873538,,,,,
2020-03-06,248.05,253.35,232.05,236.35,21431826,,,,,
2020-03-13,230.1,231.75,182.0,230.7,21831438,,,,,
2020-03-20,223.45,224.05,172.0,206.5,27179898,,,,,
2020-03-27,195.0,208.35,170.4,193.5,28252837,,,,,
2020-04-03,193.0,204.5,186.55,198.35,13211827,,,,,
2020-04-10,200.65,225.95,196.0,223.1,13668690,,,,26.810781800086104,
2020-04-17,224.0,224.0,203.85,211.55,15706059,,,,26.101708308413922,
2020-04-24,212.05,229.55,210.0,218.55,18195397,,,,25.427849112203855,
2020-05-01,219.9,245.0,219.25,242.3,12772022,,,,25.529776862316332,
2020-05-08,234.0,238.95,223.8,223.8,15379215,,,,24.848061279055866,
2020-05-15,226.9,239.95,226.0,227.7,8706168,,14443869.0,,24.02557504278287,
2020-05-22,227.95,238.85,217.5,231.75,11420032,,14857298.95,,23.77829332679636,
2020-05-29,231.2,261.0,227.2,255.9,13395786,,15168217.85,,24.685473718255086,
2020-06-05,255.5,259.35,241.15,255.1,14498773,,15163332.4,,24.109397611392478,
2020-06-12,256.1,264.8,248.0,259.75,20611573,,15796626.25,,23.471238050128452,
2020-06-19,259.45,269.05,256.4,261.7,19558605,,16272491.4,,22.541237888904547,
2020-06-26,261.4,267.7,256.3,266.65,13696013,,16329853.9,,21.597434205022562,
2020-07-03,266.0,274.2,252.5,272.4,30680329,,17267949.4,,21.606008917302567,
2020-07-10,272.75,280.75,256.4,261.75,18235230,,17665262.8,,21.832653186136415,
2020-07-17,263.0,270.35,250.4,263.6,16191776,,17731174.7,,21.678869930743296,
