datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,43.15,47.6,42.55,46.7,151052974,,,,,
2020-01-10,46.3,50.4,44.6,49.85,161410372,,,,,
2020-01-17,50.0,51.9,49.05,50.9,128196450,,,,,
2020-01-24,51.15,51.5,49.2,51.05,91355317,,,,,
2020-01-31,50.7,50.7,46.2,46.55,111307297,,,,,
2020-02-07,46.0,49.75,43.25,48.5,142426115,,,,,
2020-02-14,48.4,48.4,43.65,43.8,97079662,,,,,
2020-02-21,42.0,44.0,40.7,42.1,109083092,,,,,
2020-02-28,41.45,41.45,34.9,35.6,119704431,,,,,
2020-03-06,36.65,37.2,31.9,33.0,153123096,,,,,
2020-03-13,32.0,32.1,21.4,29.7,181996797,,,,,
2020-03-20,27.05,30.7,24.8,26.7,204625719,,,,,
2020-03-27,24.7,25.3,21.0,21.2,141708845,,,,,
2020-04-03,21.0,24.3,20.15,21.75,103208840,,,,,
2020-04-10,23.35,27.55,22.4,26.4,114238690,,,,5.629424221873535,
2020-04-17,26.15,28.65,25.1,28.6,102510929,,,,5.40805912721565,
2020-04-24,29.0,29.0,25.4,26.85,87598786,,,,5.222095831413679,
2020-05-01,27.35,32.25,26.3,31.9,107095475,,,,5.294681625827519,
2020-05-08,29.55,29.7,27.35,28.4,71731316,,,,5.222465810327639,
2020-05-15,28.55,30.2,27.25,29.2,96388617,,123792141.0,,5.007582080329553,
2020-05-22,29.5,29.6,26.55,27.3,116238439,,122051414.25,,4.826658634614926,
2020-05-29,27.5,30.8,27.5,29.95,130326034,,120497197.35,,4.706567442692489,
2020-06-05,30.7,33.8,30.05,33.45,166488275,,122411788.6,,4.630482323996747,
2020-06-12,34.35,35.1,28.35,30.4,150916686,,125389857.05,,4.8155304691546235,
2020-06-19,29.95,31.15,28.65,30.0,137430183,,126696001.35,,4.616528866966683,
2020-06-26,30.15,33.45,30.1,30.6,177719421,,128460666.65,,4.517709126020816,
2020-07-03,30.65,32.4,29.2,30.75,164196327,,131816499.9,,4.407545921739538,
2020-07-10,31.35,37.65,30.9,36.9,447198540,,148722272.3,,4.613414095193642,
2020-07-17,38.7,38.7,32.1,35.45,248492163,,155161658.9,,4.775687024593967,
2020-07-24,35.4,36.65,33.65,34.35,129112079,34.59666666666667,153961108.05,,4.632113680827136,
2020-07-31,34.35,36.45,33.55,34.1,134559996,34.56462365591399,151589268.0,-26.980728051391868,4.493371322097146,
2020-08-07,33.8,38.25,33.6,37.65,204349173,34.76368019424212,151575440.7,-24.47342026078235,4.50580942745829,
2020-08-14,38.0,40.8,37.15,38.75,153352074,35.02086211719424,152157602.15,-23.870333988212177,4.43838661351977,
2020-08-21,39.1,44.75,38.85,42.5,139793660,35.50338714189139,153986843.15,-16.748285994123403,4.560516300133138,
2020-08-28,43.0,43.7,40.2,41.1,283874145,35.864458939188715,162468615.9,-11.707841031149291,4.478134552031895,
2020-09-04,41.4,42.25,38.1,40.7,185220095,36.1764293302088,166604074.2,-16.082474226804123,4.452803176927259,
2020-09-11,40.65,41.35,37.25,38.95,183151633,36.35536937342114,171381716.55,-11.073059360730586,4.425723666939536,
2020-09-18,39.35,40.2,37.6,37.9,133448145,36.45502296223268,172699350.05,-9.97624703087887,4.286332217261194,
2020-09-25,38.0,38.15,32.65,34.2,129924054,36.30953760983057,175608986.95,-3.93258426966292,4.37854038878541,
2020-10-02,34.65,36.4,33.6,34.2,98789494,36.173438409196336,175729030.8,3.6363636363636376,4.2591538515748715,
2020-10-09,34.25,35.85,33.3,34.05,126028125,36.03644238279657,176218515.1,14.64646464646464,4.130429841080599,
2020-10-16,34.4,34.5,32.65,34.0,75394934,35.905059003261314,173471960.1,27.340823970037455,3.9593453007851966,
2020-10-23,34.2,37.0,34.1,36.5,108081128,35.94344229337349,170551602.75,72.16981132075473,3.887630170676618,
2020-10-30,36.55,36.55,33.15,34.35,93397563,35.84063956476875,167675646.6,57.931034482758626,3.851298574127002,4.614467389539536
2020-11-06,34.5,39.4,34.0,37.9,163594766,35.97350152833206,168983875.75,43.560606060606055,3.966332768837757,4.559031007771677
2020-11-13,38.45,40.2,37.2,39.15,138675937,36.178436913600954,167031701.55,36.88811188811187,3.89475959041523,4.508587689878329
2020-11-20,39.5,41.4,39.3,41.25,84566364,36.50563453207832,163050203.4,53.6312849162011,3.7732580556641655,4.460293097353345
2020-11-27,41.4,49.7,40.8,48.3,255156365,37.26656133646036,153448094.65,51.410658307210035,4.151057190658401,4.422172282847709
2020-12-04,48.6,56.15,47.9,54.7,227183917,38.39129931475325,152382682.35,92.60563380281693,4.452433797250561,4.396504549078472
2020-12-11,55.25,59.7,53.0,57.75,276292079,39.640247746059494,159741682.35,97.77397260273972,4.617341318605552,4.383496523687672
2020-12-18,58.05,60.9,56.35,57.75,270482626,40.80861885921695,166537813.85,111.53846153846155,4.612409960279147,4.376354901209813
2020-12-25,57.1,62.6,53.65,60.25,207233424,42.06290151346102,166682026.4,101.1686143572621,4.929477731601985,4.383785244173463
2021-01-01,61.0,75.75,60.6,74.5,367161963,44.155617544850635,177372520.85,122.72047832585949,5.700870852876822,4.419464861802798
2021-01-08,75.5,80.3,75.2,77.05,293112508,46.2778357677635,185038463.25,153.45394736842107,5.708093713251358,4.449216969939356
2021-01-15,77.1,77.8,66.65,69.95,694836081,47.80507216984328,205586560.05,133.16666666666666,6.104040052699126,4.498800676130438
2021-01-22,69.9,69.9,56.0,58.35,347683973,48.48539009436952,213709753.95,90.68627450980391,6.674144004978085,4.570681838762346
2021-01-29,59.5,60.2,55.3,57.4,398784493,49.060526217313424,224491396.95,86.66666666666667,6.545389792422979,4.641943301118461
2021-02-05,58.55,65.9,57.6,65.35,392147253,50.11146000974482,237426352.35,77.10027100271002,6.687078809558813,4.711065458263968
2021-02-12,65.8,69.75,64.4,64.8,286383076,51.059107751051606,245249303.45,82.79266572637516,6.590257165369952,4.771551129623166
2021-02-19,65.5,68.5,62.4,65.6,206679997,51.99722983162893,250643828.6,90.97525473071322,6.554791169867126,4.835640379257833
2021-02-26,65.25,77.5,65.05,76.35,481452400,53.56837629410448,268415042.35,123.90029325513194,6.98087107228784,4.918557037597523
2021-03-05,77.5,81.5,69.4,72.6,333272226,54.796222984807414,281308906.95,92.82868525896413,7.350546180145714,5.013381596020436
2021-03-12,73.1,75.75,69.7,72.5,171672733,55.93840214707791,284488487.2,87.09677419354837,7.256701696847134,5.107325432131349
2021-03-19,72.95,78.3,67.1,73.15,245057760,57.048827815008366,292071497.05,72.11764705882355,7.541033893069717,5.206676018562569
2021-03-26,73.0,77.5,67.6,76.75,256204202,58.31987118178203,296701968.85,86.73965936739658,7.7110125388761706,5.3144386181240435
2021-04-02,78.45,84.4,78.0,83.4,208101832,59.937944008763836,300173263.6,104.91400491400493,7.706618952418882,5.4228991439737655
2021-04-09,86.5,98.5,83.55,94.65,523498373,62.1774314920694,322119864.05,143.00385109114248,8.238715214962573,5.549998862241199
2021-04-16,91.9,95.35,83.45,91.6,319729514,64.07566171838751,325348521.5,141.688654353562,8.502072822940905,5.690523549097191
2021-04-23,87.25,96.7,85.35,93.0,224560009,65.9417480591367,325217326.1,171.92982456140348,8.70682256334212,5.834799621582414
2021-04-30,95.05,121.35,94.85,118.3,652282138,69.31969979725692,344016829.05,245.90643274853798,10.118397705224151,6.03010775003739
