datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,527.0,545.9,524.0,534.8,329104,,,,,
2020-01-10,533.0,559.0,521.4,550.0,779939,,,,,
2020-01-17,551.0,600.0,541.0,595.95,1301009,,,,,
2020-01-24,595.0,611.95,576.1,582.75,961343,,,,,
2020-01-31,577.0,600.0,568.0,592.0,684070,,,,,
2020-02-07,589.4,678.4,564.0,660.0,3578970,,,,,
2020-02-14,665.0,764.0,642.15,757.0,5245430,,,,,
2020-02-21,753.0,794.0,715.8,772.0,3118490,,,,,
2020-02-28,775.9,804.7,680.0,734.75,2610414,,,,,
2020-03-06,750.5,778.0,649.0,688.4,2200085,,,,,
2020-03-13,675.0,698.0,530.5,606.1,2748149,,,,,
2020-03-20,570.0,588.0,422.1,506.0,3657647,,,,,
2020-03-27,442.0,530.0,365.0,475.0,2706215,,,,,
2020-04-03,480.0,495.0,431.5,441.1,1996318,,,,,
2020-04-10,472.0,496.5,451.15,462.0,2088862,,,,103.96926918717514,
2020-04-17,467.05,502.0,433.05,485.0,3999008,,,,100.24129306911085,
2020-04-24,490.4,507.4,457.55,485.65,2353581,,,,95.05842554127408,
2020-05-01,483.0,509.9,471.4,505.0,3152705,,,,89.41848222746879,
2020-05-08,490.05,494.95,451.55,458.9,1803969,,,,85.93042345676506,
2020-05-15,462.7,466.55,440.0,440.35,1992813,,2365406.05,,80.31542726044569,
2020-05-22,439.0,464.8,401.05,443.95,1802225,,2439062.1,,78.78441907958295,
2020-05-29,452.0,474.85,437.05,470.0,1140566,,2457093.45,,75.07444606233844,
2020-06-05,481.0,586.65,480.0,579.75,4430454,,2613565.7,,78.7674196666642,
2020-06-12,585.0,590.0,491.1,516.0,1808717,,2655934.4,,80.52512930509045,
2020-06-19,519.0,575.0,506.0,573.3,1580094,,2700735.6,,79.53463523572347,
2020-06-26,573.0,707.0,558.0,684.0,7121506,,2877862.4,,85.41922973235675,
2020-07-03,680.0,694.15,606.6,620.0,1801742,,2705678.0,,85.59736652721959,
2020-07-10,624.0,644.05,618.0,628.5,1644534,,2631980.2,,80.67895792427491,
2020-07-17,625.05,634.4,602.2,621.9,2681231,,2635521.05,,76.71898695215928,
2020-07-24,622.45,626.75,575.0,577.85,928237,568.2666666666667,2571928.65,,74.70011713020313,
2020-07-31,579.9,582.8,540.6,559.0,1747088,567.6688172043011,2521875.6,4.525056095736724,72.09685675557684,
2020-08-07,561.5,597.8,544.15,579.8,1285805,568.4514741588624,2403283.5,5.418181818181811,70.63196570893136,
2020-08-14,583.45,596.5,552.0,566.5,2109988,568.3255726002261,2373472.15,-4.941689739072075,68.57322388474532,
2020-08-21,566.0,628.5,557.65,606.0,2673177,570.7561808195665,2407315.1,3.9897039897039965,68.75128457239835,
2020-08-28,611.4,684.0,606.0,650.0,6189909,575.8686852828203,2612367.45,9.797297297297302,69.46973212904703,
2020-09-04,655.35,660.85,610.45,650.0,2266766,580.6513507484449,2525755.35,-1.5151515151515138,67.99758439356911,
2020-09-11,650.0,705.0,627.0,689.5,3921597,587.6738442485453,2604156.15,-8.916776750330246,68.76532269931442,
2020-09-18,698.9,769.0,671.0,692.1,9888471,594.4110155873489,2940944.45,-10.349740932642481,70.9973494422509,
2020-09-25,687.2,694.0,602.0,633.7,2658014,596.9457887752618,2983646.7,-13.752977203130312,72.5930216950991,
2020-10-02,641.0,685.0,638.05,677.0,1970732,602.1105765962127,2982542.65,-1.6560139453805856,70.98260985832452,
2020-10-09,670.0,698.9,640.0,676.0,4875517,606.8776361706506,3136207.25,11.532750371225875,70.07261454294198,
2020-10-16,679.5,712.75,629.8,661.0,2771320,610.3694015789957,3217744.95,30.632411067193676,71.0387137981962,
2020-10-23,668.5,668.5,627.0,634.0,1110779,611.8939563158348,3051761.2,33.47368421052632,68.83056965912148,
2020-10-30,636.15,710.7,628.0,659.0,4702624,614.9330559083616,3196456.55,49.39922919972795,69.86393178029338,77.71329364258875
2020-11-06,662.85,688.0,628.0,671.0,2562907,618.5502781078221,3245597.2,45.238095238095234,69.13126024653518,76.55202667790077
2020-11-13,676.95,779.9,672.05,750.0,12527251,627.0309053266724,3515884.45,54.639175257731964,72.0768036429753,75.61321036369624
2020-11-20,751.05,779.8,726.05,759.95,6361082,635.6063307894677,3743851.45,56.48100483887575,70.72296762786459,74.80202843324926
2020-11-27,762.0,808.95,695.3,720.9,29633057,641.1091481578892,5143277.6,42.75247524752474,73.8863403651993,74.28429037117363
2020-12-04,732.9,745.1,668.45,675.9,5218418,643.353719244477,5270136.95,47.28699062976685,74.08953967810841,73.88959424521839
2020-12-11,680.9,707.95,672.0,687.55,4299295,646.2050921964463,5438689.85,56.13716361984784,71.29118074823873,73.58878602814482
2020-12-18,695.0,724.0,693.0,697.5,4695524,649.5144410869982,5586111.65,57.11228741975447,68.73978510671598,73.25396489571591
2020-12-25,698.0,700.05,634.3,682.0,3136530,651.6102835975145,5678647.9,45.1063829787234,68.521238749905,73.03552465196815
2021-01-01,684.0,695.0,650.0,674.0,3168972,653.054781429933,5731597.1,16.25700733074602,66.80475574983753,72.63676918807391
2021-01-08,679.0,701.0,672.0,695.1,2438224,655.767376176389,5719849.45,34.709302325581405,64.05018274886903,72.08760430286655
2021-01-15,702.9,705.15,639.5,643.95,2755224,655.0049648101703,5548115.2,12.323390894819486,64.16658346416858,71.57533591048137
2021-01-22,645.9,700.0,630.0,665.1,3677002,655.6562574030626,5618627.0,-2.763157894736834,64.59045177916182,70.88104331204156
2021-01-29,666.0,677.15,585.0,628.9,2211907,653.9300472480263,5533142.5,1.4354838709677464,66.59051937209227,70.24748174020397
2021-02-05,629.0,692.1,625.1,686.1,3780862,656.0055280707343,5227762.05,9.164677804295952,66.62020248102085,69.77885655876216
2021-02-12,695.9,699.0,670.0,681.5,1911557,657.6503327113321,5190439.2,9.583534330278187,63.89601761406287,69.35142424749229
2021-02-19,685.9,805.0,680.95,792.65,5237409,666.3599886654397,5353773.05,37.17227654235526,68.247653896965,69.13634213971768
2021-02-26,799.75,844.9,763.0,818.0,4161705,676.1432152031533,5318082.45,46.33273703041145,69.23438574362358,69.04092643931925
2021-03-05,820.0,944.7,806.65,878.5,7687599,689.1984916416595,5563896.4,51.5177647464643,74.20386785313185,69.15998984412592
2021-03-12,886.0,944.5,872.75,880.9,3675340,701.5663308905848,5692124.45,55.49867608120036,74.02680227539561,69.34177579048092
2021-03-19,880.0,888.1,776.0,800.15,3936784,707.9265676073213,5653832.45,32.03795379537952,76.77207668631145,69.60913552761137
2021-03-26,800.15,846.0,745.8,760.0,4914990,711.2861438907199,5771436.6,16.92307692307693,78.4602089011911,69.90881808668284
2021-04-02,769.95,777.15,739.05,751.5,2054133,713.880586220351,5247780.7,15.61538461538461,75.55382161575876,70.16069266075583
2021-04-09,747.0,748.75,694.5,726.8,4572952,714.71409678678,5158374.2,5.409717186366936,74.21851655382402,70.34246578923948
2021-04-16,709.05,755.8,689.0,741.85,2917398,716.464800219891,3822591.25,7.188267591388531,73.68489983481133,70.43205080232482
2021-04-23,720.0,787.95,692.2,772.0,5116517,720.0477163347367,3817496.2,21.824207038030607,75.2712548396519,70.5213252404766
2021-04-30,780.9,794.5,760.95,778.0,4693369,723.786573345399,3837199.9,14.918759231905465,72.27313061002124,70.56434259886647
2021-05-07,758.0,810.0,736.1,751.8,3892555,725.593891194083,3797051.45,11.213017751479292,72.38998829021244,70.64158839044217
2021-05-14,754.8,783.0,742.0,772.8,2208269,728.6394466009164,3750638.4,16.91376701966716,70.13615641791462,70.61150314443279
2021-05-21,772.65,855.0,760.6,827.0,7434659,734.985288755696,3963922.75,30.441640378548907,71.87767557376479,70.71307334158755
2021-05-28,831.5,847.35,806.0,826.0,3743724,740.8572056101673,4029197.75,25.341426403641876,69.68733173276783,70.70718667333671
2021-06-04,832.0,863.9,824.6,852.4,4001430,748.0535149256405,4091508.05,27.034277198211633,67.50775685711513,70.65306989368938
2021-06-11,851.1,892.45,838.4,874.0,2914601,756.1790946078572,4053388.0,16.53333333333333,66.5427674104382,70.46860201927146
2021-06-18,871.0,895.0,828.95,848.95,3602534,762.1643143105762,4122919.35,11.711296795841841,66.50744325418557,70.32808454014884
2021-06-25,843.0,867.75,831.05,858.25,2152322,768.3633908066681,4041492.35,19.052573172423372,64.37123748106575,70.01091444401104
2021-07-02,863.0,909.8,846.25,901.45,3166866,776.9496236578508,4104257.8,33.370321053410294,64.31239599302766,69.68500965450835
2021-07-09,909.5,947.95,891.4,905.1,5005062,785.2173898734734,4092640.45,31.641335175623595,63.75634500309008,69.4338484630034
2021-07-16,910.0,936.7,878.0,879.0,3104240,791.2678808493785,4039767.2,26.021505376344088,63.39421347037436,69.25566274179202
2021-07-23,877.9,925.0,838.0,890.5,3930609,797.6699530526445,3851917.7,30.571847507331373,65.08451944075979,69.14110543148718
2021-07-30,896.5,942.95,870.6,926.95,3371669,806.0106012427964,3836734.15,37.52967359050445,65.60467629926546,69.10110278313476
2021-08-06,923.3,969.0,898.0,917.0,3921461,813.1712076142289,3835968.0,31.923464249748235,65.9908797295715,69.16579268249151
2021-08-13,926.35,964.1,852.0,880.5,7146321,817.5150006713754,3947534.55,36.73421849522478,69.29091971304868,69.33660389078752
2021-08-20,884.95,915.0,865.95,892.5,2763329,822.3527425635449,3982994.35,34.19034731619306,67.84247776446028,69.44500475696414
2021-08-27,899.5,964.15,866.15,951.0,5737500,830.6525656239614,4041221.75,51.21640960407061,70.0002688588097,69.55866307318804
2021-09-03,955.0,1036.7,951.0,995.2,4861258,841.268529132093,4138414.75,45.05174172861099,71.12345808453155,69.70877159330507
2021-09-10,1000.1,1050.0,993.25,1019.5,4695038,852.7673337042161,4117340.8,49.5964783565664,70.09526957087608,69.91541332519884
2021-09-17,1014.0,1027.7,964.0,976.0,2456504,860.7178283039441,4005497.55,23.131268529615845,69.63783959031981,69.96175284831067
2021-09-24,971.0,1031.8,953.0,995.1,3292341,869.387645832722,3975486.85,21.65036674816627,70.29311099985699,69.99704369018512
2021-10-01,995.0,1090.0,970.0,1037.0,5571186,880.2013461015787,4143632.7,18.04211724530449,73.84779095215602,69.98517446015259
2021-10-08,1053.5,1126.95,1020.75,1105.0,5460690,894.7044850627672,4044934.25,25.43989102054718,76.1611938420239,70.05632084570688
2021-10-15,1114.8,1209.95,1095.0,1157.95,3738267,911.688066671621,4044661.4,44.71661563456853,78.93464022548184,70.12840629701255
2021-10-22,1165.95,1179.95,1043.4,1052.8,3253023,920.7920623702261,4007241.05,38.52631578947368,83.05390868234518,70.28152962305103
2021-10-29,1061.0,1085.0,989.5,1008.95,3187110,926.4796712495664,4020866.5,34.2581503659348,83.94369456948642,70.56119205484194
2021-11-05,1014.0,1132.3,996.65,1095.0,8038849,937.351950523788,4242682.25,50.66042927903138,87.64000844815679,71.00857511798637
2021-11-12,1099.8,1160.0,1085.0,1157.0,4116286,951.5227924254791,4340880.45,55.9614477320213,86.73646831106065,71.443627400528
2021-11-19,1156.95,1202.7,1095.5,1130.05,3758942,963.0406767851257,4370484.25,46.37953367875647,88.19917493550513,71.87455807038978
2021-11-26,1112.4,1139.55,1025.0,1048.9,4610647,968.5799879602789,4350763.5,34.82005141388176,90.08260321984423,72.46820715738389
2021-12-03,1035.0,1067.8,992.4,1021.95,4329384,972.0232145434868,4412020.7,35.93375897845172,89.03321129183513,73.02298125743796
2021-12-10,1029.1,1052.0,989.1,1036.0,2012726,976.1507490890684,4316126.55,34.05797101449277,87.16550463184443,73.5906261979023
2021-12-17,1040.0,1086.95,1000.8,1035.05,4549394,979.9507007607415,4375012.8,25.157194679564675,87.09293074745005,74.09780137035847
2021-12-24,1030.0,1064.45,970.6,1041.9,2895967,983.9474297439195,4323738.1,26.138014527845055,87.57581233707451,74.6940840571687
2021-12-31,1020.0,1069.9,1020.0,1063.9,2474162,989.1056600830216,4090130.15,24.81229469732522,84.88347250145121,75.27327457864656
2022-01-07,1065.0,1095.0,1041.0,1083.0,2247577,995.1633594325041,4064342.55,23.913043478260864,82.67658890834323,75.81106862857673
2022-01-14,1090.0,1199.95,1062.0,1163.95,3626478,1006.0528201142781,3958791.45,37.104658696036275,86.62622071817411,76.48169454404302
2022-01-21,1167.0,1212.0,1135.8,1183.0,4641635,1017.4687672036796,3947810.3,37.8386251092339,85.88122250680657,77.19869404490105
2022-01-28,1179.0,1200.0,1001.35,1014.0,4682728,1017.2449757711842,3947194.8,12.485440124244263,93.93882833285205,78.18624178956186
2022-02-04,1018.0,1107.0,1018.0,1060.0,2527710,1020.0033644311078,3950755.1,17.11413103524473,93.8717483470947,79.19008856769534
2022-02-11,1060.2,1099.55,1025.0,1067.3,3389295,1023.0547602742622,3955602.8,21.422070534698513,92.49122560688562,80.15998897224571
2022-02-18,1040.0,1092.4,1017.0,1045.7,1986226,1024.5157434823743,3776354.8,17.428411005053345,91.27009699324364,81.03284155732852
2022-02-25,1045.0,1084.0,980.0,1070.7,2855687,1027.4953729351244,3646104.65,15.507848319758356,92.17960178569308,81.9186724068761
2022-03-04,1030.1,1135.65,1030.1,1091.1,3052203,1031.5988972618907,3611801.45,18.985823336968366,93.13485064769935,82.82347143748035
2022-03-11,1080.0,1181.75,1040.0,1179.2,2620693,1041.1215490514462,3580184.95,33.923906871095966,96.60810550386562,83.73404429717426
2022-03-18,1179.9,1284.0,1145.5,1265.4,6035013,1055.5911265319983,3722580.1,41.78151260504204,99.6009791383213,84.79266100963629
2022-03-25,1282.0,1314.6,1240.75,1261.4,4049683,1068.8691183686437,3523121.8,32.639327024185086,97.76128360787507,85.71802816793847
