datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,55.05,55.6,54.15,54.65,16050303,,,,,
2020-01-10,54.15,54.3,51.0,52.5,25034123,,,,,
2020-01-17,53.3,53.3,51.85,52.6,17123430,,,,,
2020-01-24,52.75,53.0,51.3,52.35,12607332,,,,,
2020-01-31,52.0,52.35,49.1,49.5,9778281,,,,,
2020-02-07,49.9,50.85,47.35,49.1,16221492,,,,,
2020-02-14,49.0,52.4,47.4,47.65,19502248,,,,,
2020-02-21,47.75,47.75,40.05,44.3,12818399,,,,,
2020-02-28,43.05,43.7,36.8,37.0,12279685,,,,,
2020-03-06,38.0,40.0,35.05,36.75,26483266,,,,,
2020-03-13,35.95,35.95,24.4,31.0,17541198,,,,,
2020-03-20,29.7,31.1,27.6,29.1,16786716,,,,,
2020-03-27,27.15,30.8,25.1,28.85,12220094,,,,,
2020-04-03,28.85,29.75,27.6,28.7,6765806,,,,,
2020-04-10,29.75,30.4,28.55,28.85,8448674,,,,4.691078917534125,
2020-04-17,28.9,30.4,28.2,29.15,13541929,,,,4.425891124403889,
2020-04-24,29.15,30.3,27.6,27.7,25608446,,,,4.2483790083129875,
2020-05-01,27.8,27.95,26.6,27.3,20751548,,,,3.9593558759968435,
2020-05-08,26.55,26.75,23.6,23.9,19297627,,,,3.934204730272005,
2020-05-15,24.0,25.75,23.25,24.7,17769259,,16331492.8,,3.7985867330193583,
2020-05-22,24.7,24.7,22.65,22.9,16328656,,16345410.45,,3.6369790333741485,
2020-05-29,23.05,24.0,22.65,23.65,9966797,,15592044.15,,3.4299581533576076,
2020-06-05,24.05,30.6,24.0,30.4,47127608,,17092253.05,,3.742627989224709,
2020-06-12,31.3,31.7,27.1,28.65,34356906,,18179731.75,,3.8174823308990002,
2020-06-19,28.65,31.7,27.85,30.55,36958266,,19538731.0,,3.820276968385622,
2020-06-26,31.0,36.55,31.0,33.75,76857934,,22570553.1,,4.004927062710314,
2020-07-03,33.55,33.55,31.55,32.1,18258331,,22508357.25,,3.8540314327144856,
2020-07-10,32.35,34.0,31.75,32.05,25877563,,23161315.45,,3.721543928091585,
2020-07-17,32.1,32.45,29.6,31.3,15924186,,23343540.5,,3.6503524503053404,
2020-07-24,31.55,31.85,30.3,30.55,13851081,35.05166666666666,22711931.25,,3.480528252570862,
2020-07-31,30.4,30.55,28.8,29.05,14666216,34.6644623655914,22568182.15,-46.843549862763034,3.341912886692615,
2020-08-07,29.0,30.1,28.9,29.5,11668574,34.33127124523067,22312275.05,-43.80952380952381,3.171820547819653,
2020-08-14,29.5,31.8,29.25,29.55,27970642,34.02280213263514,23099802.45,-43.8212927756654,3.1228319649019483,
2020-08-21,29.6,30.9,29.1,30.5,21539535,33.79552457569094,23838488.9,-41.73829990448902,3.019376746911176,
2020-08-28,31.8,32.2,30.35,31.5,39580106,33.64742621596895,25395060.5,-36.36363636363637,2.928538632883703,
2020-09-04,32.45,32.45,29.05,29.35,20473366,33.37017291171289,25741632.35,-40.224032586558046,2.9649345706592722,
2020-09-11,29.25,29.4,27.85,28.65,9993908,33.065645627086255,24960905.45,-39.874081846799584,2.8563308580400926,
2020-09-18,28.7,28.95,26.65,26.75,14481574,32.65818461888714,24647406.75,-39.61625282167043,2.813855774758186,
2020-09-25,26.85,27.95,23.65,24.3,23905636,32.11894690153959,24877807.2,-34.324324324324316,2.92676529050852,
2020-10-02,24.5,25.3,23.9,24.35,10809734,31.6177245207951,24529830.95,-33.74149659863945,2.8112945540851695,
2020-10-09,24.5,25.05,24.2,24.9,12018765,31.18432293880832,24314336.4,-19.67741935483871,2.6635807010989168,
2020-10-16,25.1,25.65,23.1,23.25,14755417,30.67243113630456,24553767.4,-20.10309278350516,2.655059543515428,
2020-10-23,23.4,24.6,23.25,24.35,12017797,30.264532353317172,22798276.85,-15.597920277296362,2.5575008074836276,
2020-10-30,24.35,24.75,23.45,24.15,8502965,29.870046395038646,21505579.8,-15.85365853658537,2.4638088771116444,3.4171271915880945
2020-11-06,24.1,24.65,23.6,24.5,17240547,29.523591788907122,20519693.85,-15.077989601386488,2.358794209380078,3.3393843679829596
2020-11-13,25.2,25.6,24.45,24.75,20261016,29.215618125106666,17689847.95,-15.094339622641506,2.2692626873060266,3.2674967534130306
2020-11-20,24.8,25.75,24.75,25.55,18261869,28.979126633164302,17690024.85,-7.761732851985559,2.175499826515527,3.1984007806864487
2020-11-27,25.85,28.2,25.45,27.9,35292174,28.90950556005693,18160755.4,2.19780219780219,2.2178358112311747,3.1403501118609265
2020-12-04,28.3,31.95,28.25,31.15,50752615,29.054053588440354,19902176.85,30.334728033472814,2.352546504113352,3.0876281709889715
2020-12-11,31.25,35.3,31.0,33.05,86263791,29.311856582734528,23522812.35,33.80566801619433,2.4954342769264146,3.0441897557858733
2020-12-18,34.2,34.5,30.8,31.15,37967887,29.430446480622624,24687895.9,36.026200873362455,2.5836437942210604,3.009078581147437
2020-12-25,30.8,30.95,27.2,29.85,29991538,29.457514449614713,25604044.1,26.215644820295992,2.6835212637449755,2.984197351493683
2021-01-01,30.25,32.9,29.55,32.15,49800848,29.631223194800864,26695554.4,5.756578947368429,2.732158133293048,2.950515022962627
2021-01-08,32.6,32.7,31.55,31.8,29572075,29.77114427900726,27097181.4,10.994764397905765,2.6168771325091593,2.910494849682966
2021-01-15,31.9,33.85,30.8,32.6,59772434,29.95365109971647,28106797.8,6.710310965630106,2.648390614160197,2.871431971208785
2021-01-22,32.8,32.85,31.05,31.15,27905445,30.030834899734764,28478401.75,-7.703703703703713,2.586744767704469,2.8241592280419234
2021-01-29,31.3,31.6,29.2,30.9,28094933,30.08691006749381,29383453.0,-3.7383177570093573,2.5731922176030624,2.7814645875382094
2021-02-05,31.7,36.3,31.1,34.7,106859345,30.384528772816793,34002341.55,8.268330733229345,2.7781065349268474,2.7500166744327186
2021-02-12,35.1,35.4,33.1,33.1,40614807,30.559720464893132,34837800.1,5.7507987220447365,2.743485493535629,2.7197877758737277
2021-02-19,33.5,45.25,33.45,40.4,340776254,31.194577209093577,51336126.1,32.24222585924712,3.423967952026111,2.717902432522236
2021-02-26,41.2,42.35,38.5,40.7,93778578,31.807830292377865,55424116.75,40.103270223752155,3.454759684543027,2.721663992450583
2021-03-05,41.0,41.45,38.05,38.6,50493964,32.24603478964381,57211044.1,30.847457627118647,3.4508052437435155,2.730963482314712
2021-03-12,39.0,40.25,37.1,37.6,33581760,32.591451899989366,58289242.25,27.241962774957695,3.42909981482176,2.741172410645372
2021-03-19,38.0,38.0,33.35,35.2,33805365,32.75974532579651,59554362.25,15.409836065573778,3.5171330307574475,2.757764286773581
2021-03-26,35.4,36.4,33.4,33.9,52025675,32.833310143487054,61293618.65,7.619047619047614,3.479870277379306,2.7761420082567683
2021-04-02,34.05,35.15,33.6,35.0,19592020,32.973096585842725,61260168.85,19.250425894378196,3.3408979928096034,2.788674122328446
2021-04-09,34.9,38.6,33.6,37.85,52856458,33.287735515788356,62989898.3,32.111692844677144,3.46030235889372,2.808806505690234
2021-04-16,36.8,36.85,33.6,34.35,35155391,33.35626870831814,62983059.15,28.411214953271035,3.517105610757056,2.8322481668901958
2021-04-23,33.1,33.7,32.1,32.6,21921569,33.30747717874923,61541506.85,34.156378600823054,3.4260079355941193,2.848889588393049
2021-04-30,33.0,35.8,32.85,33.7,34581524,33.33280123173315,58957393.5,38.398357289527716,3.4097668165194945,2.868838663807527
2021-05-07,33.8,37.15,33.5,34.6,58377679,33.414555990976176,59977883.1,38.955823293172706,3.427022714687722,2.8942867309271536
2021-05-14,34.75,39.4,34.0,37.45,84687658,33.67490721736481,62712689.1,61.07526881720431,3.5686844142030085,2.9247408932834063
2021-05-21,37.4,38.4,36.45,37.45,60254239,33.91846159043805,63235358.65,53.7987679671458,3.4525045556791936,2.954574351556592
