datetime,open,high,low,close,volume,ema_30,volume_20_sma,return_30,atr_14,atr_30_ma
2020-01-03,46.95,48.5,46.4,47.1,319075692,,,,,
2020-01-10,46.75,48.5,43.8,44.95,808586088,,,,,
2020-01-17,43.4,43.9,36.55,39.35,1161633128,,,,,
2020-01-24,39.5,45.0,38.0,42.5,687350789,,,,,
2020-01-31,42.3,43.45,38.55,39.25,649544679,,,,,
2020-02-07,39.15,40.2,34.05,38.7,930743633,,,,,
2020-02-14,40.0,40.75,35.05,39.2,696219850,,,,,
2020-02-21,39.5,40.1,33.6,35.55,591840999,,,,,
2020-02-28,35.5,37.95,34.15,34.35,648939999,,,,,
2020-03-06,35.2,37.85,5.65,16.6,2543671894,,,,,
2020-03-13,17.0,29.6,16.2,25.5,1752952219,,,,,
2020-03-20,26.7,87.3,26.05,45.85,1018888990,,,,,
2020-03-27,41.3,49.5,25.2,26.6,506432226,,,,,
2020-04-03,27.65,27.7,20.25,24.2,265655595,,,,,
2020-04-10,25.4,25.5,23.3,24.9,98580621,,,,14.938542643636078,
2020-04-17,25.0,25.95,23.55,25.1,110976433,,,,13.603752152122208,
2020-04-24,25.6,30.45,25.1,26.75,293596077,,,,12.754833590866443,
2020-05-01,26.8,29.35,25.9,27.85,125530034,,,,11.826965930219115,
2020-05-08,27.5,31.55,25.0,27.0,190751975,,,,11.31522992814926,
2020-05-15,27.25,29.45,26.7,28.7,113665409,,675731816.5,,10.505304187182189,
2020-05-22,28.65,28.65,26.0,26.55,73190805,,663437572.15,,9.783923182224239,
2020-05-29,26.95,28.8,26.35,26.8,74468629,,626731699.2,,9.120045110321781,
2020-06-05,27.55,29.4,27.0,28.95,83699124,,572834999.0,,8.54089817874909,
2020-06-12,29.6,32.0,28.0,29.6,121123701,,544523644.6,,8.14444723387525,
2020-06-19,30.0,30.8,27.05,28.05,69425101,,515517665.7,,7.766779113364267,
2020-06-26,28.1,28.5,26.55,26.85,71753429,,472568155.5,,7.274024393443216,
2020-07-03,26.8,28.35,25.0,26.1,84426627,,441978494.35,,6.945967850217322,
2020-07-10,26.4,27.5,24.0,25.6,161333133,,420453101.05,,6.6613427037428385,
2020-07-17,22.05,23.5,18.1,19.9,258565246,,400934363.4,,6.729847859194383,
2020-07-24,19.8,19.95,13.55,13.7,1016132129,30.403333333333332,324557375.15,,6.703177979073083,
2020-07-31,12.3,12.3,11.1,12.0,2294182421,29.216021505376343,351618885.25,-74.52229299363057,6.374513297645414,
2020-08-07,12.0,14.1,11.9,14.1,1751238892,28.240794311481096,388236380.35,-68.63181312569522,6.043009278567776,
