datetime,open,high,low,close,volume
2020-01-01 05:30:00,661.22,662.91,650.25,656.35,21393
2020-01-02 05:30:00,653.12,663.16,648.31,651.63,61755
2020-01-03 05:30:00,652.5,658.29,644.06,646.37,68075
2020-01-06 05:30:00,646.37,646.88,635.63,644.2,89083
2020-01-07 05:30:00,649.69,652.5,641.84,645.13,120377
2020-01-08 05:30:00,641.25,649.52,638.44,641.08,50821
2020-01-09 05:30:00,643.39,647.49,632.81,634.75,293643
2020-01-10 05:30:00,638.49,640.69,627.84,634.02,96308
2020-01-13 05:30:00,638.33,638.38,622.74,630.59,128543
2020-01-14 05:30:00,634.05,640.07,627.19,633.68,105780
2020-01-15 05:30:00,638.44,641.36,632.81,637.93,128812
2020-01-16 05:30:00,638.61,640.13,624.94,635.12,218985
2020-01-17 05:30:00,630.0,633.57,624.49,629.61,387947
2020-01-20 05:30:00,634.44,634.44,618.75,620.04,157033
2020-01-21 05:30:00,623.79,623.98,608.96,615.54,205387
2020-01-22 05:30:00,618.75,622.1,605.28,612.0,126393
2020-01-23 05:30:00,619.31,623.53,613.74,618.41,140801
2020-01-24 05:30:00,621.56,626.68,614.08,621.87,254741
2020-01-27 05:30:00,627.13,655.31,622.91,645.98,435577
2020-01-28 05:30:00,649.69,703.13,649.69,691.51,754604
2020-01-29 05:30:00,687.38,700.31,661.53,668.17,249359
2020-01-30 05:30:00,672.92,678.38,667.13,676.63,141020
2020-01-31 05:30:00,676.74,700.31,672.19,688.14,249280
2020-02-01 05:30:00,683.41,685.69,641.81,648.17,131073
2020-02-03 05:30:00,644.43,670.98,631.13,656.21,80521
2020-02-04 05:30:00,663.27,682.68,657.48,666.99,117553
2020-02-05 05:30:00,673.88,680.23,660.94,671.94,78219
2020-02-06 05:30:00,680.43,680.43,666.56,673.59,34891
2020-02-07 05:30:00,675.0,680.74,669.38,674.89,147460
2020-02-10 05:30:00,677.25,679.05,665.44,674.02,117408
2020-02-11 05:30:00,675.56,691.88,675.0,685.07,189029
2020-02-12 05:30:00,699.19,711.56,675.59,681.02,272069
2020-02-13 05:30:00,686.19,686.19,664.31,674.1,115657
2020-02-14 05:30:00,671.2,681.13,666.56,673.68,118321
2020-02-17 05:30:00,675.0,682.96,666.56,673.99,181167
2020-02-18 05:30:00,671.63,673.2,654.3,663.67,139284
2020-02-19 05:30:00,662.37,674.44,660.18,672.55,119584
2020-02-20 05:30:00,673.96,679.5,666.87,672.1,135791
