datetime,open,high,low,close,volume
2020-01-01 05:30:00,23.9,24.1,23.9,24.0,362729
2020-01-02 05:30:00,24.0,24.1,24.0,24.0,945076
2020-01-03 05:30:00,24.0,24.1,24.0,24.05,1034706
2020-01-06 05:30:00,24.0,24.05,23.9,23.95,1170184
2020-01-07 05:30:00,23.95,24.1,23.95,23.95,719846
2020-01-08 05:30:00,23.7,23.95,23.65,23.85,1634661
2020-01-09 05:30:00,23.9,24.1,23.85,23.95,1624871
2020-01-10 05:30:00,24.05,24.3,24.05,24.25,1395260
2020-01-13 05:30:00,24.25,24.4,24.2,24.2,828140
2020-01-14 05:30:00,24.2,24.3,24.1,24.2,625103
2020-01-15 05:30:00,24.2,24.7,24.1,24.45,1439779
2020-01-16 05:30:00,24.65,24.8,24.5,24.6,1213473
2020-01-17 05:30:00,24.5,24.6,24.2,24.25,691602
2020-01-20 05:30:00,26.95,29.1,26.15,27.05,64792445
2020-01-21 05:30:00,26.8,26.8,25.65,25.85,10549907
2020-01-22 05:30:00,26.0,27.2,25.15,26.15,41607850
2020-01-23 05:30:00,26.55,29.0,24.85,27.2,189153144
2020-01-24 05:30:00,26.35,28.3,26.2,27.45,13774410
2020-01-27 05:30:00,27.25,28.2,26.85,27.75,4363464
2020-01-28 05:30:00,27.6,28.15,27.1,27.3,3135829
2020-01-29 05:30:00,27.5,27.75,26.0,26.15,6543973
2020-01-30 05:30:00,26.3,26.4,25.05,25.2,5968109
2020-01-31 05:30:00,25.2,25.55,24.1,24.5,16998025
2020-02-01 05:30:00,24.4,24.4,23.8,23.9,5766539
2020-02-03 05:30:00,23.85,24.2,23.65,24.0,2375863
2020-02-04 05:30:00,24.0,24.75,24.0,24.45,3891159
2020-02-05 05:30:00,24.6,24.9,24.4,24.55,2522784
2020-02-06 05:30:00,24.6,24.7,24.15,24.3,3913375
2020-02-07 05:30:00,24.4,24.65,24.05,24.55,7901351
2020-02-10 05:30:00,24.9,25.4,23.45,24.25,24731189
2020-02-11 05:30:00,24.3,24.4,23.7,23.95,14033951
2020-02-12 05:30:00,24.15,24.15,23.75,23.95,8487719
2020-02-13 05:30:00,24.05,24.1,23.6,23.7,9190744
2020-02-14 05:30:00,23.9,24.1,23.3,23.45,15002516
2020-02-17 05:30:00,22.9,22.9,21.75,22.0,13667692
2020-02-18 05:30:00,22.0,22.15,21.1,21.3,21892432
2020-02-19 05:30:00,21.65,21.95,21.25,21.45,7615088
2020-02-20 05:30:00,21.35,21.75,20.85,21.45,19183993
2020-02-24 05:30:00,21.5,21.8,21.2,21.55,9131616
2020-02-25 05:30:00,21.6,22.2,21.6,22.05,3888556
2020-02-26 05:30:00,22.0,22.05,21.55,21.65,3677111
2020-02-27 05:30:00,21.5,21.65,21.2,21.4,4645484
2020-02-28 05:30:00,21.0,21.2,20.4,20.6,6961303
2020-03-02 05:30:00,21.0,21.5,20.8,21.1,5275905
2020-03-03 05:30:00,21.1,23.4,21.1,22.85,11817070
2020-03-04 05:30:00,22.9,23.2,21.8,22.0,4034902
2020-03-05 05:30:00,22.25,22.3,21.7,22.0,3322572
2020-03-06 05:30:00,21.1,22.25,21.05,21.7,7880829
2020-03-09 05:30:00,21.5,21.65,19.95,20.1,24589283
2020-03-11 05:30:00,20.05,21.4,20.05,21.1,18637028
2020-03-12 05:30:00,20.05,20.9,18.65,19.8,25323937
2020-03-13 05:30:00,19.25,20.95,17.5,20.55,17653637
2020-03-16 05:30:00,19.95,20.4,19.05,19.15,22293440
2020-03-17 05:30:00,19.25,19.4,18.0,18.2,11257823
2020-03-18 05:30:00,18.5,21.8,15.1,19.35,42443380
2020-03-19 05:30:00,17.75,19.15,17.45,18.45,5391469
2020-03-20 05:30:00,18.7,21.75,18.45,21.25,31498151
2020-03-23 05:30:00,18.85,19.6,17.6,18.2,6860057
2020-03-24 05:30:00,18.9,19.3,18.45,19.05,7311182
2020-03-25 05:30:00,18.8,19.3,18.7,18.95,6447812
2020-03-26 05:30:00,19.25,19.35,18.05,18.2,17491664
2020-03-27 05:30:00,18.8,19.5,18.7,19.4,25280045
2020-03-30 05:30:00,19.1,19.95,18.7,19.65,11417482
2020-03-31 05:30:00,19.5,20.15,19.3,19.95,9074851
2020-04-01 05:30:00,19.9,20.15,19.3,19.45,13484602
2020-04-03 05:30:00,19.7,21.45,19.05,19.8,14065920
2020-04-07 05:30:00,20.55,21.55,20.0,21.2,10416934
2020-04-08 05:30:00,21.25,22.0,20.85,21.85,10682325
2020-04-09 05:30:00,22.0,22.45,21.6,21.7,2996117
2020-04-13 05:30:00,22.1,22.35,21.2,21.65,3364676
2020-04-15 05:30:00,22.0,23.55,21.7,22.2,11012665
2020-04-16 05:30:00,22.3,22.6,22.1,22.3,3314357
2020-04-17 05:30:00,22.7,22.75,22.3,22.6,5083783
2020-04-20 05:30:00,22.85,22.85,21.95,22.0,3571030
2020-04-21 05:30:00,21.7,21.8,21.1,21.25,4461733
2020-04-22 05:30:00,21.0,21.4,20.85,21.15,3526494
2020-04-23 05:30:00,21.3,21.45,20.7,20.8,7757118
2020-04-24 05:30:00,20.8,21.3,20.4,20.7,11682227
2020-04-27 05:30:00,21.2,21.3,20.65,20.7,3421211
2020-04-28 05:30:00,20.65,20.9,20.15,20.25,8654623
2020-04-29 05:30:00,20.4,21.45,20.4,21.1,12540852
2020-04-30 05:30:00,21.45,21.45,20.6,20.8,4724206
2020-05-04 05:30:00,20.7,20.7,20.15,20.25,3783036
2020-05-05 05:30:00,20.35,20.6,20.2,20.3,4973737
2020-05-06 05:30:00,20.5,20.5,20.2,20.35,3105367
2020-05-07 05:30:00,20.35,20.45,20.2,20.35,1356183
2020-05-08 05:30:00,20.45,20.5,19.9,19.95,3357621
2020-05-11 05:30:00,20.0,20.25,19.9,20.0,1578914
2020-05-12 05:30:00,19.95,19.95,19.4,19.45,4118342
2020-05-13 05:30:00,20.0,20.5,19.75,20.15,4689354
2020-05-14 05:30:00,20.1,20.45,19.85,20.0,3897244
2020-05-15 05:30:00,20.25,20.25,19.8,20.0,1818620
2020-05-18 05:30:00,20.2,20.3,19.55,19.75,3197310
2020-05-19 05:30:00,19.9,19.95,19.6,19.65,2659208
2020-05-20 05:30:00,19.6,19.9,19.55,19.7,2505472
2020-05-21 05:30:00,19.7,20.05,19.65,19.95,2105291
2020-05-22 05:30:00,19.85,20.05,19.7,19.75,1287557
2020-05-26 05:30:00,19.8,19.95,19.7,19.8,956860
2020-05-27 05:30:00,19.85,19.95,19.6,19.9,4245614
2020-05-28 05:30:00,20.0,20.1,19.9,20.0,1099119
2020-05-29 05:30:00,20.05,20.15,19.55,19.6,4833622
2020-06-01 05:30:00,19.75,20.1,19.75,19.85,5013464
2020-06-02 05:30:00,20.0,20.25,19.9,19.95,5137134
2020-06-03 05:30:00,20.1,20.35,19.9,20.0,7608291
