datetime,open,high,low,close,volume
2020-01-01 05:30:00,107.48,108.23,106.16,107.96,2890349
2020-01-02 05:30:00,107.96,109.43,107.63,109.09,3444722
2020-01-03 05:30:00,108.75,109.46,106.73,107.25,3914475
2020-01-06 05:30:00,106.5,107.59,103.39,104.18,3722915
2020-01-07 05:30:00,105.08,107.93,104.03,105.56,5335772
2020-01-08 05:30:00,104.33,105.38,102.53,103.95,3418026
2020-01-09 05:30:00,104.89,107.29,104.89,106.84,3309451
2020-01-10 05:30:00,107.25,108.49,106.09,106.69,4769207
2020-01-13 05:30:00,107.29,108.3,106.2,107.55,5338915
2020-01-14 05:30:00,108.0,108.26,106.24,106.69,4207444
2020-01-15 05:30:00,106.5,107.25,104.21,106.8,6015734
2020-01-16 05:30:00,106.84,107.63,104.51,105.79,4434098
2020-01-17 05:30:00,105.64,106.5,104.51,105.75,3268230
2020-01-20 05:30:00,105.6,105.6,102.53,102.9,4389936
2020-01-21 05:30:00,102.0,103.5,100.54,100.8,4125210
2020-01-22 05:30:00,101.55,102.15,97.28,101.7,9429807
2020-01-23 05:30:00,101.85,104.85,101.25,104.18,5985385
2020-01-24 05:30:00,104.25,106.88,103.58,106.09,5654259
2020-01-27 05:30:00,105.64,109.65,105.45,108.08,7087980
2020-01-28 05:30:00,108.15,109.65,106.05,108.71,6845186
2020-01-29 05:30:00,108.9,110.93,108.71,110.29,6727884
2020-01-30 05:30:00,110.7,111.6,109.24,111.0,6855934
2020-01-31 05:30:00,111.75,111.98,106.76,107.78,9384172
2020-02-01 05:30:00,107.63,108.34,104.06,104.59,3359276
2020-02-03 05:30:00,104.36,105.68,102.08,103.35,6234289
2020-02-04 05:30:00,103.73,107.1,103.73,106.69,5918052
2020-02-05 05:30:00,110.55,115.13,107.4,113.21,29261327
2020-02-06 05:30:00,114.34,115.09,112.58,114.53,13756839
2020-02-07 05:30:00,115.13,116.63,113.48,116.29,8511050
2020-02-10 05:30:00,117.0,117.38,113.7,115.39,15533203
2020-02-11 05:30:00,107.51,109.13,105.94,106.43,13928951
2020-02-12 05:30:00,106.09,107.06,103.91,106.43,11201808
2020-02-13 05:30:00,106.16,106.73,104.93,105.53,3975770
2020-02-14 05:30:00,105.75,107.89,104.25,104.74,5602587
2020-02-17 05:30:00,104.89,105.98,103.28,103.58,3362370
2020-02-18 05:30:00,103.28,103.28,100.58,102.71,4285135
2020-02-19 05:30:00,103.01,104.06,102.23,102.9,2678910
2020-02-20 05:30:00,102.68,106.05,102.19,104.96,4946007
2020-02-24 05:30:00,103.76,105.79,101.93,102.15,4457902
2020-02-25 05:30:00,102.38,102.75,99.98,100.39,3532991
2020-02-26 05:30:00,99.38,100.31,96.98,97.31,5176908
2020-02-27 05:30:00,97.31,97.76,94.09,94.73,5823579
2020-02-28 05:30:00,92.63,92.7,87.53,88.35,13012939
2020-03-02 05:30:00,90.71,93.45,87.08,88.31,10295099
2020-03-03 05:30:00,89.78,91.05,87.34,89.81,9949891
2020-03-04 05:30:00,90.49,90.49,86.33,88.01,8514578
2020-03-05 05:30:00,88.5,90.9,88.01,88.76,9690088
2020-03-06 05:30:00,86.63,87.98,84.75,86.48,8229367
2020-03-09 05:30:00,84.9,85.13,79.58,80.7,6346080
2020-03-11 05:30:00,80.7,81.98,78.22,78.64,6899293
2020-03-12 05:30:00,75.0,75.0,68.44,69.83,19879004
2020-03-13 05:30:00,64.2,76.2,63.0,75.64,15697320
2020-03-16 05:30:00,72.0,74.14,70.39,70.99,7699341
2020-03-17 05:30:00,71.14,74.81,69.11,69.75,8011461
2020-03-18 05:30:00,70.31,73.35,68.81,71.93,12084896
2020-03-19 05:30:00,68.93,69.94,62.55,66.9,16223273
2020-03-20 05:30:00,67.31,71.4,66.68,68.74,16881238
2020-03-23 05:30:00,64.5,75.49,60.34,60.86,7565869
2020-03-24 05:30:00,61.54,63.68,59.25,61.09,9948088
2020-03-25 05:30:00,61.13,64.31,59.74,62.93,8968254
2020-03-26 05:30:00,63.38,67.72,59.06,65.81,17307317
2020-03-27 05:30:00,67.2,69.45,63.0,63.75,9757916
2020-03-30 05:30:00,62.25,65.74,60.49,63.79,7358734
2020-03-31 05:30:00,65.25,67.54,64.01,66.56,9892288
2020-04-01 05:30:00,66.38,68.4,64.58,65.21,5575449
2020-04-03 05:30:00,66.15,66.15,63.49,63.79,4686555
2020-04-07 05:30:00,66.0,66.3,63.38,65.25,8809856
2020-04-08 05:30:00,65.25,68.74,64.54,65.7,11340180
2020-04-09 05:30:00,66.6,67.65,65.29,66.75,8693016
2020-04-13 05:30:00,66.75,67.65,64.2,65.93,6676625
2020-04-15 05:30:00,66.9,70.09,65.78,67.76,10608817
2020-04-16 05:30:00,66.94,69.08,66.11,68.25,6359606
2020-04-17 05:30:00,70.13,74.25,69.38,71.63,13222422
2020-04-20 05:30:00,72.68,73.61,70.2,70.88,8433434
2020-04-21 05:30:00,69.38,69.64,67.16,68.59,6341828
2020-04-22 05:30:00,68.25,68.36,66.75,67.76,7073504
2020-04-23 05:30:00,68.25,70.24,67.88,68.89,5551191
2020-04-24 05:30:00,67.99,70.05,66.83,67.01,8047359
2020-04-27 05:30:00,67.76,68.29,66.26,66.6,7293280
2020-04-28 05:30:00,67.43,67.72,66.6,66.83,5674052
2020-04-29 05:30:00,68.25,70.72,67.69,69.94,13286781
2020-04-30 05:30:00,70.99,72.19,69.94,71.66,11517645
2020-05-04 05:30:00,69.71,69.71,66.75,67.54,16669285
2020-05-05 05:30:00,68.21,69.26,67.31,67.61,6170497
2020-05-06 05:30:00,67.72,68.81,66.38,68.63,9487756
2020-05-07 05:30:00,67.95,69.64,67.61,68.7,7641255
2020-05-08 05:30:00,69.6,69.6,65.18,65.66,7587481
2020-05-11 05:30:00,66.68,68.7,66.04,66.86,8354017
2020-05-12 05:30:00,66.38,67.91,65.44,67.09,9651252
2020-05-13 05:30:00,70.13,76.88,68.93,75.45,36916753
2020-05-14 05:30:00,75.75,78.6,73.54,74.89,37554241
2020-05-15 05:30:00,74.74,76.76,72.97,73.43,13868049
2020-05-18 05:30:00,73.5,73.91,67.5,67.91,14475426
2020-05-19 05:30:00,69.26,69.71,65.18,65.51,12854523
2020-05-20 05:30:00,65.81,66.6,65.03,65.7,6223609
2020-05-21 05:30:00,66.0,66.86,65.55,66.56,6874861
2020-05-22 05:30:00,66.53,66.97,64.13,64.43,9834238
2020-05-26 05:30:00,63.79,64.76,62.74,63.15,8258095
2020-05-27 05:30:00,63.75,64.95,63.11,64.69,8349173
2020-05-28 05:30:00,65.14,66.71,64.13,65.93,9060131
2020-05-29 05:30:00,65.25,68.7,64.76,66.41,20174552
2020-06-01 05:30:00,67.88,71.36,67.35,70.39,11406221
2020-06-02 05:30:00,70.35,72.11,69.83,70.72,6517202
2020-06-03 05:30:00,71.55,73.13,69.75,70.05,9981552
2020-06-04 05:30:00,70.5,71.81,69.34,70.13,7041890
2020-06-05 05:30:00,70.54,76.5,70.54,74.85,21607321
2020-06-08 05:30:00,76.09,78.3,74.55,76.01,14904803
2020-06-09 05:30:00,76.46,76.99,72.08,72.6,35989774
2020-06-10 05:30:00,74.1,76.13,73.2,75.68,20118739
2020-06-11 05:30:00,75.75,79.65,74.78,76.35,20552392
2020-06-12 05:30:00,72.11,80.25,72.0,79.54,22710249
2020-06-15 05:30:00,79.43,80.7,77.78,78.53,12626841
2020-06-16 05:30:00,79.8,82.84,79.35,80.59,26312345
2020-06-17 05:30:00,80.55,82.31,79.13,79.54,21081400
2020-06-18 05:30:00,78.0,80.93,76.61,80.4,20889847
2020-06-19 05:30:00,80.4,81.53,77.85,79.95,21534203
2020-06-22 05:30:00,80.63,86.93,80.51,85.8,27330749
2020-06-23 05:30:00,87.45,87.45,83.93,84.38,11929882
2020-06-24 05:30:00,84.68,86.63,83.25,84.68,9024778
2020-06-25 05:30:00,84.56,88.05,84.19,85.91,11941244
2020-06-26 05:30:00,86.55,87.0,84.08,84.49,6951866
2020-06-29 05:30:00,84.49,84.64,81.0,82.28,9623984
2020-06-30 05:30:00,83.14,84.04,80.66,81.08,7529862
2020-07-01 05:30:00,81.0,82.31,79.95,81.45,9803016
2020-07-02 05:30:00,82.16,82.46,80.78,81.41,7372794
2020-07-03 05:30:00,81.83,82.61,80.63,81.22,6019862
2020-07-06 05:30:00,81.71,84.3,81.53,83.7,7780329
2020-07-07 05:30:00,84.04,84.26,81.0,81.34,8480681
2020-07-08 05:30:00,81.9,83.06,80.4,80.81,9180512
2020-07-09 05:30:00,81.6,81.6,79.35,80.03,6095786
2020-07-10 05:30:00,80.33,80.63,78.08,78.56,5997187
2020-07-13 05:30:00,78.94,79.2,77.25,78.38,5671739
2020-07-14 05:30:00,78.0,78.6,76.72,77.47,6249328
2020-07-15 05:30:00,77.78,78.83,75.79,76.16,5131511
2020-07-16 05:30:00,76.95,77.81,74.85,77.33,5675477
2020-07-17 05:30:00,77.4,78.68,76.8,78.45,4979108
2020-07-20 05:30:00,78.75,80.7,78.49,79.39,6323472
2020-07-21 05:30:00,79.5,81.75,78.26,81.22,10874948
2020-07-22 05:30:00,81.79,82.69,79.91,80.74,11600694
2020-07-23 05:30:00,81.0,81.68,80.06,80.74,5279649
2020-07-24 05:30:00,80.63,80.93,78.22,79.84,7245726
2020-07-27 05:30:00,79.5,79.99,75.34,75.64,13151146
2020-07-28 05:30:00,75.75,76.8,74.85,75.22,8090886
2020-07-29 05:30:00,75.0,78.9,73.88,76.91,17561553
2020-07-30 05:30:00,77.33,77.93,75.3,75.68,7392391
2020-07-31 05:30:00,76.16,76.76,74.74,75.11,6337625
2020-08-03 05:30:00,75.49,76.99,74.51,75.34,6972378
2020-08-04 05:30:00,75.75,76.24,74.96,75.15,5185397
2020-08-05 05:30:00,76.09,77.14,75.45,76.09,8988735
2020-08-06 05:30:00,76.69,80.85,76.13,80.03,22933441
2020-08-07 05:30:00,80.51,81.53,77.55,79.31,15827624
2020-08-10 05:30:00,83.93,83.93,80.25,81.0,17258792
2020-08-11 05:30:00,81.68,81.75,79.13,79.31,9904514
2020-08-12 05:30:00,78.79,82.13,78.45,81.34,15492859
2020-08-13 05:30:00,81.38,83.25,80.36,82.84,13283571
2020-08-14 05:30:00,82.84,83.55,80.66,81.0,10521961
2020-08-17 05:30:00,82.09,83.63,80.85,82.88,10858699
2020-08-18 05:30:00,82.91,83.48,82.05,83.03,7830773
2020-08-19 05:30:00,83.4,86.25,83.4,85.2,21636928
2020-08-20 05:30:00,84.53,87.38,83.59,85.95,22286517
2020-08-21 05:30:00,86.4,86.93,84.26,84.53,8055391
2020-08-24 05:30:00,84.75,85.31,83.1,83.4,5493216
2020-08-25 05:30:00,83.63,85.46,83.33,84.6,11475278
2020-08-26 05:30:00,84.75,86.03,83.74,84.26,8866032
2020-08-27 05:30:00,84.41,84.98,82.88,83.06,6572693
2020-08-28 05:30:00,82.73,85.24,81.98,83.66,11951950
2020-08-31 05:30:00,84.68,85.58,79.13,79.61,20359196
2020-09-01 05:30:00,80.59,84.15,80.33,83.55,16701536
2020-09-02 05:30:00,83.55,85.09,82.01,84.45,10200935
2020-09-03 05:30:00,83.89,85.43,83.44,84.11,6357934
2020-09-04 05:30:00,83.25,83.74,81.75,82.46,13641749
2020-09-07 05:30:00,83.25,83.63,81.08,82.43,15426415
2020-09-08 05:30:00,82.43,82.99,80.4,80.93,5276887
2020-09-09 05:30:00,80.63,81.53,78.45,79.84,10022419
2020-09-10 05:30:00,80.25,81.41,79.13,80.44,6537221
2020-09-11 05:30:00,80.44,81.3,79.39,80.51,5996483
2020-09-14 05:30:00,81.68,82.54,80.1,80.44,8793738
2020-09-15 05:30:00,80.78,82.05,79.88,81.6,6963770
2020-09-16 05:30:00,81.98,83.06,80.93,81.64,9127142
2020-09-17 05:30:00,81.34,82.65,81.08,81.49,5989065
2020-09-18 05:30:00,81.86,81.94,80.21,81.0,8668775
2020-09-21 05:30:00,80.81,80.81,76.5,76.91,6125218
2020-09-22 05:30:00,76.91,77.25,74.55,76.58,10199959
2020-09-23 05:30:00,76.88,77.21,74.03,75.0,8067967
2020-09-24 05:30:00,74.21,74.47,71.25,71.47,7463958
2020-09-25 05:30:00,72.3,74.93,72.11,74.29,6961450
2020-09-28 05:30:00,74.96,77.06,74.51,76.58,6069121
2020-09-29 05:30:00,77.03,77.21,74.89,75.11,7223080
2020-09-30 05:30:00,75.45,75.45,73.61,74.33,5585565
2020-10-01 05:30:00,74.96,77.33,74.74,76.84,5528279
2020-10-05 05:30:00,77.33,77.85,73.88,74.18,11653646
2020-10-06 05:30:00,74.55,75.94,73.65,75.22,6535148
2020-10-07 05:30:00,75.38,75.45,73.95,74.36,6461846
2020-10-08 05:30:00,74.85,76.35,73.84,74.29,14916112
2020-10-09 05:30:00,74.55,75.45,73.16,73.54,7661505
2020-10-12 05:30:00,73.88,74.29,71.63,71.85,7783749
2020-10-13 05:30:00,72.0,72.22,68.85,69.45,13512433
2020-10-14 05:30:00,69.3,71.81,68.96,71.59,11244553
2020-10-15 05:30:00,71.55,72.6,69.83,70.09,7198008
2020-10-16 05:30:00,70.28,71.14,69.97,70.5,4781087
2020-10-19 05:30:00,70.72,72.3,70.2,72.0,5282101
2020-10-20 05:30:00,71.85,73.39,71.18,73.09,6026133
2020-10-21 05:30:00,73.05,74.89,72.64,74.51,7319404
2020-10-22 05:30:00,73.76,76.43,73.65,76.01,9987776
2020-10-23 05:30:00,75.9,76.43,74.78,75.26,5853865
2020-10-26 05:30:00,75.0,75.64,73.65,74.1,8789878
2020-10-27 05:30:00,73.8,76.91,73.58,76.65,11456062
2020-10-28 05:30:00,76.35,77.18,75.15,75.6,6461710
2020-10-29 05:30:00,74.63,75.71,74.47,75.26,7758705
2020-10-30 05:30:00,75.75,79.09,75.45,77.14,16367429
2020-11-02 05:30:00,77.63,78.64,76.65,78.22,7974295
2020-11-03 05:30:00,78.68,79.24,77.74,78.6,4952009
2020-11-04 05:30:00,78.75,78.97,77.14,78.45,4658460
